	sample_id	partner_sample_id	contributor	country	location	year	month	latitude	longitude	sex_call	species_gambiae_coluzzii	aim_fraction_colu	species	insecticide	concentration	exposure_time	phenotype	plate
0	VBS19051-5563STDY7800136	WA-0001	Alexander Egyir-Yawson	Ghana	Madina	2017	11	5.683	-0.166	F	gambiae	0.034	gambiae	Delta	1.0	60	dead	WGS_PL1
1	VBS19052-5563STDY7800137	WA-0002	Alexander Egyir-Yawson	Ghana	Madina	2017	11	5.683	-0.166	F	gambiae	0.023	gambiae	Delta	1.0	60	dead	WGS_PL1
2	VBS19053-5563STDY7800138	WA-0003	Alexander Egyir-Yawson	Ghana	Madina	2017	11	5.683	-0.166	F	gambiae	0.022	gambiae	Delta	1.0	60	dead	WGS_PL1
3	VBS19055-5563STDY7800140	WA-0005	Alexander Egyir-Yawson	Ghana	Madina	2017	11	5.683	-0.166	F	gambiae	0.025	gambiae	Delta	1.0	60	dead	WGS_PL1
4	VBS19056-5563STDY7800141	WA-0006	Alexander Egyir-Yawson	Ghana	Madina	2017	11	5.683	-0.166	F	gambiae	0.028	gambiae	Delta	1.0	60	dead	WGS_PL1
5	VBS19057-5563STDY7800142	WA-0007	Alexander Egyir-Yawson	Ghana	Madina	2017	11	5.683	-0.166	F	gambiae	0.063	gambiae	Delta	1.0	60	dead	WGS_PL1
6	VBS19058-5563STDY7800143	WA-0008	Alexander Egyir-Yawson	Ghana	Madina	2017	11	5.683	-0.166	F	gambiae	0.02	gambiae	Delta	1.0	60	dead	WGS_PL1
7	VBS19059-5563STDY7800144	WA-0009	Alexander Egyir-Yawson	Ghana	Madina	2017	11	5.683	-0.166	F	gambiae	0.025	gambiae	Delta	1.0	60	dead	WGS_PL1
8	VBS19060-5563STDY7800145	WA-0010	Alexander Egyir-Yawson	Ghana	Madina	2017	11	5.683	-0.166	F	gambiae	0.031	gambiae	Delta	1.0	60	dead	WGS_PL1
9	VBS19062-5563STDY7800147	WA-0012	Alexander Egyir-Yawson	Ghana	Madina	2017	11	5.683	-0.166	F	gambiae	0.062	gambiae	Delta	1.0	60	dead	WGS_PL1
10	VBS19063-5563STDY7800148	WA-0013	Alexander Egyir-Yawson	Ghana	Madina	2017	11	5.683	-0.166	F	gambiae	0.037	gambiae	Delta	1.0	60	dead	WGS_PL1
11	VBS19064-5563STDY7800149	WA-0014	Alexander Egyir-Yawson	Ghana	Madina	2017	11	5.683	-0.166	F	gambiae	0.053	gambiae	Delta	1.0	60	dead	WGS_PL1
12	VBS19065-5563STDY7800150	WA-0015	Alexander Egyir-Yawson	Ghana	Madina	2017	11	5.683	-0.166	F	gambiae	0.074	gambiae	Delta	1.0	60	dead	WGS_PL1
13	VBS19066-5563STDY7800151	WA-0016	Alexander Egyir-Yawson	Ghana	Madina	2017	11	5.683	-0.166	F	gambiae	0.028	gambiae	Delta	1.0	60	dead	WGS_PL1
14	VBS19067-5563STDY7800152	WA-0017	Alexander Egyir-Yawson	Ghana	Madina	2017	11	5.683	-0.166	F	gambiae	0.05	gambiae	Delta	1.0	60	dead	WGS_PL1
15	VBS19068-5563STDY7800153	WA-0018	Alexander Egyir-Yawson	Ghana	Madina	2017	11	5.683	-0.166	F	gambiae	0.066	gambiae	Delta	1.0	60	dead	WGS_PL1
16	VBS19070-5563STDY7800155	WA-0020	Alexander Egyir-Yawson	Ghana	Madina	2017	11	5.683	-0.166	F	gambiae	0.029	gambiae	Delta	1.0	60	dead	WGS_PL1
17	VBS19071-5563STDY7800156	WA-0021	Alexander Egyir-Yawson	Ghana	Madina	2017	11	5.683	-0.166	F	gambiae	0.02	gambiae	Delta	1.0	60	dead	WGS_PL1
18	VBS19074-5563STDY7800159	WA-0024	Alexander Egyir-Yawson	Ghana	Madina	2017	11	5.683	-0.166	F	gambiae	0.031	gambiae	Delta	1.0	60	dead	WGS_PL1
19	VBS19075-5563STDY7800160	WA-0025	Alexander Egyir-Yawson	Ghana	Madina	2017	11	5.683	-0.166	F	gambiae	0.056	gambiae	Delta	1.0	60	dead	WGS_PL1
20	VBS19076-5563STDY7800161	WA-0026	Alexander Egyir-Yawson	Ghana	Madina	2017	11	5.683	-0.166	F	gambiae	0.029	gambiae	Delta	1.0	60	dead	WGS_PL1
21	VBS19078-5563STDY7800163	WA-0028	Alexander Egyir-Yawson	Ghana	Madina	2017	11	5.683	-0.166	F	gambiae	0.035	gambiae	Delta	1.0	60	dead	WGS_PL1
22	VBS19079-5563STDY7800164	WA-0029	Alexander Egyir-Yawson	Ghana	Madina	2017	11	5.683	-0.166	F	gambiae	0.025	gambiae	Delta	1.0	60	dead	WGS_PL1
23	VBS19081-5563STDY7800166	WA-0031	Alexander Egyir-Yawson	Ghana	Madina	2017	11	5.683	-0.166	F	gambiae	0.033	gambiae	Delta	1.0	60	dead	WGS_PL1
24	VBS19084-5563STDY7800168	WA-0034	Alexander Egyir-Yawson	Ghana	Madina	2017	11	5.683	-0.166	F	gambiae	0.029	gambiae	Delta	1.0	60	dead	WGS_PL1
25	VBS19086-5563STDY7800170	WA-0036	Alexander Egyir-Yawson	Ghana	Madina	2017	11	5.683	-0.166	F	gambiae	0.063	gambiae	Delta	1.0	60	dead	WGS_PL1
26	VBS19087-5563STDY7800171	WA-0037	Alexander Egyir-Yawson	Ghana	Madina	2017	11	5.683	-0.166	F	gambiae	0.033	gambiae	Delta	1.0	60	dead	WGS_PL1
27	VBS19088-5563STDY7800172	WA-0038	Alexander Egyir-Yawson	Ghana	Madina	2017	11	5.683	-0.166	F	gambiae	0.053	gambiae	Delta	1.0	60	dead	WGS_PL1
28	VBS19091-5563STDY7800175	WA-0041	Alexander Egyir-Yawson	Ghana	Madina	2017	11	5.683	-0.166	F	gambiae	0.03	gambiae	Delta	1.0	60	dead	WGS_PL1
29	VBS19093-5563STDY7800177	WA-0043	Alexander Egyir-Yawson	Ghana	Madina	2017	11	5.683	-0.166	F	gambiae	0.033	gambiae	Delta	1.0	60	dead	WGS_PL1
30	VBS19094-5563STDY7800178	WA-0044	Alexander Egyir-Yawson	Ghana	Madina	2017	11	5.683	-0.166	F	gambiae	0.025	gambiae	Delta	1.0	60	dead	WGS_PL1
31	VBS19096-5563STDY7800180	WA-0046	Alexander Egyir-Yawson	Ghana	Madina	2017	11	5.683	-0.166	F	gambiae	0.047	gambiae	Delta	1.0	60	dead	WGS_PL1
32	VBS19097-5563STDY7800181	WA-0047	Alexander Egyir-Yawson	Ghana	Madina	2017	11	5.683	-0.166	F	gambiae	0.032	gambiae	Delta	1.0	60	dead	WGS_PL1
33	VBS19098-5563STDY7800182	WA-0048	Alexander Egyir-Yawson	Ghana	Madina	2017	11	5.683	-0.166	F	gambiae	0.019	gambiae	Delta	1.0	60	dead	WGS_PL1
