Sib	Location	Sib.group.of
WA-0003	Madina	WA-0002
WA-0005	Madina	WA-0002
WA-0026	Madina	WA-0024
WA-0034	Madina	WA-0024
WA-0028	Madina	WA-0025
WA-0037	Madina	WA-0025
WA-0038	Madina	WA-0025
WA-0043	Madina	WA-0025
WA-0462	Madina	WA-0025
WA-0469	Madina	WA-0025
WA-0465	Madina	WA-0025
WA-0473	Madina	WA-0025
WA-0474	Madina	WA-0036
WA-0047	Madina	WA-0051
WA-0052	Madina	WA-0051
WA-0452	Madina	WA-0051
WA-0050	Madina	WA-0054
WA-0083	Madina	WA-0093
WA-0086	Madina	WA-0087
WA-0090	Madina	WA-0087
WA-0105	Madina	WA-0091
WA-0100	Madina	WA-0108
WA-0489	Madina	WA-0104
WA-0114	Madina	WA-0129
WA-0118	Madina	WA-0129
WA-0115	Madina	WA-0585
WA-0154	Madina	WA-0585
WA-0166	Madina	WA-0585
WA-0147	Madina	WA-0128
WA-0151	Madina	WA-0128
WA-0576	Madina	WA-0128
WA-0165	Madina	WA-0130
WA-0132	Madina	WA-0156
WA-0137	Madina	WA-0144
WA-0164	Madina	WA-0144
WA-0146	Madina	WA-0586
WA-0587	Madina	WA-0150
WA-0266	Obuasi	WA-0239
WA-0698	Obuasi	WA-0255
WA-0716	Obuasi	WA-0255
WA-0711	Obuasi	WA-0258
WA-0310	Obuasi	WA-0283
WA-0481	Madina	WA-0476
WA-0483	Madina	WA-0476
WA-0488	Madina	WA-0478
WA-0530	Madina	WA-0507
WA-0540	Madina	WA-0516
WA-0594	Obuasi	WA-0602
WA-0607	Obuasi	WA-0602
WA-0598	Obuasi	WA-0658
WA-0608	Obuasi	WA-0654
WA-0624	Obuasi	WA-0621
WA-0622	Obuasi	WA-0629
WA-0700	Obuasi	WA-0626
WA-0647	Obuasi	WA-0721
WA-0648	Obuasi	WA-0704
WA-0681	Obuasi	WA-0686
WA-0688	Obuasi	WA-0683
WA-0685	Obuasi	WA-0684
WA-0708	Obuasi	WA-0712
WA-0327	Baguida	WA-0358
WA-0329	Baguida	WA-0411
WA-0798	Baguida	WA-0411
WA-0330	Baguida	WA-0405
WA-0401	Baguida	WA-0333
WA-0799	Baguida	WA-0333
WA-0361	Baguida	WA-0335
WA-0427	Baguida	WA-0335
WA-0338	Baguida	WA-0814
WA-0339	Baguida	WA-0814
WA-0356	Baguida	WA-0814
WA-0344	Baguida	WA-0381
WA-0347	Baguida	WA-0426
WA-0348	Baguida	WA-0353
WA-0417	Baguida	WA-0357
WA-0366	Baguida	WA-0397
WA-0833	Baguida	WA-0371
WA-0851	Baguida	WA-0372
WA-0854	Baguida	WA-0372
WA-0848	Baguida	WA-0378
WA-0383	Baguida	WA-0816
WA-0384	Baguida	WA-0422
WA-0424	Baguida	WA-0422
WA-0430	Baguida	WA-0422
WA-0400	Baguida	WA-0802
WA-0785	Baguida	WA-0809
WA-0790	Baguida	WA-0806
WA-0791	Baguida	WA-0792
WA-0829	Baguida	WA-0850
WA-0832	Baguida	WA-0850
WA-0840	Baguida	WA-0845
WA-0870	Baguida	WA-0845
WA-0859	Baguida	WA-0849
WA-0864	Baguida	WA-0867
WA-0760	Aboisso	WA-0744
WA-0889	Korle-Bu	WA-0980
WA-1164	Korle-Bu	WA-0980
WA-1177	Korle-Bu	WA-0980
WA-0891	Korle-Bu	WA-1172
WA-0893	Korle-Bu	WA-1271
WA-0909	Korle-Bu	WA-1262
WA-0917	Korle-Bu	WA-0910
WA-0912	Korle-Bu	WA-0911
WA-1298	Korle-Bu	WA-0920
WA-1303	Korle-Bu	WA-0920
WA-1319	Korle-Bu	WA-0920
WA-0921	Korle-Bu	WA-1300
WA-0944	Korle-Bu	WA-1300
WA-1210	Korle-Bu	WA-0925
WA-1213	Korle-Bu	WA-0925
WA-0927	Korle-Bu	WA-1009
WA-1317	Korle-Bu	WA-1009
WA-1198	Korle-Bu	WA-0935
WA-1230	Korle-Bu	WA-0935
WA-1196	Korle-Bu	WA-0950
WA-0963	Korle-Bu	WA-1324
WA-0969	Korle-Bu	WA-1334
WA-1013	Korle-Bu	WA-0993
WA-0997	Korle-Bu	WA-1326
WA-1288	Korle-Bu	WA-1326
WA-1278	Korle-Bu	WA-0998
WA-1311	Korle-Bu	WA-1001
WA-1005	Korle-Bu	WA-1308
WA-1027	Korle-Bu	WA-1014
WA-1149	Korle-Bu	WA-1159
WA-1176	Korle-Bu	WA-1182
WA-1191	Korle-Bu	WA-1200
WA-1293	Korle-Bu	WA-1237
WA-1264	Korle-Bu	WA-1280
WA-1285	Korle-Bu	WA-1296
WA-1045	Avrankou	WA-1052
WA-1049	Avrankou	WA-1138
WA-1053	Avrankou	WA-1121
WA-1086	Avrankou	WA-1059
WA-1060	Avrankou	WA-1128
WA-1093	Avrankou	WA-1068
WA-1080	Avrankou	WA-1085
WA-1082	Avrankou	WA-1098
WA-1095	Avrankou	WA-1089
WA-1099	Avrankou	WA-1109
