sample.name	location	species	insecticide	sib.group.id	keep
WA-0002	Madina	gambiae	Delta	1	TRUE
WA-0003	Madina	gambiae	Delta	1	FALSE
WA-0005	Madina	gambiae	Delta	1	FALSE
WA-0024	Madina	gambiae	Delta	2	TRUE
WA-0026	Madina	gambiae	Delta	2	FALSE
WA-0034	Madina	gambiae	Delta	2	FALSE
WA-0025	Madina	gambiae	Delta	3	FALSE
WA-0028	Madina	gambiae	Delta	3	FALSE
WA-0037	Madina	gambiae	Delta	3	TRUE
WA-0038	Madina	gambiae	Delta	3	FALSE
WA-0043	Madina	gambiae	Delta	3	FALSE
WA-0462	Madina	gambiae	PM	3	FALSE
WA-0465	Madina	gambiae	PM	3	FALSE
WA-0469	Madina	gambiae	PM	3	FALSE
WA-0473	Madina	gambiae	PM	3	TRUE
WA-0036	Madina	gambiae	Delta	4	TRUE
WA-0474	Madina	gambiae	PM	4	TRUE
WA-0047	Madina	gambiae	Delta	5	FALSE
WA-0051	Madina	gambiae	Delta	5	FALSE
WA-0052	Madina	gambiae	Delta	5	TRUE
WA-0452	Madina	gambiae	PM	5	TRUE
WA-0050	Madina	gambiae	Delta	6	TRUE
WA-0054	Madina	gambiae	Delta	6	FALSE
WA-0083	Madina	gambiae	Delta	7	TRUE
WA-0093	Madina	gambiae	Delta	7	FALSE
WA-0086	Madina	gambiae	Delta	8	TRUE
WA-0087	Madina	gambiae	Delta	8	FALSE
WA-0090	Madina	gambiae	Delta	8	FALSE
WA-0091	Madina	gambiae	Delta	9	TRUE
WA-0105	Madina	gambiae	Delta	9	FALSE
WA-0100	Madina	gambiae	Delta	10	FALSE
WA-0108	Madina	gambiae	Delta	10	TRUE
WA-0104	Madina	gambiae	Delta	11	TRUE
WA-0489	Madina	gambiae	PM	11	TRUE
WA-0114	Madina	gambiae	Delta	12	FALSE
WA-0118	Madina	gambiae	Delta	12	TRUE
WA-0129	Madina	gambiae	Delta	12	FALSE
WA-0115	Madina	gambiae	Delta	13	FALSE
WA-0154	Madina	gambiae	Delta	13	TRUE
WA-0166	Madina	gambiae	Delta	13	FALSE
WA-0585	Madina	gambiae	PM	13	TRUE
WA-0128	Madina	gambiae	Delta	14	FALSE
WA-0147	Madina	gambiae	Delta	14	FALSE
WA-0151	Madina	gambiae	Delta	14	TRUE
WA-0576	Madina	gambiae	PM	14	TRUE
WA-0130	Madina	gambiae	Delta	15	FALSE
WA-0165	Madina	gambiae	Delta	15	TRUE
WA-0132	Madina	gambiae	Delta	16	TRUE
WA-0156	Madina	gambiae	Delta	16	FALSE
WA-0137	Madina	gambiae	Delta	17	TRUE
WA-0144	Madina	gambiae	Delta	17	FALSE
WA-0164	Madina	gambiae	Delta	17	FALSE
WA-0146	Madina	gambiae	Delta	18	TRUE
WA-0586	Madina	gambiae	PM	18	TRUE
WA-0150	Madina	gambiae	Delta	19	TRUE
WA-0587	Madina	gambiae	PM	19	TRUE
WA-0239	Obuasi	gambiae	Delta	20	TRUE
WA-0266	Obuasi	gambiae	Delta	20	FALSE
WA-0255	Obuasi	gambiae	Delta	21	TRUE
WA-0698	Obuasi	gambiae	PM	21	FALSE
WA-0716	Obuasi	gambiae	PM	21	TRUE
WA-0258	Obuasi	gambiae	Delta	22	TRUE
WA-0711	Obuasi	gambiae	PM	22	TRUE
WA-0283	Obuasi	gambiae	Delta	23	FALSE
WA-0310	Obuasi	gambiae	Delta	23	TRUE
WA-0476	Madina	gambiae	PM	24	FALSE
WA-0481	Madina	gambiae	PM	24	FALSE
WA-0483	Madina	gambiae	PM	24	TRUE
WA-0478	Madina	gambiae	PM	25	FALSE
WA-0488	Madina	gambiae	PM	25	TRUE
WA-0507	Madina	gambiae	PM	26	FALSE
WA-0530	Madina	gambiae	PM	26	TRUE
WA-0516	Madina	gambiae	PM	27	FALSE
WA-0540	Madina	gambiae	PM	27	TRUE
WA-0594	Obuasi	gambiae	PM	28	TRUE
WA-0602	Obuasi	gambiae	PM	28	FALSE
WA-0607	Obuasi	gambiae	PM	28	FALSE
WA-0598	Obuasi	gambiae	PM	29	TRUE
WA-0658	Obuasi	gambiae	PM	29	FALSE
WA-0608	Obuasi	gambiae	PM	30	TRUE
WA-0654	Obuasi	gambiae	PM	30	FALSE
WA-0621	Obuasi	gambiae	PM	31	TRUE
WA-0624	Obuasi	gambiae	PM	31	FALSE
WA-0622	Obuasi	gambiae	PM	32	FALSE
WA-0629	Obuasi	gambiae	PM	32	TRUE
WA-0626	Obuasi	gambiae	PM	33	TRUE
WA-0700	Obuasi	gambiae	PM	33	FALSE
WA-0647	Obuasi	gambiae	PM	34	TRUE
WA-0721	Obuasi	gambiae	PM	34	FALSE
WA-0648	Obuasi	gambiae	PM	35	FALSE
WA-0704	Obuasi	gambiae	PM	35	TRUE
WA-0681	Obuasi	gambiae	PM	36	FALSE
WA-0686	Obuasi	gambiae	PM	36	TRUE
WA-0683	Obuasi	gambiae	PM	37	FALSE
WA-0688	Obuasi	gambiae	PM	37	TRUE
WA-0684	Obuasi	gambiae	PM	38	FALSE
WA-0685	Obuasi	gambiae	PM	38	TRUE
WA-0708	Obuasi	gambiae	PM	39	FALSE
WA-0712	Obuasi	gambiae	PM	39	TRUE
WA-0327	Baguida	gambiae	Delta	40	FALSE
WA-0358	Baguida	gambiae	Delta	40	TRUE
WA-0329	Baguida	gambiae	Delta	41	FALSE
WA-0411	Baguida	gambiae	Delta	41	TRUE
WA-0798	Baguida	gambiae	PM	41	TRUE
WA-0330	Baguida	gambiae	Delta	42	FALSE
WA-0405	Baguida	gambiae	Delta	42	TRUE
WA-0333	Baguida	gambiae	Delta	43	FALSE
WA-0401	Baguida	gambiae	Delta	43	TRUE
WA-0799	Baguida	gambiae	PM	43	TRUE
WA-0335	Baguida	gambiae	Delta	44	TRUE
WA-0361	Baguida	gambiae	Delta	44	FALSE
WA-0427	Baguida	gambiae	Delta	44	FALSE
WA-0338	Baguida	gambiae	Delta	45	FALSE
WA-0339	Baguida	gambiae	Delta	45	FALSE
WA-0356	Baguida	gambiae	Delta	45	TRUE
WA-0814	Baguida	gambiae	PM	45	TRUE
WA-0344	Baguida	gambiae	Delta	46	TRUE
WA-0381	Baguida	gambiae	Delta	46	FALSE
WA-0347	Baguida	gambiae	Delta	47	TRUE
WA-0426	Baguida	gambiae	Delta	47	FALSE
WA-0348	Baguida	gambiae	Delta	48	FALSE
WA-0353	Baguida	gambiae	Delta	48	TRUE
WA-0357	Baguida	gambiae	Delta	49	FALSE
WA-0417	Baguida	gambiae	Delta	49	TRUE
WA-0366	Baguida	gambiae	Delta	50	TRUE
WA-0397	Baguida	gambiae	Delta	50	FALSE
WA-0371	Baguida	gambiae	Delta	51	TRUE
WA-0833	Baguida	gambiae	PM	51	TRUE
WA-0372	Baguida	gambiae	Delta	52	TRUE
WA-0851	Baguida	gambiae	PM	52	FALSE
WA-0854	Baguida	gambiae	PM	52	TRUE
WA-0378	Baguida	gambiae	Delta	53	TRUE
WA-0848	Baguida	gambiae	PM	53	TRUE
WA-0383	Baguida	gambiae	Delta	54	TRUE
WA-0816	Baguida	gambiae	PM	54	TRUE
WA-0384	Baguida	gambiae	Delta	55	TRUE
WA-0422	Baguida	gambiae	Delta	55	FALSE
WA-0424	Baguida	gambiae	Delta	55	FALSE
WA-0430	Baguida	gambiae	Delta	55	FALSE
WA-0400	Baguida	gambiae	Delta	56	TRUE
WA-0802	Baguida	gambiae	PM	56	TRUE
WA-0785	Baguida	gambiae	PM	57	TRUE
WA-0809	Baguida	gambiae	PM	57	FALSE
WA-0790	Baguida	gambiae	PM	58	TRUE
WA-0806	Baguida	gambiae	PM	58	FALSE
WA-0791	Baguida	gambiae	PM	59	FALSE
WA-0792	Baguida	gambiae	PM	59	TRUE
WA-0829	Baguida	gambiae	PM	60	FALSE
WA-0832	Baguida	gambiae	PM	60	FALSE
WA-0850	Baguida	gambiae	PM	60	TRUE
WA-0840	Baguida	gambiae	PM	61	TRUE
WA-0845	Baguida	gambiae	PM	61	FALSE
WA-0870	Baguida	gambiae	PM	61	FALSE
WA-0849	Baguida	gambiae	PM	62	TRUE
WA-0859	Baguida	gambiae	PM	62	FALSE
WA-0864	Baguida	gambiae	PM	63	TRUE
WA-0867	Baguida	gambiae	PM	63	FALSE
WA-0744	Aboisso	gambiae	PM	64	FALSE
WA-0760	Aboisso	gambiae	PM	64	TRUE
WA-0889	Korle-Bu	coluzzii	Delta	65	FALSE
WA-0980	Korle-Bu	coluzzii	Delta	65	TRUE
WA-1164	Korle-Bu	coluzzii	PM	65	TRUE
WA-1177	Korle-Bu	coluzzii	PM	65	FALSE
WA-0891	Korle-Bu	coluzzii	Delta	66	TRUE
WA-1172	Korle-Bu	coluzzii	PM	66	TRUE
WA-0893	Korle-Bu	coluzzii	Delta	67	TRUE
WA-1271	Korle-Bu	coluzzii	PM	67	TRUE
WA-0909	Korle-Bu	coluzzii	Delta	68	TRUE
WA-1262	Korle-Bu	coluzzii	PM	68	TRUE
WA-0910	Korle-Bu	coluzzii	Delta	69	TRUE
WA-0917	Korle-Bu	coluzzii	Delta	69	FALSE
WA-0911	Korle-Bu	coluzzii	Delta	70	FALSE
WA-0912	Korle-Bu	coluzzii	Delta	70	TRUE
WA-0920	Korle-Bu	coluzzii	Delta	71	TRUE
WA-1298	Korle-Bu	coluzzii	PM	71	FALSE
WA-1303	Korle-Bu	coluzzii	PM	71	FALSE
WA-1319	Korle-Bu	coluzzii	PM	71	TRUE
