SANGER PLATE ID	WELL	SANGER SAMPLE ID	SUPPLIER SAMPLE NAME
DN554821N	A1	5563STDY7800136	VBS19051
DN554821N	B1	5563STDY7800137	VBS19052
DN554821N	C1	5563STDY7800138	VBS19053
DN554821N	D1	5563STDY7800139	VBS19054
DN554821N	E1	5563STDY7800140	VBS19055
DN554821N	F1	5563STDY7800141	VBS19056
DN554821N	G1	5563STDY7800142	VBS19057
DN554821N	H1	5563STDY7800143	VBS19058
DN554821N	A2	5563STDY7800144	VBS19059
DN554821N	B2	5563STDY7800145	VBS19060
DN554821N	C2	5563STDY7800146	VBS19061
DN554821N	D2	5563STDY7800147	VBS19062
DN554821N	E2	5563STDY7800148	VBS19063
DN554821N	F2	5563STDY7800149	VBS19064
DN554821N	G2	5563STDY7800150	VBS19065
DN554821N	H2	5563STDY7800151	VBS19066
DN554821N	A3	5563STDY7800152	VBS19067
DN554821N	B3	5563STDY7800153	VBS19068
DN554821N	C3	5563STDY7800154	VBS19069
DN554821N	D3	5563STDY7800155	VBS19070
DN554821N	E3	5563STDY7800156	VBS19071
DN554821N	F3	5563STDY7800157	VBS19072
DN554821N	G3	5563STDY7800158	VBS19073
DN554821N	H3	5563STDY7800159	VBS19074
DN554821N	A4	5563STDY7800160	VBS19075
DN554821N	B4	5563STDY7800161	VBS19076
DN554821N	C4	5563STDY7800162	VBS19077
DN554821N	D4	5563STDY7800163	VBS19078
DN554821N	E4	5563STDY7800164	VBS19079
DN554821N	F4	5563STDY7800165	VBS19080
DN554821N	G4	5563STDY7800166	VBS19081
DN554821N	H4	5563STDY7800167	VBS19082
DN554821N	A5	5563STDY7800168	VBS19084
DN554821N	B5	5563STDY7800169	VBS19085
DN554821N	C5	5563STDY7800170	VBS19086
DN554821N	D5	5563STDY7800171	VBS19087
DN554821N	E5	5563STDY7800172	VBS19088
DN554821N	F5	5563STDY7800173	VBS19089
DN554821N	G5	5563STDY7800174	VBS19090
DN554821N	H5	5563STDY7800175	VBS19091
DN554821N	A6	5563STDY7800176	VBS19092
DN554821N	B6	5563STDY7800177	VBS19093
DN554821N	C6	5563STDY7800178	VBS19094
DN554821N	D6	5563STDY7800179	VBS19095
DN554821N	E6	5563STDY7800180	VBS19096
DN554821N	F6	5563STDY7800181	VBS19097
DN554821N	G6	5563STDY7800182	VBS19098
DN554821N	H6	5563STDY7800183	VBS19099
DN554821N	A7	5563STDY7800184	VBS19100
DN554821N	B7	5563STDY7800185	VBS19101
DN554821N	C7	5563STDY7800186	VBS19102
DN554821N	D7	5563STDY7800187	VBS19103
DN554821N	E7	5563STDY7800188	VBS19104
DN554821N	F7	5563STDY7800189	VBS19105
DN554821N	G7	5563STDY7800190	VBS19106
DN554821N	H7	5563STDY7800191	VBS19107
DN554821N	A8	5563STDY7800192	VBS19108
