specimen	species	location	country	insecticide	concentration	exposure_time	phenotype	plate
WA-0001	gambiae	Madina	Ghana	Delta	1	60	dead	WGS_PL1
WA-0002	gambiae	Madina	Ghana	Delta	1	60	dead	WGS_PL1
WA-0003	gambiae	Madina	Ghana	Delta	1	60	dead	WGS_PL1
WA-0004	gambiae	Madina	Ghana	Delta	1	60	dead	WGS_PL1
WA-0005	gambiae	Madina	Ghana	Delta	1	60	dead	WGS_PL1
WA-0006	gambiae	Madina	Ghana	Delta	1	60	dead	WGS_PL1
WA-0007	gambiae	Madina	Ghana	Delta	1	60	dead	WGS_PL1
WA-0008	gambiae	Madina	Ghana	Delta	1	60	dead	WGS_PL1
WA-0009	gambiae	Madina	Ghana	Delta	1	60	dead	WGS_PL1
WA-0010	gambiae	Madina	Ghana	Delta	1	60	dead	WGS_PL1
WA-0011	gambiae	Madina	Ghana	Delta	1	60	dead	WGS_PL1
WA-0012	gambiae	Madina	Ghana	Delta	1	60	dead	WGS_PL1
WA-0013	gambiae	Madina	Ghana	Delta	1	60	dead	WGS_PL1
WA-0014	gambiae	Madina	Ghana	Delta	1	60	dead	WGS_PL1
WA-0015	gambiae	Madina	Ghana	Delta	1	60	dead	WGS_PL1
WA-0016	gambiae	Madina	Ghana	Delta	1	60	dead	WGS_PL1
WA-0017	gambiae	Madina	Ghana	Delta	1	60	dead	WGS_PL1
WA-0018	gambiae	Madina	Ghana	Delta	1	60	dead	WGS_PL1
WA-0019	gambiae	Madina	Ghana	Delta	1	60	dead	WGS_PL1
WA-0020	gambiae	Madina	Ghana	Delta	1	60	dead	WGS_PL1
WA-0021	gambiae	Madina	Ghana	Delta	1	60	dead	WGS_PL1
WA-0022	gambiae	Madina	Ghana	Delta	1	60	dead	WGS_PL1
WA-0023	gambiae	Madina	Ghana	Delta	1	60	dead	WGS_PL1
WA-0024	gambiae	Madina	Ghana	Delta	1	60	dead	WGS_PL1
WA-0025	gambiae	Madina	Ghana	Delta	1	60	dead	WGS_PL1
WA-0026	gambiae	Madina	Ghana	Delta	1	60	dead	WGS_PL1
WA-0027	gambiae	Madina	Ghana	Delta	1	60	dead	WGS_PL1
WA-0028	gambiae	Madina	Ghana	Delta	1	60	dead	WGS_PL1
WA-0029	gambiae	Madina	Ghana	Delta	1	60	dead	WGS_PL1
WA-0030	gambiae	Madina	Ghana	Delta	1	60	dead	WGS_PL1
WA-0031	gambiae	Madina	Ghana	Delta	1	60	dead	WGS_PL1
WA-0032	gambiae	Madina	Ghana	Delta	1	60	dead	WGS_PL1
WA-0033	gambiae	Madina	Ghana	Delta	1	60	dead	WGS_PL1
WA-0034	gambiae	Madina	Ghana	Delta	1	60	dead	WGS_PL1
WA-0035	gambiae	Madina	Ghana	Delta	1	60	dead	WGS_PL1
WA-0036	gambiae	Madina	Ghana	Delta	1	60	dead	WGS_PL1
WA-0037	gambiae	Madina	Ghana	Delta	1	60	dead	WGS_PL1
WA-0038	gambiae	Madina	Ghana	Delta	1	60	dead	WGS_PL1
WA-0039	gambiae	Madina	Ghana	Delta	1	60	dead	WGS_PL1
WA-0040	gambiae	Madina	Ghana	Delta	1	60	dead	WGS_PL1
WA-0041	gambiae	Madina	Ghana	Delta	1	60	dead	WGS_PL1
WA-0042	gambiae	Madina	Ghana	Delta	1	60	dead	WGS_PL1
