sample_id,partner_sample_id,contributor,country,location,year,month,latitude,longitude,sex_call
VBS18949-5562STDY7801785,WA-1044,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS18950-5562STDY7801786,WA-1045,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS18951-5562STDY7801787,WA-1046,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS18952-5562STDY7801788,WA-1047,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS18953-5562STDY7801789,WA-1048,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS18954-5562STDY7801790,WA-1049,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS18955-5562STDY7801791,WA-1050,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS18956-5562STDY7801792,WA-1051,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,M
VBS18957-5562STDY7801793,WA-1052,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS18958-5562STDY7801794,WA-1053,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS18959-5562STDY7801795,WA-1054,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS18960-5562STDY7801796,WA-1055,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS18961-5562STDY7801797,WA-1056,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS18962-5562STDY7801798,WA-1057,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS18963-5562STDY7801799,WA-1058,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS18964-5562STDY7801800,WA-1059,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,M
VBS18965-5562STDY7801801,WA-1060,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS18966-5562STDY7801802,WA-1061,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS18968-5562STDY7801804,WA-1063,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS18969-5562STDY7801805,WA-1064,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS18970-5562STDY7801806,WA-1065,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS18971-5562STDY7801807,WA-1066,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS18972-5562STDY7801808,WA-1067,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS18973-5562STDY7801809,WA-1068,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS18974-5562STDY7801810,WA-1069,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS18975-5562STDY7801811,WA-1070,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS18976-5562STDY7801812,WA-1071,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS18977-5562STDY7801813,WA-1072,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS18978-5562STDY7801814,WA-1073,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS18980-5562STDY7801815,WA-1075,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS18981-5562STDY7801816,WA-1076,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS18982-5562STDY7801817,WA-1077,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS18983-5562STDY7801818,WA-1078,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS18984-5562STDY7801819,WA-1079,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS18985-5562STDY7801820,WA-1080,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS18987-5562STDY7801821,WA-1082,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS18989-5562STDY7801822,WA-1084,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
VBS18990-5562STDY7801823,WA-1085,Luc Djogbenou,Benin,Avrankou,2017,9,6.550,2.667,F
