sample_id,aim_fraction_colu,aim_fraction_arab,species_gambcolu_arabiensis,species_gambiae_coluzzii
VBS18949-5562STDY7801785,0.975,0.002,gamb_colu,coluzzii
VBS18950-5562STDY7801786,0.971,0.002,gamb_colu,coluzzii
VBS18951-5562STDY7801787,0.964,0.002,gamb_colu,coluzzii
VBS18952-5562STDY7801788,0.975,0.002,gamb_colu,coluzzii
VBS18953-5562STDY7801789,0.976,0.002,gamb_colu,coluzzii
VBS18954-5562STDY7801790,0.953,0.002,gamb_colu,coluzzii
VBS18955-5562STDY7801791,0.974,0.002,gamb_colu,coluzzii
VBS18956-5562STDY7801792,0.978,0.002,gamb_colu,coluzzii
VBS18957-5562STDY7801793,0.974,0.002,gamb_colu,coluzzii
VBS18958-5562STDY7801794,0.975,0.002,gamb_colu,coluzzii
VBS18959-5562STDY7801795,0.955,0.002,gamb_colu,coluzzii
VBS18960-5562STDY7801796,0.972,0.002,gamb_colu,coluzzii
VBS18961-5562STDY7801797,0.970,0.002,gamb_colu,coluzzii
VBS18962-5562STDY7801798,0.960,0.002,gamb_colu,coluzzii
VBS18963-5562STDY7801799,0.979,0.002,gamb_colu,coluzzii
VBS18964-5562STDY7801800,0.978,0.002,gamb_colu,coluzzii
VBS18965-5562STDY7801801,0.971,0.002,gamb_colu,coluzzii
VBS18966-5562STDY7801802,0.977,0.002,gamb_colu,coluzzii
VBS18968-5562STDY7801804,0.979,0.002,gamb_colu,coluzzii
VBS18969-5562STDY7801805,0.971,0.002,gamb_colu,coluzzii
VBS18970-5562STDY7801806,0.972,0.002,gamb_colu,coluzzii
VBS18971-5562STDY7801807,0.974,0.002,gamb_colu,coluzzii
VBS18972-5562STDY7801808,0.970,0.002,gamb_colu,coluzzii
VBS18973-5562STDY7801809,0.976,0.002,gamb_colu,coluzzii
VBS18974-5562STDY7801810,0.973,0.002,gamb_colu,coluzzii
VBS18975-5562STDY7801811,0.976,0.003,gamb_colu,coluzzii
VBS18976-5562STDY7801812,0.972,0.002,gamb_colu,coluzzii
VBS18977-5562STDY7801813,0.974,0.002,gamb_colu,coluzzii
VBS18978-5562STDY7801814,0.976,0.002,gamb_colu,coluzzii
