sample_id,partner_sample_id,contributor,country,location,year,month,latitude,longitude,sex_call
VBS19051-5563STDY7800136,WA-0001,Alexander Egyir-Yawson,Ghana,Madina,2017,11,5.683,-0.166,F
VBS19052-5563STDY7800137,WA-0002,Alexander Egyir-Yawson,Ghana,Madina,2017,11,5.683,-0.166,F
VBS19053-5563STDY7800138,WA-0003,Alexander Egyir-Yawson,Ghana,Madina,2017,11,5.683,-0.166,F
VBS19055-5563STDY7800140,WA-0005,Alexander Egyir-Yawson,Ghana,Madina,2017,11,5.683,-0.166,F
VBS19056-5563STDY7800141,WA-0006,Alexander Egyir-Yawson,Ghana,Madina,2017,11,5.683,-0.166,F
VBS19057-5563STDY7800142,WA-0007,Alexander Egyir-Yawson,Ghana,Madina,2017,11,5.683,-0.166,F
VBS19058-5563STDY7800143,WA-0008,Alexander Egyir-Yawson,Ghana,Madina,2017,11,5.683,-0.166,F
VBS19059-5563STDY7800144,WA-0009,Alexander Egyir-Yawson,Ghana,Madina,2017,11,5.683,-0.166,F
VBS19060-5563STDY7800145,WA-0010,Alexander Egyir-Yawson,Ghana,Madina,2017,11,5.683,-0.166,F
VBS19062-5563STDY7800147,WA-0012,Alexander Egyir-Yawson,Ghana,Madina,2017,11,5.683,-0.166,F
VBS19063-5563STDY7800148,WA-0013,Alexander Egyir-Yawson,Ghana,Madina,2017,11,5.683,-0.166,F
VBS19064-5563STDY7800149,WA-0014,Alexander Egyir-Yawson,Ghana,Madina,2017,11,5.683,-0.166,F
VBS19065-5563STDY7800150,WA-0015,Alexander Egyir-Yawson,Ghana,Madina,2017,11,5.683,-0.166,F
VBS19066-5563STDY7800151,WA-0016,Alexander Egyir-Yawson,Ghana,Madina,2017,11,5.683,-0.166,F
VBS19067-5563STDY7800152,WA-0017,Alexander Egyir-Yawson,Ghana,Madina,2017,11,5.683,-0.166,F
VBS19068-5563STDY7800153,WA-0018,Alexander Egyir-Yawson,Ghana,Madina,2017,11,5.683,-0.166,F
VBS19070-5563STDY7800155,WA-0020,Alexander Egyir-Yawson,Ghana,Madina,2017,11,5.683,-0.166,F
VBS19071-5563STDY7800156,WA-0021,Alexander Egyir-Yawson,Ghana,Madina,2017,11,5.683,-0.166,F
VBS19074-5563STDY7800159,WA-0024,Alexander Egyir-Yawson,Ghana,Madina,2017,11,5.683,-0.166,F
VBS19075-5563STDY7800160,WA-0025,Alexander Egyir-Yawson,Ghana,Madina,2017,11,5.683,-0.166,F
VBS19076-5563STDY7800161,WA-0026,Alexander Egyir-Yawson,Ghana,Madina,2017,11,5.683,-0.166,F
VBS19078-5563STDY7800163,WA-0028,Alexander Egyir-Yawson,Ghana,Madina,2017,11,5.683,-0.166,F
VBS19079-5563STDY7800164,WA-0029,Alexander Egyir-Yawson,Ghana,Madina,2017,11,5.683,-0.166,F
VBS19081-5563STDY7800166,WA-0031,Alexander Egyir-Yawson,Ghana,Madina,2017,11,5.683,-0.166,F
VBS19084-5563STDY7800168,WA-0034,Alexander Egyir-Yawson,Ghana,Madina,2017,11,5.683,-0.166,F
VBS19086-5563STDY7800170,WA-0036,Alexander Egyir-Yawson,Ghana,Madina,2017,11,5.683,-0.166,F
VBS19087-5563STDY7800171,WA-0037,Alexander Egyir-Yawson,Ghana,Madina,2017,11,5.683,-0.166,F
VBS19088-5563STDY7800172,WA-0038,Alexander Egyir-Yawson,Ghana,Madina,2017,11,5.683,-0.166,F
VBS19091-5563STDY7800175,WA-0041,Alexander Egyir-Yawson,Ghana,Madina,2017,11,5.683,-0.166,F
