sample_id,aim_fraction_colu,aim_fraction_arab,species_gambcolu_arabiensis,species_gambiae_coluzzii
VBS19051-5563STDY7800136,0.034,0.002,gamb_colu,gambiae
VBS19052-5563STDY7800137,0.023,0.002,gamb_colu,gambiae
VBS19053-5563STDY7800138,0.022,0.002,gamb_colu,gambiae
VBS19055-5563STDY7800140,0.025,0.002,gamb_colu,gambiae
VBS19056-5563STDY7800141,0.028,0.002,gamb_colu,gambiae
VBS19057-5563STDY7800142,0.063,0.002,gamb_colu,gambiae
VBS19058-5563STDY7800143,0.020,0.002,gamb_colu,gambiae
VBS19059-5563STDY7800144,0.025,0.002,gamb_colu,gambiae
VBS19060-5563STDY7800145,0.031,0.002,gamb_colu,gambiae
VBS19062-5563STDY7800147,0.062,0.002,gamb_colu,gambiae
VBS19063-5563STDY7800148,0.037,0.002,gamb_colu,gambiae
VBS19064-5563STDY7800149,0.053,0.002,gamb_colu,gambiae
VBS19065-5563STDY7800150,0.074,0.002,gamb_colu,gambiae
VBS19066-5563STDY7800151,0.028,0.002,gamb_colu,gambiae
VBS19067-5563STDY7800152,0.050,0.002,gamb_colu,gambiae
VBS19068-5563STDY7800153,0.066,0.002,gamb_colu,gambiae
VBS19070-5563STDY7800155,0.029,0.002,gamb_colu,gambiae
VBS19071-5563STDY7800156,0.020,0.002,gamb_colu,gambiae
VBS19074-5563STDY7800159,0.031,0.002,gamb_colu,gambiae
VBS19075-5563STDY7800160,0.056,0.002,gamb_colu,gambiae
VBS19076-5563STDY7800161,0.029,0.002,gamb_colu,gambiae
VBS19078-5563STDY7800163,0.035,0.002,gamb_colu,gambiae
VBS19079-5563STDY7800164,0.025,0.002,gamb_colu,gambiae
VBS19081-5563STDY7800166,0.033,0.002,gamb_colu,gambiae
VBS19084-5563STDY7800168,0.029,0.002,gamb_colu,gambiae
VBS19086-5563STDY7800170,0.063,0.002,gamb_colu,gambiae
VBS19087-5563STDY7800171,0.033,0.002,gamb_colu,gambiae
VBS19088-5563STDY7800172,0.053,0.002,gamb_colu,gambiae
VBS19091-5563STDY7800175,0.030,0.002,gamb_colu,gambiae
VBS19093-5563STDY7800177,0.033,0.002,gamb_colu,gambiae
VBS19094-5563STDY7800178,0.025,0.002,gamb_colu,gambiae
VBS19096-5563STDY7800180,0.047,0.002,gamb_colu,gambiae
VBS19097-5563STDY7800181,0.032,0.003,gamb_colu,gambiae
VBS19098-5563STDY7800182,0.019,0.002,gamb_colu,gambiae
VBS19100-5563STDY7800184,0.058,0.002,gamb_colu,gambiae
VBS19101-5563STDY7800185,0.029,0.003,gamb_colu,gambiae
VBS19102-5563STDY7800186,0.026,0.003,gamb_colu,gambiae
VBS19103-5563STDY7800187,0.034,0.002,gamb_colu,gambiae
VBS19104-5563STDY7800188,0.028,0.002,gamb_colu,gambiae
VBS19105-5563STDY7800189,0.029,0.002,gamb_colu,gambiae
VBS19106-5563STDY7800190,0.043,0.002,gamb_colu,gambiae
VBS19107-5563STDY7800191,0.032,0.002,gamb_colu,gambiae
VBS19110-5563STDY7800194,0.026,0.002,gamb_colu,gambiae
