sample_id,partner_sample_id,contributor,country,location,year,month,latitude,longitude,sex_call
VBS20387-5567STDY7801192,WA-0728,Edi Constant,Cote d'Ivoire,Aboisso,2017,9,5.467,-3.200,F
VBS20388-5567STDY7801193,WA-0729,Edi Constant,Cote d'Ivoire,Aboisso,2017,9,5.467,-3.200,F
VBS20390-5567STDY7801194,WA-0731,Edi Constant,Cote d'Ivoire,Aboisso,2017,9,5.467,-3.200,F
VBS20391-5567STDY7801195,WA-0732,Edi Constant,Cote d'Ivoire,Aboisso,2017,9,5.467,-3.200,F
VBS20394-5567STDY7801197,WA-0735,Edi Constant,Cote d'Ivoire,Aboisso,2017,9,5.467,-3.200,F
VBS20396-5567STDY7801199,WA-0737,Edi Constant,Cote d'Ivoire,Aboisso,2017,9,5.467,-3.200,F
VBS20397-5567STDY7801200,WA-0738,Edi Constant,Cote d'Ivoire,Aboisso,2017,9,5.467,-3.200,F
VBS20398-5567STDY7801201,WA-0739,Edi Constant,Cote d'Ivoire,Aboisso,2017,9,5.467,-3.200,F
VBS20399-5567STDY7801202,WA-0740,Edi Constant,Cote d'Ivoire,Aboisso,2017,9,5.467,-3.200,F
VBS20400-5567STDY7801203,WA-0741,Edi Constant,Cote d'Ivoire,Aboisso,2017,9,5.467,-3.200,F
VBS20401-5567STDY7801204,WA-0742,Edi Constant,Cote d'Ivoire,Aboisso,2017,9,5.467,-3.200,F
VBS20402-5567STDY7801205,WA-0743,Edi Constant,Cote d'Ivoire,Aboisso,2017,9,5.467,-3.200,F
VBS20403-5567STDY7801206,WA-0744,Edi Constant,Cote d'Ivoire,Aboisso,2017,9,5.467,-3.200,F
VBS20404-5567STDY7801207,WA-0745,Edi Constant,Cote d'Ivoire,Aboisso,2017,9,5.467,-3.200,F
VBS20405-5567STDY7801208,WA-0746,Edi Constant,Cote d'Ivoire,Aboisso,2017,9,5.467,-3.200,F
VBS20406-5567STDY7801209,WA-0747,Edi Constant,Cote d'Ivoire,Aboisso,2017,9,5.467,-3.200,F
VBS20407-5567STDY7801210,WA-0748,Edi Constant,Cote d'Ivoire,Aboisso,2017,9,5.467,-3.200,F
VBS20410-5567STDY7801213,WA-0751,Edi Constant,Cote d'Ivoire,Aboisso,2017,9,5.467,-3.200,F
VBS20412-5567STDY7801214,WA-0753,Edi Constant,Cote d'Ivoire,Aboisso,2017,9,5.467,-3.200,F
VBS20413-5567STDY7801215,WA-0754,Edi Constant,Cote d'Ivoire,Aboisso,2017,9,5.467,-3.200,F
VBS20414-5567STDY7801216,WA-0755,Edi Constant,Cote d'Ivoire,Aboisso,2017,9,5.467,-3.200,F
VBS20415-5567STDY7801217,WA-0756,Edi Constant,Cote d'Ivoire,Aboisso,2017,9,5.467,-3.200,F
VBS20416-5567STDY7801218,WA-0757,Edi Constant,Cote d'Ivoire,Aboisso,2017,9,5.467,-3.200,F
VBS20417-5567STDY7801219,WA-0758,Edi Constant,Cote d'Ivoire,Aboisso,2017,9,5.467,-3.200,F
VBS20418-5567STDY7801220,WA-0759,Edi Constant,Cote d'Ivoire,Aboisso,2017,9,5.467,-3.200,F
VBS20419-5567STDY7801221,WA-0760,Edi Constant,Cote d'Ivoire,Aboisso,2017,9,5.467,-3.200,F
VBS20420-5567STDY7801222,WA-0761,Edi Constant,Cote d'Ivoire,Aboisso,2017,9,5.467,-3.200,F
VBS20421-5567STDY7801223,WA-0762,Edi Constant,Cote d'Ivoire,Aboisso,2017,9,5.467,-3.200,F
VBS20422-5567STDY7801224,WA-0763,Edi Constant,Cote d'Ivoire,Aboisso,2017,9,5.467,-3.200,F
VBS20425-5567STDY7801227,WA-0766,Edi Constant,Cote d'Ivoire,Aboisso,2017,9,5.467,-3.200,F
VBS20426-5567STDY7801228,WA-0767,Edi Constant,Cote d'Ivoire,Aboisso,2017,9,5.467,-3.200,F
VBS20428-5567STDY7801230,WA-0769,Edi Constant,Cote d'Ivoire,Aboisso,2017,9,5.467,-3.200,F
VBS20429-5567STDY7801231,WA-0770,Edi Constant,Cote d'Ivoire,Aboisso,2017,9,5.467,-3.200,F
VBS20430-5567STDY7801232,WA-0771,Edi Constant,Cote d'Ivoire,Aboisso,2017,9,5.467,-3.200,F
VBS20433-5567STDY7801235,WA-0774,Edi Constant,Cote d'Ivoire,Aboisso,2017,9,5.467,-3.200,F
VBS20436-5567STDY7801237,WA-0777,Edi Constant,Cote d'Ivoire,Aboisso,2017,9,5.467,-3.200,F
VBS20437-5567STDY7801238,WA-0778,Edi Constant,Cote d'Ivoire,Aboisso,2017,9,5.467,-3.200,F
VBS20438-5567STDY7801239,WA-0779,Edi Constant,Cote d'Ivoire,Aboisso,2017,9,5.467,-3.200,F
