sample_id,partner_sample_id,contributor,country,location,year,month,latitude,longitude,sex_call
VBS20016-5568STDY7801288,WA-0325,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20017-5568STDY7801289,WA-0326,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20018-5568STDY7801290,WA-0327,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20019-5568STDY7801291,WA-0328,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20020-5568STDY7801292,WA-0329,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20021-5568STDY7801293,WA-0330,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20022-5568STDY7801294,WA-0331,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20023-5568STDY7801295,WA-0332,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20024-5568STDY7801296,WA-0333,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20025-5568STDY7801297,WA-0334,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20026-5568STDY7801298,WA-0335,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20027-5568STDY7801299,WA-0336,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20028-5568STDY7801300,WA-0337,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20029-5568STDY7801301,WA-0338,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20030-5568STDY7801302,WA-0339,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20031-5568STDY7801303,WA-0340,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20032-5568STDY7801304,WA-0341,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20033-5568STDY7801305,WA-0342,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20034-5568STDY7801306,WA-0343,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
VBS20035-5568STDY7801307,WA-0344,Luc Djogbenou,Togo,Baguida,2017,10,6.161,1.314,F
