sample_id,aim_fraction_colu,aim_fraction_arab,species_gambcolu_arabiensis,species_gambiae_coluzzii
VBS20016-5568STDY7801288,0.069,0.002,gamb_colu,gambiae
VBS20017-5568STDY7801289,0.042,0.002,gamb_colu,gambiae
VBS20018-5568STDY7801290,0.032,0.002,gamb_colu,gambiae
VBS20019-5568STDY7801291,0.037,0.002,gamb_colu,gambiae
VBS20020-5568STDY7801292,0.071,0.002,gamb_colu,gambiae
VBS20021-5568STDY7801293,0.048,0.002,gamb_colu,gambiae
VBS20022-5568STDY7801294,0.032,0.003,gamb_colu,gambiae
VBS20023-5568STDY7801295,0.025,0.002,gamb_colu,gambiae
VBS20024-5568STDY7801296,0.026,0.003,gamb_colu,gambiae
VBS20025-5568STDY7801297,0.033,0.002,gamb_colu,gambiae
VBS20026-5568STDY7801298,0.044,0.002,gamb_colu,gambiae
VBS20027-5568STDY7801299,0.045,0.002,gamb_colu,gambiae
VBS20028-5568STDY7801300,0.044,0.003,gamb_colu,gambiae
VBS20029-5568STDY7801301,0.031,0.002,gamb_colu,gambiae
VBS20030-5568STDY7801302,0.029,0.002,gamb_colu,gambiae
VBS20031-5568STDY7801303,0.034,0.002,gamb_colu,gambiae
VBS20032-5568STDY7801304,0.031,0.002,gamb_colu,gambiae
VBS20033-5568STDY7801305,0.040,0.002,gamb_colu,gambiae
VBS20034-5568STDY7801306,0.024,0.002,gamb_colu,gambiae
VBS20035-5568STDY7801307,0.044,0.002,gamb_colu,gambiae
VBS20036-5568STDY7801308,0.033,0.002,gamb_colu,gambiae
VBS20037-5568STDY7801309,0.023,0.002,gamb_colu,gambiae
VBS20038-5568STDY7801310,0.020,0.002,gamb_colu,gambiae
VBS20039-5568STDY7801311,0.020,0.002,gamb_colu,gambiae
VBS20040-5568STDY7801312,0.021,0.002,gamb_colu,gambiae
VBS20041-5568STDY7801313,0.032,0.002,gamb_colu,gambiae
VBS20042-5568STDY7801314,0.034,0.002,gamb_colu,gambiae
VBS20043-5568STDY7801315,0.023,0.002,gamb_colu,gambiae
VBS20044-5568STDY7801316,0.034,0.002,gamb_colu,gambiae
VBS20045-5568STDY7801317,0.024,0.002,gamb_colu,gambiae
VBS20046-5568STDY7801318,0.030,0.003,gamb_colu,gambiae
VBS20047-5568STDY7801319,0.031,0.002,gamb_colu,gambiae
VBS20048-5568STDY7801320,0.068,0.002,gamb_colu,gambiae
VBS20049-5568STDY7801321,0.032,0.002,gamb_colu,gambiae
VBS20052-5568STDY7801322,0.037,0.002,gamb_colu,gambiae
VBS20053-5568STDY7801323,0.050,0.002,gamb_colu,gambiae
VBS20054-5568STDY7801324,0.029,0.002,gamb_colu,gambiae
VBS20055-5568STDY7801325,0.036,0.002,gamb_colu,gambiae
VBS20056-5568STDY7801326,0.044,0.002,gamb_colu,gambiae
VBS20057-5568STDY7801327,0.031,0.002,gamb_colu,gambiae
VBS20058-5568STDY7801328,0.025,0.002,gamb_colu,gambiae
VBS20059-5568STDY7801329,0.032,0.002,gamb_colu,gambiae
VBS20060-5568STDY7801330,0.033,0.002,gamb_colu,gambiae
VBS20061-5568STDY7801331,0.039,0.002,gamb_colu,gambiae
VBS20062-5568STDY7801332,0.024,0.002,gamb_colu,gambiae
VBS20063-5568STDY7801333,0.047,0.002,gamb_colu,gambiae
VBS20065-5568STDY7801335,0.025,0.003,gamb_colu,gambiae
VBS20066-5568STDY7801336,0.026,0.002,gamb_colu,gambiae
VBS20067-5568STDY7801337,0.028,0.003,gamb_colu,gambiae
VBS20068-5568STDY7801338,0.044,0.002,gamb_colu,gambiae
VBS20069-5568STDY7801339,0.045,0.002,gamb_colu,gambiae
VBS20070-5568STDY7801340,0.035,0.003,gamb_colu,gambiae
VBS20072-5568STDY7801342,0.047,0.002,gamb_colu,gambiae
VBS20074-5568STDY7801344,0.033,0.002,gamb_colu,gambiae
VBS20075-5568STDY7801345,0.032,0.002,gamb_colu,gambiae
VBS20077-5568STDY7801346,0.039,0.003,gamb_colu,gambiae
VBS20078-5568STDY7801347,0.037,0.002,gamb_colu,gambiae
VBS20080-5568STDY7801349,0.033,0.002,gamb_colu,gambiae
VBS20081-5568STDY7801350,0.025,0.002,gamb_colu,gambiae
VBS20082-5568STDY7801351,0.032,0.002,gamb_colu,gambiae
VBS20083-5568STDY7801352,0.029,0.002,gamb_colu,gambiae
VBS20084-5568STDY7801353,0.031,0.002,gamb_colu,gambiae
VBS20085-5568STDY7801354,0.038,0.002,gamb_colu,gambiae
VBS20086-5568STDY7801355,0.019,0.003,gamb_colu,gambiae
VBS20087-5568STDY7801356,0.014,0.003,gamb_colu,gambiae
VBS20088-5568STDY7801357,0.029,0.002,gamb_colu,gambiae
VBS20089-5568STDY7801358,0.037,0.002,gamb_colu,gambiae
VBS20090-5568STDY7801359,0.048,0.002,gamb_colu,gambiae
VBS20091-5568STDY7801360,0.080,0.002,gamb_colu,gambiae
VBS20092-5568STDY7801361,0.016,0.002,gamb_colu,gambiae
VBS20093-5568STDY7801362,0.019,0.002,gamb_colu,gambiae
VBS20094-5568STDY7801363,0.036,0.002,gamb_colu,gambiae
VBS20095-5568STDY7801364,0.022,0.002,gamb_colu,gambiae
VBS20096-5568STDY7801365,0.038,0.002,gamb_colu,gambiae
VBS20097-5568STDY7801366,0.034,0.002,gamb_colu,gambiae
VBS20098-5568STDY7801367,0.017,0.002,gamb_colu,gambiae
VBS20099-5568STDY7801368,0.016,0.002,gamb_colu,gambiae
VBS20100-5568STDY7801369,0.026,0.003,gamb_colu,gambiae
VBS20101-5568STDY7801370,0.024,0.003,gamb_colu,gambiae
VBS20102-5568STDY7801371,0.037,0.002,gamb_colu,gambiae
VBS20103-5568STDY7801372,0.033,0.002,gamb_colu,gambiae
VBS20104-5568STDY7801373,0.025,0.002,gamb_colu,gambiae
