gene	Avrankou_coluzzii_Delta	Baguida_gambiae_Delta	Baguida_gambiae_PM	Korle-Bu_coluzzii_Delta	Korle-Bu_coluzzii_PM	Madina_gambiae_Delta	Madina_gambiae_PM	Obuasi_gambiae_Delta	Obuasi_gambiae_PM
AGAP000472	""	""	""	""	""	""	""	""	GWAS
AGAP000473	""	""	""	""	""	""	""	""	GWAS
AGAP000474	""	""	""	""	""	""	""	""	GWAS
AGAP001355	""	PBS	""	""	Fst;;PBS	""	Fst;H12;PBS	""	GWAS
AGAP001356	""	""	""	""	""	""	""	""	GWAS
AGAP001357	""	H12	""	""	Fst;H12;PBS	""	Fst;H12;PBS	""	GWAS;Fst;H12
AGAP001358	""	H12	""	""	Fst;H12;PBS	""	Fst;H12;PBS	""	GWAS;;H12
AGAP001360	""	H12	""	""	Fst;H12;PBS	""	PBS	""	GWAS
AGAP002793	""	""	""	""	""	""	""	""	GWAS
AGAP002795	""	""	""	""	""	""	""	""	GWAS
AGAP002796	""	""	""	""	""	""	""	""	GWAS
AGAP002797	""	""	""	""	""	""	""	""	GWAS
AGAP002799	""	""	""	""	""	""	""	""	GWAS
AGAP002800	""	""	""	""	""	""	""	""	GWAS
AGAP002801	""	""	""	""	""	""	""	""	GWAS
AGAP002802	""	""	""	""	""	""	""	""	GWAS
AGAP003198	""	""	""	""	""	""	""	""	GWAS
AGAP003199	""	""	""	""	""	""	""	""	GWAS
AGAP003205	""	""	""	""	""	""	""	""	GWAS
AGAP003206	""	""	""	""	""	""	""	""	GWAS
AGAP003207	""	""	""	""	""	""	""	""	GWAS
AGAP003208	""	""	""	""	""	""	""	""	GWAS
AGAP003209	""	""	""	""	""	""	""	""	GWAS
AGAP006325	""	""	""	""	GWAS	""	""	""	""
AGAP006328	""	""	""	""	GWAS	""	""	""	""
AGAP006719	""	""	""	""	""	""	""	""	GWAS
AGAP006720	""	""	""	""	""	""	""	""	GWAS
AGAP006721	""	""	""	""	""	""	""	""	GWAS
AGAP006722	""	""	""	""	""	""	""	""	GWAS
AGAP006723	""	""	""	""	""	""	""	""	GWAS
AGAP010815	""	""	""	""	""	""	""	""	GWAS
AGAP011444	""	""	""	""	""	""	""	""	GWAS
AGAP011445	""	""	""	""	""	""	""	""	GWAS
AGAP011446	""	""	""	""	""	""	""	""	GWAS
AGAP011447	""	""	""	""	""	""	""	""	GWAS
AGAP011448	""	""	""	""	""	""	""	""	GWAS
AGAP011449	""	""	""	""	""	""	""	""	GWAS
AGAP011452	""	""	""	""	""	""	""	""	GWAS
AGAP011453	""	""	""	""	""	""	""	""	GWAS
AGAP011638	""	""	""	""	""	""	""	""	GWAS
AGAP011640	""	""	""	""	""	""	""	""	GWAS
AGAP011641	""	""	""	""	""	""	""	""	GWAS
AGAP011642	""	""	""	""	""	""	""	""	GWAS
AGAP011643	""	""	""	""	""	""	""	""	GWAS
AGAP011644	""	""	""	""	""	""	""	""	GWAS
AGAP012981	""	""	""	""	""	""	""	""	GWAS
AGAP013210	""	""	""	""	""	""	""	""	GWAS
AGAP028752	""	""	""	""	""	""	""	""	GWAS
AGAP028753	""	""	""	""	""	""	""	""	GWAS
AGAP029149	""	""	""	""	""	""	""	""	GWAS
AGAP029255	""	""	""	""	""	""	""	""	GWAS
AGAP029300	""	""	""	""	""	""	""	""	GWAS
AGAP029379	""	""	""	""	""	""	""	""	GWAS
AGAP029536	""	""	""	""	""	""	""	""	GWAS
AGAP029564	""	""	""	""	""	""	""	""	GWAS
AGAP029619	""	""	""	""	""	""	""	""	GWAS
AGAP029627	""	""	""	""	""	""	""	""	GWAS
AGAP000495	Fst	""	""	""	""	""	""	""	""
AGAP000496	Fst	""	""	""	""	""	""	""	""
AGAP000497	Fst	""	""	""	""	""	""	""	""
AGAP000498	Fst	""	""	""	""	""	""	""	""
AGAP000499	Fst	""	""	""	""	""	""	""	""
AGAP000834	""	""	Fst	""	""	""	""	""	""
AGAP000835	""	""	Fst	""	""	""	""	""	""
AGAP000847	""	""	""	Fst;H12;PBS	H12	""	""	""	""
AGAP000848	""	""	""	Fst;;PBS	""	""	""	""	""
AGAP000849	""	""	""	Fst;;PBS	""	""	""	""	""
AGAP000850	""	""	""	Fst;;PBS	""	""	""	""	""
AGAP000851	""	""	""	Fst;;PBS	""	""	""	""	""
AGAP000852	""	""	""	Fst;;PBS	""	""	""	""	""
AGAP000853	""	""	""	Fst	""	""	""	""	""
AGAP000854	""	""	""	Fst	""	""	""	""	""
AGAP001330	""	""	""	""	Fst;H12;PBS	""	Fst;H12;PBS	H12	""
AGAP001331	""	""	""	""	Fst;;PBS	""	PBS	""	""
AGAP001332	""	""	""	""	Fst;;PBS	""	Fst;;PBS	""	""
AGAP001334	""	""	""	""	Fst;;PBS	""	Fst;H12;PBS	""	""
AGAP001335	""	""	""	""	Fst;H12;PBS	""	Fst;H12;PBS	""	""
AGAP001336	""	""	""	""	Fst;H12;PBS	""	Fst;H12;PBS	""	""
AGAP001337	""	""	""	""	Fst;H12;PBS	""	Fst;H12;PBS	""	""
AGAP001338	""	""	""	""	Fst;H12;PBS	""	Fst;H12;PBS	""	""
AGAP001339	""	""	""	""	Fst;H12;PBS	""	Fst;H12;PBS	""	""
AGAP001340	""	""	""	""	Fst;H12;PBS	""	Fst;H12;PBS	""	""
AGAP001341	""	""	""	""	Fst;H12;PBS	""	Fst;H12;PBS	""	""
AGAP001342	""	""	""	""	Fst;H12;PBS	""	Fst;H12;PBS	""	""
AGAP001343	""	""	""	""	Fst;H12;PBS	""	Fst;H12;PBS	""	""
AGAP001344	""	""	""	""	Fst;H12;PBS	""	Fst;H12;PBS	""	""
