gene	GWAS	Fst	H12	PBS
A5r3 (AGAP003354)	FALSE	FALSE	FALSE	TRUE
AGAP000495	FALSE	TRUE	FALSE	FALSE
AGAP000496	FALSE	TRUE	FALSE	FALSE
AGAP000497	FALSE	TRUE	FALSE	FALSE
AGAP000498	FALSE	TRUE	FALSE	FALSE
AGAP000499	FALSE	TRUE	FALSE	FALSE
AGAP003574	FALSE	FALSE	FALSE	TRUE
AGAP004405	FALSE	FALSE	TRUE	FALSE
AGAP004407	FALSE	FALSE	TRUE	FALSE
AGAP004408	FALSE	FALSE	TRUE	FALSE
AGAP004409	FALSE	FALSE	TRUE	FALSE
AGAP004410	FALSE	FALSE	TRUE	FALSE
AGAP004577	FALSE	FALSE	FALSE	TRUE
AGAP004580	FALSE	FALSE	FALSE	TRUE
AGAP004581	FALSE	FALSE	FALSE	TRUE
AGAP004582	FALSE	FALSE	FALSE	TRUE
AGAP004583	FALSE	FALSE	FALSE	TRUE
AGAP004584	FALSE	FALSE	FALSE	TRUE
AGAP004585	FALSE	FALSE	FALSE	TRUE
AGAP004795	FALSE	FALSE	TRUE	FALSE
AGAP004797	FALSE	FALSE	TRUE	FALSE
AGAP004798	FALSE	FALSE	TRUE	FALSE
AGAP009744	TRUE	FALSE	FALSE	TRUE
AGAP009796	FALSE	FALSE	FALSE	TRUE
AGAP009959	FALSE	FALSE	TRUE	FALSE
AGAP009960	FALSE	FALSE	TRUE	FALSE
AGAP009964	FALSE	FALSE	TRUE	FALSE
AGAP009965	FALSE	FALSE	TRUE	FALSE
AGAP010057	FALSE	FALSE	TRUE	FALSE
AGAP010058	FALSE	FALSE	TRUE	FALSE
AGAP010059	FALSE	FALSE	TRUE	FALSE
AGAP010060	FALSE	FALSE	TRUE	FALSE
AGAP010061	FALSE	FALSE	TRUE	FALSE
AGAP011063	TRUE	FALSE	FALSE	FALSE
AGAP013017	FALSE	FALSE	TRUE	FALSE
AGAP013192	FALSE	FALSE	FALSE	TRUE
AGAP013217	FALSE	FALSE	FALSE	TRUE
AGAP013262	FALSE	TRUE	FALSE	FALSE
AGAP029284	TRUE	FALSE	FALSE	FALSE
Cdk2 (AGAP004579)	FALSE	FALSE	FALSE	TRUE
Osi2 (AGAP004125)	FALSE	FALSE	FALSE	TRUE
Osi24 (AGAP004124)	FALSE	FALSE	FALSE	TRUE
Osi3 (AGAP004126)	FALSE	FALSE	FALSE	TRUE
Osi4 (AGAP004127)	FALSE	FALSE	FALSE	TRUE
