gene	GWAS	Fst	H12	PBS
AGAP001328	FALSE	FALSE	TRUE	FALSE
AGAP001349	FALSE	FALSE	FALSE	TRUE
AGAP001350	FALSE	FALSE	FALSE	TRUE
AGAP001351	FALSE	FALSE	FALSE	TRUE
AGAP001352	FALSE	FALSE	FALSE	TRUE
AGAP001353	FALSE	FALSE	FALSE	TRUE
AGAP001354	FALSE	FALSE	FALSE	TRUE
AGAP001355	FALSE	FALSE	FALSE	TRUE
AGAP001357	FALSE	FALSE	TRUE	FALSE
AGAP001358	FALSE	FALSE	TRUE	FALSE
AGAP001360	FALSE	FALSE	TRUE	FALSE
AGAP001660	TRUE	FALSE	FALSE	FALSE
AGAP001661	TRUE	FALSE	FALSE	FALSE
AGAP001662	TRUE	FALSE	FALSE	FALSE
AGAP001664	TRUE	FALSE	FALSE	FALSE
AGAP001665	TRUE	FALSE	FALSE	FALSE
AGAP001666	TRUE	FALSE	FALSE	FALSE
AGAP001667	TRUE	FALSE	FALSE	FALSE
AGAP001668	TRUE	FALSE	FALSE	FALSE
AGAP001669	TRUE	FALSE	FALSE	FALSE
AGAP001670	TRUE	FALSE	FALSE	FALSE
AGAP001671	TRUE	FALSE	FALSE	FALSE
AGAP001672	TRUE	FALSE	FALSE	FALSE
AGAP001674	TRUE	FALSE	FALSE	FALSE
AGAP001683	TRUE	FALSE	FALSE	FALSE
AGAP002310	TRUE	FALSE	FALSE	FALSE
AGAP002312	TRUE	FALSE	FALSE	FALSE
AGAP002313	TRUE	FALSE	FALSE	FALSE
AGAP002314	TRUE	FALSE	FALSE	FALSE
AGAP002315	TRUE	FALSE	FALSE	FALSE
AGAP002316	TRUE	FALSE	FALSE	FALSE
AGAP002325	TRUE	FALSE	FALSE	FALSE
AGAP002326	TRUE	FALSE	FALSE	FALSE
AGAP002627	TRUE	FALSE	FALSE	FALSE
AGAP002628	TRUE	FALSE	FALSE	FALSE
AGAP002629	TRUE	FALSE	FALSE	FALSE
AGAP003164	TRUE	FALSE	FALSE	FALSE
AGAP003165	TRUE	FALSE	FALSE	FALSE
AGAP003166	TRUE	FALSE	FALSE	FALSE
AGAP003167	TRUE	FALSE	FALSE	FALSE
AGAP003174	TRUE	FALSE	FALSE	FALSE
AGAP003175	TRUE	FALSE	FALSE	FALSE
AGAP003176	TRUE	FALSE	FALSE	FALSE
AGAP003177	TRUE	FALSE	FALSE	FALSE
AGAP003178	TRUE	FALSE	FALSE	FALSE
AGAP003179	TRUE	FALSE	FALSE	FALSE
AGAP003180	TRUE	FALSE	FALSE	FALSE
AGAP003181	TRUE	FALSE	FALSE	FALSE
AGAP003182	TRUE	FALSE	FALSE	FALSE
AGAP003183	TRUE	FALSE	FALSE	FALSE
AGAP003184	TRUE	FALSE	FALSE	FALSE
AGAP003185	TRUE	FALSE	FALSE	FALSE
AGAP003211	TRUE	FALSE	FALSE	FALSE
AGAP003212	TRUE	FALSE	FALSE	FALSE
AGAP003220	TRUE	FALSE	FALSE	FALSE
AGAP003221	TRUE	FALSE	FALSE	FALSE
AGAP003224	TRUE	FALSE	FALSE	FALSE
AGAP003225	TRUE	FALSE	FALSE	FALSE
AGAP003226	TRUE	FALSE	FALSE	FALSE
AGAP003227	TRUE	FALSE	FALSE	FALSE
AGAP003228	TRUE	FALSE	FALSE	FALSE
AGAP003229	TRUE	FALSE	FALSE	FALSE
AGAP003232	TRUE	FALSE	FALSE	FALSE
AGAP003233	TRUE	FALSE	FALSE	FALSE
AGAP003235	TRUE	FALSE	FALSE	FALSE
AGAP004265	FALSE	FALSE	FALSE	TRUE
AGAP004266	FALSE	FALSE	FALSE	TRUE
AGAP004267	FALSE	FALSE	FALSE	TRUE
AGAP004268	FALSE	FALSE	FALSE	TRUE
AGAP004269	FALSE	FALSE	FALSE	TRUE
AGAP004270	FALSE	FALSE	FALSE	TRUE
AGAP004271	FALSE	FALSE	FALSE	TRUE
AGAP005737	FALSE	FALSE	TRUE	FALSE
AGAP005738	FALSE	FALSE	TRUE	FALSE
AGAP005739	FALSE	FALSE	TRUE	FALSE
AGAP007627	TRUE	FALSE	FALSE	FALSE
AGAP007628	TRUE	FALSE	FALSE	FALSE
AGAP007629	TRUE	FALSE	FALSE	FALSE
AGAP007630	TRUE	FALSE	FALSE	FALSE
AGAP007631	TRUE	FALSE	FALSE	FALSE
AGAP007632	TRUE	FALSE	FALSE	FALSE
AGAP007633	TRUE	FALSE	FALSE	FALSE
AGAP007634	TRUE	FALSE	FALSE	FALSE
AGAP007635	TRUE	FALSE	FALSE	FALSE
AGAP007636	TRUE	FALSE	FALSE	FALSE
AGAP007637	TRUE	FALSE	FALSE	FALSE
AGAP007638	TRUE	FALSE	FALSE	FALSE
AGAP007639	TRUE	FALSE	FALSE	FALSE
AGAP007640	TRUE	FALSE	FALSE	FALSE
AGAP007641	TRUE	FALSE	FALSE	FALSE
AGAP007642	TRUE	FALSE	FALSE	FALSE
AGAP007643	TRUE	FALSE	FALSE	FALSE
AGAP008363	TRUE	FALSE	FALSE	FALSE
AGAP008364	TRUE	FALSE	FALSE	FALSE
AGAP008366	TRUE	FALSE	FALSE	FALSE
AGAP008368	TRUE	FALSE	FALSE	FALSE
AGAP008369	TRUE	FALSE	FALSE	FALSE
AGAP008370	TRUE	FALSE	FALSE	FALSE
AGAP008371	TRUE	FALSE	FALSE	FALSE
AGAP008372	TRUE	FALSE	FALSE	FALSE
AGAP008373	TRUE	FALSE	FALSE	FALSE
AGAP008379	TRUE	FALSE	FALSE	FALSE
AGAP008380	TRUE	FALSE	FALSE	FALSE
AGAP010184	FALSE	FALSE	FALSE	TRUE
AGAP010782	TRUE	FALSE	FALSE	FALSE
AGAP010783	TRUE	FALSE	FALSE	FALSE
AGAP010784	TRUE	FALSE	FALSE	FALSE
AGAP013139	FALSE	FALSE	FALSE	TRUE
AGAP013292	TRUE	FALSE	FALSE	FALSE
AGAP013304	TRUE	FALSE	FALSE	FALSE
AGAP028405	TRUE	FALSE	FALSE	FALSE
AGAP029060	TRUE	FALSE	FALSE	FALSE
AGAP029356	TRUE	FALSE	FALSE	FALSE
AGAP029810	TRUE	FALSE	FALSE	FALSE
