gene	GWAS	Fst	H12	PBS
AGAP001328	FALSE	FALSE	TRUE	FALSE
AGAP001349	FALSE	FALSE	FALSE	TRUE
AGAP001350	FALSE	FALSE	FALSE	TRUE
AGAP001351	FALSE	FALSE	FALSE	TRUE
AGAP001352	FALSE	FALSE	FALSE	TRUE
AGAP001353	FALSE	FALSE	FALSE	TRUE
AGAP001354	FALSE	FALSE	FALSE	TRUE
AGAP001355	FALSE	FALSE	FALSE	TRUE
AGAP001357	FALSE	FALSE	TRUE	FALSE
AGAP001358	FALSE	FALSE	TRUE	FALSE
AGAP001360	FALSE	FALSE	TRUE	FALSE
AGAP004265	FALSE	FALSE	FALSE	TRUE
AGAP004266	FALSE	FALSE	FALSE	TRUE
AGAP004267	FALSE	FALSE	FALSE	TRUE
AGAP004268	FALSE	FALSE	FALSE	TRUE
AGAP004269	FALSE	FALSE	FALSE	TRUE
AGAP004270	FALSE	FALSE	FALSE	TRUE
AGAP004271	FALSE	FALSE	FALSE	TRUE
AGAP005737	FALSE	FALSE	TRUE	FALSE
AGAP005738	FALSE	FALSE	TRUE	FALSE
AGAP005739	FALSE	FALSE	TRUE	FALSE
AGAP010184	FALSE	FALSE	FALSE	TRUE
AGAP013139	FALSE	FALSE	FALSE	TRUE
Ace1 (AGAP001356)	FALSE	FALSE	TRUE	FALSE
Gprbos (AGAP004272)	FALSE	FALSE	FALSE	TRUE
