gene	GWAS	Fst	H12	PBS
AGAP000237	FALSE	FALSE	FALSE	TRUE
AGAP000238	FALSE	FALSE	FALSE	TRUE
AGAP000834	FALSE	TRUE	FALSE	FALSE
AGAP000835	FALSE	TRUE	FALSE	FALSE
AGAP002875	FALSE	FALSE	TRUE	FALSE
AGAP002876	FALSE	FALSE	TRUE	FALSE
AGAP002877	FALSE	FALSE	TRUE	FALSE
AGAP002878	FALSE	FALSE	TRUE	FALSE
AGAP002879	FALSE	FALSE	TRUE	FALSE
AGAP002880	FALSE	FALSE	TRUE	FALSE
AGAP004768	FALSE	FALSE	TRUE	FALSE
AGAP004769	FALSE	FALSE	TRUE	FALSE
AGAP004775	FALSE	FALSE	TRUE	FALSE
AGAP004780	FALSE	FALSE	TRUE	FALSE
AGAP004781	FALSE	FALSE	TRUE	FALSE
AGAP004782	FALSE	FALSE	TRUE	FALSE
AGAP004783	FALSE	FALSE	TRUE	FALSE
AGAP004784	FALSE	FALSE	TRUE	FALSE
AGAP004785	FALSE	FALSE	TRUE	FALSE
AGAP004786	FALSE	FALSE	TRUE	FALSE
AGAP004787	FALSE	FALSE	TRUE	FALSE
AGAP004788	FALSE	FALSE	TRUE	FALSE
AGAP004789	FALSE	FALSE	TRUE	FALSE
AGAP004790	FALSE	FALSE	TRUE	FALSE
AGAP004791	FALSE	FALSE	TRUE	FALSE
AGAP004792	FALSE	FALSE	TRUE	FALSE
AGAP004793	FALSE	FALSE	TRUE	FALSE
AGAP004794	FALSE	FALSE	TRUE	FALSE
AGAP005715	FALSE	FALSE	TRUE	FALSE
AGAP013244	FALSE	FALSE	TRUE	FALSE
AGAP013506	FALSE	TRUE	FALSE	FALSE
AGAP028655	FALSE	TRUE	FALSE	FALSE
Gprnpr1 (AGAP002881)	FALSE	FALSE	TRUE	FALSE
