gene	GWAS	Fst	H12	PBS
AGAP000847	FALSE	TRUE	TRUE	TRUE
AGAP000848	FALSE	TRUE	FALSE	TRUE
AGAP000849	FALSE	TRUE	FALSE	TRUE
AGAP000850	FALSE	TRUE	FALSE	TRUE
AGAP000851	FALSE	TRUE	FALSE	TRUE
AGAP000852	FALSE	TRUE	FALSE	TRUE
AGAP000853	FALSE	TRUE	FALSE	FALSE
AGAP000854	FALSE	TRUE	FALSE	FALSE
AGAP000855	FALSE	FALSE	FALSE	TRUE
AGAP000856	FALSE	FALSE	FALSE	TRUE
AGAP000858	FALSE	FALSE	FALSE	TRUE
AGAP000859	FALSE	FALSE	FALSE	TRUE
AGAP000860	FALSE	FALSE	FALSE	TRUE
AGAP002628	FALSE	FALSE	FALSE	TRUE
AGAP002641	FALSE	FALSE	FALSE	TRUE
AGAP002642	FALSE	FALSE	FALSE	TRUE
AGAP002872	FALSE	FALSE	TRUE	FALSE
AGAP002874	FALSE	FALSE	TRUE	FALSE
AGAP003632	FALSE	FALSE	FALSE	TRUE
AGAP003633	FALSE	FALSE	FALSE	TRUE
AGAP004287	FALSE	FALSE	TRUE	FALSE
AGAP004644	FALSE	FALSE	FALSE	TRUE
AGAP004645	FALSE	FALSE	FALSE	TRUE
AGAP004646	FALSE	FALSE	FALSE	TRUE
AGAP004648	FALSE	FALSE	FALSE	TRUE
AGAP008009	FALSE	FALSE	TRUE	FALSE
AGAP012991	FALSE	FALSE	FALSE	TRUE
AGAP013063	FALSE	FALSE	FALSE	TRUE
AGAP013086	FALSE	FALSE	FALSE	TRUE
AGAP013097	FALSE	FALSE	FALSE	TRUE
AGAP013110	FALSE	FALSE	FALSE	TRUE
AGAP013225	FALSE	FALSE	FALSE	TRUE
AGAP013247	FALSE	FALSE	FALSE	TRUE
AGAP013316	FALSE	FALSE	FALSE	TRUE
AGAP013322	FALSE	FALSE	FALSE	TRUE
AGAP013353	FALSE	FALSE	FALSE	TRUE
AGAP013415	FALSE	FALSE	TRUE	FALSE
AGAP013453	FALSE	FALSE	FALSE	TRUE
AGAP013456	FALSE	FALSE	FALSE	TRUE
AGAP013484	FALSE	FALSE	FALSE	TRUE
AGAP013517	FALSE	FALSE	FALSE	TRUE
AGAP013522	FALSE	FALSE	FALSE	TRUE
AGAP028474	FALSE	FALSE	FALSE	TRUE
AGAP028475	FALSE	FALSE	FALSE	TRUE
AGAP028476	FALSE	FALSE	FALSE	TRUE
AGAP029190	FALSE	FALSE	TRUE	FALSE
Abch1 (AGAP002638)	FALSE	FALSE	FALSE	TRUE
Coe22933 (AGAP003568)	FALSE	TRUE	FALSE	FALSE
Gluriib (AGAP000801)	FALSE	TRUE	FALSE	FALSE
Gprgrp2 (AGAP003631)	FALSE	FALSE	FALSE	TRUE
Mrpl3 (AGAP000857)	FALSE	FALSE	FALSE	TRUE
Npf (AGAP004642)	FALSE	FALSE	FALSE	TRUE
Or38 (AGAP002640)	FALSE	FALSE	FALSE	TRUE
Or39 (AGAP002639)	FALSE	FALSE	FALSE	TRUE
Scrb6 (AGAP004643)	FALSE	FALSE	FALSE	TRUE
