gene	GWAS	Fst	H12	PBS
AGAP000847	FALSE	FALSE	TRUE	FALSE
AGAP001330	FALSE	TRUE	TRUE	TRUE
AGAP001331	FALSE	TRUE	FALSE	TRUE
AGAP001332	FALSE	TRUE	FALSE	TRUE
AGAP001334	FALSE	TRUE	FALSE	TRUE
AGAP001335	FALSE	TRUE	TRUE	TRUE
AGAP001336	FALSE	TRUE	TRUE	TRUE
AGAP001337	FALSE	TRUE	TRUE	TRUE
AGAP001338	FALSE	TRUE	TRUE	TRUE
AGAP001339	FALSE	TRUE	TRUE	TRUE
AGAP001340	FALSE	TRUE	TRUE	TRUE
AGAP001341	FALSE	TRUE	TRUE	TRUE
AGAP001342	FALSE	TRUE	TRUE	TRUE
AGAP001343	FALSE	TRUE	TRUE	TRUE
AGAP001344	FALSE	TRUE	TRUE	TRUE
AGAP001345	FALSE	TRUE	TRUE	TRUE
AGAP001346	FALSE	TRUE	TRUE	TRUE
AGAP001347	FALSE	TRUE	TRUE	TRUE
AGAP001348	FALSE	TRUE	TRUE	TRUE
AGAP001349	FALSE	TRUE	TRUE	TRUE
AGAP001350	FALSE	TRUE	TRUE	TRUE
AGAP001351	FALSE	TRUE	TRUE	TRUE
AGAP001352	FALSE	TRUE	TRUE	TRUE
AGAP001353	FALSE	TRUE	TRUE	TRUE
AGAP001354	FALSE	TRUE	FALSE	TRUE
AGAP001355	FALSE	TRUE	FALSE	TRUE
AGAP001357	FALSE	TRUE	TRUE	TRUE
AGAP001358	FALSE	TRUE	TRUE	TRUE
AGAP001360	FALSE	TRUE	TRUE	TRUE
AGAP001361	FALSE	TRUE	TRUE	TRUE
AGAP001362	FALSE	TRUE	TRUE	TRUE
AGAP001363	FALSE	TRUE	TRUE	TRUE
AGAP001364	FALSE	TRUE	FALSE	TRUE
AGAP001365	FALSE	TRUE	FALSE	TRUE
AGAP001366	FALSE	TRUE	FALSE	TRUE
AGAP001367	FALSE	TRUE	TRUE	TRUE
AGAP001368	FALSE	TRUE	TRUE	TRUE
AGAP001369	FALSE	TRUE	TRUE	TRUE
AGAP001370	FALSE	TRUE	TRUE	TRUE
AGAP001371	FALSE	FALSE	TRUE	TRUE
AGAP001372	FALSE	TRUE	TRUE	TRUE
AGAP003473	FALSE	FALSE	FALSE	TRUE
AGAP003474	FALSE	FALSE	FALSE	TRUE
AGAP004315	FALSE	FALSE	FALSE	TRUE
AGAP004316	FALSE	FALSE	FALSE	TRUE
AGAP004319	FALSE	FALSE	FALSE	TRUE
AGAP004320	FALSE	FALSE	FALSE	TRUE
AGAP004812	FALSE	FALSE	TRUE	FALSE
AGAP004813	FALSE	FALSE	TRUE	FALSE
AGAP004814	FALSE	FALSE	TRUE	FALSE
AGAP004815	FALSE	FALSE	TRUE	FALSE
AGAP004816	FALSE	FALSE	TRUE	FALSE
AGAP005777	FALSE	FALSE	FALSE	TRUE
AGAP005778	FALSE	FALSE	FALSE	TRUE
AGAP005946	FALSE	FALSE	TRUE	FALSE
AGAP005949	FALSE	FALSE	TRUE	FALSE
AGAP006231	FALSE	FALSE	TRUE	FALSE
AGAP006232	FALSE	FALSE	TRUE	FALSE
AGAP006233	FALSE	FALSE	TRUE	FALSE
AGAP006234	FALSE	FALSE	TRUE	FALSE
AGAP006235	FALSE	FALSE	TRUE	FALSE
AGAP006236	FALSE	FALSE	TRUE	FALSE
AGAP006244	FALSE	FALSE	TRUE	FALSE
AGAP006245	FALSE	FALSE	TRUE	FALSE
AGAP006246	FALSE	FALSE	TRUE	FALSE
AGAP006247	FALSE	FALSE	TRUE	FALSE
AGAP006249	FALSE	FALSE	TRUE	FALSE
AGAP006250	FALSE	FALSE	TRUE	FALSE
AGAP006251	FALSE	FALSE	TRUE	FALSE
AGAP006252	FALSE	FALSE	TRUE	FALSE
AGAP006253	FALSE	FALSE	TRUE	FALSE
AGAP006254	FALSE	FALSE	TRUE	FALSE
AGAP006255	FALSE	FALSE	TRUE	FALSE
AGAP006256	FALSE	FALSE	TRUE	FALSE
AGAP006257	FALSE	FALSE	TRUE	FALSE
AGAP006699	FALSE	FALSE	TRUE	FALSE
AGAP006701	FALSE	FALSE	TRUE	FALSE
AGAP006703	FALSE	FALSE	TRUE	FALSE
AGAP006704	FALSE	FALSE	TRUE	FALSE
AGAP006705	FALSE	FALSE	TRUE	FALSE
AGAP006706	FALSE	FALSE	TRUE	FALSE
AGAP006707	FALSE	FALSE	TRUE	FALSE
AGAP006708	FALSE	FALSE	TRUE	FALSE
AGAP006712	FALSE	FALSE	TRUE	FALSE
AGAP006714	FALSE	FALSE	TRUE	FALSE
AGAP006715	FALSE	FALSE	TRUE	FALSE
AGAP006718	FALSE	FALSE	TRUE	FALSE
AGAP006719	FALSE	FALSE	TRUE	FALSE
AGAP006720	FALSE	FALSE	TRUE	FALSE
AGAP006721	FALSE	FALSE	TRUE	FALSE
AGAP007066	FALSE	FALSE	FALSE	TRUE
AGAP007068	FALSE	FALSE	FALSE	TRUE
AGAP007069	FALSE	FALSE	FALSE	TRUE
AGAP008017	FALSE	FALSE	TRUE	FALSE
AGAP009184	FALSE	TRUE	FALSE	TRUE
AGAP009185	FALSE	TRUE	FALSE	TRUE
AGAP009187	FALSE	TRUE	FALSE	TRUE
AGAP009188	FALSE	TRUE	FALSE	TRUE
AGAP009189	FALSE	TRUE	FALSE	TRUE
AGAP009201	FALSE	FALSE	FALSE	TRUE
AGAP009202	FALSE	FALSE	FALSE	TRUE
AGAP009203	FALSE	FALSE	FALSE	TRUE
AGAP010892	FALSE	FALSE	FALSE	TRUE
AGAP010893	FALSE	FALSE	FALSE	TRUE
AGAP012966	FALSE	FALSE	FALSE	TRUE
AGAP013065	FALSE	FALSE	FALSE	TRUE
AGAP028058	FALSE	FALSE	FALSE	TRUE
AGAP028399	FALSE	FALSE	TRUE	FALSE
AGAP028454	FALSE	FALSE	TRUE	FALSE
AGAP028461	FALSE	FALSE	TRUE	FALSE
AGAP028467	FALSE	TRUE	FALSE	TRUE
AGAP028468	FALSE	TRUE	TRUE	TRUE
AGAP029045	FALSE	FALSE	FALSE	TRUE
AGAP029046	FALSE	FALSE	TRUE	FALSE
Ace1 (AGAP001356)	FALSE	TRUE	TRUE	TRUE
Chym1 (AGAP006709)	FALSE	FALSE	TRUE	FALSE
Chym2 (AGAP006710)	FALSE	FALSE	TRUE	FALSE
Chym3 (AGAP006711)	FALSE	FALSE	TRUE	FALSE
Clipc2 (AGAP004317)	FALSE	FALSE	FALSE	TRUE
Clipc3 (AGAP004318)	FALSE	FALSE	FALSE	TRUE
Coeae2f (AGAP006228)	FALSE	FALSE	TRUE	FALSE
Coeae8o (AGAP006700)	FALSE	FALSE	TRUE	FALSE
Ctl1 (AGAP004811)	FALSE	FALSE	TRUE	FALSE
Ctl3 (AGAP004810)	FALSE	FALSE	TRUE	FALSE
Gr26 (AGAP006717)	FALSE	FALSE	TRUE	FALSE
Gr27 (AGAP006716)	FALSE	FALSE	TRUE	FALSE
Gr28 (AGAP006713)	FALSE	FALSE	TRUE	FALSE
Gste5 (AGAP009192)	FALSE	TRUE	FALSE	FALSE
Gste6 (AGAP009191)	FALSE	TRUE	FALSE	FALSE
Gste8 (AGAP009190)	FALSE	TRUE	FALSE	FALSE
Kh (AGAP005948)	FALSE	FALSE	TRUE	FALSE
Lig (AGAP004817)	FALSE	FALSE	TRUE	FALSE
Med10 (AGAP006248)	FALSE	FALSE	TRUE	FALSE
Osi16 (AGAP003472)	FALSE	FALSE	FALSE	TRUE
Osi20 (AGAP003471)	FALSE	FALSE	FALSE	TRUE
Rps13 (AGAP005947)	FALSE	FALSE	TRUE	FALSE
St (AGAP001333)	FALSE	TRUE	FALSE	TRUE
Vps20 (AGAP006229)	FALSE	FALSE	TRUE	FALSE
