gene	GWAS	Fst	H12	PBS
AGAP000786	FALSE	FALSE	FALSE	TRUE
AGAP000787	FALSE	FALSE	FALSE	TRUE
AGAP000788	FALSE	FALSE	FALSE	TRUE
AGAP000789	FALSE	FALSE	FALSE	TRUE
AGAP002859	FALSE	TRUE	FALSE	TRUE
AGAP004768	FALSE	FALSE	TRUE	FALSE
AGAP004769	FALSE	FALSE	TRUE	FALSE
AGAP004795	FALSE	FALSE	TRUE	FALSE
AGAP004797	FALSE	FALSE	TRUE	FALSE
AGAP004798	FALSE	FALSE	TRUE	FALSE
AGAP005323	FALSE	FALSE	FALSE	TRUE
AGAP005324	FALSE	FALSE	FALSE	TRUE
AGAP005333	FALSE	FALSE	TRUE	FALSE
AGAP005336	FALSE	FALSE	FALSE	TRUE
AGAP005338	FALSE	FALSE	FALSE	TRUE
AGAP005340	FALSE	FALSE	FALSE	TRUE
AGAP005341	FALSE	FALSE	TRUE	TRUE
AGAP005342	FALSE	FALSE	TRUE	FALSE
AGAP005343	FALSE	FALSE	TRUE	FALSE
AGAP005449	FALSE	FALSE	FALSE	TRUE
AGAP005903	TRUE	FALSE	FALSE	FALSE
AGAP005904	TRUE	FALSE	FALSE	FALSE
AGAP005905	TRUE	FALSE	FALSE	FALSE
AGAP005906	TRUE	FALSE	FALSE	FALSE
AGAP005907	TRUE	FALSE	FALSE	FALSE
AGAP005908	TRUE	FALSE	FALSE	FALSE
AGAP005910	TRUE	FALSE	FALSE	FALSE
AGAP005911	TRUE	FALSE	FALSE	FALSE
AGAP005912	TRUE	FALSE	FALSE	FALSE
AGAP005913	TRUE	FALSE	FALSE	FALSE
AGAP005914	TRUE	FALSE	FALSE	FALSE
AGAP005915	TRUE	FALSE	FALSE	FALSE
AGAP005916	TRUE	FALSE	FALSE	FALSE
AGAP006091	TRUE	FALSE	FALSE	FALSE
AGAP006092	TRUE	FALSE	FALSE	FALSE
AGAP006093	TRUE	FALSE	FALSE	FALSE
AGAP006095	TRUE	FALSE	FALSE	FALSE
AGAP006096	TRUE	FALSE	FALSE	FALSE
AGAP006097	TRUE	FALSE	FALSE	FALSE
AGAP006900	TRUE	FALSE	FALSE	FALSE
AGAP006901	TRUE	FALSE	FALSE	FALSE
AGAP006902	TRUE	FALSE	FALSE	FALSE
AGAP006903	TRUE	FALSE	FALSE	FALSE
AGAP006904	TRUE	FALSE	FALSE	FALSE
AGAP006905	TRUE	FALSE	FALSE	FALSE
AGAP006906	TRUE	FALSE	FALSE	FALSE
AGAP006907	TRUE	FALSE	FALSE	FALSE
AGAP006908	TRUE	FALSE	FALSE	FALSE
AGAP006909	TRUE	FALSE	FALSE	FALSE
AGAP010964	FALSE	FALSE	FALSE	TRUE
AGAP010965	FALSE	FALSE	FALSE	TRUE
AGAP011647	TRUE	FALSE	FALSE	FALSE
AGAP011648	TRUE	FALSE	FALSE	FALSE
AGAP011652	TRUE	FALSE	FALSE	FALSE
AGAP011653	TRUE	FALSE	FALSE	FALSE
AGAP011654	TRUE	FALSE	FALSE	FALSE
AGAP011655	TRUE	FALSE	FALSE	FALSE
AGAP013147	FALSE	FALSE	FALSE	TRUE
AGAP029173	FALSE	FALSE	FALSE	TRUE
AGAP029181	FALSE	FALSE	FALSE	TRUE
AGAP029268	TRUE	FALSE	FALSE	FALSE
AGAP029462	TRUE	FALSE	FALSE	FALSE
AGAP029506	TRUE	FALSE	FALSE	FALSE
Cht23 (AGAP005337)	FALSE	FALSE	FALSE	TRUE
Cht4 (AGAP005339)	FALSE	FALSE	FALSE	TRUE
Coeae6o (AGAP002863)	FALSE	FALSE	FALSE	TRUE
Ctl4 (AGAP005335)	FALSE	FALSE	FALSE	TRUE
Ctlma2 (AGAP005334)	FALSE	FALSE	FALSE	TRUE
Ctlma6 (AGAP005332)	FALSE	FALSE	TRUE	TRUE
Cyp6aa1 (AGAP002862)	FALSE	FALSE	FALSE	TRUE
Cyp6aa2 (AGAP013128)	FALSE	FALSE	FALSE	TRUE
Cyp6p15p (AGAP002864)	FALSE	FALSE	FALSE	TRUE
Cyp6p3 (AGAP002865)	FALSE	FALSE	FALSE	TRUE
Tep4 (AGAP010812)	FALSE	FALSE	FALSE	TRUE
