gene	GWAS	Fst	H12	PBS
AGAP000795	FALSE	FALSE	FALSE	TRUE
AGAP001315	FALSE	FALSE	FALSE	TRUE
AGAP001316	FALSE	FALSE	FALSE	TRUE
AGAP001322	FALSE	FALSE	TRUE	FALSE
AGAP001323	FALSE	FALSE	TRUE	FALSE
AGAP001324	FALSE	FALSE	TRUE	FALSE
AGAP001325	FALSE	FALSE	TRUE	FALSE
AGAP001326	FALSE	FALSE	TRUE	FALSE
AGAP001328	FALSE	FALSE	TRUE	TRUE
AGAP001330	FALSE	TRUE	TRUE	TRUE
AGAP001331	FALSE	FALSE	FALSE	TRUE
AGAP001332	FALSE	TRUE	FALSE	TRUE
AGAP001334	FALSE	TRUE	TRUE	TRUE
AGAP001335	FALSE	TRUE	TRUE	TRUE
AGAP001336	FALSE	TRUE	TRUE	TRUE
AGAP001337	FALSE	TRUE	TRUE	TRUE
AGAP001338	FALSE	TRUE	TRUE	TRUE
AGAP001339	FALSE	TRUE	TRUE	TRUE
AGAP001340	FALSE	TRUE	TRUE	TRUE
AGAP001341	FALSE	TRUE	TRUE	TRUE
AGAP001342	FALSE	TRUE	TRUE	TRUE
AGAP001343	FALSE	TRUE	TRUE	TRUE
AGAP001344	FALSE	TRUE	TRUE	TRUE
AGAP001345	FALSE	TRUE	TRUE	TRUE
AGAP001346	FALSE	TRUE	TRUE	TRUE
AGAP001347	FALSE	TRUE	TRUE	TRUE
AGAP001348	FALSE	TRUE	TRUE	TRUE
AGAP001349	FALSE	TRUE	TRUE	TRUE
AGAP001350	FALSE	TRUE	TRUE	TRUE
AGAP001351	FALSE	TRUE	TRUE	TRUE
AGAP001352	FALSE	TRUE	TRUE	TRUE
AGAP001353	FALSE	TRUE	TRUE	TRUE
AGAP001354	FALSE	TRUE	TRUE	TRUE
AGAP001355	FALSE	TRUE	TRUE	TRUE
AGAP001357	FALSE	TRUE	TRUE	TRUE
AGAP001358	FALSE	TRUE	TRUE	TRUE
AGAP001360	FALSE	FALSE	FALSE	TRUE
AGAP001361	FALSE	FALSE	FALSE	TRUE
AGAP001362	FALSE	FALSE	FALSE	TRUE
AGAP001363	FALSE	FALSE	FALSE	TRUE
AGAP001364	FALSE	FALSE	FALSE	TRUE
AGAP001365	FALSE	FALSE	FALSE	TRUE
AGAP001366	FALSE	FALSE	FALSE	TRUE
AGAP001367	FALSE	FALSE	TRUE	TRUE
AGAP001368	FALSE	FALSE	TRUE	FALSE
AGAP001369	FALSE	FALSE	TRUE	TRUE
AGAP005294	FALSE	FALSE	FALSE	TRUE
AGAP005295	FALSE	FALSE	FALSE	TRUE
AGAP005296	FALSE	FALSE	FALSE	TRUE
AGAP005297	FALSE	FALSE	FALSE	TRUE
AGAP005298	FALSE	FALSE	FALSE	TRUE
AGAP005299	FALSE	FALSE	FALSE	TRUE
AGAP005300	FALSE	FALSE	FALSE	TRUE
AGAP005301	FALSE	FALSE	FALSE	TRUE
AGAP009189	FALSE	FALSE	TRUE	FALSE
AGAP009750	FALSE	FALSE	FALSE	TRUE
AGAP010681	FALSE	FALSE	FALSE	TRUE
AGAP010682	FALSE	FALSE	FALSE	TRUE
AGAP010683	FALSE	FALSE	FALSE	TRUE
AGAP010684	FALSE	FALSE	FALSE	TRUE
AGAP010685	FALSE	FALSE	FALSE	TRUE
AGAP010686	FALSE	FALSE	FALSE	TRUE
AGAP010687	FALSE	FALSE	FALSE	TRUE
AGAP010841	FALSE	FALSE	FALSE	TRUE
AGAP028467	FALSE	FALSE	FALSE	TRUE
AGAP028468	FALSE	FALSE	TRUE	TRUE
Ace1 (AGAP001356)	FALSE	TRUE	TRUE	TRUE
Ance2 (AGAP009751)	FALSE	FALSE	FALSE	TRUE
Ance3 (AGAP028646)	FALSE	FALSE	FALSE	TRUE
Ance4 (AGAP009754)	FALSE	FALSE	FALSE	TRUE
Ance5 (AGAP009755)	FALSE	FALSE	FALSE	TRUE
Ance6 (AGAP009756)	FALSE	FALSE	FALSE	TRUE
Ance7 (AGAP009757)	FALSE	FALSE	FALSE	TRUE
Cplcx1 (AGAP001329)	FALSE	FALSE	FALSE	TRUE
Gprnna19 (AGAP000606)	FALSE	FALSE	FALSE	TRUE
Gste1 (AGAP009195)	FALSE	FALSE	TRUE	FALSE
Gste2 (AGAP009194)	FALSE	FALSE	TRUE	FALSE
Gste3 (AGAP009197)	FALSE	FALSE	TRUE	FALSE
Gste4 (AGAP009193)	FALSE	FALSE	TRUE	FALSE
Gste5 (AGAP009192)	FALSE	FALSE	TRUE	FALSE
Gste6 (AGAP009191)	FALSE	FALSE	TRUE	FALSE
Gste7 (AGAP009196)	FALSE	FALSE	TRUE	FALSE
Gste8 (AGAP009190)	FALSE	FALSE	TRUE	FALSE
St (AGAP001333)	FALSE	TRUE	TRUE	TRUE
