gene	GWAS	Fst	H12	PBS
AGAP000586	FALSE	FALSE	FALSE	TRUE
AGAP001330	FALSE	FALSE	TRUE	FALSE
AGAP002845	TRUE	TRUE	FALSE	TRUE
AGAP002846	TRUE	TRUE	FALSE	TRUE
AGAP002847	TRUE	TRUE	FALSE	TRUE
AGAP002848	TRUE	TRUE	FALSE	TRUE
AGAP002849	TRUE	TRUE	FALSE	TRUE
AGAP002850	TRUE	TRUE	FALSE	TRUE
AGAP002851	TRUE	TRUE	FALSE	TRUE
AGAP002852	TRUE	TRUE	FALSE	TRUE
AGAP002853	TRUE	TRUE	FALSE	TRUE
AGAP002854	TRUE	TRUE	FALSE	FALSE
AGAP002855	TRUE	TRUE	FALSE	FALSE
AGAP002856	TRUE	TRUE	FALSE	FALSE
AGAP002857	TRUE	TRUE	FALSE	FALSE
AGAP002858	TRUE	TRUE	FALSE	FALSE
AGAP002859	TRUE	TRUE	FALSE	TRUE
AGAP002862	TRUE	FALSE	FALSE	FALSE
AGAP002863	TRUE	FALSE	FALSE	FALSE
AGAP002864	TRUE	FALSE	FALSE	FALSE
AGAP002865	TRUE	FALSE	FALSE	FALSE
AGAP002866	TRUE	FALSE	FALSE	FALSE
AGAP002867	TRUE	FALSE	FALSE	FALSE
AGAP002868	TRUE	FALSE	FALSE	FALSE
AGAP002869	TRUE	FALSE	FALSE	FALSE
AGAP002870	TRUE	FALSE	FALSE	FALSE
AGAP002889	TRUE	FALSE	FALSE	FALSE
AGAP002891	TRUE	FALSE	FALSE	FALSE
AGAP003638	FALSE	FALSE	TRUE	FALSE
AGAP003639	FALSE	FALSE	TRUE	FALSE
AGAP003643	FALSE	FALSE	TRUE	FALSE
AGAP007529	FALSE	FALSE	TRUE	FALSE
AGAP007530	FALSE	FALSE	TRUE	FALSE
AGAP007531	FALSE	FALSE	TRUE	FALSE
AGAP007532	FALSE	FALSE	TRUE	FALSE
AGAP007533	FALSE	FALSE	TRUE	FALSE
AGAP007534	FALSE	FALSE	TRUE	FALSE
AGAP008202	FALSE	FALSE	FALSE	TRUE
AGAP008423	FALSE	FALSE	FALSE	TRUE
AGAP008424	FALSE	FALSE	FALSE	TRUE
AGAP008425	FALSE	FALSE	FALSE	TRUE
AGAP008426	FALSE	FALSE	FALSE	TRUE
AGAP008428	FALSE	FALSE	FALSE	TRUE
AGAP008429	FALSE	FALSE	FALSE	TRUE
AGAP008430	FALSE	FALSE	FALSE	TRUE
AGAP008433	FALSE	FALSE	TRUE	FALSE
AGAP008692	TRUE	FALSE	FALSE	FALSE
AGAP008693	TRUE	FALSE	FALSE	FALSE
AGAP008694	TRUE	FALSE	FALSE	FALSE
AGAP009289	TRUE	FALSE	FALSE	FALSE
AGAP009290	TRUE	FALSE	FALSE	FALSE
AGAP009291	TRUE	FALSE	FALSE	FALSE
AGAP009293	TRUE	FALSE	FALSE	FALSE
