gene	GWAS	Fst	H12	PBS
AGAP000472	TRUE	FALSE	FALSE	FALSE
AGAP000473	TRUE	FALSE	FALSE	FALSE
AGAP000474	TRUE	FALSE	FALSE	FALSE
AGAP000768	FALSE	FALSE	TRUE	FALSE
AGAP000769	FALSE	FALSE	TRUE	FALSE
AGAP000770	FALSE	FALSE	TRUE	FALSE
AGAP000771	FALSE	FALSE	TRUE	FALSE
AGAP000788	FALSE	FALSE	FALSE	TRUE
AGAP000789	FALSE	FALSE	FALSE	TRUE
AGAP001355	TRUE	FALSE	FALSE	FALSE
AGAP001356	TRUE	FALSE	FALSE	FALSE
AGAP001357	TRUE	TRUE	TRUE	FALSE
AGAP001358	TRUE	FALSE	TRUE	FALSE
AGAP001360	TRUE	FALSE	FALSE	FALSE
AGAP001367	FALSE	FALSE	TRUE	FALSE
AGAP001368	FALSE	FALSE	FALSE	TRUE
AGAP001369	FALSE	FALSE	TRUE	TRUE
AGAP001370	FALSE	FALSE	FALSE	TRUE
AGAP001372	FALSE	FALSE	TRUE	FALSE
AGAP002793	TRUE	FALSE	FALSE	FALSE
AGAP002795	TRUE	FALSE	FALSE	FALSE
AGAP002796	TRUE	FALSE	FALSE	FALSE
AGAP002797	TRUE	FALSE	FALSE	FALSE
AGAP002799	TRUE	FALSE	FALSE	FALSE
AGAP002800	TRUE	FALSE	FALSE	FALSE
AGAP002801	TRUE	FALSE	FALSE	FALSE
AGAP002802	TRUE	FALSE	FALSE	FALSE
AGAP003198	TRUE	FALSE	FALSE	FALSE
AGAP003199	TRUE	FALSE	FALSE	FALSE
AGAP003205	TRUE	FALSE	FALSE	FALSE
AGAP003206	TRUE	FALSE	FALSE	FALSE
AGAP003207	TRUE	FALSE	FALSE	FALSE
AGAP003208	TRUE	FALSE	FALSE	FALSE
AGAP003209	TRUE	FALSE	FALSE	FALSE
AGAP006719	TRUE	FALSE	FALSE	FALSE
AGAP006720	TRUE	FALSE	FALSE	FALSE
AGAP006721	TRUE	FALSE	FALSE	FALSE
AGAP006722	TRUE	FALSE	FALSE	FALSE
AGAP006723	TRUE	FALSE	FALSE	FALSE
AGAP010055	FALSE	TRUE	FALSE	TRUE
AGAP010056	FALSE	TRUE	FALSE	TRUE
AGAP010057	FALSE	TRUE	FALSE	TRUE
AGAP010058	FALSE	TRUE	FALSE	TRUE
AGAP010059	FALSE	FALSE	FALSE	TRUE
AGAP010060	FALSE	FALSE	FALSE	TRUE
AGAP010061	FALSE	FALSE	FALSE	TRUE
AGAP010062	FALSE	FALSE	FALSE	TRUE
AGAP010063	FALSE	FALSE	FALSE	TRUE
AGAP010064	FALSE	FALSE	FALSE	TRUE
AGAP010066	FALSE	FALSE	FALSE	TRUE
AGAP010067	FALSE	FALSE	FALSE	TRUE
AGAP010068	FALSE	FALSE	FALSE	TRUE
AGAP010815	TRUE	FALSE	FALSE	FALSE
AGAP011444	TRUE	FALSE	FALSE	FALSE
AGAP011445	TRUE	FALSE	FALSE	FALSE
AGAP011446	TRUE	FALSE	FALSE	FALSE
AGAP011447	TRUE	FALSE	FALSE	FALSE
AGAP011448	TRUE	FALSE	FALSE	FALSE
AGAP011449	TRUE	FALSE	FALSE	FALSE
AGAP011452	TRUE	FALSE	FALSE	FALSE
AGAP011453	TRUE	FALSE	FALSE	FALSE
AGAP011638	TRUE	FALSE	FALSE	FALSE
AGAP011640	TRUE	FALSE	FALSE	FALSE
AGAP011641	TRUE	FALSE	FALSE	FALSE
AGAP011642	TRUE	FALSE	FALSE	FALSE
AGAP011643	TRUE	FALSE	FALSE	FALSE
AGAP011644	TRUE	FALSE	FALSE	FALSE
AGAP012290	FALSE	FALSE	FALSE	TRUE
AGAP012297	FALSE	FALSE	FALSE	TRUE
AGAP012298	FALSE	FALSE	FALSE	TRUE
AGAP012299	FALSE	FALSE	FALSE	TRUE
AGAP012981	TRUE	FALSE	FALSE	FALSE
AGAP013147	FALSE	FALSE	FALSE	TRUE
AGAP013210	TRUE	FALSE	FALSE	FALSE
AGAP028752	TRUE	FALSE	FALSE	FALSE
AGAP028753	TRUE	FALSE	FALSE	FALSE
AGAP029149	TRUE	FALSE	FALSE	FALSE
AGAP029255	TRUE	FALSE	FALSE	FALSE
AGAP029300	TRUE	FALSE	FALSE	FALSE
AGAP029379	TRUE	FALSE	FALSE	FALSE
AGAP029536	TRUE	FALSE	FALSE	FALSE
AGAP029564	TRUE	FALSE	FALSE	FALSE
AGAP029619	TRUE	FALSE	FALSE	FALSE
AGAP029627	TRUE	FALSE	FALSE	FALSE
Ace1 (AGAP001356)	FALSE	TRUE	TRUE	TRUE
Cyp9j5 (AGAP012296)	FALSE	FALSE	FALSE	TRUE
Gluriib (AGAP000801)	FALSE	FALSE	FALSE	TRUE
Rpl12 (AGAP010065)	FALSE	FALSE	FALSE	TRUE
