sample.id	country	location	latitude	longitude	collection.date	species	insecticide	concentration	exposure.time	phenotype	sib.group.id	exclude.as.sib	sample.accession	run.accession
WA-0001	Ghana	Madina	5.683	-0.166	11/01/2017	gambiae	Delta	1	60	dead		FALSE	ERS3041273	ERR3331712,ERR3331736,ERR3331760
WA-0002	Ghana	Madina	5.683	-0.166	11/01/2017	gambiae	Delta	1	60	dead	1	FALSE	ERS3041274	ERR3331718,ERR3331742,ERR3331766
WA-0003	Ghana	Madina	5.683	-0.166	11/01/2017	gambiae	Delta	1	60	dead	1	TRUE	ERS3041275	ERR3290363,ERR3290399,ERR3290435
WA-0005	Ghana	Madina	5.683	-0.166	11/01/2017	gambiae	Delta	1	60	dead	1	TRUE	ERS3041277	ERR3331519,ERR3331555,ERR3331591
WA-0006	Ghana	Madina	5.683	-0.166	11/01/2017	gambiae	Delta	1	60	dead		FALSE	ERS3041278	ERR3289895,ERR3289931,ERR3289967
WA-0007	Ghana	Madina	5.683	-0.166	11/01/2017	gambiae	Delta	1	60	dead		FALSE	ERS3041279	ERR3331719,ERR3331743,ERR3331767
WA-0008	Ghana	Madina	5.683	-0.166	11/01/2017	gambiae	Delta	1	60	dead		FALSE	ERS3041280	ERR3331728,ERR3331752,ERR3331776
WA-0009	Ghana	Madina	5.683	-0.166	11/01/2017	gambiae	Delta	1	60	dead		FALSE	ERS3041281	ERR3331525,ERR3331561,ERR3331597
WA-0010	Ghana	Madina	5.683	-0.166	11/01/2017	gambiae	Delta	1	60	dead		FALSE	ERS3041282	ERR3311829,ERR3311865,ERR3311901
WA-0012	Ghana	Madina	5.683	-0.166	11/01/2017	gambiae	Delta	1	60	dead		FALSE	ERS3041284	ERR3282705,ERR3282741,ERR3282777
WA-0013	Ghana	Madina	5.683	-0.166	11/01/2017	gambiae	Delta	1	60	dead		FALSE	ERS3041285	ERR3331511,ERR3331547,ERR3331583
WA-0014	Ghana	Madina	5.683	-0.166	11/01/2017	gambiae	Delta	1	60	dead		FALSE	ERS3041286	ERR3331499,ERR3331535,ERR3331571
WA-0015	Ghana	Madina	5.683	-0.166	11/01/2017	gambiae	Delta	1	60	dead		FALSE	ERS3041287	ERR3331729,ERR3331753,ERR3331777
WA-0016	Ghana	Madina	5.683	-0.166	11/01/2017	gambiae	Delta	1	60	dead		FALSE	ERS3041288	ERR3331510,ERR3331546,ERR3331582
WA-0017	Ghana	Madina	5.683	-0.166	11/01/2017	gambiae	Delta	1	60	dead		FALSE	ERS3041289	ERR3311625,ERR3311661,ERR3311697
WA-0018	Ghana	Madina	5.683	-0.166	11/01/2017	gambiae	Delta	1	60	dead		FALSE	ERS3041290	ERR3290004,ERR3290040,ERR3290076
WA-0020	Ghana	Madina	5.683	-0.166	11/01/2017	gambiae	Delta	1	60	dead		FALSE	ERS3041292	ERR3289876,ERR3289912,ERR3289948
WA-0021	Ghana	Madina	5.683	-0.166	11/01/2017	gambiae	Delta	1	60	dead		FALSE	ERS3041293	ERR3282802,ERR3282838,ERR3282874
WA-0024	Ghana	Madina	5.683	-0.166	11/01/2017	gambiae	Delta	1	60	dead	2	FALSE	ERS3041296	ERR3331720,ERR3331744,ERR3331768
WA-0025	Ghana	Madina	5.683	-0.166	11/01/2017	gambiae	Delta	1	60	dead	3	TRUE	ERS3041297	ERR3290110,ERR3290146,ERR3290182
WA-0026	Ghana	Madina	5.683	-0.166	11/01/2017	gambiae	Delta	1	60	dead	2	TRUE	ERS3041298	ERR3289995,ERR3290031,ERR3290067
WA-0028	Ghana	Madina	5.683	-0.166	11/01/2017	gambiae	Delta	1	60	dead	3	TRUE	ERS3041300	ERR3290346,ERR3290382,ERR3290418
WA-0029	Ghana	Madina	5.683	-0.166	11/01/2017	gambiae	Delta	1	60	dead		FALSE	ERS3041301	ERR3282706,ERR3282742,ERR3282778
WA-0031	Ghana	Madina	5.683	-0.166	11/01/2017	gambiae	Delta	1	60	dead		FALSE	ERS3041303	ERR3331520,ERR3331556,ERR3331592
WA-0034	Ghana	Madina	5.683	-0.166	11/01/2017	gambiae	Delta	1	60	dead	2	TRUE	ERS3041305	ERR3311730,ERR3311766,ERR3311802
WA-0036	Ghana	Madina	5.683	-0.166	11/01/2017	gambiae	Delta	1	60	dead	4	FALSE	ERS3041307	ERR3270009,ERR3270045,ERR3270081
WA-0037	Ghana	Madina	5.683	-0.166	11/01/2017	gambiae	Delta	1	60	dead	3	FALSE	ERS3041308	ERR3290459,ERR3290495,ERR3331480
WA-0038	Ghana	Madina	5.683	-0.166	11/01/2017	gambiae	Delta	1	60	dead	3	TRUE	ERS3041309	ERR3290460,ERR3290496,ERR3331481
WA-0041	Ghana	Madina	5.683	-0.166	11/01/2017	gambiae	Delta	1	60	dead		FALSE	ERS3041312	ERR3311820,ERR3311856,ERR3311892
WA-0043	Ghana	Madina	5.683	-0.166	11/01/2017	gambiae	Delta	1	60	dead	3	TRUE	ERS3041314	ERR3270117,ERR3270153,ERR3270297
WA-0044	Ghana	Madina	5.683	-0.166	11/01/2017	gambiae	Delta	1	60	dead		FALSE	ERS3041315	ERR3289762,ERR3289798,ERR3289834
WA-0046	Ghana	Madina	5.683	-0.166	11/01/2017	gambiae	Delta	1	60	dead		FALSE	ERS3041317	ERR3290211,ERR3290247,ERR3311434
WA-0047	Ghana	Madina	5.683	-0.166	11/01/2017	gambiae	Delta	1	60	dead	5	TRUE	ERS3041318	ERR3331518,ERR3331554,ERR3331590
WA-0048	Ghana	Madina	5.683	-0.166	11/01/2017	gambiae	Delta	1	60	dead		FALSE	ERS3041319	ERR3282599,ERR3282635,ERR3282671
WA-0050	Ghana	Madina	5.683	-0.166	11/01/2017	gambiae	Delta	1	60	dead	6	FALSE	ERS3041321	ERR3331501,ERR3331537,ERR3331573
WA-0051	Ghana	Madina	5.683	-0.166	11/01/2017	gambiae	Delta	1	60	dead	5	TRUE	ERS3041322	ERR3270000,ERR3270036,ERR3270072
WA-0052	Ghana	Madina	5.683	-0.166	11/01/2017	gambiae	Delta	1	60	dead	5	FALSE	ERS3041323	ERR3269950,ERR3269986,ERR3311948
WA-0053	Ghana	Madina	5.683	-0.166	11/01/2017	gambiae	Delta	1	60	dead		FALSE	ERS3041324	ERR3290288,ERR3290324,ERR3311475
