midpoint	h12
6326.3105	0.144
13166.6605	0.075
19570.393	0.111
27065.757	0.129
35255.5025	0.132
42529.734	0.114
48581.772	0.164
54946.779	0.103
62914.1915	0.092
71002.595	0.146
79145.8535	0.138
87474.3755	0.12
93839.3645	0.122
100504.684	0.189
106504.417	0.118
112643.523	0.121
119058.45	0.097
125696.738	0.178
131780.0205	0.113
137645.0905	0.328
143578.935	0.229
149495.298	0.105
155723.456	0.129
161814.167	0.216
167599.217	0.122
173601.6045	0.155
179721.617	0.166
186319.7795	0.083
192386.5205	0.176
198342.3025	0.108
204640.596	0.161
211219.995	0.112
217639.5105	0.164
223854.883	0.112
230152.887	0.118
236187.9025	0.112
242415.0155	0.119
248970.222	0.104
255387.125	0.112
261569.082	0.043
268029.9335	0.117
273906.4155	0.098
280522.51	0.101
286619.213	0.113
292614.742	0.112
298210.469	0.113
304055.279	0.114
310015.565	0.114
315462.9415	0.115
320796.379	0.123
326289.663	0.113
343747.0135	0.055
351615.664	0.108
356951.213	0.121
364065.4935	0.103
371549.242	0.124
377220.4265	0.115
382839.5685	0.122
388352.905	0.116
393603.475	0.122
398739.4745	0.113
403965.3745	0.116
409104.178	0.119
414390.8235	0.121
419663.8285	0.11
424955.663	0.122
430377.69	0.113
435514.552	0.103
440762.3605	0.113
446441.1955	0.123
452087.481	0.117
457702.175	0.115
463129.684	0.102
468330.8455	0.137
473285.303	0.113
478361.348	0.086
483435.3565	0.097
488450.2215	0.103
493440.146	0.113
498477.127	0.097
503664.413	0.1
509043.507	0.119
514259.49	0.098
519550.1485	0.096
524511.019	0.118
529474.259	0.118
534550.6365	0.121
539834.004	0.115
545166.0435	0.104
550715.194	0.109
555995.472	0.12
561845.026	0.099
567565.634	0.11
573040.272	0.11
578849.003	0.111
584028.813	0.107
589501.2905	0.103
594832.027	0.094
600203.487	0.112
605406.975	0.103
610686.3185	0.111
615882.593	0.083
621224.002	0.109
626191.174	0.101
632092.872	0.097
637419.0725	0.102
643091.0505	0.113
649064.987	0.103
654897.8115	0.104
660758.6875	0.104
666515.396	0.101
673749.8315	0.095
679731.812	0.114
685235.0085	0.093
690397.222	0.103
695424.1505	0.086
702128.5105	0.107
713724.883	0.094
719897.0485	0.091
725575.481	0.141
731489.6855	0.153
737307.6255	0.139
742878.411	0.114
748145.393	0.161
753460.1565	0.162
758714.828	0.143
764229.7585	0.162
769520.9265	0.16
774623.6295	0.11
779842.236	0.149
784882.758	0.175
790170.806	0.129
795174.524	0.172
800129.5405	0.161
805093.4475	0.174
810199.516	0.148
815221.678	0.151
820304.619	0.161
825526.675	0.172
830525.7195	0.097
835466.403	0.069
847214.3695	0.124
854042.021	0.08
862867.082	0.042
869122.149	0.119
874071.222	0.127
879002.0335	0.122
884092.1045	0.112
889026.6845	0.121
893900.9865	0.132
898738.6235	0.122
903658.055	0.128
908617.9565	0.119
913606.5205	0.103
918599.907	0.118
923515.911	0.132
928550.7125	0.114
933592.3515	0.127
938798.912	0.127
943942.1045	0.111
949011.516	0.132
954097.454	0.128
958977.1285	0.111
963810.5955	0.111
968831.7525	0.13
973963.304	0.128
979084.915	0.13
984108.0295	0.129
989113.003	0.13
994330.822	0.124
999687.7655	0.172
1004915.831	0.174
1010011.4355	0.171
1015083.8785	0.158
1020092.1285	0.161
1025157.344	0.162
1030167.0235	0.127
1035562.508	0.104
1041053.4685	0.149
1046471.4635	0.148
1051711.0585	0.148
1056908.885	0.125
1062058.608	0.148
1067062.7355	0.15
1072115.7665	0.128
1077247.2345	0.15
1082506.308	0.099
1087772.9185	0.15
1093262.8345	0.115
1098355.917	0.119
1103336.214	0.14
1108473.977	0.128
1113847.4	0.137
1119048.08	0.159
1124324.3475	0.162
1129308.5885	0.129
1134594.0105	0.098
1139882.168	0.119
1145020.7785	0.119
1150258.9275	0.121
1155537.575	0.094
1161050.127	0.119
1166471.158	0.117
1171897.451	0.069
1179465.155	0.098
1186077.4805	0.106
1191414.2295	0.118
1196312.7205	0.117
1201124.626	0.107
1205888.2405	0.106
1210671.9675	0.095
1215580.9795	0.097
1220994.602	0.109
1231199.3195	0.116
1236322.8455	0.117
1244199.7005	0.125
1251265.8625	0.128
1256471.1355	0.128
1261923.69	0.117
1267536.6415	0.118
1272854.382	0.129
1278157.889	0.129
1283414.372	0.121
1289051.4565	0.118
1294304.8255	0.126
1299410.759	0.121
1304566.7525	0.084
1309738.292	0.119
1314853.5605	0.106
1320008.3525	0.116
1325106.366	0.116
1330261.663	0.128
1335308.939	0.108
1340279.8415	0.127
1345373.582	0.128
1350398.418	0.119
1355401.834	0.104
1364418.992	0.121
1370438.728	0.114
1375397.8315	0.111
1380407.6965	0.117
1385444.8265	0.12
1390386.0975	0.122
1395269.0985	0.113
1400191.4115	0.129
1405258.8185	0.15
1410227.7935	0.173
1415032.6605	0.133
1419812.353	0.161
1424593.3555	0.172
1429287.141	0.162
1434129.946	0.138
1438899.8535	0.174
1443899.626	0.126
1448701.9765	0.161
1453543.4565	0.162
1458326.62	0.174
1463171.1335	0.139
1468007.666	0.148
1472974.4025	0.147
1477807.2675	0.144
1482540.6855	0.145
1487357.9275	0.138
1492073.213	0.137
1496976.752	0.139
1501999.3345	0.128
1507076.218	0.139
1512689.446	0.152
1517757.0145	0.142
1522586.753	0.141
1527598.075	0.143
1532465.517	0.223
1537579.5125	0.127
1543070.2295	0.154
1547891.1315	0.203
1553281.8945	0.22
1558907.4855	0.223
1563981.1445	0.216
1569057.162	0.222
1574236.9795	0.195
1579703.8435	0.182
1585044.2375	0.167
1590377.916	0.196
1595859.3965	0.226
1601241.715	0.209
1606883.924	0.227
1612181.124	0.168
1621746.2285	0.157
1629895.3015	0.119
1638717.6965	0.169
1644081.1695	0.146
1649375.753	0.165
1654747.04	0.131
1660293.5905	0.122
1665628.159	0.113
1670609.795	0.123
1675744.844	0.119
1680834.612	0.108
1686191.1985	0.104
1692344.5745	0.112
1697515.157	0.102
1702467.7245	0.111
1707565.456	0.1
1712932.7525	0.09
1718666.4165	0.12
1724009.377	0.121
1729156.9645	0.114
1734583.278	0.105
1743778.888	0.039
1750332.287	0.121
1755921.984	0.119
1761244.8505	0.114
1766514.5745	0.088
1771782.1815	0.101
1777322.9705	0.124
1782459.638	0.118
1787575.6685	0.123
1792987.8435	0.117
1798637.446	0.108
1803911.364	0.107
1808889.4785	0.109
1814322.7635	0.108
1819473.9315	0.117
1824441.7915	0.117
1830232.6705	0.116
1835491.1825	0.118
1840502.6395	0.118
1845507.4625	0.101
1850560.2285	0.112
1855500.8175	0.103
1860336.6115	0.097
1865215.849	0.112
1870083.3405	0.101
1875136.969	0.119
1880323.1815	0.121
