sample.set,chrom,start,end
Avrankou.coluzzii.Delta,2L,10068355,10082987
Avrankou.coluzzii.Delta,2R,36518909,36554445
Avrankou.coluzzii.Delta,2R,40048893,40068959
Avrankou.coluzzii.Delta,2R,50370689,50430253
Avrankou.coluzzii.Delta,2R,57888590,57991949
Avrankou.coluzzii.Delta,2R,57991950,58059416
Avrankou.coluzzii.Delta,3R,40573948,40592511
Avrankou.coluzzii.Delta,3R,42085534,42103720
Avrankou.coluzzii.Delta,3R,43474515,43498987
Avrankou.coluzzii.Delta,3R,43521636,43542078
Avrankou.coluzzii.Delta,X,16335224,16365048
Baguida.gambiae.Delta,2R,3389961,3432721
Baguida.gambiae.Delta,2R,3432724,3476883
Baguida.gambiae.Delta,2R,52092472,52125268
Baguida.gambiae.Delta,2R,53484070,53528059
Baguida.gambiae.Delta,3R,50068833,50102594
Baguida.gambiae.Delta,3R,50102596,50144081
Baguida.gambiae.PM,X,4465821,4497054
Korle-Bu.coluzzii.Delta,2R,19786643,19804012
Korle-Bu.coluzzii.Delta,2R,19924084,19946738
Korle-Bu.coluzzii.Delta,2R,24494947,24518288
Korle-Bu.coluzzii.Delta,2R,24518326,24537251
Korle-Bu.coluzzii.Delta,2R,24841839,24895974
Korle-Bu.coluzzii.Delta,2R,40735528,40764193
Korle-Bu.coluzzii.Delta,2R,40764204,40787904
Korle-Bu.coluzzii.Delta,2R,49184905,49204588
Korle-Bu.coluzzii.Delta,2R,58883938,58997091
Korle-Bu.coluzzii.Delta,2R,58997100,59206019
Korle-Bu.coluzzii.Delta,2R,59323709,59442698
Korle-Bu.coluzzii.Delta,X,15631514,15685315
Korle-Bu.coluzzii.Delta,X,15685316,15729535
Korle-Bu.coluzzii.Delta,X,15782516,15813993
Korle-Bu.coluzzii.Delta,X,15814341,15855238
Korle-Bu.coluzzii.Delta,X,19161588,19223177
Korle-Bu.coluzzii.PM,2L,20503758,20528385
Korle-Bu.coluzzii.PM,2L,42155614,42174963
Korle-Bu.coluzzii.PM,2R,3121211,3133406
Korle-Bu.coluzzii.PM,2R,3133445,3145871
Korle-Bu.coluzzii.PM,2R,3145880,3159706
Korle-Bu.coluzzii.PM,2R,3159708,3172165
Korle-Bu.coluzzii.PM,2R,3172166,3185698
Korle-Bu.coluzzii.PM,2R,3185705,3250746
Korle-Bu.coluzzii.PM,2R,3250753,3268046
Korle-Bu.coluzzii.PM,2R,3268049,3281267
Korle-Bu.coluzzii.PM,2R,3281283,3294521
Korle-Bu.coluzzii.PM,2R,3294524,3306275
Korle-Bu.coluzzii.PM,2R,3306288,3321968
Korle-Bu.coluzzii.PM,2R,3322003,3338007
Korle-Bu.coluzzii.PM,2R,3338024,3348987
Korle-Bu.coluzzii.PM,2R,3349006,3366648
Korle-Bu.coluzzii.PM,2R,3366655,3377940
Korle-Bu.coluzzii.PM,2R,3377945,3389887
Korle-Bu.coluzzii.PM,2R,3389890,3402739
Korle-Bu.coluzzii.PM,2R,3402750,3418404
Korle-Bu.coluzzii.PM,2R,3418405,3431076
Korle-Bu.coluzzii.PM,2R,3431109,3442938
Korle-Bu.coluzzii.PM,2R,3442943,3456928
Korle-Bu.coluzzii.PM,2R,3456936,3471196
Korle-Bu.coluzzii.PM,2R,3471198,3485829
Korle-Bu.coluzzii.PM,2R,3485865,3505655
Korle-Bu.coluzzii.PM,2R,3505657,3523946
Korle-Bu.coluzzii.PM,2R,3523956,3539527
Korle-Bu.coluzzii.PM,2R,3539530,3551191
Korle-Bu.coluzzii.PM,2R,3551206,3562439
Korle-Bu.coluzzii.PM,2R,3562444,3577658
Korle-Bu.coluzzii.PM,2R,3577664,3589737
Korle-Bu.coluzzii.PM,2R,3589745,3601668
Korle-Bu.coluzzii.PM,2R,3601671,3615523
Korle-Bu.coluzzii.PM,2R,3615525,3630775
Korle-Bu.coluzzii.PM,2R,3630784,3645295
Korle-Bu.coluzzii.PM,2R,3645298,3656181
Korle-Bu.coluzzii.PM,2R,3656202,3668140
Korle-Bu.coluzzii.PM,2R,3668143,3679297
Korle-Bu.coluzzii.PM,2R,3679300,3693526
Korle-Bu.coluzzii.PM,2R,3693537,3703333
Korle-Bu.coluzzii.PM,2R,3703334,3714370
Korle-Bu.coluzzii.PM,2R,3714380,3724525
Korle-Bu.coluzzii.PM,2R,3724537,3737180
Korle-Bu.coluzzii.PM,2R,3737183,3750233
Korle-Bu.coluzzii.PM,2R,3750236,3760229
Korle-Bu.coluzzii.PM,2R,3760253,3772442
Korle-Bu.coluzzii.PM,2R,3772448,3785218
Korle-Bu.coluzzii.PM,2R,3785240,3798169
Korle-Bu.coluzzii.PM,2R,3798170,3811716
Korle-Bu.coluzzii.PM,2R,3811719,3823800
Korle-Bu.coluzzii.PM,2R,3823806,3836416
Korle-Bu.coluzzii.PM,2R,3836436,3849183
Korle-Bu.coluzzii.PM,2R,3849184,3861842
Korle-Bu.coluzzii.PM,2R,3861845,3873867
Korle-Bu.coluzzii.PM,2R,3873915,3885810
Korle-Bu.coluzzii.PM,2R,3885814,3896971
Korle-Bu.coluzzii.PM,2R,20348487,20370950
Korle-Bu.coluzzii.PM,2R,38066450,38108649
Korle-Bu.coluzzii.PM,2R,38108650,38146336
Korle-Bu.coluzzii.PM,2R,54389070,54420741
Korle-Bu.coluzzii.PM,3L,12677591,12695186
Korle-Bu.coluzzii.PM,3R,28469061,28489882
Korle-Bu.coluzzii.PM,3R,28489886,28518721
Korle-Bu.coluzzii.PM,3R,28518723,28549368
Korle-Bu.coluzzii.PM,3R,28549380,28577140
Korle-Bu.coluzzii.PM,3R,28635819,28664145
Madina.gambiae.Delta,2L,14063777,14088770
Madina.gambiae.Delta,2L,14219219,14265262
Madina.gambiae.Delta,2L,14265267,14287152
Madina.gambiae.Delta,2L,15126527,15145769
Madina.gambiae.Delta,2L,15601620,15624192
Madina.gambiae.Delta,2R,24628101,24648942
Madina.gambiae.Delta,2R,28445043,28491887
Madina.gambiae.Delta,3L,10921315,10973080
Madina.gambiae.Delta,3L,10973136,11006921
Madina.gambiae.Delta,3L,13910487,13962729
Madina.gambiae.Delta,3L,14005906,14027879
Madina.gambiae.Delta,3L,14027884,14041408
Madina.gambiae.Delta,X,14302731,14329967
Madina.gambiae.Delta,X,14348794,14381817
Madina.gambiae.PM,2L,13796936,13823654
Madina.gambiae.PM,2L,13823729,13846135
Madina.gambiae.PM,2L,13846136,13871495
Madina.gambiae.PM,2R,2902692,2916451
Madina.gambiae.PM,2R,2916473,2931690
Madina.gambiae.PM,2R,2931701,2944137
Madina.gambiae.PM,2R,2944145,2960990
Madina.gambiae.PM,2R,2960995,2972784
Madina.gambiae.PM,2R,3015651,3029723
Madina.gambiae.PM,2R,3029725,3040945
Madina.gambiae.PM,2R,3040949,3058511
Madina.gambiae.PM,2R,3058524,3074666
Madina.gambiae.PM,2R,3074693,3090604
Madina.gambiae.PM,2R,3090625,3106474
Madina.gambiae.PM,2R,3106482,3123406
Madina.gambiae.PM,2R,3123464,3139059
Madina.gambiae.PM,2R,3139061,3155196
Madina.gambiae.PM,2R,3155200,3171828
Madina.gambiae.PM,2R,3171836,3190496
Madina.gambiae.PM,2R,3190505,3272258
Madina.gambiae.PM,2R,3272262,3315196
Madina.gambiae.PM,2R,3315204,3347359
Madina.gambiae.PM,2R,3347440,3379899
Madina.gambiae.PM,2R,3379900,3406543
Madina.gambiae.PM,2R,3406567,3436348
Madina.gambiae.PM,2R,3436356,3465374
Madina.gambiae.PM,2R,3465377,3494708
Madina.gambiae.PM,2R,3494720,3531953
Madina.gambiae.PM,2R,3531970,3554981
Madina.gambiae.PM,2R,3554997,3580477
Madina.gambiae.PM,2R,3580491,3602873
Madina.gambiae.PM,2R,3602912,3630713
Madina.gambiae.PM,2R,3717956,3738442
Madina.gambiae.PM,2R,3738444,3759962
Madina.gambiae.PM,2R,3807197,3831849
Madina.gambiae.PM,3L,8347269,8410375
Madina.gambiae.PM,3L,11835579,11856184
Madina.gambiae.PM,3R,42351694,42385208
Madina.gambiae.PM,X,10923456,10936210
Madina.gambiae.PM,X,10950485,10966897
Madina.gambiae.PM,X,14484862,14508400
Madina.gambiae.PM,X,14508401,14533917
Obuasi.gambiae.Delta,2R,28269239,28310577
Obuasi.gambiae.Delta,2R,28405169,28444735
Obuasi.gambiae.Delta,2R,28444742,28487648
Obuasi.gambiae.Delta,2R,28487654,28531653
Obuasi.gambiae.Delta,3L,38528377,38543702
Obuasi.gambiae.Delta,3R,6855724,6864448
Obuasi.gambiae.Delta,3R,6889688,6898772
Obuasi.gambiae.Delta,3R,6898779,6917151
Obuasi.gambiae.Delta,3R,6937837,6949662
Obuasi.gambiae.Delta,3R,10585066,10609720
Obuasi.gambiae.Delta,3R,10628209,10645109
Obuasi.gambiae.PM,2R,3010908,3025922
Obuasi.gambiae.PM,2R,3462247,3501579
Obuasi.gambiae.PM,2R,3638654,3668338
Obuasi.gambiae.PM,2R,3668339,3693996
Obuasi.gambiae.PM,2R,3693997,3717554
Obuasi.gambiae.PM,2R,3717555,3741532
Obuasi.gambiae.PM,2R,3820607,3846689
Obuasi.gambiae.PM,3L,39825372,39836883
Obuasi.gambiae.PM,3L,39836885,39862311
Obuasi.gambiae.PM,3R,48452818,48498676
Obuasi.gambiae.PM,3R,48498682,48575709
Obuasi.gambiae.PM,X,14023352,14040917
Obuasi.gambiae.PM,X,14071570,14085823
Obuasi.gambiae.PM,X,14354519,14385221
Obuasi.gambiae.PM,X,14688665,14705132
Obuasi.gambiae.PM,X,14720885,14738140
