midpoint	h12
6326.3105	0.172
13166.6605	0.059
19570.393	0.101
27065.757	0.121
35255.5025	0.099
42529.734	0.108
48581.772	0.128
54946.779	0.106
62914.1915	0.092
71002.595	0.118
79145.8535	0.117
87474.3755	0.11
93839.3645	0.11
100504.684	0.11
106504.417	0.174
112643.523	0.114
119058.45	0.109
125696.738	0.091
131780.0205	0.166
137645.0905	0.123
143578.935	0.078
149495.298	0.098
155723.456	0.177
161814.167	0.123
167599.217	0.098
173601.6045	0.102
179721.617	0.111
186319.7795	0.084
192386.5205	0.109
198342.3025	0.128
204640.596	0.203
211219.995	0.098
217639.5105	0.108
223854.883	0.098
230152.887	0.097
236187.9025	0.1
242415.0155	0.116
248970.222	0.093
255387.125	0.097
261569.082	0.038
268029.9335	0.125
273906.4155	0.097
280522.51	0.106
286619.213	0.106
292614.742	0.106
298210.469	0.106
304055.279	0.096
310015.565	0.098
315462.9415	0.104
320796.379	0.105
326289.663	0.086
343747.0135	0.034
351615.664	0.106
356951.213	0.106
364065.4935	0.138
371549.242	0.163
377220.4265	0.163
382839.5685	0.163
388352.905	0.163
393603.475	0.163
398739.4745	0.163
403965.3745	0.166
409104.178	0.165
414390.8235	0.162
419663.8285	0.165
424955.663	0.106
430377.69	0.1
435514.552	0.091
440762.3605	0.109
446441.1955	0.108
452087.481	0.098
457702.175	0.094
463129.684	0.106
468330.8455	0.099
473285.303	0.106
478361.348	0.098
483435.3565	0.096
488450.2215	0.099
493440.146	0.097
498477.127	0.097
503664.413	0.106
509043.507	0.097
514259.49	0.096
519550.1485	0.096
524511.019	0.105
529474.259	0.105
534550.6365	0.096
539834.004	0.106
545166.0435	0.106
550715.194	0.104
555995.472	0.096
561845.026	0.106
567565.634	0.097
573040.272	0.097
578849.003	0.097
584028.813	0.097
589501.2905	0.097
594832.027	0.093
600203.487	0.092
605406.975	0.106
610686.3185	0.097
615882.593	0.105
621224.002	0.104
626191.174	0.114
632092.872	0.114
637419.0725	0.114
643091.0505	0.116
649064.987	0.102
654897.8115	0.111
660758.6875	0.102
666515.396	0.112
673749.8315	0.086
679731.812	0.106
685235.0085	0.102
690397.222	0.111
695424.1505	0.102
702128.5105	0.112
713724.883	0.083
719897.0485	0.078
725575.481	0.093
731489.6855	0.071
737307.6255	0.074
742878.411	0.093
748145.393	0.093
753460.1565	0.068
758714.828	0.071
764229.7585	0.082
769520.9265	0.085
774623.6295	0.071
