sample.set,chrom,start,end
Avrankou_coluzzii_Delta,X,8745589,8778998
Baguida_gambiae_Delta,2R,33967209,33981960
Baguida_gambiae_PM,X,15411876,15495650
Korle-Bu_coluzzii_Delta,2R,39682306,39698081
Korle-Bu_coluzzii_Delta,X,14653714,14668824
Korle-Bu_coluzzii_Delta,X,14668824,14684264
Korle-Bu_coluzzii_Delta,X,15670884,15702974
Korle-Bu_coluzzii_Delta,X,15702974,15756306
Korle-Bu_coluzzii_PM,3R,28482794,28505651
Korle-Bu_coluzzii_PM,3R,28505651,28533744
Korle-Bu_coluzzii_PM,3R,28563392,28595112
Korle-Bu_coluzzii_PM,2R,3095708,3107611
Korle-Bu_coluzzii_PM,2R,3119349,3130379
Korle-Bu_coluzzii_PM,2R,3130379,3140867
Korle-Bu_coluzzii_PM,2R,3140866,3153904
Korle-Bu_coluzzii_PM,2R,3153904,3165121
Korle-Bu_coluzzii_PM,2R,3165120,3177769
Korle-Bu_coluzzii_PM,2R,3177769,3190055
Korle-Bu_coluzzii_PM,2R,3190054,3255232
Korle-Bu_coluzzii_PM,2R,3255232,3270610
Korle-Bu_coluzzii_PM,2R,3270609,3284187
Korle-Bu_coluzzii_PM,2R,3284186,3296305
Korle-Bu_coluzzii_PM,2R,3296305,3307959
Korle-Bu_coluzzii_PM,2R,3307958,3322593
Korle-Bu_coluzzii_PM,2R,3322592,3337269
Korle-Bu_coluzzii_PM,2R,3337269,3347812
Korle-Bu_coluzzii_PM,2R,3347812,3364495
Korle-Bu_coluzzii_PM,2R,3364494,3375206
Korle-Bu_coluzzii_PM,2R,3375205,3386942
Korle-Bu_coluzzii_PM,2R,3386941,3400218
Korle-Bu_coluzzii_PM,2R,3400217,3415291
Korle-Bu_coluzzii_PM,2R,3415291,3427397
Korle-Bu_coluzzii_PM,2R,3427396,3439143
Korle-Bu_coluzzii_PM,2R,3439143,3452164
Korle-Bu_coluzzii_PM,2R,3452164,3465545
Korle-Bu_coluzzii_PM,2R,3465545,3480976
Korle-Bu_coluzzii_PM,2R,3480976,3497624
Korle-Bu_coluzzii_PM,2R,3497623,3517440
Korle-Bu_coluzzii_PM,2R,3517440,3532733
Korle-Bu_coluzzii_PM,2R,3532732,3545300
Korle-Bu_coluzzii_PM,2R,3545300,3556713
Korle-Bu_coluzzii_PM,2R,3556712,3570140
Korle-Bu_coluzzii_PM,2R,3570139,3583957
Korle-Bu_coluzzii_PM,2R,3583956,3595589
Korle-Bu_coluzzii_PM,2R,3595588,3607326
Korle-Bu_coluzzii_PM,2R,3607325,3621103
Korle-Bu_coluzzii_PM,2R,3621102,3634353
Korle-Bu_coluzzii_PM,2R,3634352,3647956
Korle-Bu_coluzzii_PM,2R,3647956,3658565
Korle-Bu_coluzzii_PM,2R,3658564,3670753
Korle-Bu_coluzzii_PM,2R,3670752,3682163
Korle-Bu_coluzzii_PM,2R,3682162,3694784
Korle-Bu_coluzzii_PM,2R,3694783,3705239
Korle-Bu_coluzzii_PM,2R,3705238,3715855
Korle-Bu_coluzzii_PM,2R,3715855,3725593
Korle-Bu_coluzzii_PM,2R,3725592,3736867
Korle-Bu_coluzzii_PM,2R,3736866,3748489
Korle-Bu_coluzzii_PM,2R,3748489,3758999
Korle-Bu_coluzzii_PM,2R,3758998,3770327
Korle-Bu_coluzzii_PM,2R,3770326,3782630
Korle-Bu_coluzzii_PM,2R,3782629,3795106
Korle-Bu_coluzzii_PM,2R,3795106,3807565
Korle-Bu_coluzzii_PM,2R,3807565,3818642
Korle-Bu_coluzzii_PM,2R,3818641,3830076
Korle-Bu_coluzzii_PM,2R,3830075,3842444
Korle-Bu_coluzzii_PM,2R,3842444,3853445
