midpoint	h1x
44235.388	0.024
69610.343	0.019
78057.1065	0.025
100296.028	0.005
113347.2845	0.019
122381.021	0.027
135887.632	0.029
162576.399	0.056
177985.8065	0.014
204618.797	0.008
274597.857	0.031
299037.2565	0.077
332907.229	0.106
347309.2075	0.037
362180.3935	0.008
371403.8275	0.076
379513.8805	0.029
390974.0675	0.051
445383.0585	0.021
524091.3905	0.015
546757.7455	0.017
585774.3025	0.009
621641.9605	0.048
640942.724	0.056
655318.8345	0.017
667097.908	0.046
696463.926	0.006
724761.9395	0.008
737965.4705	0.042
752303.36	0.036
767834.3805	0.004
780822.892	0.051
794329.2545	0.048
803404.005	0.027
817608.9045	0.02
829902.1315	0.04
839901.5935	0.033
849087.3425	0.032
861677.5015	0.045
871873.281	0.023
883169.515	0.019
907504.0785	0.013
934982.446	0.014
957560.39	0.002
971317.337	0.029
986826.958	0.02
1014408.0065	0.016
1040361.397	0.009
1090372.6405	0.01
1105828.9365	0.004
1122436.4305	0.013
1137483.2075	0.015
1150448.779	0.034
1190266.7785	0.004
1239575.6725	0.023
1247849.3315	0.042
1263266.5375	0.024
1277815.7905	0.043
1288160.8435	0.029
1296470.4275	0.049
1312297.8395	0.036
1333275.134	0.015
1356141.767	0.034
1383250.6245	0.027
1427477.8835	0.024
1475664.2615	0.003
1489780.0525	0.004
1499140.3445	0.022
1513379.9995	0.008
1529320.296	0.009
1543785.421	0.044
1555943.2295	0.072
1564190.74	0.082
1573992.407	0.181
1586307.3805	0.089
1599578.5285	0.068
1609378.588	0.048
1616800.6825	0.101
1624860.465	0.12
1635471.826	0.081
1646276.0695	0.047
1654187.634	0.091
1668378.8635	0.043
1709776.333	0.045
1726441.2255	0.019
1735137.354	0.054
1744164.772	0.041
1756767.544	0.018
1766938.3055	0.057
1774736.661	0.055
1783627.224	0.066
1795092.268	0.03
1807468.166	0.08
1815513.2735	0.026
1834143.0175	0.054
1847390.7315	0.038
1855856.9245	0.034
1864367.1045	0.011
1881832.31	0.044
1890343.6145	0.049
1898291.4	0.025
1906606.0735	0.039
1915282.281	0.045
1934056.799	0.014
1946156.834	0.048
1955455.16	0.023
1966045.966	0.031
1973946.0295	0.031
1981496.4625	0.041
