midpoint	h12
44235.388	0.076
69610.343	0.088
78057.1065	0.107
100296.028	0.046
113347.2845	0.071
122381.021	0.071
135887.632	0.097
162576.399	0.172
177985.8065	0.061
204618.797	0.044
274597.857	0.063
299037.2565	0.19
332907.229	0.222
347309.2075	0.137
362180.3935	0.048
371403.8275	0.206
379513.8805	0.113
390974.0675	0.163
445383.0585	0.087
524091.3905	0.074
546757.7455	0.06
585774.3025	0.046
621641.9605	0.158
640942.724	0.107
655318.8345	0.066
667097.908	0.12
696463.926	0.063
724761.9395	0.053
737965.4705	0.103
752303.36	0.147
767834.3805	0.033
780822.892	0.158
794329.2545	0.133
803404.005	0.162
817608.9045	0.093
829902.1315	0.139
839901.5935	0.088
849087.3425	0.118
861677.5015	0.135
871873.281	0.109
883169.515	0.102
907504.0785	0.048
934982.446	0.073
957560.39	0.025
971317.337	0.119
986826.958	0.054
1014408.0065	0.118
1040361.397	0.052
1090372.6405	0.074
1105828.9365	0.041
1122436.4305	0.062
1137483.2075	0.138
1150448.779	0.116
1190266.7785	0.035
1239575.6725	0.134
1247849.3315	0.137
1263266.5375	0.121
1277815.7905	0.139
1288160.8435	0.144
1296470.4275	0.121
1312297.8395	0.094
1333275.134	0.079
1356141.767	0.122
1383250.6245	0.108
1427477.8835	0.114
1475664.2615	0.033
1489780.0525	0.034
1499140.3445	0.136
1513379.9995	0.063
1529320.296	0.042
1543785.421	0.153
1555943.2295	0.187
1564190.74	0.157
1573992.407	0.331
1586307.3805	0.184
1599578.5285	0.172
1609378.588	0.171
1616800.6825	0.238
1624860.465	0.204
1635471.826	0.229
1646276.0695	0.144
1654187.634	0.191
1668378.8635	0.098
1709776.333	0.096
1726441.2255	0.156
1735137.354	0.131
1744164.772	0.115
1756767.544	0.06
1766938.3055	0.151
1774736.661	0.125
1783627.224	0.163
1795092.268	0.089
1807468.166	0.209
1815513.2735	0.117
1834143.0175	0.188
1847390.7315	0.11
1855856.9245	0.138
1864367.1045	0.116
1881832.31	0.212
1890343.6145	0.163
1898291.4	0.181
1906606.0735	0.121
1915282.281	0.136
1934056.799	0.07
1946156.834	0.134
1955455.16	0.144
1966045.966	0.102
1973946.0295	0.118
1981496.4625	0.143
1988806.1405	0.124
1996282.6505	0.151
2003944.788	0.131
2011269.815	0.13
2018975.9365	0.149
2026803.34	0.138
2034602.37	0.144
2042141.9425	0.132
2049700.078	0.144
2058519.2355	0.121
2067912.411	0.119
2075566.2825	0.119
2084963.578	0.121
2093839.489	0.144
2104206.9785	0.153
2112198.8765	0.168
2120879.503	0.114
2129122.531	0.189
2136797.543	0.133
2146574.049	0.253
2155187.116	0.123
2162740.107	0.158
2170565.2015	0.119
2178198.5615	0.183
2185782.6135	0.114
2197067.642	0.132
2206567.139	0.176
2213853.034	0.171
2221026.883	0.126
2228571.145	0.166
2240457.5015	0.174
2248858.4185	0.146
2256418.443	0.163
2263272.624	0.146
2270574.4145	0.196
2278063.2425	0.131
2286663.6455	0.136
2308640.2725	0.114
2330386.0275	0.133
2348262.788	0.132
2359744.0575	0.127
2369611.697	0.106
2377224.124	0.209
2387940.892	0.135
2395961.405	0.14
2406514.7185	0.149
2415517.8945	0.124
2423135.6395	0.12
2433016.5455	0.088
2442290.013	0.119
2450734.496	0.108
2458015.6665	0.171
2471546.6195	0.132
2479288.303	0.096
2486406.2785	0.116
2493422.832	0.106
2501268.376	0.1
2508550.8805	0.146
2517471.81	0.122
2530665.0475	0.107
2544759.2125	0.131
2554703.309	0.102
2562061.28	0.106
2573108.7475	0.124
2586819.8175	0.146
2599235.1435	0.121
2610023.976	0.094
2618413.7545	0.113
2627279.596	0.132
2634700.505	0.111
2645127.6315	0.141
2656480.4455	0.119
2671017.906	0.132
2678042.8195	0.129
2689800.472	0.126
2702663.402	0.116
2710234.7295	0.139
2718324.6545	0.112
2753333.3285	0.044
2768993.331	0.109
2777299.0	0.128
2786048.54	0.116
2802588.582	0.119
2816607.039	0.124
2823392.629	0.097
2830471.5035	0.135
2840012.953	0.103
2847337.175	0.102
2855736.2655	0.077
2865887.8755	0.129
2875704.945	0.127
2883824.4995	0.121
2892643.057	0.102
2903191.6415	0.121
2909540.3675	0.118
2916295.974	0.171
2923040.446	0.084
2929762.0545	0.11
2936468.3325	0.116
2944109.1735	0.106
2953722.696	0.127
2975081.2785	0.123
2985049.319	0.128
2995651.5615	0.147
3007588.428	0.116
3017411.145	0.103
3031001.3655	0.107
3043300.6225	0.127
3051578.3295	0.121
3059693.8185	0.12
3067060.2465	0.108
3074851.894	0.161
3089391.507	0.109
3099428.1025	0.086
3107095.6135	0.117
3116181.7825	0.163
3130227.611	0.127
3142456.7	0.151
3149681.3065	0.132
3156868.442	0.12
3164677.613	0.114
3175636.5375	0.138
3185097.241	0.275
3193910.17	0.121
3212711.893	0.18
3224147.2555	0.131
3231673.7655	0.116
3238484.8945	0.106
3245771.4775	0.122
3257770.7755	0.141
3266437.534	0.182
3273562.078	0.112
3281139.002	0.127
3288705.8995	0.153
3305992.54	0.16
3313602.6725	0.138
3321895.2915	0.214
3330052.6045	0.102
3337180.7595	0.131
3344779.9375	0.131
3354335.0455	0.129
3368326.0605	0.123
3376525.638	0.113
3383362.291	0.099
3390470.0165	0.131
3397765.7905	0.092
3404792.1935	0.161
3411794.5875	0.103
3418722.3195	0.119
3425399.745	0.162
3432366.8675	0.157
3439091.915	0.156
3445639.902	0.108
3452281.6355	0.103
3459036.538	0.123
3466029.4865	0.132
3477506.577	0.13
3486120.7495	0.097
3493182.1485	0.132
3500713.034	0.109
3508293.1075	0.111
3516378.051	0.12
3526055.355	0.162
3532919.4345	0.098
3540211.3905	0.121
3547486.4435	0.172
3554656.5465	0.152
3562278.598	0.106
3570007.88	0.106
3577953.397	0.128
3585721.385	0.121
3593463.976	0.122
3600556.623	0.162
3607923.414	0.12
3614614.419	0.119
3622563.805	0.179
3631911.514	0.14
3638751.8465	0.151
3646140.227	0.096
3655712.2065	0.129
3662624.5305	0.111
3672426.307	0.173
3682479.763	0.114
3689939.86	0.129
3697861.339	0.11
3705988.3345	0.109
3713408.105	0.118
3721291.0315	0.131
3729680.662	0.133
3742199.6305	0.099
3751183.914	0.132
3759308.8285	0.145
3766765.833	0.148
3776134.8965	0.147
3793429.8025	0.083
3804515.701	0.146
3811809.4435	0.133
3819207.0935	0.154
3828922.0725	0.122
3844274.381	0.15
3862779.668	0.132
3870393.56	0.119
3878380.1985	0.135
3886277.3545	0.134
3894371.241	0.151
3901358.6385	0.122
3908330.0765	0.11
3916143.632	0.113
3923512.8735	0.116
3932073.646	0.091
3941074.334	0.14
3948210.882	0.116
3955210.266	0.132
3966615.643	0.165
3975027.7305	0.132
3985901.0745	0.158
4006903.6215	0.109
4018893.2825	0.119
4027112.355	0.129
4035389.0835	0.148
4045085.474	0.102
4053568.781	0.116
4062838.6005	0.104
4074624.4095	0.093
4085770.669	0.087
4093352.247	0.12
4101435.602	0.109
4111640.8735	0.107
4119740.6705	0.139
4127995.159	0.112
4135982.665	0.156
