midpoint	h12
9170.925	0.037
18159.2665	0.095
23847.06	0.034
29867.5655	0.043
36012.941	0.043
42094.369	0.024
48527.251	0.039
54833.0685	0.024
60828.646	0.039
67157.0525	0.029
73761.8355	0.035
79643.655	0.027
86154.899	0.025
93176.3485	0.037
99414.618	0.026
106014.1875	0.025
112182.7115	0.033
119581.239	0.032
125701.14	0.037
132837.2475	0.035
140050.149	0.04
146054.375	0.036
152418.8905	0.036
159636.2795	0.044
165891.0665	0.033
172069.9535	0.046
178646.067	0.046
184871.9315	0.031
191785.7665	0.031
198740.088	0.031
204757.824	0.029
210845.0265	0.032
216925.0695	0.073
222702.6165	0.031
228464.0115	0.032
234080.5735	0.025
239739.9985	0.025
245440.2625	0.032
251118.6825	0.037
256950.9575	0.037
263042.948	0.032
269078.525	0.045
274991.6835	0.058
280810.131	0.05
287500.135	0.041
293714.112	0.046
299342.5145	0.036
305032.7485	0.056
310528.368	0.039
316246.578	0.036
322593.497	0.023
329039.7195	0.044
334796.9515	0.047
340095.922	0.03
345524.2445	0.033
350891.0145	0.037
356389.1335	0.025
366685.115	0.032
374334.056	0.024
379798.174	0.024
385222.1065	0.028
390671.849	0.031
396193.031	0.027
401536.28	0.026
407182.417	0.031
412780.182	0.028
419527.1855	0.018
427107.4295	0.021
432662.6725	0.027
438207.6425	0.039
443922.5985	0.036
449788.5465	0.024
455214.6725	0.025
460795.896	0.026
467104.8925	0.022
473411.542	0.035
479051.278	0.036
484826.366	0.026
490732.346	0.026
496143.902	0.025
501692.324	0.022
507241.188	0.022
512540.2195	0.027
517906.5915	0.027
523602.3235	0.021
529173.6935	0.022
534486.5935	0.022
539955.855	0.021
545182.755	0.021
550213.0285	0.021
555047.824	0.021
559878.3755	0.022
564738.301	0.022
569598.4805	0.022
574396.071	0.021
579092.1025	0.022
584007.2285	0.023
588931.8035	0.021
593861.145	0.021
598801.2755	0.021
603562.113	0.021
608716.533	0.02
615515.737	0.02
621240.5945	0.021
626157.781	0.022
631037.115	0.02
635891.2395	0.021
640844.768	0.022
646563.292	0.023
651672.815	0.022
656628.0905	0.024
662931.67	0.023
668297.849	0.022
673192.1865	0.021
677984.184	0.024
682819.177	0.023
687553.8535	0.021
692568.2765	0.022
697423.0935	0.021
702287.2295	0.02
707078.034	0.021
711842.589	0.021
716727.2025	0.021
721680.171	0.022
726535.3945	0.02
731527.506	0.021
736564.8965	0.021
741832.3235	0.021
747123.343	0.021
752378.755	0.021
757734.6495	0.021
762857.783	0.021
767938.5285	0.02
772867.4255	0.021
777688.5935	0.027
782538.881	0.029
787887.224	0.023
793280.932	0.029
798380.7905	0.021
803420.3045	0.023
808413.8185	0.02
813262.693	0.022
818114.874	0.022
823060.2135	0.021
827935.352	0.023
832948.992	0.024
838235.125	0.025
843507.0645	0.022
848580.6005	0.022
853476.3015	0.022
858392.4635	0.022
863335.1205	0.021
868552.094	0.022
873737.5555	0.022
878900.7545	0.024
884796.1815	0.022
889744.8565	0.022
