midpoint	h1x
6326.3105	0.029
13166.6605	0.013
19570.393	0.012
27065.757	0.045
35255.5025	0.018
42529.734	0.041
48581.772	0.022
54946.779	0.017
62914.1915	0.008
71002.595	0.018
79145.8535	0.012
87474.3755	0.009
93839.3645	0.016
100504.684	0.027
106504.417	0.018
112643.523	0.012
119058.45	0.025
125696.738	0.027
131780.0205	0.028
137645.0905	0.037
143578.935	0.039
149495.298	0.021
155723.456	0.014
161814.167	0.017
167599.217	0.022
173601.6045	0.008
179721.617	0.014
186319.7795	0.007
192386.5205	0.028
198342.3025	0.014
204640.596	0.04
211219.995	0.011
217639.5105	0.012
223854.883	0.02
230152.887	0.013
236187.9025	0.016
242415.0155	0.012
248970.222	0.019
255387.125	0.011
261569.082	0.003
268029.9335	0.006
273906.4155	0.008
280522.51	0.01
286619.213	0.006
292614.742	0.005
298210.469	0.008
304055.279	0.004
310015.565	0.004
315462.9415	0.005
320796.379	0.009
326289.663	0.004
343747.0135	0.0
351615.664	0.006
356951.213	0.01
364065.4935	0.009
371549.242	0.004
377220.4265	0.007
382839.5685	0.005
388352.905	0.006
393603.475	0.006
398739.4745	0.011
403965.3745	0.003
409104.178	0.005
414390.8235	0.005
419663.8285	0.026
424955.663	0.008
430377.69	0.006
435514.552	0.001
440762.3605	0.002
446441.1955	0.008
452087.481	0.008
457702.175	0.007
463129.684	0.008
468330.8455	0.008
473285.303	0.004
478361.348	0.002
483435.3565	0.007
488450.2215	0.007
493440.146	0.005
498477.127	0.004
503664.413	0.004
509043.507	0.005
514259.49	0.002
519550.1485	0.005
524511.019	0.005
529474.259	0.002
534550.6365	0.005
539834.004	0.002
545166.0435	0.002
550715.194	0.005
555995.472	0.002
561845.026	0.004
567565.634	0.006
573040.272	0.002
578849.003	0.002
584028.813	0.003
589501.2905	0.005
594832.027	0.005
600203.487	0.004
605406.975	0.004
610686.3185	0.004
615882.593	0.004
621224.002	0.003
626191.174	0.002
632092.872	0.003
637419.0725	0.006
643091.0505	0.003
649064.987	0.002
654897.8115	0.002
660758.6875	0.002
666515.396	0.002
673749.8315	0.004
679731.812	0.002
685235.0085	0.002
690397.222	0.002
695424.1505	0.002
702128.5105	0.002
713724.883	0.001
719897.0485	0.001
725575.481	0.004
731489.6855	0.001
737307.6255	0.001
742878.411	0.002
748145.393	0.003
753460.1565	0.002
758714.828	0.001
764229.7585	0.002
769520.9265	0.001
774623.6295	0.001
779842.236	0.001
784882.758	0.001
790170.806	0.001
795174.524	0.001
800129.5405	0.001
805093.4475	0.001
810199.516	0.001
815221.678	0.001
820304.619	0.001
825526.675	0.001
830525.7195	0.001
835466.403	0.001
847214.3695	0.001
854042.021	0.001
862867.082	0.0
869122.149	0.001
874071.222	0.002
879002.0335	0.002
884092.1045	0.002
889026.6845	0.002
893900.9865	0.002
898738.6235	0.002
903658.055	0.001
908617.9565	0.002
913606.5205	0.001
918599.907	0.001
923515.911	0.001
928550.7125	0.001
933592.3515	0.002
938798.912	0.001
943942.1045	0.001
949011.516	0.002
954097.454	0.001
958977.1285	0.0
963810.5955	0.0
968831.7525	0.0
973963.304	0.0
979084.915	0.001
984108.0295	0.001
989113.003	0.001
994330.822	0.0
999687.7655	0.0
1004915.831	0.0
1010011.4355	0.0
1015083.8785	0.0
1020092.1285	0.0
1025157.344	0.002
1030167.0235	0.0
1035562.508	0.0
1041053.4685	0.0
1046471.4635	0.001
1051711.0585	0.001
1056908.885	0.001
1062058.608	0.001
1067062.7355	0.001
1072115.7665	0.001
1077247.2345	0.002
1082506.308	0.001
1087772.9185	0.001
1093262.8345	0.001
1098355.917	0.001
1103336.214	0.001
1108473.977	0.001
1113847.4	0.001
1119048.08	0.001
1124324.3475	0.001
1129308.5885	0.001
1134594.0105	0.001
1139882.168	0.001
1145020.7785	0.002
1150258.9275	0.001
1155537.575	0.001
1161050.127	0.001
1166471.158	0.001
1171897.451	0.001
1179465.155	0.001
1186077.4805	0.001
1191414.2295	0.001
1196312.7205	0.001
1201124.626	0.001
1205888.2405	0.002
1210671.9675	0.002
1215580.9795	0.001
1220994.602	0.001
1231199.3195	0.001
1236322.8455	0.0
1244199.7005	0.001
1251265.8625	0.001
1256471.1355	0.001
1261923.69	0.001
1267536.6415	0.001
1272854.382	0.001
1278157.889	0.0
1283414.372	0.001
1289051.4565	0.001
1294304.8255	0.0
1299410.759	0.001
1304566.7525	0.001
1309738.292	0.001
1314853.5605	0.001
1320008.3525	0.001
1325106.366	0.001
1330261.663	0.001
1335308.939	0.001
1340279.8415	0.001
1345373.582	0.0
1350398.418	0.001
1355401.834	0.002
1364418.992	0.001
1370438.728	0.001
1375397.8315	0.0
1380407.6965	0.002
1385444.8265	0.001
1390386.0975	0.001
1395269.0985	0.0
1400191.4115	0.0
1405258.8185	0.001
1410227.7935	0.008
1415032.6605	0.002
1419812.353	0.001
1424593.3555	0.002
1429287.141	0.001
1434129.946	0.002
1438899.8535	0.004
1443899.626	0.002
1448701.9765	0.003
1453543.4565	0.003
1458326.62	0.004
1463171.1335	0.003
1468007.666	0.004
1472974.4025	0.002
1477807.2675	0.002
1482540.6855	0.001
1487357.9275	0.004
1492073.213	0.004
1496976.752	0.003
1501999.3345	0.003
1507076.218	0.002
1512689.446	0.005
1517757.0145	0.001
1522586.753	0.004
1527598.075	0.001
1532465.517	0.002
1537579.5125	0.002
1543070.2295	0.004
1547891.1315	0.002
1553281.8945	0.002
1558907.4855	0.003
1563981.1445	0.002
1569057.162	0.004
1574236.9795	0.003
1579703.8435	0.002
1585044.2375	0.004
1590377.916	0.002
1595859.3965	0.004
1601241.715	0.005
1606883.924	0.005
1612181.124	0.004
1621746.2285	0.007
1629895.3015	0.004
1638717.6965	0.007
1644081.1695	0.002
1649375.753	0.002
1654747.04	0.0
1660293.5905	0.002
1665628.159	0.001
1670609.795	0.001
1675744.844	0.001
1680834.612	0.002
1686191.1985	0.002
1692344.5745	0.002
1697515.157	0.003
1702467.7245	0.001
1707565.456	0.001
1712932.7525	0.0
1718666.4165	0.0
1724009.377	0.0
1729156.9645	0.0
1734583.278	0.002
1743778.888	0.001
1750332.287	0.004
1755921.984	0.003
1761244.8505	0.0
1766514.5745	0.001
1771782.1815	0.0
1777322.9705	0.003
1782459.638	0.002
1787575.6685	0.004
1792987.8435	0.002
1798637.446	0.003
1803911.364	0.004
1808889.4785	0.003
1814322.7635	0.003
1819473.9315	0.002
1824441.7915	0.005
1830232.6705	0.003
1835491.1825	0.004
1840502.6395	0.006
1845507.4625	0.007
1850560.2285	0.005
1855500.8175	0.002
1860336.6115	0.002
1865215.849	0.002
1870083.3405	0.002
1875136.969	0.002
1880323.1815	0.001
1885690.256	0.002
1891607.974	0.001
1897953.8135	0.003
1903398.3965	0.002
1908877.923	0.001
1914467.3015	0.001
1920027.6855	0.001
1925526.626	0.007
1931188.657	0.002
1936469.854	0.004
1941710.1355	0.002
1949700.9325	0.001
1960100.7295	0.001
