midpoint	h1x
6326.3105	0.075
13166.6605	0.008
19570.393	0.012
27065.757	0.039
35255.5025	0.011
42529.734	0.028
48581.772	0.03
54946.779	0.012
62914.1915	0.005
71002.595	0.035
79145.8535	0.044
87474.3755	0.008
93839.3645	0.014
100504.684	0.028
106504.417	0.04
112643.523	0.004
119058.45	0.02
125696.738	0.015
131780.0205	0.052
137645.0905	0.046
143578.935	0.012
149495.298	0.013
155723.456	0.038
161814.167	0.021
167599.217	0.035
173601.6045	0.008
179721.617	0.015
186319.7795	0.025
192386.5205	0.01
198342.3025	0.028
204640.596	0.052
211219.995	0.007
217639.5105	0.012
223854.883	0.011
230152.887	0.007
236187.9025	0.005
242415.0155	0.001
248970.222	0.013
255387.125	0.004
261569.082	0.002
268029.9335	0.011
273906.4155	0.001
280522.51	0.003
286619.213	0.013
292614.742	0.003
298210.469	0.005
304055.279	0.006
310015.565	0.001
315462.9415	0.003
320796.379	0.004
326289.663	0.0
343747.0135	0.003
351615.664	0.004
356951.213	0.004
364065.4935	0.007
371549.242	0.004
377220.4265	0.004
382839.5685	0.009
388352.905	0.003
393603.475	0.001
398739.4745	0.002
403965.3745	0.002
409104.178	0.002
414390.8235	0.001
419663.8285	0.013
424955.663	0.003
430377.69	0.003
435514.552	0.002
440762.3605	0.003
446441.1955	0.004
452087.481	0.008
457702.175	0.002
463129.684	0.001
468330.8455	0.001
473285.303	0.001
478361.348	0.001
483435.3565	0.001
488450.2215	0.002
493440.146	0.002
498477.127	0.001
503664.413	0.001
509043.507	0.008
514259.49	0.002
519550.1485	0.004
524511.019	0.002
529474.259	0.002
534550.6365	0.002
539834.004	0.002
545166.0435	0.001
550715.194	0.001
555995.472	0.001
561845.026	0.001
567565.634	0.001
573040.272	0.002
578849.003	0.001
584028.813	0.001
589501.2905	0.001
594832.027	0.001
600203.487	0.001
605406.975	0.006
610686.3185	0.006
615882.593	0.004
621224.002	0.001
626191.174	0.001
632092.872	0.001
637419.0725	0.002
643091.0505	0.003
649064.987	0.001
654897.8115	0.001
660758.6875	0.001
666515.396	0.001
673749.8315	0.003
679731.812	0.003
685235.0085	0.001
690397.222	0.0
695424.1505	0.001
702128.5105	0.001
713724.883	0.001
719897.0485	0.001
725575.481	0.003
731489.6855	0.002
737307.6255	0.002
742878.411	0.002
748145.393	0.0
753460.1565	0.0
758714.828	0.0
764229.7585	0.0
769520.9265	0.001
774623.6295	0.001
779842.236	0.0
784882.758	0.004
790170.806	0.004
795174.524	0.004
800129.5405	0.004
805093.4475	0.001
810199.516	0.003
815221.678	0.003
820304.619	0.003
825526.675	0.003
830525.7195	0.003
835466.403	0.003
847214.3695	0.003
854042.021	0.003
862867.082	0.0
869122.149	0.0
874071.222	0.003
879002.0335	0.003
884092.1045	0.003
889026.6845	0.003
893900.9865	0.004
898738.6235	0.004
903658.055	0.003
908617.9565	0.004
913606.5205	0.006
918599.907	0.005
923515.911	0.006
928550.7125	0.006
933592.3515	0.006
938798.912	0.006
943942.1045	0.007
949011.516	0.004
954097.454	0.006
958977.1285	0.006
963810.5955	0.006
968831.7525	0.006
973963.304	0.0
979084.915	0.003
984108.0295	0.011
989113.003	0.006
994330.822	0.005
999687.7655	0.006
1004915.831	0.006
1010011.4355	0.006
1015083.8785	0.005
1020092.1285	0.005
1025157.344	0.005
1030167.0235	0.005
1035562.508	0.005
1041053.4685	0.005
1046471.4635	0.005
1051711.0585	0.005
1056908.885	0.005
1062058.608	0.005
1067062.7355	0.005
1072115.7665	0.005
1077247.2345	0.006
1082506.308	0.006
1087772.9185	0.006
1093262.8345	0.007
1098355.917	0.003
1103336.214	0.007
1108473.977	0.007
1113847.4	0.007
1119048.08	0.007
1124324.3475	0.007
1129308.5885	0.007
1134594.0105	0.007
1139882.168	0.006
1145020.7785	0.007
1150258.9275	0.007
1155537.575	0.007
1161050.127	0.001
1166471.158	0.001
1171897.451	0.0
1179465.155	0.001
1186077.4805	0.002
1191414.2295	0.0
1196312.7205	0.0
1201124.626	0.001
1205888.2405	0.001
1210671.9675	0.001
1215580.9795	0.001
1220994.602	0.001
1231199.3195	0.002
1236322.8455	0.001
1244199.7005	0.001
1251265.8625	0.001
1256471.1355	0.001
1261923.69	0.001
1267536.6415	0.0
1272854.382	0.001
1278157.889	0.001
1283414.372	0.001
1289051.4565	0.001
1294304.8255	0.0
1299410.759	0.001
1304566.7525	0.001
1309738.292	0.001
1314853.5605	0.001
1320008.3525	0.001
1325106.366	0.001
1330261.663	0.001
1335308.939	0.001
1340279.8415	0.001
1345373.582	0.001
1350398.418	0.002
1355401.834	0.002
1364418.992	0.005
1370438.728	0.004
1375397.8315	0.005
1380407.6965	0.002
1385444.8265	0.005
1390386.0975	0.006
1395269.0985	0.005
1400191.4115	0.004
1405258.8185	0.005
1410227.7935	0.044
1415032.6605	0.003
1419812.353	0.005
1424593.3555	0.002
1429287.141	0.003
1434129.946	0.004
1438899.8535	0.002
1443899.626	0.001
1448701.9765	0.002
1453543.4565	0.002
1458326.62	0.002
1463171.1335	0.002
1468007.666	0.002
1472974.4025	0.002
1477807.2675	0.001
1482540.6855	0.001
1487357.9275	0.002
1492073.213	0.002
1496976.752	0.003
1501999.3345	0.002
1507076.218	0.001
1512689.446	0.002
1517757.0145	0.002
1522586.753	0.002
1527598.075	0.001
1532465.517	0.002
1537579.5125	0.001
1543070.2295	0.002
1547891.1315	0.003
