sample.set,chrom,start,end
Baguida_gambiae_PM,2L,3750000,3850000
Baguida_gambiae_PM,2L,3850000,3950000
Baguida_gambiae_PM,2L,4450000,4550000
Baguida_gambiae_PM,2L,24050000,24150000
Baguida_gambiae_PM,2L,24150000,24250000
Baguida_gambiae_PM,2L,39150000,39250000
Baguida_gambiae_PM,2L,48750000,48850000
Baguida_gambiae_PM,2L,48850000,48950000
Baguida_gambiae_PM,2R,11950000,12050000
Baguida_gambiae_PM,2R,12050000,12150000
Baguida_gambiae_PM,2R,20950000,21050000
Baguida_gambiae_PM,3L,25650000,25750000
Baguida_gambiae_PM,3L,31650000,31750000
Baguida_gambiae_PM,3R,4250000,4350000
Baguida_gambiae_PM,X,550000,650000
Baguida_gambiae_PM,X,1350000,1450000
Avrankou_coluzzii_Delta,3L,15950000,16050000
Avrankou_coluzzii_Delta,3R,42050000,42150000
Madina_gambiae_Delta,2L,23550000,23650000
Madina_gambiae_Delta,2L,26550000,26650000
Madina_gambiae_Delta,2L,39650000,39750000
Madina_gambiae_Delta,2L,39750000,39850000
Madina_gambiae_Delta,2L,39850000,39950000
Madina_gambiae_Delta,3L,30750000,30850000
Obuasi_gambiae_PM,2L,37150000,37250000
Obuasi_gambiae_PM,2R,3450000,3550000
Obuasi_gambiae_PM,2R,27550000,27650000
Obuasi_gambiae_PM,2R,27650000,27750000
Obuasi_gambiae_PM,2R,33750000,33850000
Obuasi_gambiae_PM,2R,33850000,33950000
Obuasi_gambiae_PM,2R,38350000,38450000
Obuasi_gambiae_PM,3L,11150000,11250000
Obuasi_gambiae_PM,3L,11350000,11450000
Obuasi_gambiae_PM,3L,24750000,24850000
Obuasi_gambiae_PM,3L,24850000,24950000
Obuasi_gambiae_PM,3L,30450000,30550000
Obuasi_gambiae_PM,3L,30550000,30650000
Obuasi_gambiae_PM,3L,30650000,30750000
Obuasi_gambiae_PM,X,8150000,8250000
Baguida_gambiae_Delta,2L,48450000,48550000
Baguida_gambiae_Delta,2L,48550000,48650000
Baguida_gambiae_Delta,2R,7550000,7650000
Baguida_gambiae_Delta,2R,7650000,7750000
Baguida_gambiae_Delta,2R,7750000,7850000
Baguida_gambiae_Delta,2R,8350000,8450000
Baguida_gambiae_Delta,2R,19150000,19250000
Baguida_gambiae_Delta,2R,19250000,19350000
Baguida_gambiae_Delta,2R,19650000,19750000
Baguida_gambiae_Delta,2R,24450000,24550000
Baguida_gambiae_Delta,2R,33450000,33550000
Baguida_gambiae_Delta,2R,33550000,33650000
Baguida_gambiae_Delta,2R,33950000,34050000
Baguida_gambiae_Delta,2R,34150000,34250000
Baguida_gambiae_Delta,3L,10250000,10350000
Baguida_gambiae_Delta,3R,10050000,10150000
Korle-Bu_coluzzii_PM,2R,3150000,3250000
Korle-Bu_coluzzii_PM,2R,3250000,3350000
Korle-Bu_coluzzii_PM,2R,3350000,3450000
Korle-Bu_coluzzii_PM,2R,3450000,3550000
Korle-Bu_coluzzii_PM,2R,3550000,3650000
Korle-Bu_coluzzii_PM,2R,3650000,3750000
Madina_gambiae_PM,2R,3250000,3350000
Madina_gambiae_PM,2R,3350000,3450000
Madina_gambiae_PM,2R,3450000,3550000
Obuasi_gambiae_Delta,2R,28250000,28350000
Obuasi_gambiae_Delta,2R,28350000,28450000
Obuasi_gambiae_Delta,2R,28450000,28550000
Obuasi_gambiae_Delta,2R,28850000,28950000
Obuasi_gambiae_Delta,3L,27550000,27650000
Obuasi_gambiae_Delta,3L,27650000,27750000
Obuasi_gambiae_Delta,3R,14950000,15050000
Obuasi_gambiae_Delta,3R,30850000,30950000
Korle-Bu_coluzzii_Delta,2R,39650000,39750000
Korle-Bu_coluzzii_Delta,2R,58550000,58650000
Korle-Bu_coluzzii_Delta,2R,58650000,58750000
Korle-Bu_coluzzii_Delta,2R,60550000,60650000
Korle-Bu_coluzzii_Delta,2R,60650000,60750000
Korle-Bu_coluzzii_Delta,2R,60750000,60850000
Korle-Bu_coluzzii_Delta,2R,60850000,60950000
Korle-Bu_coluzzii_Delta,3L,11350000,11450000
