midpoint	h12
44235.388	0.149
69610.343	0.114
78057.1065	0.106
100296.028	0.033
113347.2845	0.059
122381.021	0.252
135887.632	0.441
162576.399	0.428
177985.8065	0.094
204618.797	0.116
274597.857	0.136
299037.2565	0.535
332907.229	0.611
347309.2075	0.586
362180.3935	0.086
371403.8275	0.559
379513.8805	0.463
390974.0675	0.713
445383.0585	0.463
524091.3905	0.204
546757.7455	0.316
585774.3025	0.051
621641.9605	0.464
640942.724	0.286
655318.8345	0.214
667097.908	0.405
696463.926	0.085
724761.9395	0.257
737965.4705	0.183
752303.36	0.504
767834.3805	0.052
780822.892	0.416
794329.2545	0.512
803404.005	0.511
817608.9045	0.162
829902.1315	0.484
839901.5935	0.398
849087.3425	0.161
861677.5015	0.258
871873.281	0.385
883169.515	0.397
907504.0785	0.301
934982.446	0.216
957560.39	0.044
971317.337	0.396
986826.958	0.103
1014408.0065	0.27
1040361.397	0.184
1090372.6405	0.548
1105828.9365	0.138
1122436.4305	0.247
1137483.2075	0.419
1150448.779	0.17
1190266.7785	0.049
1239575.6725	0.466
1247849.3315	0.402
1263266.5375	0.403
1277815.7905	0.604
1288160.8435	0.511
1296470.4275	0.394
1312297.8395	0.482
1333275.134	0.502
1356141.767	0.333
1383250.6245	0.396
1427477.8835	0.054
1475664.2615	0.147
1489780.0525	0.047
1499140.3445	0.507
1513379.9995	0.073
1529320.296	0.284
1543785.421	0.466
1555943.2295	0.441
1564190.74	0.482
1573992.407	0.701
1586307.3805	0.507
1599578.5285	0.507
1609378.588	0.511
1616800.6825	0.531
1624860.465	0.582
1635471.826	0.532
1646276.0695	0.386
1654187.634	0.504
1668378.8635	0.507
1709776.333	0.271
1726441.2255	0.441
1735137.354	0.419
1744164.772	0.27
1756767.544	0.24
1766938.3055	0.507
1774736.661	0.488
1783627.224	0.427
1795092.268	0.339
1807468.166	0.534
1815513.2735	0.226
1834143.0175	0.483
1847390.7315	0.4
1855856.9245	0.414
1864367.1045	0.336
1881832.31	0.507
1890343.6145	0.462
1898291.4	0.457
1906606.0735	0.507
1915282.281	0.406
1934056.799	0.167
1946156.834	0.507
1955455.16	0.574
1966045.966	0.511
1973946.0295	0.421
1981496.4625	0.484
1988806.1405	0.507
1996282.6505	0.402
2003944.788	0.404
2011269.815	0.48
2018975.9365	0.348
2026803.34	0.534
2034602.37	0.531
2042141.9425	0.382
2049700.078	0.471
2058519.2355	0.337
2067912.411	0.365
2075566.2825	0.405
2084963.578	0.349
2093839.489	0.482
2104206.9785	0.471
2112198.8765	0.494
2120879.503	0.297
2129122.531	0.471
2136797.543	0.487
2146574.049	0.134
2155187.116	0.386
2162740.107	0.403
2170565.2015	0.391
2178198.5615	0.299
2185782.6135	0.276
2197067.642	0.328
2206567.139	0.316
2213853.034	0.333
2221026.883	0.333
2228571.145	0.321
2240457.5015	0.2
2248858.4185	0.316
2256418.443	0.319
2263272.624	0.243
