midpoint	h1x
36493.229	0.053
96000.438	0.0
157004.6595	0.0
174090.08	0.07
192003.046	0.506
220430.1925	0.173
243655.642	0.029
268302.58	0.525
294654.397	0.0
316919.325	0.001
335693.553	0.012
355321.0605	0.038
370106.3685	0.002
396688.812	0.022
415067.0695	0.045
432890.6835	0.222
452558.844	0.496
470581.5645	0.262
489183.013	0.504
516438.5975	0.137
542791.792	0.088
568058.6295	0.293
588917.536	0.257
606397.176	0.379
630994.414	0.311
640755.3825	0.201
648710.167	0.122
666837.9445	0.56
678231.5205	0.549
694013.1535	0.181
710124.8925	0.453
723568.1055	0.0
739065.055	0.096
750495.516	0.544
760263.293	0.308
769866.386	0.146
781972.1675	0.501
797099.336	0.217
820677.846	0.104
838428.538	0.071
859622.1125	0.463
879236.715	0.102
903020.011	0.053
925580.152	0.261
937716.691	0.191
947270.079	0.071
958085.9965	0.312
974563.162	0.449
985520.543	0.375
1001883.0265	0.023
1041262.847	0.032
1074190.3835	0.0
1093099.7405	0.238
1132694.6025	0.142
1147824.97	0.087
1172258.2615	0.183
1196715.81	0.136
1209658.768	0.026
1260153.7715	0.051
1276071.519	0.633
1284118.156	0.611
1295515.686	0.607
1319147.239	0.626
1333490.5225	0.007
1358699.668	0.188
1389534.2105	0.493
1413444.153	0.645
1427120.075	0.101
1470146.4805	0.0
1501536.952	0.076
1517884.9015	0.733
1527794.832	0.709
1538982.194	0.808
1547706.919	0.319
1557137.3535	0.21
1567307.874	0.808
1578775.584	0.005
1599029.3795	0.015
1618516.3575	0.036
1640616.704	0.734
1663394.1155	0.741
1690522.421	0.357
1705396.4415	0.177
1736193.2315	0.029
1778503.9345	0.391
1800467.826	0.153
1824035.6915	0.498
1840797.8085	0.707
1857078.4975	0.367
1872586.093	0.141
1898425.348	0.178
1919370.6155	0.512
1932730.9905	0.362
1948110.557	0.165
1961506.305	0.087
1971293.499	0.867
1987968.027	0.0
2006528.6405	0.794
2023000.478	0.78
2041132.046	0.596
2050786.515	0.721
2063637.3005	0.283
2076603.1205	0.427
2089140.342	0.567
2108118.3375	0.824
2118477.4125	0.349
2135207.5055	0.369
2163983.961	0.789
2223839.2275	0.138
2272556.8235	0.838
2287253.1295	0.806
2321144.234	0.353
2354159.3	0.852
2367467.5135	0.419
2382625.0875	0.349
2393570.345	0.793
2407207.416	0.869
2422069.806	0.331
2431674.5795	0.016
2444031.5025	0.273
2479162.4565	0.351
2496357.9075	0.367
2525098.8605	0.839
2539850.0275	0.854
2554033.643	0.458
2567790.0155	0.852
2577082.6915	0.757
2585850.7135	0.639
2595845.99	0.385
2606459.0065	0.418
2616392.4905	0.64
2626211.642	0.626
2638284.3065	0.588
2647409.401	0.626
2668506.2035	0.613
2685960.6705	0.625
2697025.83	0.613
2706838.221	0.585
2723745.3145	0.613
2733123.535	0.294
2750496.163	0.55
2765184.372	0.095
2791920.4545	0.192
2804211.945	0.638
2815621.052	0.612
2827014.452	0.612
2838481.4105	0.6
2856537.663	0.575
2876463.52	0.588
2893155.22	0.574
2906478.7945	0.538
2915500.0325	0.548
2925954.7305	0.607
2938671.1685	0.239
2954284.3395	0.537
2963644.2635	0.526
2972009.3975	0.49
2984534.872	0.49
3001489.0335	0.514
3010489.343	0.455
3022210.062	0.501
3030433.053	0.526
3037880.938	0.477
3045375.607	0.478
3052797.962	0.478
3062041.0905	0.456
3070414.5865	0.444
3085017.4525	0.217
3093543.3375	0.423
3104967.4865	0.379
3113277.6225	0.411
3119600.6235	0.367
3126112.765	0.411
3140818.0985	0.083
3156014.432	0.401
3166325.21	0.312
3173036.855	0.34
3182415.0735	0.321
3192448.1045	0.293
3204563.8245	0.258
3211185.146	0.275
3220369.681	0.267
3232059.508	0.275
3238228.64	0.22
3244175.879	0.266
3250422.4675	0.329
3256476.466	0.338
3263584.9705	0.317
3272532.2945	0.317
3280242.28	0.101
3287421.075	0.288
3297701.713	0.18
3304073.6435	0.121
3309663.7525	0.12
3318879.0525	0.146
3345868.9855	0.134
3356442.9795	0.137
3377767.756	0.147
3383510.17	0.123
3389165.244	0.119
3395971.936	0.123
3402281.5455	0.103
3408515.2185	0.103
3414686.189	0.092
3422083.4375	0.089
3429182.7445	0.095
3434851.9555	0.097
3440345.7815	0.075
3446329.855	0.078
3452710.1065	0.075
3458890.3305	0.08
3464678.287	0.075
3471137.396	0.078
3481177.321	0.062
3488059.6955	0.06
3495768.3505	0.046
3504408.653	0.036
3510430.06	0.051
3516853.9685	0.049
3523119.918	0.042
3529765.973	0.026
3535815.5205	0.029
3542849.645	0.033
3554824.449	0.031
3573082.767	0.035
3585519.4915	0.037
