midpoint	G12
238668.5	0.375
562269.0	0.375
755595.5	0.375
882130.5	0.375
1082309.5	0.375
1248987.5	0.375
1336090.0	0.375
1559278.0	0.375
1730384.5	0.375
1802522.5	0.375
1879208.0	0.375
1943141.5	0.375
1990134.5	0.375
2029653.0	0.375
2075434.5	0.375
2134747.5	0.375
2202706.5	0.375
2266888.0	0.375
2373241.0	0.375
2446021.0	0.375
2512075.0	0.375
2575503.0	0.375
2623653.5	0.375
2672261.0	0.375
2723181.0	0.375
2816354.0	0.375
2846578.0	0.375
2884603.5	0.375
2918715.0	0.375
2948177.5	0.375
3004009.0	0.375
3049889.5	0.375
3091041.0	0.375
3134264.5	0.375
3179006.0	0.375
3228067.0	0.375
3265459.0	0.375
3324556.0	0.375
3392599.0	0.375
3449585.0	0.375
3510749.0	0.375
3561051.5	0.375
3613271.0	0.375
3667238.0	0.375
3726294.0	0.375
3765795.5	0.375
3817095.5	0.375
3878249.0	0.375
3914676.5	0.375
3954306.5	0.375
4035148.5	0.375
4089478.5	0.375
4128710.5	0.375
4178011.5	0.375
4318243.5	0.375
4466423.0	0.375
4810120.5	0.375
4862960.5	0.375
4967536.5	0.375
5065466.5	0.375
5132694.5	0.375
5219810.5	0.375
5280959.0	0.375
5343411.0	0.375
5389047.5	0.375
5471018.5	0.375
5529607.5	0.375
5594828.5	0.375
5641975.0	0.375
5688954.5	0.375
5745405.0	0.375
5798975.0	0.375
5839687.5	0.375
5907903.5	0.375
5959305.0	0.375
6004561.0	0.375
6059680.5	0.375
6092316.0	0.375
6134139.5	0.375
6195335.5	0.375
6258775.5	0.375
6296878.5	0.375
6362119.0	0.375
6413621.5	0.375
6481782.0	0.375
6522120.5	0.375
6559272.0	0.375
6610544.0	0.375
6644947.0	0.375
6676575.0	0.375
6708625.5	0.375
6738695.5	0.375
6780206.0	0.375
6815248.5	0.375
6858848.5	0.375
6915494.0	0.375
6945630.0	0.375
6980203.0	0.375
7039348.5	0.375
7085842.5	0.375
7161158.5	0.375
7352226.0	0.375
7495055.5	0.375
7594342.0	0.375
7623852.5	0.375
7647859.0	0.375
7798670.5	0.375
7859499.0	0.375
7906985.0	0.375
7959532.0	0.375
8030137.5	0.375
8058896.5	0.375
8100804.0	0.375
8179320.5	0.375
8221859.5	0.375
8275407.5	0.375
8315861.5	0.375
8356547.0	0.375
8405993.5	0.375
8432476.5	0.375
8462867.5	0.375
8481809.0	0.375
8501299.5	0.375
8525125.5	0.375
8542295.0	0.375
8559424.5	0.375
8601750.0	0.375
8624522.5	0.375
8651286.5	0.375
8676393.5	0.375
8709197.5	0.375
8752272.0	0.375
8799781.5	0.375
8837173.5	0.375
8868196.5	0.375
8937810.5	0.375
8985098.5	0.375
9010218.5	0.375
9051454.5	0.375
9100590.5	0.375
9146939.5	0.375
9167677.0	0.375
9254177.5	0.375
9308893.5	0.375
9345116.0	0.375
9365791.0	0.375
9386268.5	0.375
9455566.0	0.375
9478377.0	0.375
9531936.5	0.375
9609225.5	0.375
9635841.5	0.375
9662162.5	0.375
9698269.0	0.375
9725461.0	0.375
9778137.0	0.375
9801532.5	0.375
9849800.0	0.375
10018101.0	0.375
10046641.5	0.375
10074933.0	0.375
10101050.0	0.375
10189326.5	0.375
10204017.0	0.375
10219799.0	0.375
10244085.0	0.375
10294223.5	0.375
10332434.5	0.375
10371395.0	0.375
10406456.5	0.375
10433124.5	0.375
10452227.5	0.375
10471252.0	0.375
10491796.0	0.375
10516696.0	0.375
10542520.5	0.375
10562780.5	0.375
10603662.0	0.375
10623719.5	0.375
10648485.5	0.375
10675608.5	0.375
10702922.5	0.375
10727495.0	0.375
10760576.5	0.375
10781948.5	0.375
10812916.0	0.375
10854541.0	0.375
10900458.5	0.375
10943025.0	0.375
10975677.5	0.375
11006831.5	0.375
11045675.5	0.375
11067275.0	0.375
11088098.5	0.375
11102061.5	0.375
11116568.0	0.375
11138588.5	0.375
11213781.0	0.375
11251307.5	0.375
11283472.0	0.375
11316544.5	0.375
11336457.5	0.375
11356630.5	0.375
11373046.0	0.375
11391928.5	0.375
11407591.5	0.375
11432090.5	0.375
11455310.0	0.375
11490149.0	0.375
11537994.5	0.375
11592035.5	0.375
11642371.5	0.375
11662747.0	0.375
11681675.5	0.375
11708377.5	0.375
11730509.5	0.375
11752273.5	0.375
11772037.0	0.375
11789158.0	0.375
11807412.5	0.375
11821834.0	0.375
11836693.5	0.375
11854120.5	0.375
11874272.0	0.375
11898772.5	0.375
11913121.0	0.375
11934281.0	0.375
11951641.0	0.375
11970935.0	0.375
11992111.5	0.375
12010299.0	0.375
12025199.5	0.375
12044373.5	0.375
12062052.0	0.375
12084256.5	0.375
12104096.0	0.375
12118145.0	0.375
12132298.0	0.375
12149778.5	0.375
12164712.0	0.375
12179782.5	0.375
12197328.0	0.375
12213673.5	0.375
12229434.0	0.375
12246922.0	0.375
12263960.0	0.375
12293221.0	0.375
12308892.0	0.375
12342387.0	0.375
12375799.0	0.375
12394041.5	0.375
12416438.5	0.375
12431575.5	0.375
12450066.5	0.375
12469213.5	0.375
12489928.0	0.375
12503196.0	0.375
12517839.0	0.375
12531684.0	0.375
12545928.0	0.375
12560903.0	0.375
12577796.5	0.375
12591235.5	0.375
12603916.5	0.375
12622733.0	0.375
12656840.5	0.375
12674758.0	0.375
12690048.0	0.375
12706720.0	0.375
12724905.5	0.375
12743047.0	0.375
12763111.0	0.375
12785873.5	0.375
12806989.5	0.375
12822001.5	0.375
12851233.0	0.375
12866354.5	0.375
12880625.0	0.375
12899911.5	0.375
12933441.5	0.375
12954813.5	0.375
12969897.0	0.375
12983654.5	0.375
12999310.0	0.375
13017085.5	0.375
13033542.5	0.375
13047732.5	0.375
13060254.0	0.375
13074428.5	0.375
13088695.0	0.375
13102262.0	0.375
13116724.5	0.375
13134610.0	0.375
13153946.5	0.375
13171835.5	0.375
13194150.5	0.375
13209386.5	0.375
13222689.0	0.375
13235576.5	0.375
13260508.0	0.375
13281432.5	0.375
13297717.0	0.375
13312999.5	0.375
13324876.0	0.375
13340809.5	0.375
13360542.5	0.375
13378574.0	0.375
13395705.0	0.375
13411865.5	0.375
13426987.5	0.375
13445851.0	0.375
13462813.5	0.375
13477589.5	0.375
13493325.0	0.375
13511166.0	0.375
13529001.0	0.375
13554672.5	0.375
13575442.5	0.375
13591019.5	0.375
13605628.0	0.375
13632537.0	0.375
13648786.0	0.375
13662100.5	0.375
13678704.0	0.375
13704414.5	0.375
13791762.0	0.375
13811690.0	0.375
13827965.5	0.375
13946503.0	0.375
13963399.5	0.375
13987116.5	0.375
14000697.0	0.375
14022257.0	0.375
14038407.0	0.375
14054373.5	0.375
14072883.5	0.375
14085187.5	0.375
14100005.5	0.375
14112271.0	0.375
14127367.5	0.375
14142778.5	0.375
14158331.5	0.375
14173338.5	0.375
14189974.5	0.375
14200228.0	0.375
14211949.5	0.375
14225675.0	0.375
14242004.0	0.375
14255973.0	0.375
14274931.0	0.375
14292990.0	0.375
14308885.5	0.375
14325218.5	0.375
14341912.5	0.375
14360163.0	0.375
14373604.0	0.375
14392189.0	0.375
14412235.5	0.375
14432238.0	0.375
14466905.0	0.375
14496162.0	0.375
14510803.5	0.375
14535033.5	0.375
14569154.0	0.375
14583716.0	0.375
14619905.0	0.375
14636631.5	0.375
14652675.5	0.375
14672136.0	0.375
14685320.0	0.375
14696474.0	0.375
14708748.0	0.375
14728693.0	0.375
14742712.0	0.375
14760130.5	0.375
14773968.0	0.375
14785552.5	0.375
14798480.5	0.375
14838054.0	0.375
14852583.0	0.375
14864053.0	0.375
14877721.5	0.375
14887497.0	0.375
14897543.0	0.375
14908254.0	0.375
14919439.5	0.375
14940737.0	0.375
14954144.0	0.375
14964710.0	0.375
14979738.0	0.375
14991108.0	0.375
15007845.0	0.375
15020215.5	0.375
15033140.5	0.375
15045106.0	0.375
15058238.5	0.375
15088110.5	0.375
15101094.0	0.375
15114189.0	0.375
15126147.5	0.375
15138499.0	0.375
15176043.0	0.375
15190645.0	0.375
15212209.5	0.375
15234410.5	0.375
15246657.5	0.375
15258143.0	0.375
15296062.5	0.375
15312313.0	0.375
15327523.5	0.375
15352792.0	0.375
15366615.0	0.375
15380590.5	0.375
15395458.5	0.375
15410553.5	0.375
15422261.0	0.375
15436328.0	0.375
15448113.5	0.375
15461510.0	0.375
15473907.0	0.375
15524408.5	0.375
15536784.5	0.375
15549560.0	0.375
15644285.0	0.375
15666807.0	0.375
15683489.5	0.375
15700056.0	0.375
15736404.0	0.375
15751756.0	0.375
15764672.0	0.375
15777718.5	0.375
15796590.0	0.375
15812767.5	0.375
15826990.0	0.375
15844867.5	0.375
15858545.0	0.375
15873862.0	0.375
15898611.5	0.375
15969437.0	0.375
16018179.5	0.375
16031857.5	0.375
16059216.0	0.375
16096169.0	0.375
16148823.0	0.375
16246704.0	0.375
16260891.5	0.375
16298028.0	0.375
16314936.5	0.375
16334891.5	0.375
16354873.5	0.375
16373492.5	0.375
16387357.0	0.375
16403835.5	0.375
16417321.5	0.375
16429514.0	0.375
16439981.0	0.375
16452452.5	0.375
16471136.5	0.375
16489962.0	0.375
16508191.5	0.375
16525156.5	0.375
16541455.5	0.375
16558434.5	0.375
16570682.5	0.375
16590316.0	0.375
16602318.0	0.375
16614668.0	0.375
16628582.0	0.375
16642487.0	0.375
16655336.0	0.375
16669418.5	0.375
16685064.5	0.375
16697157.0	0.375
16708621.5	0.375
16719732.0	0.375
16733913.0	0.375
16745011.5	0.375
16760118.5	0.375
16773432.0	0.375
16785785.0	0.375
16799655.5	0.375
16814977.5	0.375
16829276.5	0.375
16840300.5	0.375
16851563.5	0.375
16864727.5	0.375
16885291.0	0.375
16898423.5	0.375
16911302.0	0.375
16926661.0	0.375
16940253.5	0.375
16954920.0	0.375
16967630.5	0.375
16981399.0	0.375
16993387.5	0.375
17009171.5	0.375
17027418.0	0.375
17039524.5	0.375
17051661.5	0.375
17068196.5	0.375
