window	window.chrom	window.pos	moving.Fst	hmm.output
1	2L	402324	-0.00537861941592202	0
2	2L	1268303	-0.00529707294583089	0
3	2L	2736317	-0.000642204717939717	0
4	2L	3065388	0.00696174402004994	0
5	2L	3196092	0.0028633185036776	0
6	2L	3296308	-0.00848332549915337	0
7	2L	3406558	-0.00798487205663882	0
8	2L	3463019	-0.00772197580564907	0
9	2L	3521496	-0.000569364124380336	0
10	2L	3600980	0.000301695433251009	0
11	2L	3665621	0.000536997959446673	0
12	2L	3706770	0.00122321687301334	0
13	2L	3750183	0.000752517843337834	0
14	2L	3798490	0.00190031925171279	0
15	2L	3862068	0.00707354827471812	0
16	2L	3900863	-0.00123251282669129	0
17	2L	3945454	-0.00564283272225085	0
18	2L	3976939	-0.00481857058290229	0
19	2L	4117046	-0.000487476078140408	0
20	2L	4157277	-0.00139279690151786	0
21	2L	4207995	-0.00317750782181913	0
22	2L	4251307	-0.00165667176033489	0
23	2L	4286891	0.000176056130058574	0
24	2L	4323651	-0.00195360504024527	0
25	2L	4361627	-0.00177229606616293	0
26	2L	4412364	-0.00151968466398384	0
27	2L	4446420	-0.00282291048859286	0
28	2L	4491272	-0.00374707503557125	0
29	2L	4518506	-0.00306940519637314	0
30	2L	4569289	-0.00159163444797068	0
31	2L	4599476	-0.00248253701893756	0
32	2L	4673450	-0.00200194462393164	0
33	2L	4716660	-0.00310595275413065	0
34	2L	4747011	-0.00404476987196037	0
35	2L	4780574	-0.00257906555599832	0
36	2L	4806468	-0.00409327169381376	0
37	2L	4838176	-0.0034937070513986	0
38	2L	4878552	-0.0022379512537114	0
39	2L	4926777	-0.00175323053268856	0
40	2L	4965930	-0.00179180439297493	0
41	2L	5009543	-0.000979901260442969	0
42	2L	5225799	-0.00341459527423165	0
43	2L	5499812	-0.000439380046081427	0
44	2L	5563488	-0.00224946128287169	0
45	2L	5650047	-0.00164821052204103	0
46	2L	5692306	-0.00366866179597267	0
47	2L	5734643	-0.00456549922132415	0
48	2L	5785993	-0.000470104943142086	0
49	2L	5828375	0.000972785364020205	0
50	2L	5886203	-0.00313567021639302	0
51	2L	5918872	-0.00334058539800169	0
52	2L	5978805	-0.000144796651787369	0
53	2L	6019503	-0.00116507610826204	0
54	2L	6068369	0.00113932768952013	0
55	2L	6111089	-0.00202502825564376	0
56	2L	6149383	-0.00281132020018915	0
57	2L	6176147	-0.00190978540401901	0
58	2L	6203129	-0.000721516249237056	0
59	2L	6239582	0.000134208776725083	0
60	2L	6265701	-0.00116551382491829	0
61	2L	6383227	-0.000694455164882078	0
62	2L	6415691	-0.00553727291782867	0
63	2L	6445947	-0.000494613760483105	0
64	2L	6473752	-0.00117561702181361	0
65	2L	6506314	-0.00146075001193337	0
66	2L	6538037	-0.00184361755936275	0
67	2L	6590433	0.00414433026747981	0
68	2L	6624101	-0.00111388958983208	0
69	2L	6656068	0.00182523808525102	0
70	2L	6689571	0.00208624657108713	0
71	2L	6721496	0.00455248621929597	0
72	2L	6747321	0.00013124521469766	0
73	2L	6774451	-0.000795276136457319	0
74	2L	6804622	0.00259154635152342	0
75	2L	6834112	-0.000235154611242057	0
76	2L	6859760	-0.00121176725864722	0
77	2L	6883315	-0.00240304049059461	0
78	2L	6909639	-0.00161347849523195	0
79	2L	6935361	-0.00247057091462384	0
80	2L	6957475	-0.00120607914791095	0
81	2L	6989577	-0.00128197633603925	0
82	2L	7027138	-0.000695075151069397	0
83	2L	7065756	-0.00224957756021612	0
84	2L	7098031	0.00515915907538977	0
85	2L	7145617	0.0013457519927801	0
86	2L	7193250	-0.000673984897624834	0
87	2L	7232110	-0.00272022744147359	0
88	2L	7256766	-0.00184132527805351	0
89	2L	7304657	0.000430553204849654	0
90	2L	7342164	0.00084444066687755	0
91	2L	7447937	0.00308292375924248	0
92	2L	7542846	0.00235913371083327	0
93	2L	7585707	-0.000376378630697581	0
94	2L	7617848	-0.000237890702796866	0
95	2L	7653626	-0.00108359589074722	0
96	2L	7688006	-0.00404860053739187	0
97	2L	7713693	-0.00342816062329886	0
98	2L	7754531	-0.00253680232617834	0
99	2L	7794002	-0.000261548566743436	0
100	2L	7825986	-0.00354602544468356	0
101	2L	7857166	-0.0032211374987742	0
102	2L	7889626	-0.00258359536161564	0
103	2L	7918262	-0.0040807931311858	0
104	2L	7946719	-0.00314119965303548	0
105	2L	7973057	-0.00149767724345379	0
106	2L	7997325	-0.00343743311838388	0
107	2L	8023793	-3.64925524871081e-06	0
108	2L	8055185	-0.00339845617940884	0
109	2L	8076052	-0.00310154742406636	0
110	2L	8100969	-0.00222844178899173	0
111	2L	8141019	-0.000641690766194733	0
112	2L	8191167	-0.0020756291175025	0
113	2L	8234651	-0.00418901723472913	0
114	2L	8269664	-0.00176764135923514	0
115	2L	8309684	-0.00222379409883318	0
116	2L	8356821	-0.0011920519705679	0
117	2L	8604042	-0.00310605323042144	0
118	2L	8644127	-0.00257846222609978	0
119	2L	8682090	-0.00158191145175505	0
120	2L	8718112	-0.000976214890621581	0
121	2L	8753371	-0.0016420766060063	0
122	2L	8797640	-0.0012443485867394	0
123	2L	8848740	-0.00364033131523554	0
124	2L	8882454	-0.000700386674034932	0
125	2L	8919013	-0.00164391491975757	0
126	2L	8949277	7.00744119516089e-05	0
127	2L	8988814	-0.000441786707882016	0
128	2L	9012520	-0.00101390640247429	0
129	2L	9039466	-2.29873916737596e-05	0
130	2L	9071600	-0.000890255103333616	0
131	2L	9105301	-0.000223807458710218	0
132	2L	9168072	-0.00109959059542827	0
133	2L	9199237	0.0013031871661165	0
134	2L	9235695	0.000246889084079138	0
135	2L	9307841	-0.00291910838593613	0
136	2L	9335555	-0.000977539416999155	0
137	2L	9371469	3.16747257080138e-05	0
138	2L	9402302	-0.00163112704806741	0
139	2L	9435402	-0.00178226230996563	0
140	2L	9463224	-0.00229412405019662	0
141	2L	9490574	-0.000792576865126912	0
142	2L	9517588	-0.00212598951211643	0
143	2L	9555277	-0.00215937516272431	0
144	2L	9581682	-0.000834981528190457	0
145	2L	9611253	-0.0047080219568125	0
