midpoint	h1x
9170.925	0.009
18159.2665	0.049
23847.06	0.012
29867.5655	0.006
36012.941	0.022
42094.369	0.002
48527.251	0.006
54833.0685	0.009
60828.646	0.011
67157.0525	0.006
73761.8355	0.009
79643.655	0.006
86154.899	0.006
93176.3485	0.006
99414.618	0.012
106014.1875	0.01
112182.7115	0.01
119581.239	0.007
125701.14	0.006
132837.2475	0.019
140050.149	0.019
146054.375	0.013
152418.8905	0.014
159636.2795	0.012
165891.0665	0.004
172069.9535	0.018
178646.067	0.014
184871.9315	0.008
191785.7665	0.011
198740.088	0.008
204757.824	0.002
210845.0265	0.005
216925.0695	0.03
222702.6165	0.006
228464.0115	0.007
234080.5735	0.004
239739.9985	0.002
245440.2625	0.008
251118.6825	0.006
256950.9575	0.007
263042.948	0.009
269078.525	0.009
274991.6835	0.019
280810.131	0.006
287500.135	0.008
293714.112	0.012
299342.5145	0.006
305032.7485	0.009
310528.368	0.002
316246.578	0.008
322593.497	0.008
329039.7195	0.027
334796.9515	0.004
340095.922	0.005
345524.2445	0.026
350891.0145	0.023
356389.1335	0.011
366685.115	0.023
374334.056	0.006
379798.174	0.005
385222.1065	0.006
390671.849	0.009
396193.031	0.008
401536.28	0.006
407182.417	0.022
412780.182	0.002
419527.1855	0.001
427107.4295	0.001
432662.6725	0.004
438207.6425	0.003
443922.5985	0.014
449788.5465	0.002
455214.6725	0.003
460795.896	0.003
467104.8925	0.005
473411.542	0.007
479051.278	0.008
484826.366	0.008
490732.346	0.002
496143.902	0.0
501692.324	0.004
507241.188	0.003
512540.2195	0.012
517906.5915	0.018
523602.3235	0.001
529173.6935	0.001
534486.5935	0.0
539955.855	0.0
545182.755	0.0
550213.0285	0.001
555047.824	0.003
559878.3755	0.001
564738.301	0.001
569598.4805	0.005
574396.071	0.005
579092.1025	0.006
584007.2285	0.007
588931.8035	0.004
593861.145	0.002
598801.2755	0.002
603562.113	0.001
608716.533	0.0
615515.737	0.001
621240.5945	0.001
626157.781	0.001
631037.115	0.001
635891.2395	0.002
640844.768	0.002
646563.292	0.0
651672.815	0.003
656628.0905	0.004
662931.67	0.0
668297.849	0.0
673192.1865	0.001
677984.184	0.001
682819.177	0.001
687553.8535	0.001
692568.2765	0.0
697423.0935	0.001
702287.2295	0.0
707078.034	0.0
711842.589	0.0
716727.2025	0.0
721680.171	0.002
726535.3945	0.0
731527.506	0.0
736564.8965	0.0
741832.3235	0.0
747123.343	0.002
752378.755	0.0
757734.6495	0.002
762857.783	0.0
767938.5285	0.0
772867.4255	0.001
777688.5935	0.002
782538.881	0.0
787887.224	0.0
793280.932	0.0
798380.7905	0.0
803420.3045	0.0
808413.8185	0.001
813262.693	0.001
818114.874	0.0
823060.2135	0.0
827935.352	0.0
832948.992	0.0
838235.125	0.003
843507.0645	0.0
848580.6005	0.0
853476.3015	0.0
858392.4635	0.0
863335.1205	0.0
868552.094	0.0
873737.5555	0.0
878900.7545	0.0
884796.1815	0.0
889744.8565	0.0
894679.6725	0.0
900198.5205	0.0
910413.0405	0.001
915378.7625	0.0
920344.4845	0.0
925625.561	0.0
930798.337	0.0
935901.364	0.0
941022.5005	0.0
946237.771	0.0
951394.4415	0.0
956627.7445	0.0
965741.218	0.0
972027.8025	0.0
977427.7305	0.0
982319.893	0.0
