window	window.chrom	window.pos	moving.Fst	hmm.output
1	2L	411969	-0.00348013408546991	0
2	2L	1588056	-0.00177722245316946	0
3	2L	2868240	-0.00429057087825733	0
4	2L	3072679	-0.00246600221053655	0
5	2L	3165519	-0.0019579260756755	0
6	2L	3241288	-0.00605715591103028	0
7	2L	3304085	-0.00548757765704133	0
8	2L	3395466	-0.00555282855654433	0
9	2L	3439347	-0.00353917605097068	0
10	2L	3486044	-0.00339544154922083	0
11	2L	3518263	-0.00404183423256684	0
12	2L	3562317	-0.00288869858873819	0
13	2L	3611830	-0.0017860641373431	0
14	2L	3643287	-0.00236162507995644	0
15	2L	3683451	-0.00142108426087755	0
16	2L	3718063	-0.000246888080069429	0
17	2L	3744489	-0.0017147544206402	0
18	2L	3775987	-0.00324305203106245	0
19	2L	3841313	-0.0012167265961167	0
20	2L	3872620	-0.0041806165696305	0
21	2L	3914757	-0.00177036367424117	0
22	2L	3946552	0.00251690025861972	0
23	2L	3972364	0.00216624392972334	0
24	2L	4104457	-0.00170747280486534	0
25	2L	4135195	-0.00215301436180692	0
26	2L	4170893	0.00114348934667766	0
27	2L	4222488	-0.000876904876898272	0
28	2L	4251382	-0.00180182554992058	0
29	2L	4283288	-0.00207630515507761	0
30	2L	4310106	-0.000294237482512992	0
31	2L	4334976	0.000674535555292112	0
32	2L	4364541	-0.00119715485502936	0
33	2L	4406318	-0.00256061599632877	0
34	2L	4431265	-0.00186234328241061	0
35	2L	4453737	-0.00212784293122146	0
36	2L	4487768	-0.000783129609729069	0
37	2L	4510820	0.000101589864108566	0
38	2L	4529748	0.00045469497494508	0
39	2L	4581021	0.000531581057733958	0
40	2L	4607261	0.00165134727689496	0
41	2L	4676588	0.000807476224154084	0
42	2L	4716077	0.0014541589187433	0
43	2L	4742146	0.00241164034985762	0
44	2L	4767857	0.00130319516760403	0
45	2L	4792873	-0.00115516331104067	0
46	2L	4817981	-0.000788616687037957	0
47	2L	4853289	0.000888672353449206	0
48	2L	4883328	-0.000310994251422051	0
49	2L	4928268	-0.00125399785765875	0
50	2L	4964798	-0.00160599375176874	0
51	2L	5006806	0.00203985988136761	0
52	2L	5060270	0.00182488511844717	0
53	2L	5412768	-0.00117747745944013	0
54	2L	5510793	0.00119496157975405	0
55	2L	5562880	-0.000755763304130948	0
56	2L	5629896	-0.000336390159262592	0
57	2L	5664807	0.000578247580687183	0
58	2L	5700044	0.00166264874938443	0
59	2L	5731574	0.00516125268875731	0
60	2L	5774127	0.00134804424335707	0
61	2L	5803754	0.00155580427334384	0
62	2L	5848547	0.00256960341372574	0
63	2L	5887711	0.00187859066532346	0
64	2L	5917537	0.000219884970432973	0
65	2L	5942612	0.00380612182652386	0
66	2L	6002513	0.00230345258882483	0
67	2L	6040272	0.00356929101283406	0
68	2L	6078368	0.00138008218806193	0
69	2L	6111259	0.0046363626289677	0
70	2L	6136653	0.00798408060164806	0
71	2L	6163110	0.00294418184288635	0
72	2L	6182187	0.00210926714932588	0
73	2L	6204061	0.00281303082489955	0
74	2L	6234866	0.00149024235665658	0
75	2L	6258312	0.00270262888189205	0
76	2L	6370365	0.00386718157692731	0
77	2L	6399504	0.00285339520474626	0
78	2L	6422671	0.00423735852150432	0
79	2L	6448446	0.00478491925197349	0
80	2L	6473620	0.00406239429938443	0
81	2L	6502997	0.00606109360542413	0
82	2L	6530877	0.00553996314354363	0
83	2L	6554636	0.00574360905162027	0
84	2L	6607021	0.00494925549651027	0
85	2L	6639115	0.00377904385369907	0
86	2L	6667447	0.00469076785653584	0
87	2L	6694764	0.000645697096616162	0
88	2L	6723879	0.00481763167195108	0
89	2L	6745764	0.00247401036835974	0
90	2L	6770485	0.00249391563596832	0
91	2L	6801815	0.00571917691019233	0
92	2L	6830887	0.00375604513350038	0
93	2L	6854656	0.00351815448927377	0
