midpoint	G12
92658.5	0.375
150875.5	0.375
201406.5	0.375
250304.5	0.375
281989.0	0.375
307122.5	0.375
349054.0	0.375
378312.5	0.375
403883.0	0.375
423653.0	0.375
446898.0	0.375
468252.5	0.375
488383.5	0.375
506584.0	0.375
527174.0	0.375
543946.0	0.375
565086.0	0.375
588372.0	0.375
606910.5	0.375
626468.5	0.375
648026.5	0.375
670603.0	0.375
688583.0	0.375
705691.0	0.375
724875.0	0.375
739440.0	0.375
752336.5	0.375
767096.5	0.375
781717.5	0.375
795224.5	0.375
808857.5	0.375
820290.5	0.375
834711.0	0.375
856905.0	0.375
878703.5	0.375
895933.5	0.375
911384.5	0.375
926456.0	0.375
942417.0	0.375
954590.0	0.375
968223.5	0.375
982164.5	0.375
996419.0	0.375
1012206.5	0.375
1026851.5	0.375
1043122.0	0.375
1058314.0	0.375
1075023.0	0.375
1089966.0	0.375
1106362.5	0.375
1121777.5	0.375
1137594.5	0.375
1152507.0	0.375
1169638.0	0.375
1188033.0	0.375
1204893.5	0.375
1222889.0	0.375
1253376.5	0.375
1267055.0	0.375
1281597.0	0.375
1297479.0	0.375
1312963.0	0.375
1326050.5	0.375
1340766.0	0.375
1355273.0	0.375
1374064.0	0.375
1386271.5	0.375
1403106.5	0.375
1416876.5	0.375
1433155.0	0.375
1446897.5	0.375
1460655.5	0.375
1477222.5	0.375
1491745.5	0.375
1510295.0	0.375
1524858.5	0.375
1540666.0	0.375
1554483.5	0.375
1568057.0	0.375
1584896.0	0.375
1599412.5	0.375
1616481.0	0.375
1640217.0	0.375
1658472.0	0.375
1671850.5	0.375
1685559.5	0.375
1701336.0	0.375
1716125.5	0.375
1731145.5	0.375
1749988.5	0.375
1765120.5	0.375
1779485.0	0.375
1794871.5	0.375
1810200.5	0.375
1824303.5	0.375
1836494.5	0.375
1851142.0	0.375
1865826.0	0.375
1879717.0	0.375
1894494.5	0.375
1910051.0	0.375
1924443.0	0.375
1939410.0	0.375
1961953.5	0.375
1978389.0	0.375
1988868.0	0.375
2001479.5	0.375
2017275.0	0.375
2032714.5	0.375
2049372.5	0.375
2067631.5	0.375
2081988.0	0.375
2095811.5	0.375
2111405.5	0.375
2132564.5	0.375
2148442.5	0.375
2167868.0	0.375
2186872.5	0.375
2205573.5	0.375
2225321.0	0.375
2241241.5	0.375
2255632.5	0.375
2270228.0	0.375
2284285.5	0.375
2303143.0	0.375
2319368.5	0.375
2334334.5	0.375
2352159.0	0.375
2370718.0	0.375
2387908.0	0.375
2403756.5	0.375
2420237.5	0.375
2435413.0	0.375
2452661.0	0.375
2468925.5	0.375
2484386.0	0.375
2501582.5	0.375
2515332.0	0.375
2528489.0	0.375
2544132.0	0.375
2560110.5	0.375
2575202.5	0.375
2590911.5	0.375
2607397.0	0.375
2621153.5	0.375
2642127.5	0.375
2659170.5	0.375
2672215.0	0.375
2686466.5	0.375
2700960.0	0.375
2716280.5	0.375
2734716.0	0.375
2748812.0	0.375
2763859.0	0.375
2780307.0	0.375
2795307.5	0.375
2812475.5	0.375
2826209.0	0.375
2841031.0	0.375
2859538.0	0.375
2875728.5	0.375
2890832.0	0.375
2906162.5	0.375
2918298.0	0.375
2932967.5	0.375
2945826.5	0.375
2962561.0	0.375
2974634.0	0.375
2989761.5	0.375
3001884.5	0.375
3015242.5	0.375
3027509.5	0.375
3038027.0	0.375
3053573.5	0.375
3070710.5	0.375
3083753.0	0.375
3096566.0	0.375
3109390.0	0.375
3121913.5	0.375
