midpoint	h12
36493.229	0.176
96000.438	0.032
157004.6595	0.162
174090.08	0.232
192003.046	0.755
220430.1925	0.521
243655.642	0.109
268302.58	0.783
294654.397	0.068
316919.325	0.126
335693.553	0.196
355321.0605	0.519
370106.3685	0.151
396688.812	0.042
415067.0695	0.097
432890.6835	0.414
452558.844	0.783
470581.5645	0.368
489183.013	0.7
516438.5975	0.331
542791.792	0.368
568058.6295	0.496
588917.536	0.698
606397.176	0.502
630994.414	0.543
640755.3825	0.593
648710.167	0.161
666837.9445	0.755
678231.5205	0.754
694013.1535	0.619
710124.8925	0.7
723568.1055	0.141
739065.055	0.167
750495.516	0.784
760263.293	0.568
769866.386	0.283
781972.1675	0.755
797099.336	0.568
820677.846	0.501
838428.538	0.124
859622.1125	0.701
879236.715	0.543
903020.011	0.389
925580.152	0.619
937716.691	0.505
947270.079	0.128
958085.9965	0.784
974563.162	0.701
985520.543	0.728
1001883.0265	0.157
1041262.847	0.114
1074190.3835	0.262
1093099.7405	0.433
1132694.6025	0.646
1147824.97	0.456
1172258.2615	0.301
1196715.81	0.545
1209658.768	0.246
1260153.7715	0.315
1276071.519	0.813
1284118.156	0.843
1295515.686	0.843
1319147.239	0.813
1333490.5225	0.265
1358699.668	0.408
1389534.2105	0.593
1413444.153	0.726
1427120.075	0.286
1470146.4805	0.257
1501536.952	0.392
1517884.9015	0.935
1527794.832	0.874
1538982.194	0.967
1547706.919	0.699
1557137.3535	0.297
1567307.874	0.967
1578775.584	0.046
1599029.3795	0.188
1618516.3575	0.098
1640616.704	0.967
1663394.1155	0.967
1690522.421	0.967
1705396.4415	0.644
1736193.2315	0.101
1778503.9345	0.674
1800467.826	0.369
1824035.6915	0.813
1840797.8085	0.903
1857078.4975	0.784
1872586.093	0.387
1898425.348	0.618
1919370.6155	0.593
1932730.9905	0.554
1948110.557	0.394
1961506.305	0.087
1971293.499	0.967
1987968.027	0.071
2006528.6405	1.0
2023000.478	0.967
2041132.046	0.647
2050786.515	0.904
2063637.3005	0.671
2076603.1205	0.594
2089140.342	0.935
2108118.3375	1.0
2118477.4125	0.783
2135207.5055	0.592
2163983.961	0.709
2223839.2275	0.332
2272556.8235	0.967
2287253.1295	0.903
2321144.234	0.569
2354159.3	1.0
2367467.5135	1.0
2382625.0875	0.967
2393570.345	0.935
2407207.416	1.0
2422069.806	1.0
2431674.5795	0.474
2444031.5025	0.812
2479162.4565	0.842
2496357.9075	0.936
2525098.8605	1.0
2539850.0275	0.936
2554033.643	0.904
2567790.0155	0.903
2577082.6915	0.967
2585850.7135	0.967
2595845.99	0.783
2606459.0065	0.671
2616392.4905	0.967
2626211.642	0.936
2638284.3065	0.813
2647409.401	1.0
2668506.2035	0.967
2685960.6705	0.967
2697025.83	0.903
2706838.221	0.967
2723745.3145	0.967
2733123.535	0.814
2750496.163	0.935
2765184.372	0.498
2791920.4545	0.499
2804211.945	0.967
2815621.052	0.903
2827014.452	1.0
2838481.4105	0.967
2856537.663	0.935
2876463.52	0.935
2893155.22	0.904
2906478.7945	0.904
2915500.0325	0.842
2925954.7305	0.842
2938671.1685	0.756
2954284.3395	0.873
2963644.2635	0.904
2972009.3975	0.904
2984534.872	0.873
3001489.0335	0.783
3010489.343	0.784
3022210.062	0.784
3030433.053	0.756
3037880.938	0.62
3045375.607	0.647
3052797.962	0.673
3062041.0905	0.647
3070414.5865	0.647
3085017.4525	0.308
3093543.3375	0.522
3104967.4865	0.621
3113277.6225	0.595
3119600.6235	0.487
3126112.765	0.646
3140818.0985	0.279
3156014.432	0.522
3166325.21	0.596
3173036.855	0.571
3182415.0735	0.571
3192448.1045	0.596
3204563.8245	0.522
3211185.146	0.571
3220369.681	0.596
3232059.508	0.571
3238228.64	0.502
3244175.879	0.456
3250422.4675	0.457
3256476.466	0.457
3263584.9705	0.456
3272532.2945	0.48
3280242.28	0.236
3287421.075	0.479
3297701.713	0.48
3304073.6435	0.434
3309663.7525	0.48
3318879.0525	0.434
3345868.9855	0.354
3356442.9795	0.415
3377767.756	0.323
3383510.17	0.415
3389165.244	0.415
3395971.936	0.308
3402281.5455	0.304
3408515.2185	0.29
3414686.189	0.34
3422083.4375	0.344
3429182.7445	0.326
3434851.9555	0.326
3440345.7815	0.308
3446329.855	0.258
3452710.1065	0.306
3458890.3305	0.308
3464678.287	0.308
3471137.396	0.308
3481177.321	0.272
3488059.6955	0.274
3495768.3505	0.273
3504408.653	0.274
3510430.06	0.257
3516853.9685	0.318
3523119.918	0.256
3529765.973	0.258
3535815.5205	0.214
3542849.645	0.27
3554824.449	0.288
3573082.767	0.256
3585519.4915	0.238
3596497.9	0.198
3605536.7205	0.208
3611650.3035	0.238
3617526.314	0.239
3623350.2565	0.208
3628811.85	0.159
3634490.4345	0.198
3641162.0005	0.239
3650692.116	0.239
3667923.01	0.165
3673913.1905	0.154
3679460.292	0.152
3684960.095	0.132
3690585.9445	0.151
3698232.9395	0.141
3706003.1825	0.153
3716474.1055	0.087
3722379.8625	0.151
3728463.9685	0.152
3733906.3975	0.156
3739289.659	0.155
3745019.094	0.152
3750572.4285	0.154
3755666.8195	0.143
3761147.5085	0.125
3770950.9455	0.152
3777849.554	0.116
3791426.1405	0.154
3798018.978	0.151
3803974.7265	0.146
3812975.273	0.146
3835206.337	0.089
3847963.621	0.148
3854289.6035	0.15
3859895.885	0.109
3865520.5025	0.139
3871794.2345	0.149
3877008.978	0.143
3882583.0335	0.147
3889585.9595	0.149
3896918.068	0.139
3906238.975	0.128
3912111.744	0.139
3918106.854	0.138
3923394.1985	0.149
3928508.4595	0.137
3934619.376	0.145
3943350.2805	0.139
3949286.861	0.15
3955949.3205	0.15
3963963.9955	0.149
3971088.9515	0.126
3976687.5785	0.179
3988896.162	0.179
4051515.3005	0.031
4101413.7915	0.097
4107422.687	0.08
4113112.2905	0.084
4119238.888	0.099
4125103.6675	0.096
4130874.2275	0.082
4136481.79	0.097
4142446.2875	0.117
4149780.9135	0.079
4157115.499	0.081
4165951.956	0.087
4171905.7655	0.082
4182819.3585	0.084
4190462.507	0.098
4203847.1235	0.082
4212746.752	0.094
4220597.565	0.077
4227066.1945	0.082
4234997.313	0.082
4242641.081	0.081
4248329.6355	0.062
4253800.035	0.074
4263082.3965	0.081
4276006.043	0.083
4281603.7345	0.088
4287392.8715	0.088
4294406.874	0.09
4305817.1725	0.089
4311525.925	0.088
4318255.939	0.066
4324440.8595	0.078
4330158.2665	0.087
4335893.359	0.082
4343954.555	0.087
4351929.612	0.083
4358486.325	0.091
4364041.1235	0.087
4379620.2725	0.087
4386866.4715	0.091
4393732.0635	0.098
4401373.384	0.082
4408378.629	0.097
4414237.6685	0.091
4420190.4385	0.11
4426210.768	0.091
4431885.559	0.081
4438279.9885	0.09
4444423.8815	0.081
4450609.1745	0.092
4457030.1205	0.089
4463294.385	0.087
4469455.551	0.084
4475766.7535	0.087
4485949.934	0.091
4492288.139	0.089
4497879.2545	0.09
4503933.338	0.088
4511022.914	0.087
4517200.3835	0.088
4522336.435	0.088
4527627.217	0.088
4551930.9545	0.088
4563317.094	0.057
4569910.0835	0.087
4577915.726	0.059
4585030.597	0.087
4590940.146	0.079
4598531.311	0.087
4606223.347	0.094
4627456.6435	0.069
4655781.7965	0.095
4667888.051	0.102
4674663.7285	0.114
4680167.259	0.104
4688403.8635	0.122
4697557.4885	0.123
4714997.1465	0.112
4725117.105	0.113
4732852.1685	0.113
4738480.317	0.123
4743683.9765	0.107
4751113.031	0.157
4758825.392	0.145
4764491.623	0.145
4769728.012	0.145
4776662.3235	0.114
4782861.2085	0.146
4788311.049	0.143
4794287.5275	0.143
4800505.2615	0.133
4805654.8305	0.133
4810693.647	0.156
4815852.124	0.133
4821424.3705	0.133
4827269.699	0.133
4832662.695	0.133
4847075.4005	0.133
4853420.453	0.132
4859134.3615	0.123
4865030.359	0.131
4873570.1525	0.098
4878838.2645	0.121
4884279.389	0.131
4900029.3435	0.142
4914644.371	0.121
4921756.198	0.146
4927065.157	0.12
4932975.1975	0.132
4943311.3495	0.119
4954215.051	0.154
4959662.7425	0.178
4965797.1455	0.178
4971399.6325	0.189
4977182.309	0.192
4982816.1425	0.178
4992933.291	0.178
5007782.422	0.18
5013460.599	0.155
5020137.9035	0.167
5031271.015	0.179
5071172.7735	0.029
5194609.4625	0.024
5250955.3305	0.021
5294148.28	0.021
5341810.9085	0.048
5409170.422	0.041
5465877.0785	0.023
5490125.453	0.048
5497095.786	0.059
5505380.6505	0.061
5512635.8285	0.058
5519460.3675	0.051
5526911.012	0.062
5536042.233	0.042
5558055.929	0.051
5569295.04	0.068
5583466.9015	0.035
5596397.4155	0.058
5606723.1395	0.064
5627913.451	0.058
5635967.216	0.076
5646651.376	0.071
5652910.1935	0.066
5658616.911	0.062
5664742.8695	0.079
5670687.689	0.118
5676385.5725	0.082
5682011.7975	0.077
5688240.0825	0.064
5694917.7625	0.051
5700883.801	0.051
5706573.151	0.076
5712765.487	0.076
5719675.5475	0.07
5725763.6695	0.066
5731783.6945	0.062
5737591.543	0.068
5743872.4485	0.068
5749899.4515	0.071
5756645.17	0.053
5764161.215	0.069
5771462.3715	0.064
5777843.9595	0.06
5785697.397	0.052
5791574.6235	0.068
5798416.0975	0.042
5807888.049	0.064
5815120.9005	0.058
5821235.131	0.049
5830609.9075	0.059
5845237.862	0.057
5860265.282	0.052
5865902.7625	0.048
5873390.667	0.049
5881285.741	0.051
5887544.9435	0.051
5892807.604	0.059
5902307.6015	0.046
5910891.8905	0.066
5916531.6575	0.053
5922164.759	0.065
5928132.841	0.066
5933645.7285	0.067
5939403.7885	0.054
5952552.6425	0.053
5979609.402	0.073
5987876.602	0.079
5993410.6985	0.067
5999670.8205	0.078
6007511.8325	0.054
6017557.322	0.043
6024444.191	0.084
6036359.294	0.061
6043352.8095	0.056
6057039.7675	0.053
6066951.979	0.054
6074616.367	0.067
6084811.737	0.066
6092158.4955	0.061
6105196.2325	0.055
6111155.049	0.051
6118302.237	0.057
6126705.041	0.056
6135167.8975	0.051
6141142.075	0.046
6150902.9105	0.045
6156665.5195	0.061
6162999.7455	0.059
6168215.4155	0.061
6173435.297	0.049
6178804.583	0.056
6184596.645	0.061
6190578.425	0.061
6196674.4915	0.056
6203125.3245	0.073
6208994.107	0.057
6215119.724	0.062
6221517.389	0.06
6227315.9635	0.048
6233460.191	0.053
6239233.024	0.046
6244545.936	0.048
6249774.404	0.049
6254876.859	0.05
6260236.0485	0.051
6268368.2105	0.049
6301832.5425	0.027
6345004.9145	0.029
6368660.594	0.066
6374179.6855	0.049
6380165.463	0.049
6386048.9235	0.057
6392103.051	0.055
6397681.951	0.051
6403575.531	0.061
6409450.321	0.051
6415389.998	0.052
6422769.3005	0.042
6430887.6005	0.056
6436083.935	0.049
6441907.051	0.053
6447500.4525	0.049
6452948.5205	0.054
6458660.394	0.049
6466164.5825	0.047
6472877.467	0.061
6482516.9955	0.053
6488246.517	0.054
6494146.475	0.053
6501913.4045	0.052
6508442.5905	0.049
6517989.759	0.053
6523400.8475	0.053
6528933.2165	0.056
6534568.555	0.051
6540115.988	0.043
6547043.507	0.053
6555721.7025	0.048
6571565.151	0.051
6590808.3725	0.046
6601060.7645	0.052
6606510.835	0.067
6612290.575	0.055
6617818.9155	0.059
6623057.7905	0.048
6629470.265	0.052
6637252.463	0.057
6644192.026	0.052
6649677.314	0.059
6655631.036	0.053
6663347.9025	0.053
6668721.871	0.052
6674338.293	0.053
6679852.3415	0.061
6685479.7115	0.053
6690789.9055	0.091
6696418.1635	0.054
6705364.193	0.052
6712491.39	0.066
6717735.5075	0.058
6723003.397	0.053
6728282.718	0.053
6734808.1995	0.042
6739997.1025	0.04
6745086.046	0.047
6750385.6255	0.046
6755801.175	0.046
6762071.4205	0.056
6768491.451	0.046
6774416.603	0.052
6785372.9625	0.044
6790672.683	0.046
6795950.3105	0.045
6801362.7575	0.053
6807049.149	0.053
6813315.6865	0.057
6818459.8445	0.042
6825256.573	0.041
6833239.167	0.048
6838888.3285	0.048
6844022.366	0.053
6849258.871	0.048
6854456.176	0.045
6859700.718	0.044
6864887.4855	0.055
6869980.4985	0.048
6875157.0	0.048
6880288.3715	0.057
6885577.7145	0.048
6890734.302	0.059
6895998.432	0.051
6901336.63	0.046
6906359.4595	0.047
6911603.5635	0.044
6916947.5405	0.048
6922283.9565	0.046
6928134.918	0.048
6934372.584	0.048
6939403.89	0.052
6944583.556	0.047
6949842.137	0.063
6955503.327	0.053
6964867.3055	0.046
6974832.8055	0.043
6980045.623	0.05
6985310.139	0.047
6990618.553	0.048
6996514.3025	0.048
7002256.0235	0.046
7009632.7225	0.053
7020198.254	0.048
7026456.562	0.05
7032674.3755	0.049
7040921.0795	0.047
7049788.588	0.054
7055804.0335	0.049
7063638.624	0.046
7069852.8435	0.039
7076110.661	0.048
7081675.128	0.05
7087473.8395	0.047
7092899.156	0.047
7098111.1705	0.046
7103563.3765	0.048
7109022.896	0.045
7114880.015	0.043
7132720.364	0.042
7143736.863	0.047
7157082.5775	0.039
7172077.0235	0.039
7181917.078	0.047
7187568.312	0.056
7193123.632	0.057
7203562.3615	0.053
7214717.268	0.042
7225062.557	0.048
7230686.6265	0.054
7235808.678	0.048
7241521.129	0.052
7247420.9135	0.052
7253224.0515	0.041
7264056.138	0.053
7280837.8235	0.048
7291153.1685	0.054
7296968.1735	0.054
7302436.516	0.053
7310893.1625	0.042
7324778.951	0.056
7330124.0865	0.041
7335623.0055	0.049
7341133.114	0.056
7355514.5575	0.044
7391183.0655	0.033
7428051.9825	0.041
7442157.8435	0.041
7449551.4295	0.041
7455465.6295	0.046
7490581.824	0.031
7520501.8895	0.039
7532691.166	0.035
7540312.664	0.043
7547800.454	0.04
7555594.206	0.053
7561566.2165	0.042
7568488.5805	0.043
7580187.328	0.044
7587212.9845	0.043
7593681.0055	0.046
7600960.028	0.042
7606660.5635	0.046
7611962.412	0.042
7617228.3235	0.041
7622400.231	0.043
7627504.761	0.042
7632425.429	0.042
7637516.483	0.042
7642813.2025	0.042
7648055.5545	0.041
7653258.84	0.04
7658201.4805	0.041
7663225.1425	0.042
7668412.558	0.042
7673851.8445	0.049
7679164.7135	0.04
7684368.099	0.043
7689633.879	0.042
7695154.904	0.04
7700282.464	0.039
7705361.3035	0.041
7710437.835	0.044
7715433.7235	0.044
7720594.1755	0.038
7732029.3445	0.037
7739255.646	0.039
7747783.85	0.04
7758730.5275	0.048
7766275.9955	0.034
7774911.452	0.058
7782681.4435	0.038
7792654.192	0.057
7797862.3	0.041
7803239.1085	0.041
7809378.1355	0.037
7819718.8255	0.033
7826111.134	0.037
7831749.723	0.036
7837123.8505	0.037
7842973.9155	0.037
7848844.934	0.038
7855719.081	0.041
7861746.274	0.042
7867193.195	0.038
7872549.6745	0.038
7878126.0375	0.037
7883683.41	0.046
7888977.8635	0.041
7894433.697	0.042
7899811.777	0.051
7905178.1575	0.037
7910440.9665	0.037
