midpoint	h1x
6326.3105	0.024
13166.6605	0.012
19570.393	0.031
27065.757	0.031
35255.5025	0.019
42529.734	0.023
48581.772	0.016
54946.779	0.026
62914.1915	0.027
71002.595	0.038
79145.8535	0.013
87474.3755	0.025
93839.3645	0.019
100504.684	0.025
106504.417	0.015
112643.523	0.018
119058.45	0.018
125696.738	0.015
131780.0205	0.026
137645.0905	0.043
143578.935	0.014
149495.298	0.018
155723.456	0.014
161814.167	0.015
167599.217	0.014
173601.6045	0.012
179721.617	0.014
186319.7795	0.009
192386.5205	0.018
198342.3025	0.016
204640.596	0.017
211219.995	0.012
217639.5105	0.01
223854.883	0.023
230152.887	0.016
236187.9025	0.014
242415.0155	0.016
248970.222	0.013
255387.125	0.014
261569.082	0.006
268029.9335	0.015
273906.4155	0.018
280522.51	0.012
286619.213	0.007
292614.742	0.006
298210.469	0.006
304055.279	0.006
310015.565	0.01
315462.9415	0.014
320796.379	0.01
326289.663	0.009
343747.0135	0.002
351615.664	0.011
356951.213	0.013
364065.4935	0.01
371549.242	0.017
377220.4265	0.017
382839.5685	0.012
388352.905	0.015
393603.475	0.023
398739.4745	0.011
403965.3745	0.017
409104.178	0.013
414390.8235	0.01
419663.8285	0.006
424955.663	0.008
430377.69	0.011
435514.552	0.01
440762.3605	0.008
446441.1955	0.008
452087.481	0.011
457702.175	0.013
463129.684	0.01
468330.8455	0.01
473285.303	0.009
478361.348	0.011
483435.3565	0.008
488450.2215	0.007
493440.146	0.008
498477.127	0.009
503664.413	0.009
509043.507	0.009
514259.49	0.007
519550.1485	0.007
524511.019	0.006
529474.259	0.007
534550.6365	0.009
539834.004	0.009
545166.0435	0.011
550715.194	0.009
555995.472	0.008
561845.026	0.011
567565.634	0.015
573040.272	0.009
578849.003	0.023
584028.813	0.021
589501.2905	0.03
594832.027	0.024
600203.487	0.026
605406.975	0.016
610686.3185	0.02
615882.593	0.013
621224.002	0.012
626191.174	0.014
632092.872	0.011
637419.0725	0.008
643091.0505	0.014
649064.987	0.01
654897.8115	0.012
660758.6875	0.004
666515.396	0.007
673749.8315	0.004
679731.812	0.01
685235.0085	0.008
690397.222	0.008
695424.1505	0.002
702128.5105	0.007
713724.883	0.007
719897.0485	0.006
725575.481	0.01
731489.6855	0.011
737307.6255	0.009
742878.411	0.005
748145.393	0.006
753460.1565	0.008
758714.828	0.005
764229.7585	0.004
769520.9265	0.002
774623.6295	0.004
779842.236	0.006
784882.758	0.004
790170.806	0.005
795174.524	0.006
800129.5405	0.003
805093.4475	0.004
810199.516	0.006
815221.678	0.009
820304.619	0.003
825526.675	0.006
830525.7195	0.005
835466.403	0.006
847214.3695	0.004
854042.021	0.003
862867.082	0.001
869122.149	0.004
874071.222	0.004
879002.0335	0.004
884092.1045	0.005
889026.6845	0.005
893900.9865	0.004
898738.6235	0.004
903658.055	0.002
908617.9565	0.003
913606.5205	0.004
918599.907	0.004
923515.911	0.002
928550.7125	0.005
933592.3515	0.004
938798.912	0.002
943942.1045	0.003
949011.516	0.002
954097.454	0.005
958977.1285	0.003
963810.5955	0.003
968831.7525	0.002
973963.304	0.001
979084.915	0.004
984108.0295	0.002
989113.003	0.001
994330.822	0.001
999687.7655	0.002
1004915.831	0.002
1010011.4355	0.004
1015083.8785	0.002
1020092.1285	0.002
1025157.344	0.003
1030167.0235	0.002
1035562.508	0.003
1041053.4685	0.002
1046471.4635	0.002
1051711.0585	0.005
1056908.885	0.004
1062058.608	0.006
1067062.7355	0.007
1072115.7665	0.004
1077247.2345	0.003
1082506.308	0.001
1087772.9185	0.002
1093262.8345	0.004
1098355.917	0.004
1103336.214	0.002
1108473.977	0.007
1113847.4	0.007
1119048.08	0.004
1124324.3475	0.002
1129308.5885	0.004
1134594.0105	0.0
1139882.168	0.004
1145020.7785	0.002
1150258.9275	0.003
