midpoint	h12
44235.388	0.128
69610.343	0.188
78057.1065	0.149
100296.028	0.021
113347.2845	0.039
122381.021	0.094
135887.632	0.234
162576.399	0.047
177985.8065	0.148
204618.797	0.069
274597.857	0.026
299037.2565	0.116
332907.229	0.159
347309.2075	0.164
362180.3935	0.027
371403.8275	0.168
379513.8805	0.093
390974.0675	0.147
445383.0585	0.118
524091.3905	0.037
546757.7455	0.051
585774.3025	0.024
621641.9605	0.132
640942.724	0.117
655318.8345	0.026
667097.908	0.183
696463.926	0.049
724761.9395	0.032
737965.4705	0.078
752303.36	0.107
767834.3805	0.116
780822.892	0.112
794329.2545	0.103
803404.005	0.098
817608.9045	0.028
829902.1315	0.104
839901.5935	0.081
849087.3425	0.132
861677.5015	0.173
871873.281	0.061
883169.515	0.096
907504.0785	0.111
934982.446	0.057
957560.39	0.022
971317.337	0.071
986826.958	0.079
1014408.0065	0.078
1040361.397	0.056
1090372.6405	0.054
1105828.9365	0.073
1122436.4305	0.032
1137483.2075	0.131
1150448.779	0.08
1190266.7785	0.061
1239575.6725	0.163
1247849.3315	0.116
1263266.5375	0.124
1277815.7905	0.157
1288160.8435	0.096
1296470.4275	0.161
1312297.8395	0.076
1333275.134	0.146
1356141.767	0.132
1383250.6245	0.084
1427477.8835	0.067
1475664.2615	0.025
1489780.0525	0.037
1499140.3445	0.098
1513379.9995	0.046
1529320.296	0.04
1543785.421	0.119
1555943.2295	0.057
1564190.74	0.206
1573992.407	0.215
1586307.3805	0.141
1599578.5285	0.143
1609378.588	0.305
1616800.6825	0.153
1624860.465	0.126
1635471.826	0.219
1646276.0695	0.229
1654187.634	0.237
1668378.8635	0.097
1709776.333	0.088
1726441.2255	0.121
1735137.354	0.236
1744164.772	0.131
1756767.544	0.082
1766938.3055	0.073
1774736.661	0.101
1783627.224	0.105
1795092.268	0.034
1807468.166	0.116
1815513.2735	0.065
1834143.0175	0.086
1847390.7315	0.075
1855856.9245	0.094
1864367.1045	0.058
1881832.31	0.087
1890343.6145	0.101
1898291.4	0.09
1906606.0735	0.078
1915282.281	0.086
1934056.799	0.073
1946156.834	0.051
1955455.16	0.073
1966045.966	0.096
1973946.0295	0.093
1981496.4625	0.083
1988806.1405	0.056
1996282.6505	0.086
2003944.788	0.069
2011269.815	0.102
2018975.9365	0.074
2026803.34	0.07
2034602.37	0.071
2042141.9425	0.077
2049700.078	0.073
2058519.2355	0.067
2067912.411	0.068
2075566.2825	0.064
2084963.578	0.089
2093839.489	0.072
2104206.9785	0.063
2112198.8765	0.06
2120879.503	0.087
2129122.531	0.086
2136797.543	0.074
2146574.049	0.063
2155187.116	0.077
2162740.107	0.088
2170565.2015	0.109
2178198.5615	0.091
2185782.6135	0.077
2197067.642	0.108
2206567.139	0.069
2213853.034	0.071
2221026.883	0.064
2228571.145	0.059
2240457.5015	0.077
2248858.4185	0.077
2256418.443	0.076
2263272.624	0.12
2270574.4145	0.079
2278063.2425	0.076
2286663.6455	0.074
2308640.2725	0.085
2330386.0275	0.084
2348262.788	0.067
2359744.0575	0.093
2369611.697	0.088
2377224.124	0.094
2387940.892	0.077
2395961.405	0.089
2406514.7185	0.11
2415517.8945	0.088
2423135.6395	0.081
2433016.5455	0.087
2442290.013	0.066
2450734.496	0.089
2458015.6665	0.082
2471546.6195	0.064
2479288.303	0.133
2486406.2785	0.098
2493422.832	0.084
2501268.376	0.047
2508550.8805	0.071
2517471.81	0.069
2530665.0475	0.075
2544759.2125	0.098
2554703.309	0.119
2562061.28	0.058
2573108.7475	0.157
2586819.8175	0.082
2599235.1435	0.064
2610023.976	0.077
2618413.7545	0.082
2627279.596	0.064
2634700.505	0.148
2645127.6315	0.088
2656480.4455	0.073
2671017.906	0.064
2678042.8195	0.088
2689800.472	0.082
2702663.402	0.064
2710234.7295	0.108
2718324.6545	0.059
2753333.3285	0.033
2768993.331	0.052
2777299.0	0.106
2786048.54	0.081
2802588.582	0.06
2816607.039	0.112
2823392.629	0.043
2830471.5035	0.065
2840012.953	0.056
2847337.175	0.058
2855736.2655	0.058
2865887.8755	0.055
2875704.945	0.051
2883824.4995	0.047
2892643.057	0.047
2903191.6415	0.064
2909540.3675	0.074
2916295.974	0.06
2923040.446	0.07
2929762.0545	0.063
2936468.3325	0.068
2944109.1735	0.065
2953722.696	0.077
2975081.2785	0.053
2985049.319	0.09
2995651.5615	0.102
3007588.428	0.086
3017411.145	0.09
3031001.3655	0.06
3043300.6225	0.084
3051578.3295	0.069
3059693.8185	0.122
3067060.2465	0.076
3074851.894	0.098
3089391.507	0.076
3099428.1025	0.109
3107095.6135	0.057
3116181.7825	0.071
3130227.611	0.08
3142456.7	0.098
3149681.3065	0.078
3156868.442	0.079
3164677.613	0.079
3175636.5375	0.081
3185097.241	0.089
3193910.17	0.067
3212711.893	0.098
3224147.2555	0.102
3231673.7655	0.077
3238484.8945	0.074
3245771.4775	0.095
3257770.7755	0.115
3266437.534	0.068
3273562.078	0.059
3281139.002	0.058
3288705.8995	0.108
3305992.54	0.1
3313602.6725	0.118
3321895.2915	0.111
3330052.6045	0.124
3337180.7595	0.077
3344779.9375	0.101
3354335.0455	0.067
3368326.0605	0.094
3376525.638	0.084
3383362.291	0.088
3390470.0165	0.111
3397765.7905	0.087
3404792.1935	0.113
3411794.5875	0.093
3418722.3195	0.108
3425399.745	0.099
3432366.8675	0.07
3439091.915	0.09
3445639.902	0.098
3452281.6355	0.093
3459036.538	0.114
3466029.4865	0.109
3477506.577	0.154
3486120.7495	0.133
3493182.1485	0.074
