midpoint	h1x
44235.388	0.008
69610.343	0.004
78057.1065	0.004
100296.028	0.002
113347.2845	0.006
122381.021	0.015
135887.632	0.015
162576.399	0.011
177985.8065	0.002
204618.797	0.006
274597.857	0.054
299037.2565	0.067
332907.229	0.061
347309.2075	0.029
362180.3935	0.008
371403.8275	0.025
379513.8805	0.034
390974.0675	0.049
445383.0585	0.021
524091.3905	0.016
546757.7455	0.009
585774.3025	0.006
621641.9605	0.019
640942.724	0.011
655318.8345	0.004
667097.908	0.021
696463.926	0.002
724761.9395	0.0
737965.4705	0.011
752303.36	0.013
767834.3805	0.003
780822.892	0.021
794329.2545	0.038
803404.005	0.017
817608.9045	0.017
829902.1315	0.015
839901.5935	0.011
849087.3425	0.004
861677.5015	0.013
871873.281	0.013
883169.515	0.016
907504.0785	0.02
934982.446	0.004
957560.39	0.001
971317.337	0.019
986826.958	0.007
1014408.0065	0.009
1040361.397	0.008
1090372.6405	0.012
1105828.9365	0.001
1122436.4305	0.008
1137483.2075	0.012
1150448.779	0.013
1190266.7785	0.004
1239575.6725	0.028
1247849.3315	0.038
1263266.5375	0.021
1277815.7905	0.025
1288160.8435	0.017
1296470.4275	0.024
1312297.8395	0.027
1333275.134	0.027
1356141.767	0.019
1383250.6245	0.02
1427477.8835	0.012
1475664.2615	0.003
1489780.0525	0.002
1499140.3445	0.03
1513379.9995	0.003
1529320.296	0.019
1543785.421	0.025
1555943.2295	0.069
1564190.74	0.024
1573992.407	0.217
1586307.3805	0.03
1599578.5285	0.104
1609378.588	0.077
1616800.6825	0.092
1624860.465	0.184
1635471.826	0.024
1646276.0695	0.078
1654187.634	0.137
1668378.8635	0.035
1709776.333	0.018
1726441.2255	0.025
1735137.354	0.076
1744164.772	0.06
1756767.544	0.006
1766938.3055	0.029
1774736.661	0.026
1783627.224	0.014
1795092.268	0.021
1807468.166	0.031
1815513.2735	0.008
1834143.0175	0.025
1847390.7315	0.023
1855856.9245	0.014
1864367.1045	0.016
1881832.31	0.033
1890343.6145	0.022
1898291.4	0.024
1906606.0735	0.024
1915282.281	0.02
1934056.799	0.003
1946156.834	0.024
1955455.16	0.033
1966045.966	0.013
1973946.0295	0.012
1981496.4625	0.025
1988806.1405	0.024
1996282.6505	0.016
2003944.788	0.013
2011269.815	0.023
2018975.9365	0.027
2026803.34	0.024
2034602.37	0.027
2042141.9425	0.022
2049700.078	0.025
2058519.2355	0.022
2067912.411	0.015
2075566.2825	0.022
2084963.578	0.022
2093839.489	0.023
2104206.9785	0.019
2112198.8765	0.041
2120879.503	0.033
2129122.531	0.027
2136797.543	0.023
2146574.049	0.006
2155187.116	0.013
2162740.107	0.018
2170565.2015	0.019
2178198.5615	0.019
2185782.6135	0.018
2197067.642	0.014
2206567.139	0.012
2213853.034	0.018
2221026.883	0.014
2228571.145	0.014
2240457.5015	0.013
2248858.4185	0.022
2256418.443	0.017
2263272.624	0.014
2270574.4145	0.016
2278063.2425	0.009
2286663.6455	0.018
2308640.2725	0.017
2330386.0275	0.012
2348262.788	0.023
2359744.0575	0.095
2369611.697	0.02
2377224.124	0.031
2387940.892	0.037
2395961.405	0.015
2406514.7185	0.036
2415517.8945	0.055
2423135.6395	0.034
2433016.5455	0.027
2442290.013	0.036
2450734.496	0.018
2458015.6665	0.037
2471546.6195	0.018
2479288.303	0.018
2486406.2785	0.017
2493422.832	0.016
2501268.376	0.012
2508550.8805	0.014
2517471.81	0.016
2530665.0475	0.011
2544759.2125	0.014
2554703.309	0.016
2562061.28	0.014
2573108.7475	0.01
2586819.8175	0.024
2599235.1435	0.016
2610023.976	0.016
2618413.7545	0.032
2627279.596	0.016
2634700.505	0.015
2645127.6315	0.011
2656480.4455	0.018
2671017.906	0.014
2678042.8195	0.014
2689800.472	0.014
2702663.402	0.013
2710234.7295	0.012
2718324.6545	0.013
2753333.3285	0.001
2768993.331	0.021
2777299.0	0.024
2786048.54	0.011
2802588.582	0.013
2816607.039	0.028
2823392.629	0.011
2830471.5035	0.025
2840012.953	0.017
2847337.175	0.012
2855736.2655	0.006
2865887.8755	0.013
2875704.945	0.013
2883824.4995	0.012
2892643.057	0.003
2903191.6415	0.012
2909540.3675	0.01
2916295.974	0.011
2923040.446	0.011
2929762.0545	0.011
2936468.3325	0.019
2944109.1735	0.013
2953722.696	0.013
2975081.2785	0.015
2985049.319	0.026
2995651.5615	0.01
3007588.428	0.015
3017411.145	0.041
3031001.3655	0.02
3043300.6225	0.039
3051578.3295	0.024
3059693.8185	0.015
3067060.2465	0.013
3074851.894	0.012
3089391.507	0.012
3099428.1025	0.017
3107095.6135	0.016
3116181.7825	0.041
3130227.611	0.012
3142456.7	0.017
3149681.3065	0.011
3156868.442	0.017
3164677.613	0.015
3175636.5375	0.014
3185097.241	0.019
3193910.17	0.013
3212711.893	0.011
3224147.2555	0.015
3231673.7655	0.01
3238484.8945	0.003
3245771.4775	0.012
3257770.7755	0.018
3266437.534	0.02
3273562.078	0.009
3281139.002	0.017
3288705.8995	0.014
3305992.54	0.011
3313602.6725	0.016
3321895.2915	0.034
3330052.6045	0.017
3337180.7595	0.01
3344779.9375	0.014
3354335.0455	0.016
3368326.0605	0.011
3376525.638	0.012
3383362.291	0.008
3390470.0165	0.014
3397765.7905	0.012
3404792.1935	0.014
3411794.5875	0.009
3418722.3195	0.014
3425399.745	0.021
3432366.8675	0.024
3439091.915	0.015
3445639.902	0.021
3452281.6355	0.011
3459036.538	0.011
3466029.4865	0.013
3477506.577	0.014
3486120.7495	0.013
3493182.1485	0.012
3500713.034	0.009
3508293.1075	0.02
3516378.051	0.012
3526055.355	0.008
3532919.4345	0.012
3540211.3905	0.012
3547486.4435	0.011
3554656.5465	0.011
3562278.598	0.009
3570007.88	0.009
3577953.397	0.009
3585721.385	0.011
3593463.976	0.009
3600556.623	0.011
3607923.414	0.012
3614614.419	0.011
3622563.805	0.014
3631911.514	0.012
3638751.8465	0.007
3646140.227	0.012
3655712.2065	0.008
3662624.5305	0.008
3672426.307	0.011
3682479.763	0.011
3689939.86	0.011
3697861.339	0.013
3705988.3345	0.012
3713408.105	0.012
3721291.0315	0.008
3729680.662	0.012
3742199.6305	0.008
3751183.914	0.014
3759308.8285	0.008
3766765.833	0.014
3776134.8965	0.013
3793429.8025	0.01
3804515.701	0.016
3811809.4435	0.014
3819207.0935	0.012
3828922.0725	0.012
3844274.381	0.024
3862779.668	0.012
3870393.56	0.019
3878380.1985	0.016
3886277.3545	0.013
3894371.241	0.021
3901358.6385	0.016
3908330.0765	0.018
3916143.632	0.014
3923512.8735	0.015
3932073.646	0.014
3941074.334	0.024
3948210.882	0.017
3955210.266	0.012
3966615.643	0.031
3975027.7305	0.022
3985901.0745	0.032
4006903.6215	0.012
4018893.2825	0.009
4027112.355	0.015
4035389.0835	0.019
4045085.474	0.017
4053568.781	0.016
4062838.6005	0.023
4074624.4095	0.014
4085770.669	0.017
4093352.247	0.008
4101435.602	0.017
4111640.8735	0.011
4119740.6705	0.025
4127995.159	0.012
4135982.665	0.024
4147659.7775	0.015
4162047.9635	0.029
4169531.301	0.024
4178875.1865	0.023
4192783.5065	0.013
4215055.984	0.015
4222084.9185	0.019
4229397.052	0.015
4237400.3345	0.016
4266991.4985	0.02
4281374.1465	0.009
4292904.4175	0.009
4311566.5845	0.012
4324709.693	0.012
4346252.043	0.026
4378145.6135	0.001
4391942.451	0.016
4402898.725	0.018
4416708.539	0.013
4475184.442	0.004
4544275.95	0.002
4603671.2275	0.0
4650925.226	0.003
4712889.6475	0.011
4744696.2285	0.009
4783387.9245	0.004
4810664.8005	0.025
4817416.839	0.024
4826971.939	0.017
4834990.748	0.015
4842647.5565	0.017
4850651.6845	0.014
4858034.2205	0.016
4865941.2295	0.031
4874206.9455	0.03
4884108.5875	0.012
4904621.4195	0.019
4912294.791	0.022
4919815.416	0.02
4928565.7975	0.017
4938988.712	0.026
4975995.0795	0.002
5001284.5325	0.019
5013233.272	0.027
5020618.1695	0.011
5029286.704	0.015
5037280.403	0.009
5049623.331	0.012
5057356.655	0.033
5065494.015	0.024
5073744.104	0.104
5083625.019	0.028
5102231.408	0.017
5110080.266	0.017
5117337.3545	0.024
5124757.456	0.046
5133665.6145	0.022
5140998.559	0.021
5152269.5375	0.02
5160812.82	0.067
5170445.979	0.066
5178116.44	0.013
5185652.4625	0.022
5192893.661	0.012
5200125.246	0.055
5207620.9275	0.017
5215180.9685	0.028
5226562.15	0.013
5239315.12	0.075
5246790.4515	0.089
5256794.7065	0.057
5264628.677	0.068
5271524.327	0.013
5278558.675	0.032
5295520.8195	0.037
5309061.349	0.021
5316002.4935	0.069
5323194.3195	0.036
5330394.872	0.021
5338210.411	0.013
5345975.8885	0.014
5353566.46	0.015
5360669.521	0.016
5367892.5485	0.029
5375054.062	0.037
5381945.74	0.022
5388447.837	0.076
5395890.644	0.068
5408421.0965	0.025
5415690.4895	0.012
5422852.2135	0.016
5430021.2135	0.057
5437332.8735	0.028
5444993.0755	0.019
5452899.0575	0.021
5460019.0495	0.008
5466803.2255	0.025
5475826.713	0.037
5484979.501	0.049
5492767.974	0.02
5500710.9455	0.016
5509036.6935	0.013
5517825.231	0.018
5525205.065	0.013
5533309.8355	0.012
5543277.2805	0.042
5562981.338	0.033
5573373.5725	0.048
5580223.6365	0.013
5588131.027	0.031
5595931.032	0.047
5602586.3185	0.033
5609701.2175	0.044
5617171.306	0.021
5625480.63	0.014
5633842.7425	0.015
5641830.5775	0.025
5650958.099	0.058
5658597.785	0.031
5665744.795	0.031
5672991.333	0.011
5680994.9955	0.022
5688323.2875	0.016
5695072.1705	0.038
5701529.4875	0.016
5708586.149	0.004
5715939.4845	0.018
5724402.2	0.029
5732076.265	0.015
5739856.96	0.016
5748275.825	0.023
5758996.112	0.017
5765799.8245	0.019
5772816.23	0.011
5781447.002	0.028
5790995.078	0.022
5798946.6855	0.013
5806857.7915	0.017
5814182.6295	0.016
5821835.927	0.053
5829171.5485	0.023
5836572.255	0.019
5843905.704	0.021
5860619.018	0.05
5874199.3015	0.055
5887804.464	0.023
5896983.693	0.016
5904222.5185	0.082
5911068.8335	0.012
5923232.448	0.01
5935863.7325	0.031
5942468.8425	0.036
5948989.231	0.018
5955387.2725	0.014
5965155.8415	0.052
5974276.8075	0.016
5981232.708	0.056
5988415.526	0.018
5995595.6145	0.024
6002386.503	0.032
6009051.528	0.017
6015370.8965	0.047
6022965.087	0.008
6033267.072	0.015
6057775.772	0.01
6065626.755	0.019
6073495.523	0.018
6085463.546	0.019
6093875.803	0.017
6101192.392	0.016
6108284.072	0.018
6123139.306	0.033
6144513.305	0.021
6163044.0965	0.011
6171313.2595	0.028
6178255.5675	0.013
6189365.915	0.017
6201993.9585	0.019
6210247.3265	0.023
6217322.9	0.016
6228279.385	0.011
6241257.4055	0.016
6252893.0945	0.015
6260751.312	0.023
6268715.8825	0.016
6275649.894	0.012
6283810.672	0.009
6290577.4705	0.014
6297529.662	0.009
6305816.3905	0.015
6315485.1175	0.015
6325065.854	0.035
6336177.328	0.025
6361416.996	0.014
6374021.0575	0.044
6380737.655	0.018
6387497.088	0.014
6394490.808	0.021
6401887.6785	0.015
6409425.98	0.013
6417300.1905	0.015
6424896.1785	0.024
6432083.1335	0.021
6440692.7085	0.052
6449001.506	0.017
6462455.6515	0.027
6475144.4235	0.026
6486351.5	0.015
6493981.006	0.018
6501737.723	0.018
6513687.8335	0.021
6523755.6465	0.02
6531829.5765	0.018
6541439.009	0.011
6549607.3075	0.039
6556024.476	0.023
6562289.3325	0.012
6568783.9015	0.017
6576113.33	0.016
6583483.774	0.019
6590669.6115	0.018
6597587.651	0.016
6604815.969	0.019
6611609.4265	0.015
6618219.2935	0.019
6628482.404	0.016
6638244.25	0.017
6644830.0005	0.019
6651215.8925	0.005
6658954.972	0.014
6666116.001	0.018
6672898.112	0.018
6679768.2935	0.017
6686434.3905	0.014
6693031.4775	0.017
6699656.7435	0.016
6706874.164	0.009
6713631.585	0.01
6720245.5695	0.016
6726844.468	0.015
6733698.618	0.015
6740690.1945	0.016
6746822.5705	0.014
6753113.954	0.016
6759498.355	0.018
6766995.1555	0.034
6775922.83	0.01
6786446.871	0.024
6793292.0465	0.025
6799807.635	0.016
6806183.897	0.017
6816675.231	0.023
6822897.26	0.008
6833721.6055	0.026
6841875.511	0.014
6851333.2205	0.005
6862684.855	0.05
6872297.2375	0.028
6886141.2705	0.026
6898343.7	0.013
6912758.872	0.025
6919062.7135	0.03
6926069.649	0.028
6934302.9025	0.017
6942046.7245	0.012
6955041.3385	0.016
6965193.0215	0.042
6971947.002	0.015
6978812.1355	0.023
6986401.5395	0.023
7008220.277	0.022
7025570.429	0.018
7032535.693	0.008
7039512.3955	0.01
7050548.713	0.012
7061477.668	0.04
7068621.4645	0.01
7077495.6545	0.024
7084375.979	0.016
7090682.5875	0.031
7097411.96	0.017
7124165.5825	0.027
7143875.918	0.014
7150808.6875	0.016
7157292.6385	0.015
7164967.8595	0.016
7184646.1465	0.0
7224236.2575	0.0
7255857.9145	0.006
7312425.324	0.018
7325346.1615	0.034
7339032.76	0.031
7348176.857	0.018
7354774.274	0.029
7360771.8125	0.026
7396012.6995	0.001
7425796.174	0.025
7440612.8995	0.003
7469947.0145	0.058
7486778.6035	0.029
7495121.1215	0.069
7509335.313	0.044
7537316.8365	0.032
7545680.8635	0.046
7553307.888	0.054
7563765.5935	0.064
7588337.8225	0.036
7594323.923	0.036
7600168.1915	0.015
7612679.3265	0.018
7620291.597	0.012
7626166.84	0.016
7631956.6205	0.014
7637651.153	0.012
7643878.08	0.021
7650239.744	0.022
7655740.903	0.015
7665523.3855	0.013
7673101.799	0.013
7720772.401	0.019
7801674.85	0.032
7810766.728	0.023
7823805.2565	0.031
7831901.385	0.014
7838706.712	0.016
7845521.005	0.019
7852206.896	0.022
7858397.0655	0.037
7864659.078	0.027
7875717.0225	0.046
7885065.271	0.021
7891722.1045	0.046
7901365.714	0.013
7907422.686	0.034
7913859.2445	0.019
7924752.4335	0.013
7934635.4235	0.017
7947065.6525	0.018
7954683.377	0.019
7961308.2795	0.012
7968714.3155	0.021
7975115.8175	0.016
7997152.422	0.014
8015518.695	0.005
8026732.866	0.014
8036235.2195	0.021
8043610.2805	0.013
8049572.1265	0.014
8055693.697	0.018
8062325.775	0.01
8068956.114	0.021
8075337.95	0.013
8081601.3485	0.016
8096045.092	0.013
8103534.4745	0.023
8119069.603	0.019
8133335.6075	0.022
8154581.203	0.001
8170591.407	0.022
8181731.002	0.011
8195604.671	0.019
8203612.706	0.019
8210869.209	0.026
8217413.9625	0.019
8223512.74	0.015
8229542.993	0.012
8235650.2385	0.011
8245089.713	0.011
8273628.4825	0.024
8280217.6225	0.011
8286173.0785	0.019
8291868.9575	0.013
8298887.472	0.01
8305805.361	0.026
8312222.2485	0.021
8317942.828	0.015
8323847.86	0.013
8330195.958	0.026
8336686.655	0.016
8343321.1155	0.024
8350891.362	0.013
8358520.33	0.026
8364409.807	0.03
8370718.164	0.023
8378917.6625	0.022
8395501.2575	0.019
8405518.6455	0.011
8413726.6735	0.021
8422909.3205	0.021
8432462.957	0.012
8439833.1635	0.02
8450146.022	0.019
8457406.2905	0.017
8463813.1755	0.025
