midpoint	h1x
3052.016	0.081
12408.375	0.052
20875.3805	0.061
28623.6565	0.061
35885.999	0.045
42635.615	0.068
48702.212	0.024
55329.299	0.019
63488.9915	0.021
70585.054	0.026
77121.5235	0.055
83497.1425	0.051
89321.1505	0.096
96518.2945	0.042
104594.8005	0.044
110818.241	0.049
116890.48	0.024
122996.434	0.044
129045.3985	0.044
134950.1245	0.034
140868.7305	0.02
147237.472	0.03
153001.452	0.008
158655.298	0.015
164671.101	0.017
170447.1055	0.009
175897.091	0.01
181584.5165	0.055
187346.638	0.012
193339.0485	0.021
198990.8505	0.016
204258.8415	0.011
210059.366	0.01
215869.7675	0.006
221650.398	0.01
227363.8875	0.025
232940.347	0.012
239781.173	0.004
246100.7	0.002
251378.2195	0.007
256902.1735	0.004
262131.857	0.005
267201.7155	0.004
272247.941	0.003
277424.7315	0.004
282541.2305	0.003
287703.8345	0.005
293634.5215	0.004
300072.358	0.003
307839.112	0.005
312976.972	0.003
318197.4765	0.003
323352.1595	0.003
328971.6025	0.002
334854.1835	0.002
341656.9805	0.002
348565.365	0.002
354994.156	0.0
360660.699	0.002
366156.3375	0.001
372483.6925	0.002
378510.375	0.002
383903.9025	0.002
389337.923	0.004
395301.513	0.002
401141.4395	0.004
406610.7445	0.001
411723.223	0.001
417165.178	0.002
422388.0985	0.005
427485.928	0.005
432363.5825	0.004
437688.3135	0.004
443204.424	0.003
448190.2005	0.004
453357.743	0.006
459620.074	0.004
465240.8605	0.002
470676.1985	0.004
475889.501	0.002
481154.647	0.002
486345.938	0.002
491721.537	0.003
496736.8825	0.002
502010.556	0.002
507266.102	0.003
512540.429	0.003
517897.495	0.003
522847.478	0.003
527914.6475	0.002
534854.5355	0.002
543162.6555	0.0
552049.619	0.0
558439.4275	0.016
564287.9495	0.004
569917.3295	0.0
575169.6835	0.0
581361.2385	0.0
588273.556	0.0
595161.979	0.0
602158.463	0.0
609267.666	0.0
616144.607	0.0
623228.276	0.0
629835.472	0.0
635323.489	0.0
640808.852	0.0
646244.6805	0.0
654320.1125	0.001
661732.7505	0.0
669486.2425	0.0
676085.3555	0.0
682658.9625	0.0
688379.9925	0.0
693838.6655	0.0
699993.0555	0.0
707492.043	0.0
714552.6035	0.001
720637.1965	0.001
725917.172	0.001
730924.0585	0.001
736267.4645	0.001
741727.6665	0.001
747762.4455	0.001
755330.8475	0.001
760968.0845	0.0
766164.2495	0.0
771374.3875	0.0
776685.539	0.001
782706.1555	0.006
790340.109	0.002
797060.2485	0.0
804857.446	0.001
810916.111	0.001
816455.1025	0.002
821994.6675	0.0
827585.091	0.0
832807.2695	0.001
838327.4465	0.001
843628.707	0.001
849711.2545	0.0
855257.0335	0.0
861672.449	0.0
867117.0845	0.0
873024.0715	0.0
878750.227	0.0
884107.217	0.0
889622.2305	0.0
894884.4695	0.0
900370.686	0.0
906305.2545	0.0
913443.981	0.0
919644.5325	0.0
925115.0435	0.001
931009.507	0.0
936729.3715	0.0
942229.55	0.0
948024.1275	0.001
956998.5615	0.0
963500.904	0.0
970653.6155	0.0
977258.0775	0.0
983210.8395	0.0
990619.417	0.0
996840.313	0.004
1002587.072	0.0
1009972.4485	0.001
1016043.073	0.0
1021610.782	0.0
1028249.4105	0.0
1036199.121	0.002
1043531.877	0.0
1050605.94	0.0
1055808.0875	0.0
1061766.612	0.0
1067952.635	0.0
1076129.52	0.0
1084668.655	0.0
1092436.569	0.0
1098673.1565	0.0
1104454.914	0.0
1110284.592	0.0
1116328.159	0.004
1123551.248	0.0
1129102.987	0.0
1135396.6515	0.001
1142505.2705	0.0
1149820.4985	0.0
1156124.9215	0.0
1161876.731	0.0
1167696.12	0.0
1173185.5785	0.0
1178955.4175	0.0
1184441.6195	0.0
1190613.92	0.0
1196964.5365	0.001
1203250.6385	0.001
1208323.251	0.0
1214131.999	0.0
1219987.5685	0.0
1226462.208	0.0
1231812.8335	0.0
1238092.6005	0.0
1244976.855	0.001
1251218.783	0.0
1256793.8415	0.0
1262916.867	0.0
1269177.615	0.0
1274966.143	0.0
1280865.13	0.0
1285995.033	0.0
1291871.9595	0.0
1297328.622	0.0
1302422.2715	0.0
1308320.301	0.0
1313658.605	0.001
1319127.1015	0.001
1325157.005	0.0
1332954.7475	0.0
1341427.7075	0.0
1349273.193	0.0
1355349.972	0.0
1361025.3765	0.0
1367100.1895	0.0
1372274.193	0.0
1377508.1795	0.001
1386488.4015	0.0
1395697.7135	0.0
1402320.2665	0.0
1407827.588	0.0
1412874.634	0.0
1418404.489	0.0
1424935.6525	0.0
1430861.1185	0.0
1436220.289	0.0
1441190.3225	0.0
1446262.1085	0.0
1452177.352	0.0
1457752.0935	0.0
1462703.4855	0.0
1468238.651	0.0
1474990.877	0.0
1480848.077	0.0
1486807.343	0.0
1492286.8155	0.0
1497980.591	0.0
1503706.6675	0.0
1508746.414	0.0
1514755.4375	0.0
1521742.7655	0.0
1527637.543	0.0
1532816.7765	0.0
1538226.0415	0.0
1544376.513	0.0
1550018.021	0.0
1555505.021	0.0
1561024.104	0.0
1567382.77	0.0
1576060.185	0.0
1584102.5335	0.0
1591994.3915	0.0
1598962.4655	0.0
1605711.6645	0.0
1611728.1405	0.0
1617102.135	0.001
1622639.3895	0.0
1628260.258	0.0
1640584.8715	0.0
1647971.559	0.0
1653930.864	0.0
1659411.218	0.0
1665730.2875	0.0
1671875.747	0.0
1676848.866	0.0
1681935.1655	0.0
1687367.3985	0.0
1693496.5835	0.0
1698943.6745	0.0
1704205.5025	0.0
1709192.021	0.0
1714498.677	0.0
1720723.6025	0.0
1728699.7185	0.001
1735484.065	0.0
1741473.5875	0.0
1747494.2195	0.0
1753057.9875	0.0
1759965.967	0.0
1765436.2065	0.0
1771043.094	0.0
1776125.9235	0.0
1781173.5475	0.0
1787047.335	0.0
1792980.1275	0.0
1799178.896	0.0
1805380.284	0.0
1810537.9885	0.0
1818353.032	0.0
1826354.7825	0.0
1831802.9785	0.0
1844727.183	0.0
1860497.918	0.0
1871073.027	0.0
1880384.0085	0.0
1886767.652	0.0
1892806.6995	0.0
1898491.9705	0.0
1904368.549	0.0
1910091.1845	0.0
1915800.7865	0.0
1922224.2915	0.0
1928093.022	0.0
1933604.8335	0.0
1939399.0495	0.0
1945448.6115	0.0
1951735.962	0.0
1957071.292	0.0
1963113.109	0.0
1969457.4035	0.0
1977251.241	0.0
1983658.7125	0.0
1989404.315	0.0
1994478.8515	0.0
1999724.5945	0.0
2005315.841	0.0
2010405.6415	0.0
2015525.448	0.0
2020841.023	0.0
2027053.93	0.0
2033280.899	0.0
2039444.3575	0.0
2045428.089	0.0
2051929.159	0.0
2058013.07	0.0
