window	window.chrom	window.pos	moving.Fst	hmm.output
1	2L	485925	-0.00438956030748112	0
2	2L	1588940	-0.00462668216033838	0
3	2L	3000787	-0.00497913249396071	0
4	2L	3112325	-0.006733449159966	0
5	2L	3225464	-0.00685908681096195	0
6	2L	3282940	-0.00543953437742713	0
7	2L	3377159	-0.00435118948838514	0
8	2L	3420192	-0.00252959365816681	0
9	2L	3464089	-0.00423358325349911	0
10	2L	3505902	-0.00271409972464816	0
11	2L	3537618	-0.00200653546293558	0
12	2L	3601728	-0.000502502019629579	0
13	2L	3637278	-0.000728833733219789	0
14	2L	3679765	-0.000567856403962258	0
15	2L	3716088	-0.00131083854401364	0
16	2L	3744556	-0.00133043627822911	0
17	2L	3776973	-0.00265628190100833	0
18	2L	3842530	0.00028730663281583	0
19	2L	3871171	0.000802135773124408	0
20	2L	3908196	0.00205770162673644	0
21	2L	3944648	0.00261298773105436	0
22	2L	3968422	0.00237981445320352	0
23	2L	4099957	0.000301655261430399	0
24	2L	4131505	0.00253563261970524	0
25	2L	4167843	0.00107866131981245	0
26	2L	4219579	0.00150518196466051	0
27	2L	4252685	5.66439460969541e-05	0
28	2L	4286104	0.00138086273973669	0
29	2L	4318181	-0.000685602492135823	0
30	2L	4348287	0.000516636925236537	0
31	2L	4389546	0.00121214924809277	0
32	2L	4424738	-0.00037834733710803	0
33	2L	4447944	-0.00144523189969503	0
34	2L	4487818	-0.00112848557364771	0
35	2L	4513988	0.00140339419739026	0
36	2L	4557693	2.08741829088355e-05	0
37	2L	4588293	-1.07211733909752e-05	0
38	2L	4655133	-0.00164569358288416	0
39	2L	4690944	-0.000599173359234092	0
40	2L	4731629	-0.00127705678726097	0
41	2L	4758130	-0.00149657465773145	0
42	2L	4780994	0.000215321662627335	0
43	2L	4803473	0.0010056357993254	0
44	2L	4824763	-0.00101937157342218	0
45	2L	4857700	-0.00373995561825135	0
46	2L	4887717	-0.00143094541175497	0
47	2L	4932574	0.00251228877407279	0
48	2L	4966245	0.00176930621152419	0
49	2L	5007408	0.00121994153170721	0
50	2L	5054092	-0.00120492342365074	0
51	2L	5420736	-0.000690298473487788	0
52	2L	5514000	-0.002113678654298	0
53	2L	5574480	-0.00121725083614977	0
54	2L	5640137	-0.00175690529948948	0
55	2L	5681059	-0.00340071488090945	0
56	2L	5722859	-0.00332122606066691	0
57	2L	5768141	-0.00326553704395578	0
58	2L	5801315	-0.00161342731551843	0
59	2L	5846132	-0.000126208951327694	0
60	2L	5892582	-0.00222280917986707	0
61	2L	5923766	0.000223785836892199	0
62	2L	5980050	-0.000324559110891078	0
63	2L	6018397	-0.00106313305501056	0
64	2L	6064066	0.000693795379742526	0
65	2L	6102609	-0.000786396603755116	0
