window	window.chrom	window.pos	moving.Fst	hmm.output
1	2L	727905	-0.00344486979779665	0.025
2	2L	2574851	0.00334370518277111	0.025
3	2L	3021535	-0.00848246748410725	0.025
4	2L	3154570	-0.0104897169537493	0.025
5	2L	3266559	-0.00885138559550543	0.025
6	2L	3401109	-0.00774858955038234	0.025
7	2L	3467071	0.00286495022451708	0.025
8	2L	3526241	0.015853242685438	0.025
9	2L	3606322	0.0167176787145741	0.025
10	2L	3672151	0.0175243331575324	0.025
11	2L	3722926	0.0183942396381187	0.025
12	2L	3763031	0.0355082608861207	0.025
13	2L	3846096	0.0299275348111893	0.025
14	2L	3892701	0.0363993714803023	0.025
15	2L	3946412	0.0351850075585274	0.025
16	2L	3996311	0.0216041911036066	0.025
17	2L	4132443	0.0155662920129626	0.025
18	2L	4172345	0.0193202232483312	0.025
19	2L	4237584	0.0152213670611015	0.025
20	2L	4275876	0.0172074425748735	0.025
21	2L	4310512	0.021947540461606	0.025
22	2L	4350311	0.0170210883958909	0.025
23	2L	4404625	0.0119995489484001	0.025
24	2L	4440305	0.0264976704507766	0.025
25	2L	4478565	0.0338094224319603	0.025
26	2L	4516731	0.0373327880438003	0.025
27	2L	4566796	0.0299406621618269	0.025
28	2L	4598619	0.0396354339420282	0.025
29	2L	4671480	0.02404332707202	0.025
30	2L	4715956	0.0243931817743046	0.025
31	2L	4743876	0.0232849995051984	0.025
32	2L	4775503	0.0248767663729122	0.025
33	2L	4803049	0.0242095828248396	0.025
34	2L	4829093	0.0283622466211507	0.025
35	2L	4870643	0.031647063445409	0.025
36	2L	4919222	0.0252226152044286	0.025
37	2L	4956723	0.0424630530667228	0.025
38	2L	4985690	0.0316002097235255	0.025
39	2L	5113507	0.0203213145812002	0.025
40	2L	5501725	0.0103909393476941	0.025
41	2L	5590412	0.0113569034318	0.025
42	2L	5658503	0.0196834514226941	0.025
43	2L	5706203	0.0215370514979758	0.025
44	2L	5755229	0.00905545566581802	0.025
45	2L	5802160	0.0155288330323945	0.025
46	2L	5866045	0.0179282132370809	0.025
47	2L	5911977	0.0186147340614556	0.025
48	2L	5942252	0.0128748618999341	0.025
49	2L	6018783	0.0102692537510849	0.025
50	2L	6081809	0.0121885223354725	0.025
51	2L	6123279	0.0250049596907645	0.025
52	2L	6163735	0.0177373863910229	0.025
53	2L	6192893	0.0123584158233519	0.025
54	2L	6234246	0.0180683653528312	0.025
55	2L	6267770	0.0174336594637695	0.025
56	2L	6394584	0.0173843775424555	0.025
57	2L	6434316	0.0122556594137855	0.025
58	2L	6465481	0.0145791194372844	0.025
59	2L	6504800	0.0173696615042529	0.025
60	2L	6540912	0.0131711639543448	0.025
61	2L	6604336	0.00826345438264006	0.025
62	2L	6642981	0.00922040719329371	0.025
63	2L	6683435	0.0128669951947963	0.025
64	2L	6717358	0.00500111284421888	0.025
65	2L	6746717	0.010882230883653	0.025
66	2L	6785477	0.0134766850110913	0.025
67	2L	6814612	0.0200036026890736	0.025
68	2L	6843516	0.0213908099768835	0.025
69	2L	6873728	0.0106332480375992	0.025
70	2L	6906722	0.0130447025119948	0.025
71	2L	6938844	0.0189996257338509	0.025
72	2L	6976302	0.0147087255252848	0.025
73	2L	7021071	0.0134690193199722	0.025
74	2L	7065133	0.0160686608572032	0.025
75	2L	7105379	0.024887373200363	0.025
76	2L	7181790	0.0210293221792137	0.025
77	2L	7225887	0.0129622870288996	0.025
78	2L	7256835	0.0131486241639832	0.025
79	2L	7323124	0.0155482810157208	0.025
80	2L	7421004	0.0124617153983644	0.025
81	2L	7535597	0.0115930468471405	0.025
82	2L	7581960	0.00711810266514846	0.025
83	2L	7621675	0.00648381108695982	0.025
84	2L	7664260	0.00458202966726732	0.025
85	2L	7702196	0.00889571954627956	0.025
86	2L	7743433	0.00745634300639537	0.025
87	2L	7798857	0.0162353001072903	0.025
88	2L	7835972	0.0111330370854412	0.025
89	2L	7875734	0.0176138223251432	0.025
90	2L	7915823	0.0193267191403316	0.025
91	2L	7949720	0.0170348087778985	0.025
92	2L	7979423	0.0224268801231347	0.025
93	2L	8009552	0.0237547312646892	0.025
94	2L	8047889	0.0108373872685439	0.025
95	2L	8071782	0.0169614114036482	0.025
96	2L	8098420	0.014855271719412	0.025
97	2L	8141708	0.0197744497098506	0.025
98	2L	8211289	0.0098056255326297	0.025
99	2L	8254006	0.00895613057111126	0.025
100	2L	8286527	0.00998407291575236	0.025
101	2L	8331280	0.0108405517510149	0.025
102	2L	8594718	0.0101477462746003	0.025
103	2L	8633272	0.00757154359021451	0.025
104	2L	8678764	0.00646297703249084	0.025
105	2L	8709167	0.0107225155977796	0.025
106	2L	8752759	0.00780901949171448	0.025
107	2L	8800326	0.00987615167567396	0.025
108	2L	8855080	0.00740405046909294	0.025
109	2L	8894681	0.0145070860497156	0.025
110	2L	8937630	0.0170230573565553	0.025
111	2L	8968415	0.0136080175656682	0.025
112	2L	9007746	0.0156248815514735	0.025
113	2L	9033130	0.009795411357763	0.025
114	2L	9072274	0.0117648979134934	0.025
