window	window.chrom	window.pos	moving.Fst	hmm.output
1	2L	728700	-0.00749479146836338	0
2	2L	2654172	0.00537794176693467	0
3	2L	3037848	0.0174907501407254	0
4	2L	3156304	0.00668840056148733	0
5	2L	3247441	0.00757826131149849	0
6	2L	3308510	0.0106344070024052	0
7	2L	3409612	0.0153732626283321	0
8	2L	3455415	0.0213113797691812	0
9	2L	3507887	0.00742736940875251	0
10	2L	3545030	0.0069800909511608	0
11	2L	3614539	0.0116122511195227	0
12	2L	3665757	0.0148198165037492	0
13	2L	3694465	0.00981527538305343	0
14	2L	3732372	0.0148398061940896	0
15	2L	3760997	0.0109315352740316	0
16	2L	3808566	0.00805028123482778	0
17	2L	3863515	0.00177149870046789	0
18	2L	3895827	-0.000484390787876376	0
19	2L	3942836	-0.00197705582417119	0
20	2L	3970819	-0.00153055759264136	0
21	2L	4107122	0.0010606513820615	0
22	2L	4146114	-0.000268124373772851	0
23	2L	4192135	-0.00278683674435236	0
24	2L	4245541	-0.00201116602050764	0
25	2L	4283160	-0.000649353674883821	0
26	2L	4319732	0.000257437548228907	0
27	2L	4355405	0.00127263760617941	0
28	2L	4404892	-0.00336369373334256	0
29	2L	4438563	-0.00107070371799906	0
30	2L	4473586	-0.00241827894179477	0
31	2L	4511005	-0.00502899927254222	0
32	2L	4558609	-0.00296032700779584	0
33	2L	4593020	-0.00268019863376499	0
34	2L	4673373	-0.00447287067683043	0
35	2L	4721370	-0.00458201676556259	0
36	2L	4755283	-0.00297923818866581	0
37	2L	4785321	-0.00276700642585882	0
38	2L	4810461	-0.00634684853705788	0
39	2L	4848044	-0.00566976094498403	0
40	2L	4881742	-0.00178522920296505	0
41	2L	4929367	-0.000658015116911345	0
42	2L	4967012	0.00274904761251333	0
43	2L	5011132	-0.000659007680386006	0
44	2L	5250760	-0.00207155362107157	0
45	2L	5502854	-0.000550108312053679	0
46	2L	5561546	0.000465122346026254	0
47	2L	5648301	0.00602629962743938	0
48	2L	5695495	0.00162857168722167	0
49	2L	5753175	0.00166905769995413	0
50	2L	5798834	-0.000902438228552598	0
51	2L	5860779	0.00125662098071177	0
52	2L	5914208	0.00410847162120118	0
53	2L	5978525	-0.0026285052660887	0
54	2L	6024506	0.00176392051006224	0
55	2L	6078424	-0.00283841239332937	0
56	2L	6121092	-0.00273509556006825	0
57	2L	6156841	0.00250744353517557	0
58	2L	6181726	-0.00560326331626966	0
59	2L	6209715	-0.00402633989972802	0
60	2L	6246889	-0.00146988717299616	0
61	2L	6366731	-0.00112949873430871	0
62	2L	6404667	0.00424744897604851	0
63	2L	6444129	-0.00152346101739736	0
64	2L	6481579	-0.00415637627122594	0
65	2L	6527565	-0.00658347133388328	0
66	2L	6575260	-0.00261842526967268	0
67	2L	6623433	-0.00187791471559421	0
68	2L	6664467	-0.00329446898089396	0
69	2L	6712988	-0.00114805169409165	0
70	2L	6744196	-0.00350982424923607	0
71	2L	6788409	0.00757092888238203	0
72	2L	6824213	-0.00138707763911053	0
73	2L	6862090	-5.38362099854069e-05	0
74	2L	6899458	-0.000384089153048615	0
75	2L	6932746	0.00159978815658375	0
76	2L	6959805	0.0044025403194232	0
77	2L	7005298	0.00173086372162334	0
78	2L	7054421	0.00641146872371516	0
79	2L	7098254	0.00638558576805293	0
80	2L	7160168	0.00669694469211382	0
81	2L	7208063	0.0045417940814589	0
82	2L	7238213	0.00715901561542471	0
83	2L	7281887	0.00389962563101738	0
84	2L	7324227	0.00579556338861103	0
85	2L	7378896	0.00083775169695244	0
86	2L	7504269	0.00306955928958705	0
87	2L	7560001	0.00130776894163233	0
88	2L	7598655	0.00506376477707008	0
89	2L	7628694	0.0020412044244281	0
90	2L	7660480	0.0042561689580634	0
91	2L	7693415	0.007765961138825	0
92	2L	7717863	0.00322104123546279	0
93	2L	7757711	0.008528843445384	0
94	2L	7799635	0.00518121498111859	0
95	2L	7830311	0.00913262568540304	0
96	2L	7862344	0.00464628406750643	0
97	2L	7894659	0.000427247234559661	0
98	2L	7923813	0.00925504636851724	0
99	2L	7950121	0.0043169044000768	0
100	2L	7972521	0.00475265253454504	0
101	2L	7996404	0.00635011912969642	0
102	2L	8023333	0.00375288626681216	0
103	2L	8052886	0.00506499300016852	0
104	2L	8071528	0.000501273583526345	0
105	2L	8092566	0.00338570803569601	0
106	2L	8123960	0.00322497325038101	0
107	2L	8154715	0.00815824271692004	0
108	2L	8211276	0.00802292898045938	0
109	2L	8238887	0.00487964900112276	0
110	2L	8272475	0.00550027133277982	0
111	2L	8312496	0.00420252880784547	0
112	2L	8356908	0.00368025112701253	0
113	2L	8611206	0.00612797927933787	0
114	2L	8646976	0.00770328421110527	0
115	2L	8685820	0.00308949321969415	0
116	2L	8730412	0.00415657241150664	0
117	2L	8756727	0.00787528334878931	0
118	2L	8800368	0.0071898435560299	0
119	2L	8851430	0.00896949093262205	0
120	2L	8891457	0.00933013274085249	0
121	2L	8923872	0.00962937818323469	0
122	2L	8961587	0.0107204264357631	0
123	2L	9002128	0.00231841255292939	0
124	2L	9025456	0.00193901449068732	0
125	2L	9063499	0.00572717467874566	0
126	2L	9100515	0.00419538993751006	0
127	2L	9167693	0.00127378743739677	0
128	2L	9203091	0.000457777325052819	0
129	2L	9243921	0.0142775173717112	0
130	2L	9320414	0.00533340780044024	0
131	2L	9352057	0.00207136478028026	0
132	2L	9389181	-0.00203088947582734	0
133	2L	9428631	-0.00390643051577944	0
134	2L	9458947	0.00722349518656908	0
135	2L	9490558	0.00193719178514836	0
136	2L	9530169	0.00112280200216612	0
137	2L	9559117	0.00463391472542918	0
138	2L	9597431	-0.00119216803501522	0
139	2L	9628517	0.00332404914382108	0
140	2L	9661371	0.00788820659113674	0
141	2L	9682336	0.00644199377895688	0
142	2L	9734828	0.00296660074903105	0
143	2L	9764845	0.000746237945969446	0
144	2L	9798492	0.00188822598739233	0
145	2L	9832824	0.000733865029461082	0
146	2L	9866040	0.00238249210729821	0
147	2L	9895961	0.00429295492129359	0
148	2L	9924747	0.0024309847875886	0
149	2L	9951863	0.000561064195068674	0
150	2L	9977271	0.00857518002996343	0
151	2L	10000657	0.0126302925266832	0
152	2L	10024860	0.00282518718691457	0
153	2L	10050361	0.00709183308607804	0
154	2L	10073332	0.00615648721893891	0
155	2L	10094958	0.00148267768103507	0
156	2L	10116114	0.0119714644227802	0
157	2L	10156110	0.00599178851195866	0
158	2L	10202586	0.00854264135303014	0
159	2L	10230013	0.00879497427954568	0
160	2L	10253100	0.00840695852947293	0
161	2L	10276170	0.00666607235726964	0
162	2L	10301673	0.0048964279786254	0
163	2L	10327739	0.00582897571992241	0
164	2L	10353463	0.00595898647216838	0
165	2L	10387127	0.00463139282537786	0
166	2L	10406777	0.0100161105264538	0
167	2L	10435296	0.0117711451270502	0
168	2L	10454031	0.00374325267360779	0
169	2L	10473765	0.00389708654138854	0
170	2L	10496132	0.00306888938026692	0
171	2L	10514961	0.00415901393468058	0
172	2L	10544049	0.00450215941797108	0
173	2L	10566715	0.00331873784938689	0
174	2L	10600858	0.00547630618986896	0
175	2L	10624682	0.00535087845808884	0
176	2L	10645308	0.00325684498085505	0
177	2L	10665095	0.00768691335391717	0
178	2L	10684314	0.00179429630841855	0
179	2L	10704498	0.00420418576089824	0
180	2L	10730658	-0.000723335946937634	0
181	2L	10750935	0.00273711016014188	0
182	2L	10770691	0.00072111239307435	0
183	2L	10792922	0.0028094965107544	0
184	2L	10817801	0.00278277772102056	0
185	2L	10839421	-0.000928211336982201	0
186	2L	10857259	5.43620554454462e-05	0
187	2L	10876227	-0.00116819016676999	0
188	2L	10894038	-0.000414616748931181	0
189	2L	10910829	-0.000347902295750071	0
190	2L	10936707	-0.000748100786572237	0
191	2L	10974066	-0.00183854779724325	0
192	2L	10994948	-0.00195119901244141	0
193	2L	11019389	-0.00175652639051441	0
194	2L	11036682	-0.000827855259639411	0
195	2L	11067129	0.00177117207912965	0
196	2L	11101570	0.00149854213367227	0
197	2L	11129090	0.000288020834188	0
198	2L	11145929	0.00692939295488793	0
199	2L	11169635	0.00545207163352027	0
200	2L	11191287	0.000644984591121941	0
201	2L	11218566	-0.000237723770457086	0
202	2L	11246016	0.000955654967639818	0
203	2L	11285047	0.00108709539323691	0
204	2L	11308603	0.00342311003289737	0
205	2L	11331191	0.00325555198757897	0
206	2L	11358083	0.00153519139911954	0
207	2L	11384582	0.0043136978024372	0
208	2L	11408228	0.00207069398579081	0
209	2L	11454371	0.00272938593066307	0
210	2L	11489450	0.00359680191470898	0
211	2L	11526041	0.00445556807961713	0
212	2L	11556900	-0.000219745196297757	0
213	2L	11600641	0.00136288479140142	0
214	2L	11631815	-0.000975532496323768	0
215	2L	11662148	-0.00271590367613949	0
216	2L	11687584	0.00283996870279747	0
217	2L	11710675	-0.00292006350688995	0
218	2L	11733487	0.00131887150760465	0
219	2L	11755084	-5.49242053045596e-05	0
220	2L	11780937	0.00435381502405201	0
221	2L	11800625	0.00363605892700003	0
222	2L	11823104	0.00418425889840002	0
223	2L	11850953	0.00209836990927453	0
224	2L	11872826	0.00349904919938691	0
225	2L	11895975	-0.000267405351349247	0
226	2L	11919797	0.00253858733131548	0
227	2L	11940007	0.00380336619610496	0
228	2L	11961112	-0.001940728675252	0
229	2L	11986280	0.000214467200231849	0
230	2L	12010988	-0.000337440801227056	0
231	2L	12035674	0.00236891178327817	0
232	2L	12060713	0.000961549541723324	0
233	2L	12083271	-0.00025448769302073	0
234	2L	12126782	-7.34139327819056e-05	0
235	2L	12150196	-0.000481256599765383	0
236	2L	12178050	0.000329643296432964	0
237	2L	12204975	-0.000476077802630784	0
238	2L	12229476	0.000743523181392745	0
239	2L	12252851	0.00479472884327617	0
240	2L	12276636	-0.0022016370241768	0
241	2L	12302846	-0.00409570094325209	0
242	2L	12328856	-0.000733775901236333	0
243	2L	12356077	-0.000598716426205518	0
244	2L	12381777	0.00419842337246131	0
245	2L	12417731	0.00382630977658096	0
246	2L	12442849	-0.000164218018197136	0
247	2L	12470855	-0.00161776988237665	0
248	2L	12501915	0.00091769333120997	0
249	2L	12524663	0.0067551791364792	0
250	2L	12552672	0.00489808276131657	0
251	2L	12577054	0.0021487088515909	0
252	2L	12596517	0.00252446489996043	0
253	2L	12618956	0.00449192038026895	0
254	2L	12639562	-1.70960833464247e-05	0
255	2L	12661873	0.00586148167368222	0
256	2L	12684028	0.00123894041691407	0
257	2L	12712011	0.000611509202925621	0
258	2L	12734970	0.00150455039188157	0
259	2L	12755057	0.00469688535573558	0
260	2L	12775660	0.00453148047120853	0
261	2L	12797954	0.0049444718153969	0
262	2L	12818262	0.00273528771210952	0
263	2L	12837617	0.00338807590699809	0
264	2L	12858805	0.00744041624398098	0
265	2L	12895508	0.0085746933005386	0
266	2L	12921498	0.00669180599707496	0
267	2L	12958580	0.00381905178955231	0
268	2L	12992306	-0.000901096255790426	0
269	2L	13043116	0.00071191821863935	0
270	2L	13075294	0.00249372873984459	0
271	2L	13102016	0.000191617636140254	0
272	2L	13126489	0.00478795053412731	0
273	2L	13153883	0.000767792193848611	0
274	2L	13182290	0.000947352457279774	0
275	2L	13230389	0.00974548449939551	0
276	2L	13264716	0.00605639409214602	0
277	2L	13292495	-0.00016344749857663	0
278	2L	13323188	-0.00161907224846102	0
279	2L	13365091	-1.06778071788222e-05	0
280	2L	13463214	-0.0013231981483995	0
281	2L	13515349	-0.00210211080822117	0
282	2L	13551582	-0.000157503057373321	0
283	2L	13585128	-0.00148041784777327	0
284	2L	13612523	0.002128765789649	0
285	2L	13638158	0.000173472932652916	0
286	2L	13660668	0.00434343925344255	0
287	2L	13692557	0.00818228709893007	0
