midpoint	h12
3052.016	0.212
12408.375	0.132
20875.3805	0.117
28623.6565	0.143
35885.999	0.088
42635.615	0.13
48702.212	0.081
55329.299	0.101
63488.9915	0.099
70585.054	0.11
77121.5235	0.117
83497.1425	0.141
89321.1505	0.222
96518.2945	0.132
104594.8005	0.106
110818.241	0.162
116890.48	0.081
122996.434	0.103
129045.3985	0.214
134950.1245	0.083
140868.7305	0.116
147237.472	0.112
153001.452	0.152
158655.298	0.087
164671.101	0.082
170447.1055	0.073
175897.091	0.084
181584.5165	0.177
187346.638	0.099
193339.0485	0.169
198990.8505	0.124
204258.8415	0.112
210059.366	0.142
215869.7675	0.086
221650.398	0.087
227363.8875	0.163
232940.347	0.089
239781.173	0.083
246100.7	0.073
251378.2195	0.075
256902.1735	0.071
262131.857	0.069
267201.7155	0.067
272247.941	0.072
277424.7315	0.069
282541.2305	0.088
287703.8345	0.088
293634.5215	0.074
300072.358	0.063
307839.112	0.081
312976.972	0.079
318197.4765	0.071
323352.1595	0.072
328971.6025	0.065
334854.1835	0.082
341656.9805	0.075
348565.365	0.081
354994.156	0.079
360660.699	0.076
366156.3375	0.072
372483.6925	0.068
378510.375	0.075
383903.9025	0.078
389337.923	0.084
395301.513	0.07
401141.4395	0.059
406610.7445	0.062
411723.223	0.082
417165.178	0.081
422388.0985	0.086
427485.928	0.071
432363.5825	0.077
437688.3135	0.081
443204.424	0.087
448190.2005	0.087
453357.743	0.079
459620.074	0.066
465240.8605	0.111
470676.1985	0.089
475889.501	0.082
481154.647	0.086
486345.938	0.079
491721.537	0.089
496736.8825	0.078
502010.556	0.088
507266.102	0.091
512540.429	0.084
517897.495	0.084
522847.478	0.079
527914.6475	0.084
534854.5355	0.093
543162.6555	0.094
552049.619	0.098
558439.4275	0.089
564287.9495	0.072
569917.3295	0.111
575169.6835	0.098
581361.2385	0.083
588273.556	0.08
595161.979	0.092
602158.463	0.09
609267.666	0.1
616144.607	0.082
623228.276	0.12
629835.472	0.086
635323.489	0.066
640808.852	0.098
646244.6805	0.098
654320.1125	0.072
661732.7505	0.08
669486.2425	0.092
676085.3555	0.077
682658.9625	0.078
688379.9925	0.073
693838.6655	0.073
699993.0555	0.082
707492.043	0.08
714552.6035	0.089
720637.1965	0.083
725917.172	0.07
730924.0585	0.092
736267.4645	0.081
741727.6665	0.089
747762.4455	0.093
755330.8475	0.086
760968.0845	0.089
766164.2495	0.072
771374.3875	0.079
776685.539	0.084
782706.1555	0.113
790340.109	0.083
797060.2485	0.084
804857.446	0.083
810916.111	0.087
816455.1025	0.091
821994.6675	0.087
827585.091	0.106
832807.2695	0.084
838327.4465	0.134
843628.707	0.087
849711.2545	0.091
855257.0335	0.092
861672.449	0.083
867117.0845	0.076
873024.0715	0.076
878750.227	0.073
884107.217	0.046
889622.2305	0.068
894884.4695	0.067
900370.686	0.071
906305.2545	0.062
913443.981	0.069
919644.5325	0.073
925115.0435	0.067
931009.507	0.072
936729.3715	0.067
942229.55	0.059
948024.1275	0.053
956998.5615	0.058
963500.904	0.062
970653.6155	0.052
977258.0775	0.061
983210.8395	0.06
990619.417	0.061
996840.313	0.087
1002587.072	0.063
1009972.4485	0.074
1016043.073	0.083
1021610.782	0.077
1028249.4105	0.083
1036199.121	0.069
1043531.877	0.071
1050605.94	0.076
1055808.0875	0.086
1061766.612	0.084
1067952.635	0.086
1076129.52	0.075
1084668.655	0.053
1092436.569	0.064
1098673.1565	0.069
1104454.914	0.066
1110284.592	0.064
1116328.159	0.067
1123551.248	0.058
1129102.987	0.08
1135396.6515	0.073
1142505.2705	0.072
1149820.4985	0.065
1156124.9215	0.089
1161876.731	0.064
1167696.12	0.076
1173185.5785	0.083
1178955.4175	0.073
1184441.6195	0.08
1190613.92	0.074
1196964.5365	0.078
1203250.6385	0.083
1208323.251	0.083
1214131.999	0.098
1219987.5685	0.073
1226462.208	0.089
1231812.8335	0.128
1238092.6005	0.118
1244976.855	0.097
1251218.783	0.171
1256793.8415	0.113
1262916.867	0.144
1269177.615	0.108
1274966.143	0.116
1280865.13	0.165
1285995.033	0.129
1291871.9595	0.162
1297328.622	0.176
1302422.2715	0.163
1308320.301	0.142
1313658.605	0.131
1319127.1015	0.067
1325157.005	0.099
1332954.7475	0.109
1341427.7075	0.086
1349273.193	0.074
1355349.972	0.094
1361025.3765	0.11
1367100.1895	0.119
1372274.193	0.144
1377508.1795	0.128
1386488.4015	0.1
1395697.7135	0.117
1402320.2665	0.071
1407827.588	0.069
1412874.634	0.068
1418404.489	0.061
1424935.6525	0.063
1430861.1185	0.068
1436220.289	0.074
1441190.3225	0.091
1446262.1085	0.082
1452177.352	0.06
1457752.0935	0.084
1462703.4855	0.076
1468238.651	0.079
1474990.877	0.089
1480848.077	0.064
1486807.343	0.093
1492286.8155	0.101
1497980.591	0.101
1503706.6675	0.103
1508746.414	0.091
1514755.4375	0.065
1521742.7655	0.098
1527637.543	0.09
1532816.7765	0.09
1538226.0415	0.081
1544376.513	0.097
1550018.021	0.087
1555505.021	0.078
1561024.104	0.079
1567382.77	0.074
1576060.185	0.077
1584102.5335	0.059
1591994.3915	0.055
1598962.4655	0.052
1605711.6645	0.066
1611728.1405	0.063
1617102.135	0.074
1622639.3895	0.073
1628260.258	0.084
1640584.8715	0.047
1647971.559	0.075
1653930.864	0.083
1659411.218	0.073
1665730.2875	0.073
1671875.747	0.084
1676848.866	0.091
1681935.1655	0.09
1687367.3985	0.073
1693496.5835	0.073
1698943.6745	0.064
1704205.5025	0.066
1709192.021	0.066
1714498.677	0.054
1720723.6025	0.039
1728699.7185	0.058
1735484.065	0.07
1741473.5875	0.052
1747494.2195	0.078
1753057.9875	0.085
1759965.967	0.065
1765436.2065	0.073
1771043.094	0.082
1776125.9235	0.083
1781173.5475	0.074
1787047.335	0.083
1792980.1275	0.054
1799178.896	0.069
1805380.284	0.073
1810537.9885	0.058
1818353.032	0.059
1826354.7825	0.057
1831802.9785	0.049
1844727.183	0.054
1860497.918	0.101
1871073.027	0.091
1880384.0085	0.068
1886767.652	0.061
1892806.6995	0.076
1898491.9705	0.064
1904368.549	0.054
1910091.1845	0.062
1915800.7865	0.062
1922224.2915	0.064
1928093.022	0.06
1933604.8335	0.069
1939399.0495	0.065
1945448.6115	0.048
1951735.962	0.053
1957071.292	0.082
1963113.109	0.056
1969457.4035	0.079
1977251.241	0.078
1983658.7125	0.074
1989404.315	0.076
1994478.8515	0.076
1999724.5945	0.076
2005315.841	0.087
2010405.6415	0.072
2015525.448	0.079
2020841.023	0.073
2027053.93	0.073
2033280.899	0.078
2039444.3575	0.065
2045428.089	0.072
2051929.159	0.064
2058013.07	0.03
2064148.247	0.064
2069767.1525	0.072
2075578.33	0.068
2081104.754	0.074
2094234.4425	0.062
2102814.602	0.076
2108385.2355	0.076
2113523.398	0.072
2119053.596	0.063
2124324.3845	0.06
2129513.562	0.077
2134399.7505	0.071
2139307.271	0.064
2144530.8735	0.073
2150793.757	0.077
2160961.8415	0.068
2167837.008	0.062
2174609.9365	0.068
2180572.473	0.072
2185930.69	0.063
2191441.5005	0.058
2196679.061	0.067
2201974.593	0.064
2208310.516	0.063
2214711.588	0.057
2220943.7175	0.066
2227361.7035	0.046
2234514.5955	0.033
2243297.622	0.058
2249280.797	0.057
2254622.3475	0.055
2261021.859	0.05
2269451.396	0.061
2278292.6465	0.057
2284456.532	0.06
2290721.759	0.058
2296715.5475	0.058
2303300.83	0.062
2308774.493	0.074
2313904.5965	0.084
2319389.581	0.069
2324922.266	0.051
2331081.316	0.058
2337583.721	0.062
2343608.403	0.066
2348805.524	0.075
2355053.424	0.074
2361539.388	0.067
2366886.3025	0.064
2373051.738	0.064
2380058.5405	0.063
2388630.6855	0.058
2394048.6915	0.061
2399613.8255	0.064
2405292.83	0.062
2410653.733	0.053
2416324.309	0.063
2422905.6765	0.057
2428063.9215	0.061
2433441.609	0.061
2439265.241	0.049
2445384.1795	0.052
2450747.7775	0.053
2456064.3955	0.053
2461071.106	0.067
2466416.2505	0.054
2471889.171	0.05
2479927.076	0.054
2487491.056	0.067
2493992.4175	0.061
2500109.5755	0.067
2505215.5975	0.065
2510036.181	0.068
2515096.2695	0.068
2520349.219	0.074
2525271.399	0.068
2530245.7065	0.081
2535221.249	0.07
2540331.408	0.068
2546282.2945	0.074
2552011.284	0.08
2557721.1835	0.077
2564156.654	0.073
2569543.1905	0.071
2576324.302	0.071
2582880.865	0.077
2587999.641	0.083
2595625.5175	0.074
2607006.551	0.067
2613287.069	0.071
2619246.3005	0.073
2624785.327	0.083
2630252.2095	0.064
2635710.78	0.068
2641049.0115	0.074
2647184.8955	0.079
2653712.162	0.09
2659062.2455	0.099
2664573.364	0.087
2669978.55	0.085
2675412.299	0.094
2681052.7235	0.079
2686403.3775	0.082
2691344.767	0.089
2696210.304	0.087
2701778.3545	0.068
2707714.732	0.075
2714167.1195	0.098
2719760.7075	0.076
2724937.783	0.082
2731005.0445	0.112
2736269.878	0.078
2741342.314	0.088
2746814.577	0.093
2752213.1645	0.092
2757208.0295	0.095
2762158.436	0.09
2767223.1385	0.095
2772409.098	0.08
2778263.024	0.073
2784995.1625	0.08
2791160.545	0.072
2797757.74	0.068
2803389.237	0.069
2808836.372	0.066
2815880.628	0.058
2822926.2285	0.059
2829044.4295	0.072
2834319.7395	0.078
2839481.9955	0.085
2844516.303	0.078
2849736.615	0.064
2854603.874	0.067
2859867.2865	0.068
2865514.3565	0.059
2871998.923	0.065
2877157.8	0.066
2882597.06	0.064
2888906.0715	0.083
2894345.208	0.104
2901086.8805	0.114
2913713.4335	0.105
