midpoint	h1x
6326.3105	0.032
13166.6605	0.005
19570.393	0.011
27065.757	0.026
35255.5025	0.028
42529.734	0.027
48581.772	0.034
54946.779	0.012
62914.1915	0.009
71002.595	0.028
79145.8535	0.012
87474.3755	0.008
93839.3645	0.014
100504.684	0.014
106504.417	0.033
112643.523	0.006
119058.45	0.013
125696.738	0.02
131780.0205	0.038
137645.0905	0.037
143578.935	0.016
149495.298	0.014
155723.456	0.022
161814.167	0.019
167599.217	0.021
173601.6045	0.011
179721.617	0.013
186319.7795	0.009
192386.5205	0.019
198342.3025	0.016
204640.596	0.075
211219.995	0.005
217639.5105	0.009
223854.883	0.013
230152.887	0.008
236187.9025	0.011
242415.0155	0.005
248970.222	0.009
255387.125	0.007
261569.082	0.003
268029.9335	0.013
273906.4155	0.006
280522.51	0.008
286619.213	0.006
292614.742	0.007
298210.469	0.007
304055.279	0.007
310015.565	0.004
315462.9415	0.009
320796.379	0.005
326289.663	0.007
343747.0135	0.002
351615.664	0.007
356951.213	0.009
364065.4935	0.008
371549.242	0.008
377220.4265	0.006
382839.5685	0.008
388352.905	0.008
393603.475	0.008
398739.4745	0.013
403965.3745	0.012
409104.178	0.012
414390.8235	0.009
419663.8285	0.019
424955.663	0.011
430377.69	0.014
435514.552	0.007
440762.3605	0.011
446441.1955	0.011
452087.481	0.008
457702.175	0.009
463129.684	0.005
468330.8455	0.008
473285.303	0.004
478361.348	0.003
483435.3565	0.006
488450.2215	0.008
493440.146	0.009
498477.127	0.003
503664.413	0.006
509043.507	0.007
514259.49	0.007
519550.1485	0.007
524511.019	0.005
529474.259	0.004
534550.6365	0.006
539834.004	0.003
545166.0435	0.004
550715.194	0.006
555995.472	0.005
561845.026	0.005
567565.634	0.005
573040.272	0.005
578849.003	0.006
584028.813	0.005
589501.2905	0.005
594832.027	0.005
600203.487	0.004
605406.975	0.009
610686.3185	0.008
615882.593	0.009
621224.002	0.007
626191.174	0.012
632092.872	0.012
637419.0725	0.011
643091.0505	0.011
649064.987	0.008
654897.8115	0.009
660758.6875	0.007
666515.396	0.008
673749.8315	0.009
679731.812	0.017
685235.0085	0.012
690397.222	0.009
695424.1505	0.008
702128.5105	0.008
713724.883	0.003
719897.0485	0.005
725575.481	0.003
731489.6855	0.002
737307.6255	0.003
742878.411	0.003
748145.393	0.003
753460.1565	0.002
758714.828	0.004
764229.7585	0.002
769520.9265	0.002
774623.6295	0.002
779842.236	0.002
784882.758	0.002
790170.806	0.002
795174.524	0.002
800129.5405	0.002
805093.4475	0.004
810199.516	0.003
815221.678	0.002
820304.619	0.001
825526.675	0.005
830525.7195	0.005
835466.403	0.002
847214.3695	0.001
854042.021	0.001
862867.082	0.0
869122.149	0.0
874071.222	0.0
879002.0335	0.0
884092.1045	0.001
889026.6845	0.001
893900.9865	0.001
898738.6235	0.001
903658.055	0.001
908617.9565	0.002
913606.5205	0.001
918599.907	0.001
923515.911	0.001
928550.7125	0.002
933592.3515	0.002
938798.912	0.001
943942.1045	0.001
949011.516	0.0
954097.454	0.0
958977.1285	0.0
963810.5955	0.0
968831.7525	0.0
973963.304	0.0
979084.915	0.0
984108.0295	0.0
989113.003	0.0
994330.822	0.001
999687.7655	0.001
1004915.831	0.001
1010011.4355	0.001
1015083.8785	0.001
1020092.1285	0.001
1025157.344	0.001
1030167.0235	0.0
1035562.508	0.001
1041053.4685	0.001
1046471.4635	0.0
1051711.0585	0.0
1056908.885	0.0
1062058.608	0.0
1067062.7355	0.0
1072115.7665	0.001
1077247.2345	0.002
1082506.308	0.0
1087772.9185	0.0
1093262.8345	0.0
1098355.917	0.0
1103336.214	0.0
1108473.977	0.0
1113847.4	0.001
1119048.08	0.0
1124324.3475	0.0
1129308.5885	0.001
1134594.0105	0.0
1139882.168	0.0
1145020.7785	0.0
1150258.9275	0.0
1155537.575	0.0
1161050.127	0.0
1166471.158	0.0
1171897.451	0.004
1179465.155	0.004
1186077.4805	0.004
1191414.2295	0.002
1196312.7205	0.001
1201124.626	0.003
1205888.2405	0.003
1210671.9675	0.003
1215580.9795	0.002
1220994.602	0.003
1231199.3195	0.009
1236322.8455	0.004
1244199.7005	0.002
1251265.8625	0.003
1256471.1355	0.002
