midpoint	h1x
36493.229	0.018
96000.438	0.0
157004.6595	0.0
174090.08	0.016
192003.046	0.204
220430.1925	0.101
243655.642	0.033
268302.58	0.212
294654.397	0.002
316919.325	0.023
335693.553	0.012
355321.0605	0.004
370106.3685	0.029
396688.812	0.023
415067.0695	0.075
432890.6835	0.103
452558.844	0.194
470581.5645	0.153
489183.013	0.248
516438.5975	0.06
542791.792	0.026
568058.6295	0.109
588917.536	0.143
606397.176	0.166
630994.414	0.21
640755.3825	0.075
648710.167	0.067
666837.9445	0.265
678231.5205	0.262
694013.1535	0.063
710124.8925	0.239
723568.1055	0.015
739065.055	0.056
750495.516	0.268
760263.293	0.199
769866.386	0.059
781972.1675	0.224
797099.336	0.096
820677.846	0.092
838428.538	0.057
859622.1125	0.256
879236.715	0.067
903020.011	0.018
925580.152	0.152
937716.691	0.113
947270.079	0.061
958085.9965	0.144
974563.162	0.249
985520.543	0.2
1001883.0265	0.027
1041262.847	0.034
1074190.3835	0.01
1093099.7405	0.179
1132694.6025	0.069
1147824.97	0.057
1172258.2615	0.112
1196715.81	0.083
1209658.768	0.053
1260153.7715	0.016
1276071.519	0.398
1284118.156	0.351
1295515.686	0.413
1319147.239	0.394
1333490.5225	0.138
1358699.668	0.138
1389534.2105	0.221
1413444.153	0.446
1427120.075	0.119
1470146.4805	0.079
1501536.952	0.074
1517884.9015	0.539
1527794.832	0.493
1538982.194	0.609
1547706.919	0.467
1557137.3535	0.202
1567307.874	0.609
1578775.584	0.006
1599029.3795	0.031
1618516.3575	0.014
1640616.704	0.56
1663394.1155	0.549
1690522.421	0.218
1705396.4415	0.087
1736193.2315	0.016
1778503.9345	0.296
1800467.826	0.076
1824035.6915	0.378
1840797.8085	0.574
1857078.4975	0.27
1872586.093	0.077
1898425.348	0.123
1919370.6155	0.248
1932730.9905	0.376
1948110.557	0.212
1961506.305	0.174
1971293.499	0.636
1987968.027	0.013
2006528.6405	0.682
2023000.478	0.608
2041132.046	0.441
2050786.515	0.707
2063637.3005	0.264
2076603.1205	0.721
2089140.342	0.502
2108118.3375	0.681
2118477.4125	0.281
2135207.5055	0.313
2163983.961	0.684
2223839.2275	0.13
2272556.8235	0.636
2287253.1295	0.671
2321144.234	0.445
2354159.3	0.665
2367467.5135	0.343
2382625.0875	0.258
2393570.345	0.694
2407207.416	0.746
2422069.806	0.478
2431674.5795	0.325
2444031.5025	0.218
2479162.4565	0.262
2496357.9075	0.316
2525098.8605	0.731
2539850.0275	0.74
2554033.643	0.457
2567790.0155	0.719
2577082.6915	0.491
2585850.7135	0.329
2595845.99	0.448
2606459.0065	0.246
2616392.4905	0.49
2626211.642	0.505
2638284.3065	0.496
2647409.401	0.51
2668506.2035	0.536
2685960.6705	0.472
2697025.83	0.541
2706838.221	0.471
2723745.3145	0.501
2733123.535	0.376
2750496.163	0.482
2765184.372	0.077
2791920.4545	0.168
2804211.945	0.549
2815621.052	0.469
2827014.452	0.517
2838481.4105	0.506
2856537.663	0.477
2876463.52	0.474
2893155.22	0.475
2906478.7945	0.469
2915500.0325	0.427
2925954.7305	0.406
2938671.1685	0.278
2954284.3395	0.473
2963644.2635	0.487
2972009.3975	0.465
2984534.872	0.445
3001489.0335	0.425
3010489.343	0.455
3022210.062	0.385
3030433.053	0.437
3037880.938	0.398
3045375.607	0.394
3052797.962	0.403
3062041.0905	0.412
3070414.5865	0.402
3085017.4525	0.177
3093543.3375	0.374
3104967.4865	0.392
3113277.6225	0.412
3119600.6235	0.399
3126112.765	0.389
3140818.0985	0.054
3156014.432	0.396
3166325.21	0.32
3173036.855	0.326
3182415.0735	0.338
3192448.1045	0.301
3204563.8245	0.259
3211185.146	0.28
3220369.681	0.234
3232059.508	0.29
3238228.64	0.276
3244175.879	0.28
3250422.4675	0.259
3256476.466	0.259
3263584.9705	0.244
3272532.2945	0.261
3280242.28	0.146
3287421.075	0.243
3297701.713	0.1
3304073.6435	0.112
3309663.7525	0.106
3318879.0525	0.088
3345868.9855	0.021
3356442.9795	0.091
3377767.756	0.088
3383510.17	0.085
3389165.244	0.087
3395971.936	0.106
3402281.5455	0.099
3408515.2185	0.11
3414686.189	0.087
3422083.4375	0.093
3429182.7445	0.138
