midpoint	h12
3052.016	0.188
12408.375	0.159
20875.3805	0.229
28623.6565	0.183
35885.999	0.152
42635.615	0.198
48702.212	0.093
55329.299	0.105
63488.9915	0.088
70585.054	0.076
77121.5235	0.117
83497.1425	0.102
89321.1505	0.191
96518.2945	0.106
104594.8005	0.172
110818.241	0.114
116890.48	0.097
122996.434	0.147
129045.3985	0.106
134950.1245	0.103
140868.7305	0.071
147237.472	0.114
153001.452	0.062
158655.298	0.069
164671.101	0.069
170447.1055	0.062
175897.091	0.038
181584.5165	0.113
187346.638	0.071
193339.0485	0.086
198990.8505	0.087
204258.8415	0.065
210059.366	0.061
215869.7675	0.053
221650.398	0.086
227363.8875	0.077
232940.347	0.072
239781.173	0.054
246100.7	0.062
251378.2195	0.062
256902.1735	0.054
262131.857	0.061
267201.7155	0.061
272247.941	0.068
277424.7315	0.076
282541.2305	0.056
287703.8345	0.077
293634.5215	0.069
300072.358	0.056
307839.112	0.061
312976.972	0.061
318197.4765	0.061
323352.1595	0.06
328971.6025	0.042
334854.1835	0.043
341656.9805	0.042
348565.365	0.032
354994.156	0.042
360660.699	0.032
366156.3375	0.028
372483.6925	0.037
378510.375	0.038
383903.9025	0.043
389337.923	0.049
395301.513	0.042
401141.4395	0.028
406610.7445	0.033
411723.223	0.026
417165.178	0.043
422388.0985	0.043
427485.928	0.037
432363.5825	0.029
437688.3135	0.037
443204.424	0.032
448190.2005	0.043
453357.743	0.047
459620.074	0.042
465240.8605	0.042
470676.1985	0.032
475889.501	0.028
481154.647	0.042
486345.938	0.032
491721.537	0.047
496736.8825	0.047
502010.556	0.037
507266.102	0.053
512540.429	0.053
517897.495	0.053
522847.478	0.061
527914.6475	0.048
534854.5355	0.032
543162.6555	0.054
552049.619	0.022
558439.4275	0.042
564287.9495	0.027
569917.3295	0.047
575169.6835	0.047
581361.2385	0.042
588273.556	0.053
595161.979	0.068
602158.463	0.102
609267.666	0.083
616144.607	0.061
623228.276	0.047
629835.472	0.042
635323.489	0.028
640808.852	0.025
646244.6805	0.025
654320.1125	0.022
661732.7505	0.028
669486.2425	0.022
676085.3555	0.018
682658.9625	0.018
688379.9925	0.02
693838.6655	0.02
699993.0555	0.02
707492.043	0.026
714552.6035	0.022
720637.1965	0.02
725917.172	0.018
730924.0585	0.017
736267.4645	0.018
741727.6665	0.017
747762.4455	0.018
755330.8475	0.018
760968.0845	0.022
766164.2495	0.018
771374.3875	0.02
776685.539	0.02
782706.1555	0.022
790340.109	0.02
797060.2485	0.017
804857.446	0.018
810916.111	0.02
816455.1025	0.017
821994.6675	0.017
827585.091	0.018
832807.2695	0.018
838327.4465	0.02
843628.707	0.018
849711.2545	0.017
855257.0335	0.018
861672.449	0.017
867117.0845	0.018
873024.0715	0.02
878750.227	0.02
884107.217	0.017
889622.2305	0.018
894884.4695	0.018
900370.686	0.022
906305.2545	0.02
913443.981	0.02
919644.5325	0.018
925115.0435	0.017
931009.507	0.018
936729.3715	0.018
942229.55	0.018
948024.1275	0.02
956998.5615	0.021
963500.904	0.02
970653.6155	0.021
977258.0775	0.024
983210.8395	0.022
990619.417	0.021
996840.313	0.021
1002587.072	0.018
1009972.4485	0.018
1016043.073	0.018
1021610.782	0.017
1028249.4105	0.02
1036199.121	0.018
1043531.877	0.018
1050605.94	0.02
1055808.0875	0.02
1061766.612	0.018
1067952.635	0.018
1076129.52	0.02
1084668.655	0.017
1092436.569	0.021
1098673.1565	0.025
1104454.914	0.021
1110284.592	0.023
1116328.159	0.043
1123551.248	0.021
1129102.987	0.018
1135396.6515	0.02
1142505.2705	0.023
1149820.4985	0.028
1156124.9215	0.029
1161876.731	0.026
1167696.12	0.026
1173185.5785	0.026
1178955.4175	0.024
1184441.6195	0.021
1190613.92	0.018
1196964.5365	0.021
1203250.6385	0.02
1208323.251	0.02
1214131.999	0.017
1219987.5685	0.018
1226462.208	0.018
1231812.8335	0.018
1238092.6005	0.017
1244976.855	0.017
1251218.783	0.018
1256793.8415	0.017
1262916.867	0.018
1269177.615	0.017
1274966.143	0.018
1280865.13	0.02
1285995.033	0.018
1291871.9595	0.017
1297328.622	0.017
1302422.2715	0.017
1308320.301	0.017
1313658.605	0.018
1319127.1015	0.017
1325157.005	0.02
1332954.7475	0.02
1341427.7075	0.021
1349273.193	0.021
1355349.972	0.021
1361025.3765	0.018
1367100.1895	0.022
1372274.193	0.023
1377508.1795	0.021
1386488.4015	0.018
1395697.7135	0.021
1402320.2665	0.02
1407827.588	0.018
1412874.634	0.02
1418404.489	0.02
1424935.6525	0.018
1430861.1185	0.02
1436220.289	0.017
1441190.3225	0.018
1446262.1085	0.017
1452177.352	0.017
1457752.0935	0.018
1462703.4855	0.017
1468238.651	0.017
1474990.877	0.017
1480848.077	0.017
1486807.343	0.017
1492286.8155	0.017
1497980.591	0.017
1503706.6675	0.02
1508746.414	0.02
1514755.4375	0.018
1521742.7655	0.017
1527637.543	0.018
1532816.7765	0.018
1538226.0415	0.017
1544376.513	0.017
1550018.021	0.017
1555505.021	0.018
1561024.104	0.017
1567382.77	0.018
1576060.185	0.02
1584102.5335	0.017
1591994.3915	0.017
1598962.4655	0.017
1605711.6645	0.018
1611728.1405	0.017
1617102.135	0.017
1622639.3895	0.017
1628260.258	0.017
1640584.8715	0.017
1647971.559	0.017
1653930.864	0.018
1659411.218	0.018
1665730.2875	0.017
1671875.747	0.018
1676848.866	0.018
1681935.1655	0.02
1687367.3985	0.02
1693496.5835	0.021
1698943.6745	0.02
1704205.5025	0.02
1709192.021	0.018
1714498.677	0.02
1720723.6025	0.018
1728699.7185	0.018
1735484.065	0.02
1741473.5875	0.018
1747494.2195	0.017
1753057.9875	0.017
1759965.967	0.017
1765436.2065	0.017
1771043.094	0.017
1776125.9235	0.018
1781173.5475	0.018
1787047.335	0.021
1792980.1275	0.021
1799178.896	0.021
1805380.284	0.021
1810537.9885	0.02
1818353.032	0.017
1826354.7825	0.017
1831802.9785	0.018
1844727.183	0.017
1860497.918	0.017
1871073.027	0.017
1880384.0085	0.017
1886767.652	0.017
1892806.6995	0.017
1898491.9705	0.017
1904368.549	0.018
1910091.1845	0.017
1915800.7865	0.018
1922224.2915	0.018
1928093.022	0.02
1933604.8335	0.021
1939399.0495	0.021
1945448.6115	0.021
1951735.962	0.017
1957071.292	0.021
1963113.109	0.018
1969457.4035	0.02
1977251.241	0.02
1983658.7125	0.02
1989404.315	0.02
1994478.8515	0.02
1999724.5945	0.017
2005315.841	0.017
2010405.6415	0.02
2015525.448	0.018
2020841.023	0.02
2027053.93	0.018
2033280.899	0.018
2039444.3575	0.017
2045428.089	0.018
2051929.159	0.018
2058013.07	0.018
2064148.247	0.018
2069767.1525	0.02
2075578.33	0.02
2081104.754	0.02
2094234.4425	0.02
2102814.602	0.02
2108385.2355	0.018
2113523.398	0.02
2119053.596	0.018
2124324.3845	0.018
2129513.562	0.018
2134399.7505	0.022
2139307.271	0.022
2144530.8735	0.02
2150793.757	0.02
2160961.8415	0.021
2167837.008	0.021
2174609.9365	0.021
2180572.473	0.021
2185930.69	0.02
2191441.5005	0.02
2196679.061	0.02
2201974.593	0.02
2208310.516	0.02
2214711.588	0.017
2220943.7175	0.017
2227361.7035	0.02
2234514.5955	0.018
2243297.622	0.017
2249280.797	0.017
2254622.3475	0.017
2261021.859	0.017
2269451.396	0.017
2278292.6465	0.018
2284456.532	0.017
2290721.759	0.017
2296715.5475	0.018
2303300.83	0.018
2308774.493	0.017
2313904.5965	0.018
2319389.581	0.018
2324922.266	0.018
2331081.316	0.022
2337583.721	0.018
2343608.403	0.021
2348805.524	0.02
2355053.424	0.018
2361539.388	0.017
2366886.3025	0.017
2373051.738	0.017
2380058.5405	0.017
2388630.6855	0.018
2394048.6915	0.018
2399613.8255	0.018
2405292.83	0.018
2410653.733	0.018
2416324.309	0.02
2422905.6765	0.017
2428063.9215	0.02
2433441.609	0.018
2439265.241	0.017
2445384.1795	0.017
2450747.7775	0.018
2456064.3955	0.017
2461071.106	0.02
2466416.2505	0.022
2471889.171	0.021
2479927.076	0.021
2487491.056	0.02
2493992.4175	0.018
2500109.5755	0.018
2505215.5975	0.02
2510036.181	0.021
2515096.2695	0.021
2520349.219	0.022
2525271.399	0.022
2530245.7065	0.024
2535221.249	0.021
2540331.408	0.022
2546282.2945	0.021
2552011.284	0.021
2557721.1835	0.02
2564156.654	0.018
2569543.1905	0.017
2576324.302	0.017
2582880.865	0.02
2587999.641	0.021
2595625.5175	0.02
2607006.551	0.02
2613287.069	0.018
2619246.3005	0.018
2624785.327	0.018
2630252.2095	0.018
2635710.78	0.017
2641049.0115	0.02
2647184.8955	0.017
2653712.162	0.02
2659062.2455	0.021
2664573.364	0.018
2669978.55	0.02
2675412.299	0.018
2681052.7235	0.02
2686403.3775	0.018
2691344.767	0.018
2696210.304	0.02
2701778.3545	0.017
2707714.732	0.018
2714167.1195	0.023
2719760.7075	0.021
2724937.783	0.021
2731005.0445	0.02
2736269.878	0.018
2741342.314	0.021
2746814.577	0.021
2752213.1645	0.02
2757208.0295	0.021
2762158.436	0.018
2767223.1385	0.02
2772409.098	0.025
2778263.024	0.017
2784995.1625	0.018
2791160.545	0.022
2797757.74	0.018
2803389.237	0.018
2808836.372	0.018
2815880.628	0.021
2822926.2285	0.02
2829044.4295	0.021
2834319.7395	0.021
2839481.9955	0.021
2844516.303	0.021
2849736.615	0.02
2854603.874	0.02
2859867.2865	0.022
2865514.3565	0.018
2871998.923	0.018
2877157.8	0.017
2882597.06	0.017
2888906.0715	0.017
2894345.208	0.018
2901086.8805	0.02
2913713.4335	0.02
2919161.4275	0.023
2924549.801	0.02
2933637.727	0.017
2942506.218	0.021
2947785.7335	0.02
2952863.142	0.02
2957828.9725	0.018
2963339.701	0.018
2968639.8755	0.018
2973655.572	0.02
2980698.553	0.017
2992787.1065	0.017
2999570.121	0.017
3004765.3755	0.02
3009758.36	0.02
3014716.598	0.02
3020512.205	0.018
3026109.8005	0.02
3031795.3085	0.018
3037435.1705	0.018
3043424.113	0.018
3053916.7315	0.023
3064612.4735	0.021
3069826.234	0.018
3074835.3785	0.02
3080652.3865	0.02
3088020.5655	0.02
3093789.571	0.02
3098909.1955	0.018
3104138.488	0.018
3109192.586	0.021
3114138.275	0.021
3119536.8205	0.023
3124730.3635	0.021
3129627.1255	0.02
3135308.1185	0.023
3140498.4515	0.021
3146112.965	0.021
3151888.1995	0.023
3157281.9685	0.027
3162891.7625	0.021
3168683.1005	0.022
3174861.9385	0.02
3181028.6035	0.023
3186818.551	0.023
3191999.386	0.021
3197128.946	0.021
3202407.1265	0.02
3208945.296	0.02
3215338.3055	0.021
3221637.0735	0.021
3226808.647	0.021
3231718.0015	0.02
3236978.1125	0.017
3243464.5385	0.02
3249335.6955	0.018
3254475.4135	0.021
3259674.4525	0.021
3265686.3115	0.018
3270966.302	0.021
3276152.168	0.017
3295282.9075	0.017
3341221.8505	0.018
3356062.601	0.017
3361505.2965	0.018
3366958.5375	0.018
3373871.404	0.02
3379676.471	0.018
3385849.3005	0.018
3393413.047	0.018
3399744.3395	0.02
3405359.395	0.022
3410615.811	0.023
3415985.04	0.022
3421846.9405	0.02
3428035.688	0.022
3435198.8955	0.022
3442002.5665	0.022
3448450.07	0.02
3454380.491	0.02
3460065.187	0.022
3465525.2535	0.022
3470872.499	0.02
3476165.624	0.022
3481268.404	0.022
3486274.806	0.02
3491564.0745	0.018
3497175.133	0.022
3502946.969	0.02
3508821.0695	0.02
3515229.0555	0.02
3520518.405	0.025
3526172.05	0.02
3532179.2455	0.018
3537995.4905	0.018
3544093.0505	0.017
3549799.3	0.018
3555091.2085	0.02
3560858.923	0.018
3568631.222	0.02
3574609.054	0.017
3580220.0995	0.018
3586419.3365	0.018
3591796.041	0.018
3597378.1305	0.018
3602852.0575	0.018
3609908.3455	0.023
3616004.038	0.023
3624646.46	0.022
3631308.292	0.02
3637798.1955	0.023
3643881.811	0.026
3650729.232	0.021
3656640.3655	0.021
3662655.215	0.023
3670204.9825	0.023
3678426.7045	0.022
3684303.4625	0.022
3692803.205	0.02
3699474.791	0.017
3706122.957	0.018
3712855.444	0.02
3718777.3225	0.02
3724207.6635	0.018
