midpoint	h1x
36493.229	0.187
96000.438	0.008
157004.6595	0.069
174090.08	0.152
192003.046	0.726
220430.1925	0.25
243655.642	0.026
268302.58	0.693
294654.397	0.036
316919.325	0.064
335693.553	0.056
355321.0605	0.192
370106.3685	0.079
396688.812	0.027
415067.0695	0.068
432890.6835	0.314
452558.844	0.697
470581.5645	0.324
489183.013	0.649
516438.5975	0.21
542791.792	0.179
568058.6295	0.514
588917.536	0.414
606397.176	0.536
630994.414	0.381
640755.3825	0.341
648710.167	0.191
666837.9445	0.765
678231.5205	0.667
694013.1535	0.377
710124.8925	0.753
723568.1055	0.063
739065.055	0.116
750495.516	0.796
760263.293	0.512
769866.386	0.263
781972.1675	0.738
797099.336	0.479
820677.846	0.161
838428.538	0.055
859622.1125	0.684
879236.715	0.342
903020.011	0.159
925580.152	0.368
937716.691	0.326
947270.079	0.095
958085.9965	0.682
974563.162	0.656
985520.543	0.607
1001883.0265	0.038
1041262.847	0.105
1074190.3835	0.256
1093099.7405	0.318
1132694.6025	0.342
1147824.97	0.254
1172258.2615	0.324
1196715.81	0.203
1209658.768	0.121
1260153.7715	0.176
1276071.519	0.873
1284118.156	0.811
1295515.686	0.768
1319147.239	0.781
1333490.5225	0.106
1358699.668	0.22
1389534.2105	0.641
1413444.153	0.797
1427120.075	0.129
1470146.4805	0.17
1501536.952	0.136
1517884.9015	0.84
1527794.832	0.918
1538982.194	0.902
1547706.919	0.368
1557137.3535	0.244
1567307.874	0.918
1578775.584	0.037
1599029.3795	0.119
1618516.3575	0.044
1640616.704	0.84
1663394.1155	0.822
1690522.421	0.435
1705396.4415	0.282
1736193.2315	0.056
1778503.9345	0.395
1800467.826	0.225
1824035.6915	0.642
1840797.8085	0.752
1857078.4975	0.481
1872586.093	0.2
1898425.348	0.265
1919370.6155	0.601
1932730.9905	0.351
1948110.557	0.234
1961506.305	0.056
1971293.499	0.933
1987968.027	0.037
2006528.6405	0.901
2023000.478	0.796
2041132.046	0.67
2050786.515	0.789
2063637.3005	0.346
2076603.1205	0.296
2089140.342	0.681
2108118.3375	0.84
2118477.4125	0.235
2135207.5055	0.358
2163983.961	0.711
2223839.2275	0.198
2272556.8235	0.87
2287253.1295	0.934
2321144.234	0.37
2354159.3	0.934
2367467.5135	0.467
2382625.0875	0.443
2393570.345	0.809
2407207.416	0.918
2422069.806	0.462
2431674.5795	0.232
2444031.5025	0.28
2479162.4565	0.415
2496357.9075	0.406
2525098.8605	0.839
2539850.0275	0.854
2554033.643	0.43
2567790.0155	0.836
2577082.6915	0.854
2585850.7135	0.836
2595845.99	0.366
2606459.0065	0.505
2616392.4905	0.621
2626211.642	0.574
2638284.3065	0.548
2647409.401	0.638
2668506.2035	0.598
2685960.6705	0.647
2697025.83	0.62
2706838.221	0.601
2723745.3145	0.649
2733123.535	0.315
2750496.163	0.564
2765184.372	0.203
2791920.4545	0.333
2804211.945	0.646
2815621.052	0.605
2827014.452	0.689
2838481.4105	0.607
2856537.663	0.598
2876463.52	0.631
2893155.22	0.592
2906478.7945	0.565
2915500.0325	0.608
2925954.7305	0.809
2938671.1685	0.222
2954284.3395	0.567
2963644.2635	0.502
2972009.3975	0.52
2984534.872	0.539
3001489.0335	0.521
3010489.343	0.468
3022210.062	0.537
3030433.053	0.553
3037880.938	0.541
3045375.607	0.497
3052797.962	0.538
3062041.0905	0.437
3070414.5865	0.418
3085017.4525	0.203
3093543.3375	0.46
3104967.4865	0.416
3113277.6225	0.439
3119600.6235	0.342
3126112.765	0.477
3140818.0985	0.21
3156014.432	0.452
3166325.21	0.389
3173036.855	0.389
3182415.0735	0.337
3192448.1045	0.339
3204563.8245	0.331
3211185.146	0.36
3220369.681	0.321
3232059.508	0.351
3238228.64	0.279
3244175.879	0.303
3250422.4675	0.491
3256476.466	0.482
3263584.9705	0.449
3272532.2945	0.461
3280242.28	0.133
3287421.075	0.449
3297701.713	0.438
3304073.6435	0.353
