midpoint	h1x
9170.925	0.006
18159.2665	0.037
23847.06	0.002
29867.5655	0.006
36012.941	0.008
42094.369	0.001
48527.251	0.002
54833.0685	0.003
60828.646	0.004
67157.0525	0.001
73761.8355	0.002
79643.655	0.004
86154.899	0.003
93176.3485	0.005
99414.618	0.006
106014.1875	0.011
112182.7115	0.013
119581.239	0.004
125701.14	0.012
132837.2475	0.011
140050.149	0.023
146054.375	0.012
152418.8905	0.014
159636.2795	0.013
165891.0665	0.009
172069.9535	0.018
178646.067	0.021
184871.9315	0.006
191785.7665	0.01
198740.088	0.011
204757.824	0.003
210845.0265	0.008
216925.0695	0.014
222702.6165	0.006
228464.0115	0.004
234080.5735	0.002
239739.9985	0.002
245440.2625	0.012
251118.6825	0.004
256950.9575	0.007
263042.948	0.01
269078.525	0.009
274991.6835	0.016
280810.131	0.013
287500.135	0.006
293714.112	0.01
299342.5145	0.012
305032.7485	0.005
310528.368	0.007
316246.578	0.009
322593.497	0.005
329039.7195	0.015
334796.9515	0.008
340095.922	0.006
345524.2445	0.025
350891.0145	0.016
356389.1335	0.016
366685.115	0.017
374334.056	0.011
379798.174	0.006
385222.1065	0.003
390671.849	0.009
396193.031	0.012
401536.28	0.012
407182.417	0.006
412780.182	0.002
419527.1855	0.0
427107.4295	0.002
432662.6725	0.003
438207.6425	0.002
443922.5985	0.004
449788.5465	0.004
455214.6725	0.003
460795.896	0.002
467104.8925	0.003
473411.542	0.005
479051.278	0.002
484826.366	0.005
490732.346	0.003
496143.902	0.002
501692.324	0.002
507241.188	0.002
512540.2195	0.003
517906.5915	0.003
523602.3235	0.002
529173.6935	0.004
534486.5935	0.001
539955.855	0.001
545182.755	0.0
550213.0285	0.0
555047.824	0.004
559878.3755	0.001
564738.301	0.001
569598.4805	0.001
574396.071	0.001
579092.1025	0.001
584007.2285	0.001
588931.8035	0.001
593861.145	0.002
598801.2755	0.0
603562.113	0.002
608716.533	0.001
615515.737	0.0
621240.5945	0.0
626157.781	0.0
631037.115	0.007
635891.2395	0.0
640844.768	0.003
646563.292	0.007
651672.815	0.004
656628.0905	0.0
662931.67	0.0
668297.849	0.006
673192.1865	0.006
677984.184	0.0
682819.177	0.006
687553.8535	0.006
692568.2765	0.006
697423.0935	0.0
702287.2295	0.006
707078.034	0.003
711842.589	0.0
716727.2025	0.004
721680.171	0.003
726535.3945	0.004
731527.506	0.002
736564.8965	0.0
741832.3235	0.0
747123.343	0.0
752378.755	0.0
757734.6495	0.001
762857.783	0.001
767938.5285	0.0
772867.4255	0.001
777688.5935	0.0
782538.881	0.0
787887.224	0.0
793280.932	0.0
798380.7905	0.0
803420.3045	0.0
808413.8185	0.001
813262.693	0.001
818114.874	0.0
823060.2135	0.0
827935.352	0.0
832948.992	0.0
838235.125	0.001
843507.0645	0.0
848580.6005	0.0
853476.3015	0.0
858392.4635	0.0
863335.1205	0.001
868552.094	0.001
873737.5555	0.001
878900.7545	0.001
884796.1815	0.001
889744.8565	0.001
894679.6725	0.002
900198.5205	0.002
910413.0405	0.002
915378.7625	0.002
920344.4845	0.002
925625.561	0.003
930798.337	0.001
935901.364	0.001
941022.5005	0.002
946237.771	0.002
951394.4415	0.002
956627.7445	0.001
965741.218	0.001
972027.8025	0.001
977427.7305	0.002
982319.893	0.001
987122.6565	0.001
991893.9715	0.002
996894.257	0.002
1001722.3615	0.004
1006665.2215	0.002
1011529.9925	0.002
1016416.721	0.002
1021329.3945	0.002
1026318.7415	0.002
1031376.5975	0.002
1036166.808	0.002
1041195.5095	0.001
1046070.528	0.001
1050866.6275	0.001
1055752.7175	0.001
1060814.6045	0.001
1066024.969	0.001
1070889.327	0.001
1076216.734	0.001
1081175.645	0.001
1086662.4955	0.001
1091636.503	0.001
1097160.8455	0.001
1103009.617	0.001
1107968.502	0.001
1113169.1425	0.001
1118454.683	0.0
1124042.8075	0.0
1129474.882	0.0
1134668.3905	0.0
1140032.705	0.0
1145566.9115	0.0
1151239.643	0.0
1156767.577	0.0
1162037.5755	0.0
1167375.6485	0.001
1172772.7505	0.001
1178005.829	0.0
1183287.989	0.0
1189332.471	0.0
1195017.7085	0.0
1200918.073	0.0
1206144.8555	0.0
1211131.382	0.0
1216154.398	0.0
1221282.716	0.0
1226169.971	0.001
1231467.514	0.0
1236764.471	0.0
1242241.888	0.0
1247620.3095	0.0
1252850.255	0.0
1258196.8125	0.0
1263782.489	0.0
1268832.2615	0.001
1273947.2375	0.0
1279439.3875	0.0
1289067.219	0.0
1295960.572	0.0
1300942.4585	0.0
1306517.828	0.001
1311813.007	0.0
1317032.8405	0.0
1323091.759	0.001
1328468.317	0.001
1333649.65	0.0
1338792.6665	0.0
1344169.855	0.0
1349172.997	0.0
1354258.3305	0.0
