midpoint	h1x
36493.229	0.099
96000.438	0.006
157004.6595	0.052
174090.08	0.118
192003.046	0.604
220430.1925	0.211
243655.642	0.041
268302.58	0.63
294654.397	0.053
316919.325	0.052
335693.553	0.069
355321.0605	0.171
370106.3685	0.076
396688.812	0.013
415067.0695	0.043
432890.6835	0.216
452558.844	0.708
470581.5645	0.288
489183.013	0.512
516438.5975	0.183
542791.792	0.172
568058.6295	0.438
588917.536	0.348
606397.176	0.294
630994.414	0.438
640755.3825	0.296
648710.167	0.111
666837.9445	0.615
678231.5205	0.618
694013.1535	0.302
710124.8925	0.606
723568.1055	0.051
739065.055	0.096
750495.516	0.683
760263.293	0.411
769866.386	0.198
781972.1675	0.671
797099.336	0.45
820677.846	0.259
838428.538	0.051
859622.1125	0.564
879236.715	0.413
903020.011	0.184
925580.152	0.273
937716.691	0.234
947270.079	0.042
958085.9965	0.641
974563.162	0.514
985520.543	0.55
1001883.0265	0.075
1041262.847	0.072
1074190.3835	0.164
1093099.7405	0.255
1132694.6025	0.343
1147824.97	0.21
1172258.2615	0.244
1196715.81	0.224
1209658.768	0.146
1260153.7715	0.116
1276071.519	0.711
1284118.156	0.739
1295515.686	0.655
1319147.239	0.697
1333490.5225	0.122
1358699.668	0.192
1389534.2105	0.403
1413444.153	0.616
1427120.075	0.122
1470146.4805	0.115
1501536.952	0.212
1517884.9015	0.901
1527794.832	0.839
1538982.194	0.902
1547706.919	0.376
1557137.3535	0.212
1567307.874	0.856
1578775.584	0.02
1599029.3795	0.071
1618516.3575	0.043
1640616.704	0.918
1663394.1155	0.856
1690522.421	0.467
1705396.4415	0.294
1736193.2315	0.054
1778503.9345	0.388
1800467.826	0.163
1824035.6915	0.751
1840797.8085	0.765
1857078.4975	0.43
1872586.093	0.332
1898425.348	0.3
1919370.6155	0.518
1932730.9905	0.416
1948110.557	0.201
1961506.305	0.034
1971293.499	0.902
1987968.027	0.032
2006528.6405	0.95
2023000.478	0.918
2041132.046	0.592
2050786.515	0.789
2063637.3005	0.358
2076603.1205	0.324
2089140.342	0.649
2108118.3375	0.885
2118477.4125	0.353
2135207.5055	0.502
2163983.961	0.654
2223839.2275	0.129
2272556.8235	0.918
2287253.1295	0.887
2321144.234	0.483
2354159.3	0.917
2367467.5135	0.467
2382625.0875	0.451
2393570.345	0.73
2407207.416	0.967
2422069.806	0.583
2431674.5795	0.114
2444031.5025	0.33
2479162.4565	0.413
2496357.9075	0.443
2525098.8605	0.919
2539850.0275	0.903
2554033.643	0.442
2567790.0155	0.887
2577082.6915	0.919
2585850.7135	0.84
2595845.99	0.376
2606459.0065	0.404
2616392.4905	0.545
2626211.642	0.513
2638284.3065	0.397
2647409.401	0.532
2668506.2035	0.555
2685960.6705	0.568
2697025.83	0.551
2706838.221	0.539
2723745.3145	0.555
2733123.535	0.263
2750496.163	0.483
2765184.372	0.118
2791920.4545	0.204
2804211.945	0.539
2815621.052	0.467
2827014.452	0.59
2838481.4105	0.523
2856537.663	0.514
