midpoint	h12
44235.388	0.261
69610.343	0.263
78057.1065	0.143
100296.028	0.034
113347.2845	0.074
122381.021	0.141
135887.632	0.167
162576.399	0.084
177985.8065	0.194
204618.797	0.037
274597.857	0.02
299037.2565	0.128
332907.229	0.268
347309.2075	0.394
362180.3935	0.037
371403.8275	0.271
379513.8805	0.192
390974.0675	0.273
445383.0585	0.252
524091.3905	0.044
546757.7455	0.086
585774.3025	0.023
621641.9605	0.248
640942.724	0.179
655318.8345	0.027
667097.908	0.236
696463.926	0.03
724761.9395	0.071
737965.4705	0.055
752303.36	0.181
767834.3805	0.081
780822.892	0.136
794329.2545	0.087
803404.005	0.154
817608.9045	0.041
829902.1315	0.1
839901.5935	0.101
849087.3425	0.249
861677.5015	0.201
871873.281	0.097
883169.515	0.103
907504.0785	0.077
934982.446	0.061
957560.39	0.023
971317.337	0.072
986826.958	0.056
1014408.0065	0.19
1040361.397	0.079
1090372.6405	0.1
1105828.9365	0.076
1122436.4305	0.059
1137483.2075	0.246
1150448.779	0.086
1190266.7785	0.074
1239575.6725	0.168
1247849.3315	0.152
1263266.5375	0.122
1277815.7905	0.133
1288160.8435	0.182
1296470.4275	0.1
1312297.8395	0.052
1333275.134	0.188
1356141.767	0.127
1383250.6245	0.062
1427477.8835	0.063
1475664.2615	0.02
1489780.0525	0.038
1499140.3445	0.163
1513379.9995	0.053
1529320.296	0.064
1543785.421	0.154
1555943.2295	0.073
1564190.74	0.127
1573992.407	0.178
1586307.3805	0.161
1599578.5285	0.222
1609378.588	0.393
1616800.6825	0.194
1624860.465	0.225
1635471.826	0.224
1646276.0695	0.145
1654187.634	0.268
1668378.8635	0.137
1709776.333	0.063
1726441.2255	0.146
1735137.354	0.179
1744164.772	0.16
1756767.544	0.116
1766938.3055	0.067
1774736.661	0.095
1783627.224	0.088
1795092.268	0.039
1807468.166	0.083
1815513.2735	0.063
1834143.0175	0.119
1847390.7315	0.064
1855856.9245	0.113
1864367.1045	0.063
1881832.31	0.113
1890343.6145	0.127
1898291.4	0.105
1906606.0735	0.142
1915282.281	0.104
1934056.799	0.092
1946156.834	0.064
1955455.16	0.095
1966045.966	0.068
1973946.0295	0.088
1981496.4625	0.082
1988806.1405	0.071
1996282.6505	0.101
2003944.788	0.093
2011269.815	0.092
2018975.9365	0.098
2026803.34	0.081
2034602.37	0.078
2042141.9425	0.107
2049700.078	0.074
2058519.2355	0.131
2067912.411	0.083
2075566.2825	0.081
2084963.578	0.079
2093839.489	0.087
2104206.9785	0.076
2112198.8765	0.064
2120879.503	0.059
2129122.531	0.092
2136797.543	0.082
2146574.049	0.054
2155187.116	0.095
2162740.107	0.093
2170565.2015	0.122
2178198.5615	0.108
2185782.6135	0.063
2197067.642	0.163
2206567.139	0.098
2213853.034	0.089
2221026.883	0.091
2228571.145	0.064
2240457.5015	0.088
2248858.4185	0.096
2256418.443	0.116
2263272.624	0.175
2270574.4145	0.102
2278063.2425	0.082
2286663.6455	0.102
2308640.2725	0.088
2330386.0275	0.092
2348262.788	0.067
2359744.0575	0.069
2369611.697	0.068
2377224.124	0.082
2387940.892	0.102
2395961.405	0.072
2406514.7185	0.106
2415517.8945	0.109
2423135.6395	0.069
2433016.5455	0.083
2442290.013	0.077
2450734.496	0.105
2458015.6665	0.136
2471546.6195	0.076
2479288.303	0.088
2486406.2785	0.099
2493422.832	0.041
2501268.376	0.094
2508550.8805	0.089
2517471.81	0.059
2530665.0475	0.079
2544759.2125	0.088
2554703.309	0.099
2562061.28	0.083
2573108.7475	0.078
2586819.8175	0.073
2599235.1435	0.074
2610023.976	0.081
2618413.7545	0.078
2627279.596	0.052
2634700.505	0.077
2645127.6315	0.067
2656480.4455	0.086
2671017.906	0.077
2678042.8195	0.108
2689800.472	0.071
2702663.402	0.072
2710234.7295	0.068
2718324.6545	0.061
2753333.3285	0.021
2768993.331	0.053
2777299.0	0.078
2786048.54	0.057
2802588.582	0.073
2816607.039	0.077
2823392.629	0.059
2830471.5035	0.056
2840012.953	0.054
2847337.175	0.079
2855736.2655	0.06
2865887.8755	0.061
2875704.945	0.061
2883824.4995	0.054
2892643.057	0.075
2903191.6415	0.074
2909540.3675	0.08
2916295.974	0.066
2923040.446	0.081
2929762.0545	0.078
2936468.3325	0.088
2944109.1735	0.068
2953722.696	0.076
2975081.2785	0.068
2985049.319	0.054
2995651.5615	0.056
3007588.428	0.076
3017411.145	0.074
3031001.3655	0.073
3043300.6225	0.071
3051578.3295	0.066
3059693.8185	0.069
3067060.2465	0.066
3074851.894	0.061
3089391.507	0.098
3099428.1025	0.078
3107095.6135	0.088
3116181.7825	0.066
3130227.611	0.076
3142456.7	0.078
3149681.3065	0.082
3156868.442	0.065
3164677.613	0.074
3175636.5375	0.077
3185097.241	0.083
3193910.17	0.073
3212711.893	0.064
3224147.2555	0.057
3231673.7655	0.074
3238484.8945	0.051
3245771.4775	0.061
3257770.7755	0.082
3266437.534	0.069
3273562.078	0.051
3281139.002	0.061
3288705.8995	0.088
3305992.54	0.079
3313602.6725	0.095
3321895.2915	0.079
3330052.6045	0.074
3337180.7595	0.101
3344779.9375	0.074
3354335.0455	0.091
3368326.0605	0.086
3376525.638	0.07
3383362.291	0.063
3390470.0165	0.088
3397765.7905	0.067
3404792.1935	0.062
3411794.5875	0.066
3418722.3195	0.094
3425399.745	0.083
3432366.8675	0.073
3439091.915	0.066
3445639.902	0.078
3452281.6355	0.073
3459036.538	0.113
3466029.4865	0.109
3477506.577	0.105
3486120.7495	0.093
3493182.1485	0.088
3500713.034	0.093
3508293.1075	0.077
3516378.051	0.076
3526055.355	0.093
3532919.4345	0.077
3540211.3905	0.079
3547486.4435	0.092
3554656.5465	0.068
3562278.598	0.082
3570007.88	0.063
3577953.397	0.104
3585721.385	0.092
3593463.976	0.088
3600556.623	0.064
3607923.414	0.086
3614614.419	0.084
3622563.805	0.057
3631911.514	0.055
3638751.8465	0.069
3646140.227	0.057
3655712.2065	0.078
3662624.5305	0.073
3672426.307	0.069
3682479.763	0.066
3689939.86	0.071
3697861.339	0.073
3705988.3345	0.064
3713408.105	0.067
3721291.0315	0.074
3729680.662	0.067
3742199.6305	0.072
3751183.914	0.069
3759308.8285	0.067
3766765.833	0.071
3776134.8965	0.077
3793429.8025	0.057
3804515.701	0.057
3811809.4435	0.073
3819207.0935	0.054
3828922.0725	0.066
3844274.381	0.069
3862779.668	0.079
3870393.56	0.069
3878380.1985	0.074
3886277.3545	0.077
3894371.241	0.128
3901358.6385	0.088
3908330.0765	0.087
3916143.632	0.079
3923512.8735	0.092
3932073.646	0.076
3941074.334	0.087
3948210.882	0.099
3955210.266	0.083
3966615.643	0.104
3975027.7305	0.091
3985901.0745	0.103
4006903.6215	0.107
4018893.2825	0.09
4027112.355	0.103
4035389.0835	0.087
4045085.474	0.119
4053568.781	0.104
4062838.6005	0.107
4074624.4095	0.088
4085770.669	0.089
4093352.247	0.1
4101435.602	0.097
4111640.8735	0.104
4119740.6705	0.1
