midpoint	h12
3052.016	0.203
12408.375	0.137
20875.3805	0.182
28623.6565	0.253
35885.999	0.102
42635.615	0.149
48702.212	0.088
55329.299	0.125
63488.9915	0.08
70585.054	0.069
77121.5235	0.105
83497.1425	0.175
89321.1505	0.204
96518.2945	0.139
104594.8005	0.12
110818.241	0.104
116890.48	0.072
122996.434	0.106
129045.3985	0.089
134950.1245	0.124
140868.7305	0.072
147237.472	0.088
153001.452	0.069
158655.298	0.088
164671.101	0.063
170447.1055	0.073
175897.091	0.061
181584.5165	0.124
187346.638	0.091
193339.0485	0.124
198990.8505	0.114
204258.8415	0.067
210059.366	0.075
215869.7675	0.066
221650.398	0.071
227363.8875	0.069
232940.347	0.069
239781.173	0.068
246100.7	0.068
251378.2195	0.063
256902.1735	0.068
262131.857	0.067
267201.7155	0.059
272247.941	0.062
277424.7315	0.07
282541.2305	0.09
287703.8345	0.074
293634.5215	0.083
300072.358	0.042
307839.112	0.07
312976.972	0.071
318197.4765	0.071
323352.1595	0.084
328971.6025	0.069
334854.1835	0.07
341656.9805	0.072
348565.365	0.063
354994.156	0.07
360660.699	0.07
366156.3375	0.062
372483.6925	0.049
378510.375	0.059
383903.9025	0.058
389337.923	0.064
395301.513	0.084
401141.4395	0.058
406610.7445	0.055
411723.223	0.056
417165.178	0.058
422388.0985	0.058
427485.928	0.057
432363.5825	0.048
437688.3135	0.058
443204.424	0.053
448190.2005	0.059
453357.743	0.058
459620.074	0.057
465240.8605	0.052
470676.1985	0.056
475889.501	0.058
481154.647	0.057
486345.938	0.048
491721.537	0.057
496736.8825	0.058
502010.556	0.057
507266.102	0.058
512540.429	0.058
517897.495	0.051
522847.478	0.044
527914.6475	0.051
534854.5355	0.052
543162.6555	0.044
552049.619	0.045
558439.4275	0.043
564287.9495	0.044
569917.3295	0.046
575169.6835	0.041
581361.2385	0.038
588273.556	0.041
595161.979	0.041
602158.463	0.04
609267.666	0.043
616144.607	0.043
623228.276	0.039
629835.472	0.042
635323.489	0.042
640808.852	0.038
646244.6805	0.041
654320.1125	0.041
661732.7505	0.042
669486.2425	0.042
676085.3555	0.04
682658.9625	0.039
688379.9925	0.043
693838.6655	0.044
699993.0555	0.031
707492.043	0.047
714552.6035	0.048
720637.1965	0.043
725917.172	0.047
730924.0585	0.048
736267.4645	0.048
741727.6665	0.046
747762.4455	0.046
755330.8475	0.041
760968.0845	0.042
766164.2495	0.042
771374.3875	0.043
776685.539	0.043
782706.1555	0.043
790340.109	0.046
797060.2485	0.044
804857.446	0.044
810916.111	0.044
816455.1025	0.043
821994.6675	0.039
827585.091	0.038
832807.2695	0.037
838327.4465	0.037
843628.707	0.041
849711.2545	0.037
855257.0335	0.041
861672.449	0.036
867117.0845	0.033
873024.0715	0.036
878750.227	0.037
884107.217	0.036
889622.2305	0.033
894884.4695	0.036
900370.686	0.035
906305.2545	0.042
913443.981	0.041
919644.5325	0.042
925115.0435	0.041
931009.507	0.041
936729.3715	0.041
942229.55	0.041
948024.1275	0.036
956998.5615	0.041
963500.904	0.037
970653.6155	0.036
977258.0775	0.034
983210.8395	0.032
990619.417	0.036
996840.313	0.035
1002587.072	0.035
1009972.4485	0.039
1016043.073	0.036
1021610.782	0.036
1028249.4105	0.032
1036199.121	0.044
1043531.877	0.039
1050605.94	0.043
1055808.0875	0.048
1061766.612	0.048
1067952.635	0.053
1076129.52	0.053
1084668.655	0.033
1092436.569	0.053
1098673.1565	0.039
1104454.914	0.053
1110284.592	0.052
1116328.159	0.056
1123551.248	0.059
1129102.987	0.057
1135396.6515	0.057
1142505.2705	0.058
1149820.4985	0.058
1156124.9215	0.058
1161876.731	0.036
1167696.12	0.054
1173185.5785	0.053
1178955.4175	0.052
1184441.6195	0.058
1190613.92	0.052
1196964.5365	0.058
1203250.6385	0.059
1208323.251	0.036
1214131.999	0.052
1219987.5685	0.048
1226462.208	0.052
1231812.8335	0.048
1238092.6005	0.053
1244976.855	0.047
1251218.783	0.047
1256793.8415	0.047
1262916.867	0.048
1269177.615	0.046
1274966.143	0.047
1280865.13	0.048
1285995.033	0.05
1291871.9595	0.048
1297328.622	0.041
1302422.2715	0.044
1308320.301	0.039
1313658.605	0.039
1319127.1015	0.034
1325157.005	0.036
1332954.7475	0.034
1341427.7075	0.038
1349273.193	0.038
1355349.972	0.03
1361025.3765	0.04
1367100.1895	0.039
1372274.193	0.039
1377508.1795	0.033
1386488.4015	0.029
1395697.7135	0.032
1402320.2665	0.028
1407827.588	0.029
1412874.634	0.033
1418404.489	0.036
1424935.6525	0.039
1430861.1185	0.038
1436220.289	0.032
1441190.3225	0.038
1446262.1085	0.041
1452177.352	0.041
1457752.0935	0.042
1462703.4855	0.041
1468238.651	0.036
1474990.877	0.036
1480848.077	0.035
1486807.343	0.032
1492286.8155	0.037
1497980.591	0.033
1503706.6675	0.033
1508746.414	0.034
1514755.4375	0.032
1521742.7655	0.038
1527637.543	0.039
1532816.7765	0.043
1538226.0415	0.043
1544376.513	0.042
1550018.021	0.043
1555505.021	0.044
1561024.104	0.037
1567382.77	0.038
1576060.185	0.038
1584102.5335	0.037
1591994.3915	0.034
1598962.4655	0.038
1605711.6645	0.03
1611728.1405	0.031
1617102.135	0.034
1622639.3895	0.033
1628260.258	0.035
1640584.8715	0.031
1647971.559	0.032
1653930.864	0.036
1659411.218	0.035
1665730.2875	0.028
1671875.747	0.034
1676848.866	0.035
1681935.1655	0.035
1687367.3985	0.034
1693496.5835	0.034
1698943.6745	0.034
1704205.5025	0.038
1709192.021	0.038
1714498.677	0.034
1720723.6025	0.032
1728699.7185	0.039
1735484.065	0.039
1741473.5875	0.04
1747494.2195	0.039
1753057.9875	0.04
1759965.967	0.039
1765436.2065	0.039
1771043.094	0.039
1776125.9235	0.04
1781173.5475	0.038
1787047.335	0.04
1792980.1275	0.041
1799178.896	0.041
1805380.284	0.041
1810537.9885	0.037
1818353.032	0.041
1826354.7825	0.039
1831802.9785	0.044
1844727.183	0.044
1860497.918	0.039
1871073.027	0.039
1880384.0085	0.038
1886767.652	0.04
1892806.6995	0.046
1898491.9705	0.046
1904368.549	0.046
1910091.1845	0.042
1915800.7865	0.041
1922224.2915	0.037
1928093.022	0.042
1933604.8335	0.041
1939399.0495	0.042
