midpoint	h12
3052.016	0.461
12408.375	0.248
20875.3805	0.19
28623.6565	0.335
35885.999	0.5
42635.615	0.432
48702.212	0.181
55329.299	0.272
63488.9915	0.229
70585.054	0.168
77121.5235	0.248
83497.1425	0.21
89321.1505	0.754
96518.2945	0.26
104594.8005	0.269
110818.241	0.151
116890.48	0.121
122996.434	0.139
129045.3985	0.122
134950.1245	0.114
140868.7305	0.105
147237.472	0.08
153001.452	0.138
158655.298	0.087
164671.101	0.121
170447.1055	0.122
175897.091	0.078
181584.5165	0.065
187346.638	0.068
193339.0485	0.069
198990.8505	0.072
204258.8415	0.062
210059.366	0.054
215869.7675	0.073
221650.398	0.062
227363.8875	0.062
232940.347	0.054
239781.173	0.052
246100.7	0.048
251378.2195	0.037
256902.1735	0.041
262131.857	0.035
267201.7155	0.036
272247.941	0.042
277424.7315	0.041
282541.2305	0.043
287703.8345	0.059
293634.5215	0.051
300072.358	0.034
307839.112	0.041
312976.972	0.043
318197.4765	0.04
323352.1595	0.046
328971.6025	0.036
334854.1835	0.043
341656.9805	0.034
348565.365	0.034
354994.156	0.036
360660.699	0.031
366156.3375	0.027
372483.6925	0.028
378510.375	0.033
383903.9025	0.039
389337.923	0.044
395301.513	0.049
401141.4395	0.05
406610.7445	0.034
411723.223	0.029
417165.178	0.026
422388.0985	0.032
427485.928	0.033
432363.5825	0.042
437688.3135	0.029
443204.424	0.031
448190.2005	0.049
453357.743	0.026
459620.074	0.024
465240.8605	0.03
470676.1985	0.033
475889.501	0.031
481154.647	0.025
486345.938	0.022
491721.537	0.024
496736.8825	0.027
502010.556	0.022
507266.102	0.024
512540.429	0.022
517897.495	0.024
522847.478	0.034
527914.6475	0.035
534854.5355	0.028
543162.6555	0.032
552049.619	0.031
558439.4275	0.027
564287.9495	0.026
569917.3295	0.039
575169.6835	0.027
581361.2385	0.021
588273.556	0.024
595161.979	0.024
602158.463	0.027
609267.666	0.023
616144.607	0.022
623228.276	0.021
629835.472	0.024
635323.489	0.021
640808.852	0.028
646244.6805	0.029
654320.1125	0.024
661732.7505	0.023
669486.2425	0.025
676085.3555	0.024
682658.9625	0.028
688379.9925	0.025
693838.6655	0.022
699993.0555	0.024
707492.043	0.021
714552.6035	0.022
720637.1965	0.021
725917.172	0.022
730924.0585	0.023
736267.4645	0.022
741727.6665	0.021
747762.4455	0.022
755330.8475	0.021
760968.0845	0.023
766164.2495	0.024
771374.3875	0.023
776685.539	0.024
782706.1555	0.042
790340.109	0.027
797060.2485	0.022
804857.446	0.023
810916.111	0.022
816455.1025	0.031
821994.6675	0.022
827585.091	0.023
832807.2695	0.028
838327.4465	0.033
843628.707	0.028
849711.2545	0.025
855257.0335	0.034
861672.449	0.029
867117.0845	0.024
873024.0715	0.024
878750.227	0.026
884107.217	0.024
889622.2305	0.028
894884.4695	0.023
900370.686	0.025
906305.2545	0.023
913443.981	0.035
919644.5325	0.041
925115.0435	0.033
931009.507	0.027
936729.3715	0.027
942229.55	0.022
948024.1275	0.024
956998.5615	0.022
963500.904	0.022
970653.6155	0.023
977258.0775	0.024
983210.8395	0.023
990619.417	0.024
996840.313	0.027
1002587.072	0.025
1009972.4485	0.024
1016043.073	0.026
1021610.782	0.024
1028249.4105	0.021
1036199.121	0.022
1043531.877	0.021
1050605.94	0.026
1055808.0875	0.028
1061766.612	0.026
1067952.635	0.024
1076129.52	0.022
1084668.655	0.02
1092436.569	0.025
1098673.1565	0.025
1104454.914	0.027
1110284.592	0.026
1116328.159	0.043
1123551.248	0.038
1129102.987	0.023
1135396.6515	0.022
1142505.2705	0.021
1149820.4985	0.021
1156124.9215	0.021
1161876.731	0.022
1167696.12	0.021
1173185.5785	0.021
1178955.4175	0.02
1184441.6195	0.023
1190613.92	0.023
1196964.5365	0.021
1203250.6385	0.022
1208323.251	0.023
1214131.999	0.022
1219987.5685	0.021
1226462.208	0.022
1231812.8335	0.023
1238092.6005	0.023
1244976.855	0.021
1251218.783	0.021
1256793.8415	0.023
1262916.867	0.023
1269177.615	0.021
1274966.143	0.024
1280865.13	0.021
1285995.033	0.023
1291871.9595	0.024
1297328.622	0.036
1302422.2715	0.033
1308320.301	0.022
1313658.605	0.024
1319127.1015	0.022
1325157.005	0.028
1332954.7475	0.022
1341427.7075	0.021
1349273.193	0.021
1355349.972	0.029
1361025.3765	0.027
1367100.1895	0.027
1372274.193	0.024
1377508.1795	0.027
1386488.4015	0.021
1395697.7135	0.022
1402320.2665	0.023
1407827.588	0.023
1412874.634	0.028
1418404.489	0.03
1424935.6525	0.023
1430861.1185	0.023
1436220.289	0.023
1441190.3225	0.026
1446262.1085	0.022
1452177.352	0.021
1457752.0935	0.028
1462703.4855	0.024
1468238.651	0.021
1474990.877	0.024
1480848.077	0.024
1486807.343	0.021
1492286.8155	0.022
1497980.591	0.023
1503706.6675	0.022
1508746.414	0.022
1514755.4375	0.022
1521742.7655	0.027
1527637.543	0.022
1532816.7765	0.022
1538226.0415	0.022
1544376.513	0.021
1550018.021	0.022
1555505.021	0.021
1561024.104	0.022
1567382.77	0.024
1576060.185	0.021
1584102.5335	0.022
1591994.3915	0.021
1598962.4655	0.021
1605711.6645	0.024
1611728.1405	0.031
1617102.135	0.027
1622639.3895	0.023
1628260.258	0.028
1640584.8715	0.024
1647971.559	0.022
1653930.864	0.022
1659411.218	0.022
1665730.2875	0.021
1671875.747	0.022
1676848.866	0.027
1681935.1655	0.023
1687367.3985	0.02
1693496.5835	0.021
1698943.6745	0.028
1704205.5025	0.023
1709192.021	0.024
1714498.677	0.021
1720723.6025	0.022
1728699.7185	0.024
1735484.065	0.021
1741473.5875	0.021
1747494.2195	0.022
1753057.9875	0.023
1759965.967	0.02
1765436.2065	0.023
1771043.094	0.021
1776125.9235	0.031
1781173.5475	0.022
1787047.335	0.027
1792980.1275	0.027
1799178.896	0.022
1805380.284	0.024
1810537.9885	0.021
1818353.032	0.018
1826354.7825	0.021
1831802.9785	0.021
1844727.183	0.018
1860497.918	0.021
1871073.027	0.02
1880384.0085	0.021
1886767.652	0.02
1892806.6995	0.02
1898491.9705	0.02
1904368.549	0.021
1910091.1845	0.023
1915800.7865	0.023
1922224.2915	0.021
1928093.022	0.024
1933604.8335	0.021
1939399.0495	0.036
1945448.6115	0.025
1951735.962	0.022
1957071.292	0.022
1963113.109	0.022
1969457.4035	0.029
1977251.241	0.02
1983658.7125	0.022
1989404.315	0.021
1994478.8515	0.022
1999724.5945	0.022
2005315.841	0.023
2010405.6415	0.022
2015525.448	0.022
2020841.023	0.021
2027053.93	0.022
2033280.899	0.028
2039444.3575	0.023
2045428.089	0.021
2051929.159	0.023
2058013.07	0.026
2064148.247	0.022
2069767.1525	0.025
2075578.33	0.021
2081104.754	0.024
2094234.4425	0.029
2102814.602	0.032
2108385.2355	0.029
2113523.398	0.025
2119053.596	0.028
2124324.3845	0.022
2129513.562	0.032
2134399.7505	0.026
2139307.271	0.026
2144530.8735	0.026
2150793.757	0.021
2160961.8415	0.037
2167837.008	0.027
2174609.9365	0.029
2180572.473	0.024
2185930.69	0.028
2191441.5005	0.022
2196679.061	0.023
2201974.593	0.023
2208310.516	0.021
2214711.588	0.022
2220943.7175	0.022
2227361.7035	0.023
2234514.5955	0.021
2243297.622	0.023
2249280.797	0.026
2254622.3475	0.021
2261021.859	0.021
2269451.396	0.021
2278292.6465	0.022
2284456.532	0.024
2290721.759	0.024
2296715.5475	0.022
2303300.83	0.024
2308774.493	0.023
2313904.5965	0.025
2319389.581	0.025
2324922.266	0.022
2331081.316	0.021
2337583.721	0.023
2343608.403	0.029
2348805.524	0.039
2355053.424	0.029
2361539.388	0.041
2366886.3025	0.028
2373051.738	0.031
2380058.5405	0.028
2388630.6855	0.024
2394048.6915	0.021
2399613.8255	0.022
2405292.83	0.022
2410653.733	0.021
2416324.309	0.023
2422905.6765	0.022
2428063.9215	0.025
2433441.609	0.027
2439265.241	0.026
2445384.1795	0.026
2450747.7775	0.027
2456064.3955	0.032
2461071.106	0.032
2466416.2505	0.039
2471889.171	0.03
2479927.076	0.027
2487491.056	0.026
2493992.4175	0.024
2500109.5755	0.025
2505215.5975	0.021
2510036.181	0.028
2515096.2695	0.025
2520349.219	0.021
2525271.399	0.023
2530245.7065	0.028
2535221.249	0.025
2540331.408	0.026
2546282.2945	0.023
2552011.284	0.021
2557721.1835	0.018
2564156.654	0.021
2569543.1905	0.021
2576324.302	0.02
2582880.865	0.022
2587999.641	0.022
2595625.5175	0.02
2607006.551	0.02
2613287.069	0.027
2619246.3005	0.021
2624785.327	0.022
2630252.2095	0.021
2635710.78	0.022
2641049.0115	0.024
2647184.8955	0.021
2653712.162	0.021
2659062.2455	0.027
2664573.364	0.03
2669978.55	0.023
2675412.299	0.021
2681052.7235	0.024
2686403.3775	0.031
2691344.767	0.028
2696210.304	0.028
2701778.3545	0.022
2707714.732	0.022
2714167.1195	0.023
2719760.7075	0.026
2724937.783	0.025
2731005.0445	0.022
2736269.878	0.021
2741342.314	0.022
2746814.577	0.023
2752213.1645	0.028
2757208.0295	0.034
2762158.436	0.04
2767223.1385	0.049
2772409.098	0.036
2778263.024	0.036
2784995.1625	0.023
2791160.545	0.021
2797757.74	0.021
2803389.237	0.023
2808836.372	0.023
2815880.628	0.026
2822926.2285	0.021
2829044.4295	0.026
2834319.7395	0.038
2839481.9955	0.026
2844516.303	0.024
2849736.615	0.027
2854603.874	0.027
2859867.2865	0.032
