window	window.chrom	window.pos	moving.Fst	hmm.output
1	2L	727604	-0.000705572386332394	0
2	2L	2729042	0.0239555146004353	0
3	2L	3084416	0.0230293855203551	0
4	2L	3175380	0.012543891638854	0
5	2L	3255709	0.0125256107440843	0
6	2L	3351249	0.0106491827882491	0
7	2L	3432397	0.00571900684063965	0
8	2L	3490158	0.0127551910607761	0
9	2L	3540849	0.0116892826415071	0
10	2L	3610781	0.00455778178739299	0
11	2L	3669416	-0.000594123619633614	0
12	2L	3705802	0.00117458517905076	0
13	2L	3742942	0.00107763715290362	0
14	2L	3778581	0.00019411380073789	0
15	2L	3848437	-0.00302425361353954	0
16	2L	3880872	-0.00509293037467964	0
17	2L	3930593	-0.00377723981823078	0
18	2L	3968362	-0.00197613713603629	0
19	2L	4107524	0.000389544132813424	0
20	2L	4147906	5.49060320534282e-05	0
21	2L	4204560	0.0094665044925439	0
22	2L	4248429	0.000259820207612788	0
23	2L	4284683	0.000847017128492998	0
24	2L	4318166	0.00257755491184935	0
25	2L	4351369	0.00152438737946906	0
26	2L	4395974	0.0043195085606786	0
27	2L	4431735	0.0019957651258879	0
28	2L	4465132	0.00170448070750962	0
29	2L	4506783	0.00449352043645098	0
30	2L	4529936	0.00594999839639654	0
31	2L	4585694	0.00492570927083681	0
32	2L	4657129	0.00382558855013154	0
33	2L	4705437	0.00333988819391055	0
34	2L	4743202	-0.00271467492610449	0
35	2L	4775649	-0.00144085439350145	0
36	2L	4804976	-0.00101143862588935	0
37	2L	4847091	-0.00334718107008655	0
38	2L	4882103	-0.00411757530670276	0
39	2L	4934430	-0.00153701045673468	0
40	2L	4976766	-0.00230472046752379	0
41	2L	5025861	-0.000424756734357919	0
42	2L	5412309	0.00480390635620728	0
43	2L	5527138	0.00152711064237235	0
44	2L	5606945	0.00391489868865307	0
45	2L	5667390	-0.00121026251552461	0
46	2L	5713584	0.0224222060955336	0
47	2L	5767710	-0.000641055463546502	0
48	2L	5809379	-0.000169111662151277	0
49	2L	5870209	0.00283590465106042	0
50	2L	5915071	0.0050147287019855	0
51	2L	5948143	0.0105160512305434	0
52	2L	6018540	0.0101786897791273	0
53	2L	6068127	0.0156878447518012	0
54	2L	6111386	0.00798747708203912	0
55	2L	6149049	0.00660935522900521	0
56	2L	6176147	0.0050456832304551	0
57	2L	6200979	0.00724038977574842	0
58	2L	6239782	0.00664489122814797	0
59	2L	6307148	0.00956192225445914	0
60	2L	6391709	0.0079851965612655	0
61	2L	6421863	0.0208702158854732	0
62	2L	6451282	0.00586639103631318	0
63	2L	6485037	0.015678873485909	0
64	2L	6523583	0.0136260160161797	0
65	2L	6554062	0.0113842300310057	0
66	2L	6612653	0.00584735970139463	0
67	2L	6648104	0.00613873874369025	0
68	2L	6685611	0.00312688637274025	0
69	2L	6718701	0.013955147242021	0
70	2L	6745065	0.0177288677777274	0
71	2L	6772651	0.0217866014623134	0
72	2L	6806285	0.0085729692331929	0
73	2L	6838263	0.0100852083235922	0
74	2L	6867589	0.0130260099052885	0
75	2L	6900290	0.0113250100222341	0
76	2L	6930516	0.0119498055466841	0
77	2L	6955013	0.0166690545446597	0
78	2L	6989634	0.0106816666327478	0
79	2L	7029608	0.013027587053458	0
80	2L	7069223	0.0303048378177204	0
81	2L	7108248	0.0222870022409954	0
82	2L	7174413	0.0216617855420158	0
83	2L	7214262	0.0192401260373978	0
84	2L	7246278	0.0284854150341297	0
85	2L	7296592	0.0286039175657575	0
86	2L	7335384	0.0308448067562062	0
87	2L	7440508	0.0209451831711565	0
88	2L	7541299	0.0194283484450001	0
89	2L	7583222	0.0103234651383334	0
90	2L	7616434	0.0155746228992218	0
91	2L	7650693	0.00221291062523228	0
92	2L	7685223	0.00107828110390172	0
93	2L	7714752	-0.000321318561992558	0
94	2L	7756217	-0.00209543129944117	0
95	2L	7797062	3.61527710222974e-05	0
96	2L	7827516	-0.00128433382793959	0
97	2L	7863480	0.00282089065664741	0
98	2L	7899995	0.000300159758542397	0
99	2L	7932856	0.00298527908373325	0
100	2L	7958995	0.00414838653506259	0
101	2L	7987484	0.00257630111116207	0
102	2L	8015574	0.00530669835507029	0
103	2L	8050819	0.00669007824036165	0
104	2L	8071457	0.00826733727193945	0
105	2L	8095771	0.0113083111321704	0
106	2L	8128365	0.00838780278274756	0
107	2L	8159583	0.00238806680463355	0
108	2L	8219646	0.0032197169549723	0
109	2L	8254491	0.00499500884416253	0
110	2L	8282237	0.000440596008056336	0
111	2L	8326446	0.00301401856871495	0
112	2L	8587344	-0.00061657404185036	0
113	2L	8628311	0.00171797722641897	0
114	2L	8674973	-0.000607069727713689	0
115	2L	8703129	-0.000611508629347117	0
116	2L	8742899	-0.000865514667834341	0
117	2L	8779822	-0.00471602542456284	0
118	2L	8825116	-0.00556151093711446	0
119	2L	8864825	-0.00579198696281528	0
120	2L	8900026	-0.00520831362340744	0
121	2L	8937972	-0.0010603963253507	0
122	2L	8966851	-0.00253114725323509	0
123	2L	9003060	-0.00620966103150581	0
124	2L	9026330	-0.00459078258153002	0
125	2L	9063796	-0.00313671999727556	0
126	2L	9100705	-0.00158216564763421	0
127	2L	9167906	-0.00207290180517457	0
128	2L	9202604	0.000861714200886045	0
129	2L	9237890	-0.000116200301153138	0
130	2L	9313364	-0.00230901014390173	0
131	2L	9342038	-0.00225857302428885	0
132	2L	9379164	-0.00223506443142872	0
133	2L	9408738	-0.00562772167871745	0
134	2L	9442548	0.00206819285508556	0
135	2L	9473231	-0.00143374022379864	0
136	2L	9504081	0.00221752587101205	0
137	2L	9545045	0.00626994049016624	0
138	2L	9577114	-0.0028026082537409	0
139	2L	9613258	-0.00356271933460615	0
