midpoint	h12
6326.3105	0.055
13166.6605	0.049
19570.393	0.068
27065.757	0.068
35255.5025	0.046
42529.734	0.056
48581.772	0.034
54946.779	0.05
62914.1915	0.037
71002.595	0.06
79145.8535	0.032
87474.3755	0.047
93839.3645	0.047
100504.684	0.049
106504.417	0.036
112643.523	0.051
119058.45	0.042
125696.738	0.033
131780.0205	0.041
137645.0905	0.072
143578.935	0.032
149495.298	0.04
155723.456	0.037
161814.167	0.045
167599.217	0.036
173601.6045	0.032
179721.617	0.034
186319.7795	0.029
192386.5205	0.04
198342.3025	0.034
204640.596	0.043
211219.995	0.031
217639.5105	0.029
223854.883	0.044
230152.887	0.036
236187.9025	0.031
242415.0155	0.036
248970.222	0.034
255387.125	0.032
261569.082	0.031
268029.9335	0.042
273906.4155	0.045
280522.51	0.033
286619.213	0.03
292614.742	0.028
298210.469	0.028
304055.279	0.033
310015.565	0.036
315462.9415	0.036
320796.379	0.032
326289.663	0.033
343747.0135	0.023
351615.664	0.034
356951.213	0.042
364065.4935	0.032
371549.242	0.05
377220.4265	0.044
382839.5685	0.039
388352.905	0.042
393603.475	0.049
398739.4745	0.035
403965.3745	0.042
409104.178	0.034
414390.8235	0.035
419663.8285	0.034
424955.663	0.034
430377.69	0.053
435514.552	0.047
440762.3605	0.089
446441.1955	0.032
452087.481	0.042
457702.175	0.036
463129.684	0.028
468330.8455	0.034
473285.303	0.034
478361.348	0.027
483435.3565	0.028
488450.2215	0.026
493440.146	0.04
498477.127	0.031
503664.413	0.032
509043.507	0.039
514259.49	0.033
519550.1485	0.029
524511.019	0.032
529474.259	0.032
534550.6365	0.035
539834.004	0.041
545166.0435	0.045
550715.194	0.032
555995.472	0.032
561845.026	0.032
567565.634	0.044
573040.272	0.046
578849.003	0.063
584028.813	0.056
589501.2905	0.063
594832.027	0.062
600203.487	0.055
605406.975	0.044
610686.3185	0.058
615882.593	0.041
621224.002	0.032
626191.174	0.051
632092.872	0.056
637419.0725	0.042
643091.0505	0.052
649064.987	0.037
654897.8115	0.038
660758.6875	0.031
666515.396	0.039
673749.8315	0.029
679731.812	0.037
685235.0085	0.028
690397.222	0.023
695424.1505	0.024
702128.5105	0.029
713724.883	0.023
719897.0485	0.024
725575.481	0.029
731489.6855	0.027
737307.6255	0.029
742878.411	0.024
748145.393	0.022
753460.1565	0.028
758714.828	0.027
764229.7585	0.024
769520.9265	0.027
774623.6295	0.028
779842.236	0.027
784882.758	0.028
790170.806	0.028
795174.524	0.025
800129.5405	0.024
805093.4475	0.028
810199.516	0.028
815221.678	0.033
820304.619	0.021
825526.675	0.032
830525.7195	0.028
835466.403	0.032
847214.3695	0.032
854042.021	0.028
862867.082	0.025
869122.149	0.033
874071.222	0.029
879002.0335	0.031
884092.1045	0.034
889026.6845	0.034
893900.9865	0.031
898738.6235	0.028
903658.055	0.028
908617.9565	0.028
913606.5205	0.027
918599.907	0.032
923515.911	0.026
928550.7125	0.031
933592.3515	0.029
938798.912	0.027
943942.1045	0.029
949011.516	0.037
954097.454	0.029
958977.1285	0.028
963810.5955	0.027
968831.7525	0.029
973963.304	0.028
979084.915	0.032
984108.0295	0.024
989113.003	0.024
994330.822	0.027
999687.7655	0.027
1004915.831	0.021
1010011.4355	0.021
1015083.8785	0.021
1020092.1285	0.022
1025157.344	0.022
1030167.0235	0.021
1035562.508	0.022
