midpoint	h12
3052.016	0.203
12408.375	0.074
20875.3805	0.189
28623.6565	0.141
35885.999	0.08
42635.615	0.098
48702.212	0.046
55329.299	0.062
63488.9915	0.054
70585.054	0.067
77121.5235	0.073
83497.1425	0.175
89321.1505	0.141
96518.2945	0.123
104594.8005	0.083
110818.241	0.079
116890.48	0.041
122996.434	0.034
129045.3985	0.037
134950.1245	0.039
140868.7305	0.032
147237.472	0.032
153001.452	0.028
158655.298	0.041
164671.101	0.036
170447.1055	0.037
175897.091	0.044
181584.5165	0.114
187346.638	0.036
193339.0485	0.062
198990.8505	0.063
204258.8415	0.034
210059.366	0.028
215869.7675	0.032
221650.398	0.027
227363.8875	0.044
232940.347	0.033
239781.173	0.02
246100.7	0.029
251378.2195	0.024
256902.1735	0.029
262131.857	0.031
267201.7155	0.03
272247.941	0.026
277424.7315	0.025
282541.2305	0.029
287703.8345	0.035
293634.5215	0.033
300072.358	0.026
307839.112	0.027
312976.972	0.025
318197.4765	0.026
323352.1595	0.027
328971.6025	0.025
334854.1835	0.028
341656.9805	0.025
348565.365	0.025
354994.156	0.026
360660.699	0.026
366156.3375	0.022
372483.6925	0.02
378510.375	0.025
383903.9025	0.025
389337.923	0.026
395301.513	0.026
401141.4395	0.026
406610.7445	0.023
411723.223	0.023
417165.178	0.023
422388.0985	0.023
427485.928	0.021
432363.5825	0.021
437688.3135	0.021
443204.424	0.021
448190.2005	0.023
453357.743	0.021
459620.074	0.021
465240.8605	0.022
470676.1985	0.022
475889.501	0.022
481154.647	0.024
486345.938	0.021
491721.537	0.021
496736.8825	0.021
502010.556	0.021
507266.102	0.021
512540.429	0.021
517897.495	0.02
522847.478	0.02
527914.6475	0.017
534854.5355	0.017
543162.6555	0.017
552049.619	0.017
558439.4275	0.018
564287.9495	0.017
569917.3295	0.018
575169.6835	0.02
581361.2385	0.018
588273.556	0.02
595161.979	0.022
602158.463	0.022
609267.666	0.026
616144.607	0.023
623228.276	0.025
629835.472	0.022
635323.489	0.023
640808.852	0.021
646244.6805	0.021
654320.1125	0.021
661732.7505	0.023
669486.2425	0.023
676085.3555	0.021
682658.9625	0.021
688379.9925	0.023
693838.6655	0.023
699993.0555	0.021
707492.043	0.018
714552.6035	0.02
720637.1965	0.02
725917.172	0.023
730924.0585	0.022
736267.4645	0.021
741727.6665	0.02
747762.4455	0.02
755330.8475	0.023
760968.0845	0.02
766164.2495	0.021
771374.3875	0.02
776685.539	0.021
782706.1555	0.03
790340.109	0.023
797060.2485	0.023
804857.446	0.021
810916.111	0.02
816455.1025	0.021
821994.6675	0.021
827585.091	0.02
832807.2695	0.021
838327.4465	0.021
843628.707	0.018
849711.2545	0.02
855257.0335	0.02
861672.449	0.021
867117.0845	0.021
873024.0715	0.021
878750.227	0.021
884107.217	0.02
889622.2305	0.018
894884.4695	0.018
900370.686	0.023
906305.2545	0.021
913443.981	0.021
919644.5325	0.02
925115.0435	0.021
931009.507	0.018
936729.3715	0.018
942229.55	0.02
948024.1275	0.022
956998.5615	0.02
963500.904	0.02
970653.6155	0.017
977258.0775	0.017
983210.8395	0.017
990619.417	0.018
996840.313	0.024
1002587.072	0.02
1009972.4485	0.02
1016043.073	0.018
1021610.782	0.017
1028249.4105	0.017
1036199.121	0.018
1043531.877	0.017
1050605.94	0.017
1055808.0875	0.017
1061766.612	0.017
1067952.635	0.017
1076129.52	0.018
1084668.655	0.017
1092436.569	0.017
1098673.1565	0.02
1104454.914	0.018
1110284.592	0.021
1116328.159	0.033
1123551.248	0.021
1129102.987	0.02
1135396.6515	0.02
1142505.2705	0.017
1149820.4985	0.017
1156124.9215	0.02
1161876.731	0.017
1167696.12	0.02
1173185.5785	0.022
1178955.4175	0.022
1184441.6195	0.022
1190613.92	0.021
1196964.5365	0.023
1203250.6385	0.02
1208323.251	0.021
1214131.999	0.02
