midpoint	h12
6326.3105	0.052
13166.6605	0.031
19570.393	0.05
27065.757	0.063
35255.5025	0.113
42529.734	0.109
48581.772	0.083
54946.779	0.068
62914.1915	0.034
71002.595	0.049
79145.8535	0.048
87474.3755	0.044
93839.3645	0.044
100504.684	0.045
106504.417	0.05
112643.523	0.054
119058.45	0.044
125696.738	0.058
131780.0205	0.058
137645.0905	0.086
143578.935	0.084
149495.298	0.049
155723.456	0.04
161814.167	0.075
167599.217	0.063
173601.6045	0.039
179721.617	0.058
186319.7795	0.03
192386.5205	0.088
198342.3025	0.032
204640.596	0.108
211219.995	0.035
217639.5105	0.056
223854.883	0.063
230152.887	0.051
236187.9025	0.048
242415.0155	0.046
248970.222	0.067
255387.125	0.044
261569.082	0.033
268029.9335	0.045
273906.4155	0.057
280522.51	0.052
286619.213	0.046
292614.742	0.049
298210.469	0.051
304055.279	0.039
310015.565	0.041
315462.9415	0.058
320796.379	0.039
326289.663	0.046
343747.0135	0.026
351615.664	0.043
356951.213	0.051
364065.4935	0.052
371549.242	0.051
377220.4265	0.041
382839.5685	0.051
388352.905	0.05
393603.475	0.05
398739.4745	0.07
403965.3745	0.049
409104.178	0.056
414390.8235	0.063
419663.8285	0.077
424955.663	0.063
430377.69	0.064
435514.552	0.049
440762.3605	0.056
446441.1955	0.062
452087.481	0.049
457702.175	0.054
463129.684	0.049
468330.8455	0.044
473285.303	0.036
478361.348	0.028
483435.3565	0.038
488450.2215	0.043
493440.146	0.044
498477.127	0.043
503664.413	0.039
509043.507	0.034
514259.49	0.049
519550.1485	0.044
524511.019	0.035
529474.259	0.031
534550.6365	0.044
539834.004	0.039
545166.0435	0.039
550715.194	0.049
555995.472	0.055
561845.026	0.043
567565.634	0.048
573040.272	0.043
578849.003	0.049
584028.813	0.043
589501.2905	0.049
594832.027	0.043
600203.487	0.035
605406.975	0.031
610686.3185	0.03
615882.593	0.034
621224.002	0.026
626191.174	0.034
632092.872	0.035
637419.0725	0.04
643091.0505	0.031
649064.987	0.035
654897.8115	0.034
660758.6875	0.034
666515.396	0.027
673749.8315	0.031
679731.812	0.037
685235.0085	0.031
690397.222	0.027
695424.1505	0.034
702128.5105	0.031
713724.883	0.029
719897.0485	0.027
725575.481	0.028
731489.6855	0.022
737307.6255	0.027
742878.411	0.026
748145.393	0.031
753460.1565	0.026
758714.828	0.031
764229.7585	0.026
769520.9265	0.031
774623.6295	0.024
779842.236	0.027
784882.758	0.03
790170.806	0.026
795174.524	0.028
800129.5405	0.028
805093.4475	0.027
810199.516	0.028
815221.678	0.028
820304.619	0.023
825526.675	0.025
830525.7195	0.023
835466.403	0.024
847214.3695	0.025
854042.021	0.026
862867.082	0.017
869122.149	0.023
874071.222	0.024
879002.0335	0.028
884092.1045	0.029
889026.6845	0.028
893900.9865	0.025
898738.6235	0.028
903658.055	0.027
908617.9565	0.028
913606.5205	0.024
918599.907	0.024
923515.911	0.024
928550.7125	0.024
933592.3515	0.025
938798.912	0.027
943942.1045	0.028
949011.516	0.028
954097.454	0.029
958977.1285	0.028
963810.5955	0.03
968831.7525	0.029
973963.304	0.026
979084.915	0.023
984108.0295	0.027
989113.003	0.024
994330.822	0.025
999687.7655	0.021
1004915.831	0.024
1010011.4355	0.022
1015083.8785	0.024
1020092.1285	0.024
1025157.344	0.024
1030167.0235	0.022
1035562.508	0.022
1041053.4685	0.022
1046471.4635	0.025
1051711.0585	0.024
1056908.885	0.021
1062058.608	0.023
1067062.7355	0.024
1072115.7665	0.024
1077247.2345	0.022
1082506.308	0.024
1087772.9185	0.025
1093262.8345	0.022
1098355.917	0.021
1103336.214	0.021
1108473.977	0.023
1113847.4	0.023
1119048.08	0.023
1124324.3475	0.023
1129308.5885	0.023
1134594.0105	0.022
1139882.168	0.026
1145020.7785	0.027
1150258.9275	0.027
1155537.575	0.022
1161050.127	0.024
1166471.158	0.024
1171897.451	0.026
1179465.155	0.023
1186077.4805	0.023
1191414.2295	0.023
1196312.7205	0.023
1201124.626	0.026
1205888.2405	0.029
1210671.9675	0.03
1215580.9795	0.029
1220994.602	0.03
1231199.3195	0.034
1236322.8455	0.026
1244199.7005	0.031
1251265.8625	0.033
1256471.1355	0.026
1261923.69	0.033
1267536.6415	0.027
1272854.382	0.033
1278157.889	0.028
1283414.372	0.039
1289051.4565	0.039
1294304.8255	0.03
1299410.759	0.041
1304566.7525	0.027
1309738.292	0.031
1314853.5605	0.029
1320008.3525	0.026
1325106.366	0.034
1330261.663	0.03
1335308.939	0.027
1340279.8415	0.033
1345373.582	0.027
1350398.418	0.023
1355401.834	0.03
1364418.992	0.023
1370438.728	0.024
1375397.8315	0.027
1380407.6965	0.023
1385444.8265	0.021
1390386.0975	0.024
1395269.0985	0.026
1400191.4115	0.027
1405258.8185	0.026
1410227.7935	0.027
1415032.6605	0.028
1419812.353	0.024
1424593.3555	0.028
1429287.141	0.021
1434129.946	0.021
1438899.8535	0.023
1443899.626	0.021
1448701.9765	0.022
1453543.4565	0.024
1458326.62	0.027
1463171.1335	0.024
1468007.666	0.027
1472974.4025	0.022
1477807.2675	0.023
1482540.6855	0.023
1487357.9275	0.028
1492073.213	0.026
1496976.752	0.024
1501999.3345	0.028
1507076.218	0.027
1512689.446	0.031
1517757.0145	0.021
1522586.753	0.025
1527598.075	0.023
1532465.517	0.025
1537579.5125	0.023
1543070.2295	0.024
1547891.1315	0.026
1553281.8945	0.027
1558907.4855	0.031
1563981.1445	0.027
1569057.162	0.034
1574236.9795	0.029
1579703.8435	0.026
1585044.2375	0.034
1590377.916	0.037
1595859.3965	0.03
1601241.715	0.03
1606883.924	0.039
1612181.124	0.029
1621746.2285	0.039
1629895.3015	0.028
1638717.6965	0.035
1644081.1695	0.039
1649375.753	0.034
1654747.04	0.037
1660293.5905	0.033
1665628.159	0.027
1670609.795	0.024
1675744.844	0.031
1680834.612	0.031
1686191.1985	0.023
1692344.5745	0.033
1697515.157	0.044
1702467.7245	0.043
1707565.456	0.031
1712932.7525	0.033
1718666.4165	0.042
1724009.377	0.029
1729156.9645	0.043
1734583.278	0.038
1743778.888	0.023
1750332.287	0.043
1755921.984	0.034
1761244.8505	0.038
1766514.5745	0.034
1771782.1815	0.022
1777322.9705	0.034
1782459.638	0.031
1787575.6685	0.033
1792987.8435	0.033
1798637.446	0.033
1803911.364	0.037
1808889.4785	0.033
1814322.7635	0.029
1819473.9315	0.024
1824441.7915	0.03
1830232.6705	0.026
1835491.1825	0.027
1840502.6395	0.023
1845507.4625	0.029
1850560.2285	0.021
1855500.8175	0.022
1860336.6115	0.022
1865215.849	0.021
1870083.3405	0.022
1875136.969	0.022
1880323.1815	0.022
1885690.256	0.023
1891607.974	0.022
1897953.8135	0.023
1903398.3965	0.021
1908877.923	0.023
1914467.3015	0.027
1920027.6855	0.03
1925526.626	0.029
1931188.657	0.021
1936469.854	0.022
1941710.1355	0.02
1949700.9325	0.023
1960100.7295	0.022
1965908.7585	0.024
1971557.508	0.023
1976833.8675	0.023
1982705.9005	0.021
1989721.277	0.021
1995880.7525	0.021
2000831.384	0.026
2005532.8865	0.027
2010770.401	0.026
2015737.917	0.027
2020793.7265	0.027
2025970.647	0.025
2031975.393	0.024
2037405.33	0.024
2042907.2585	0.024
2048689.454	0.027
2054394.936	0.022
2060132.0065	0.027
2065269.6675	0.027
2070409.7245	0.025
2075427.1335	0.024
2080561.989	0.024
2085787.2355	0.024
2091082.4725	0.023
2096754.003	0.023
2101968.3925	0.024
2107411.6815	0.026
2112988.42	0.027
2120341.2925	0.025
2126501.541	0.028
2131965.768	0.03
2137200.6935	0.028
2142389.925	0.025
2147717.015	0.028
2152914.226	0.028
2158484.143	0.029
2163805.511	0.029
2169510.95	0.028
2174818.5195	0.027
2180626.3125	0.028
2186718.5765	0.027
2195703.294	0.027
2201372.4455	0.024
2206461.376	0.027
2211693.395	0.029
2216832.692	0.027
2222746.3215	0.024
