midpoint	h1x
6326.3105	0.02
13166.6605	0.002
19570.393	0.01
27065.757	0.019
35255.5025	0.024
42529.734	0.018
48581.772	0.03
54946.779	0.011
62914.1915	0.003
71002.595	0.048
79145.8535	0.044
87474.3755	0.004
93839.3645	0.01
100504.684	0.019
106504.417	0.011
112643.523	0.011
119058.45	0.012
125696.738	0.009
131780.0205	0.026
137645.0905	0.068
143578.935	0.013
149495.298	0.012
155723.456	0.051
161814.167	0.019
167599.217	0.01
173601.6045	0.008
179721.617	0.006
186319.7795	0.026
192386.5205	0.008
198342.3025	0.016
204640.596	0.029
211219.995	0.007
217639.5105	0.013
223854.883	0.006
230152.887	0.004
236187.9025	0.001
242415.0155	0.001
248970.222	0.005
255387.125	0.003
261569.082	0.002
268029.9335	0.019
273906.4155	0.002
280522.51	0.002
286619.213	0.007
292614.742	0.004
298210.469	0.015
304055.279	0.001
310015.565	0.002
315462.9415	0.001
320796.379	0.001
326289.663	0.003
343747.0135	0.001
351615.664	0.003
356951.213	0.007
364065.4935	0.005
371549.242	0.0
377220.4265	0.002
382839.5685	0.006
388352.905	0.017
393603.475	0.002
398739.4745	0.002
403965.3745	0.017
409104.178	0.003
414390.8235	0.018
419663.8285	0.01
424955.663	0.017
430377.69	0.003
435514.552	0.008
440762.3605	0.003
446441.1955	0.005
452087.481	0.003
457702.175	0.002
463129.684	0.001
468330.8455	0.004
473285.303	0.003
478361.348	0.001
483435.3565	0.002
488450.2215	0.003
493440.146	0.003
498477.127	0.001
503664.413	0.002
509043.507	0.003
514259.49	0.001
519550.1485	0.002
524511.019	0.002
529474.259	0.001
534550.6365	0.001
539834.004	0.001
545166.0435	0.001
550715.194	0.0
555995.472	0.0
561845.026	0.0
567565.634	0.0
573040.272	0.0
578849.003	0.0
584028.813	0.0
589501.2905	0.0
594832.027	0.0
600203.487	0.0
605406.975	0.002
610686.3185	0.002
615882.593	0.002
621224.002	0.001
626191.174	0.002
632092.872	0.003
637419.0725	0.009
643091.0505	0.009
649064.987	0.011
654897.8115	0.004
660758.6875	0.004
666515.396	0.002
673749.8315	0.006
679731.812	0.008
685235.0085	0.003
690397.222	0.001
695424.1505	0.001
702128.5105	0.001
713724.883	0.002
719897.0485	0.001
725575.481	0.001
731489.6855	0.002
737307.6255	0.002
742878.411	0.0
748145.393	0.001
753460.1565	0.0
758714.828	0.0
764229.7585	0.0
769520.9265	0.0
774623.6295	0.0
779842.236	0.0
784882.758	0.0
790170.806	0.001
795174.524	0.0
800129.5405	0.0
805093.4475	0.0
810199.516	0.0
815221.678	0.0
820304.619	0.0
825526.675	0.0
830525.7195	0.0
835466.403	0.0
847214.3695	0.0
854042.021	0.0
862867.082	0.0
869122.149	0.0
874071.222	0.0
879002.0335	0.0
884092.1045	0.0
889026.6845	0.0
893900.9865	0.0
898738.6235	0.0
903658.055	0.0
908617.9565	0.0
913606.5205	0.0
918599.907	0.0
923515.911	0.0
928550.7125	0.0
933592.3515	0.0
938798.912	0.0
943942.1045	0.0
949011.516	0.0
954097.454	0.012
958977.1285	0.0
963810.5955	0.0
968831.7525	0.0
973963.304	0.001
979084.915	0.001
984108.0295	0.0
989113.003	0.0
994330.822	0.0
999687.7655	0.0
1004915.831	0.0
1010011.4355	0.0
1015083.8785	0.0
1020092.1285	0.0
1025157.344	0.0
1030167.0235	0.0
1035562.508	0.0
1041053.4685	0.0
1046471.4635	0.0
1051711.0585	0.0
1056908.885	0.0
1062058.608	0.0
1067062.7355	0.0
1072115.7665	0.0
1077247.2345	0.0
1082506.308	0.0
1087772.9185	0.0
1093262.8345	0.0
1098355.917	0.001
1103336.214	0.001
1108473.977	0.001
1113847.4	0.001
1119048.08	0.0
1124324.3475	0.0
1129308.5885	0.0
1134594.0105	0.0
1139882.168	0.0
1145020.7785	0.0
1150258.9275	0.0
1155537.575	0.0
1161050.127	0.0
1166471.158	0.001
1171897.451	0.0
1179465.155	0.001
1186077.4805	0.001
1191414.2295	0.001
1196312.7205	0.001
1201124.626	0.002
1205888.2405	0.001
1210671.9675	0.001
1215580.9795	0.001
1220994.602	0.002
1231199.3195	0.0
1236322.8455	0.001
1244199.7005	0.001
1251265.8625	0.001
1256471.1355	0.001
1261923.69	0.0
1267536.6415	0.0
1272854.382	0.0
1278157.889	0.002
1283414.372	0.001
1289051.4565	0.001
1294304.8255	0.0
1299410.759	0.0
1304566.7525	0.0
1309738.292	0.001
1314853.5605	0.0
1320008.3525	0.001
1325106.366	0.001
1330261.663	0.0
1335308.939	0.0
1340279.8415	0.0
1345373.582	0.0
1350398.418	0.0
1355401.834	0.0
1364418.992	0.019
1370438.728	0.0
1375397.8315	0.0
1380407.6965	0.0
1385444.8265	0.0
1390386.0975	0.001
1395269.0985	0.0
1400191.4115	0.0
1405258.8185	0.0
1410227.7935	0.0
1415032.6605	0.0
1419812.353	0.001
1424593.3555	0.001
1429287.141	0.008
1434129.946	0.004
1438899.8535	0.0
1443899.626	0.002
1448701.9765	0.002
1453543.4565	0.002
1458326.62	0.002
1463171.1335	0.002
1468007.666	0.0
1472974.4025	0.0
1477807.2675	0.001
1482540.6855	0.0
1487357.9275	0.0
1492073.213	0.001
1496976.752	0.001
1501999.3345	0.001
1507076.218	0.001
1512689.446	0.001
1517757.0145	0.001
1522586.753	0.001
1527598.075	0.001
1532465.517	0.001
1537579.5125	0.001
1543070.2295	0.001
1547891.1315	0.001
1553281.8945	0.001
1558907.4855	0.001
1563981.1445	0.001
1569057.162	0.0
1574236.9795	0.0
1579703.8435	0.0
1585044.2375	0.0
1590377.916	0.0
1595859.3965	0.0
1601241.715	0.0
1606883.924	0.0
1612181.124	0.0
1621746.2285	0.0
1629895.3015	0.0
1638717.6965	0.0
1644081.1695	0.0
1649375.753	0.001
1654747.04	0.0
1660293.5905	0.0
1665628.159	0.0
1670609.795	0.0
1675744.844	0.0
1680834.612	0.0
1686191.1985	0.0
1692344.5745	0.0
1697515.157	0.0
1702467.7245	0.0
1707565.456	0.0
1712932.7525	0.0
1718666.4165	0.0
1724009.377	0.0
1729156.9645	0.0
1734583.278	0.007
1743778.888	0.001
1750332.287	0.004
1755921.984	0.01
1761244.8505	0.01
1766514.5745	0.0
1771782.1815	0.0
1777322.9705	0.0
1782459.638	0.0
1787575.6685	0.001
1792987.8435	0.0
1798637.446	0.001
1803911.364	0.001
1808889.4785	0.001
1814322.7635	0.001
1819473.9315	0.0
1824441.7915	0.0
